edge_index0,edge_index1,pred,gr
824,460,0.0,1.0
687,369,1.0,1.0
354,195,0.0,1.0
258,259,1.0,1.0
839,233,1.0,1.0
100,233,1.0,1.0
75,11,0.0,1.0
211,452,1.0,1.0
885,884,1.0,1.0
205,439,0.0,1.0
189,38,1.0,1.0
291,235,1.0,1.0
200,326,1.0,1.0
511,870,1.0,1.0
783,722,1.0,1.0
812,292,1.0,1.0
276,554,0.0,1.0
312,95,1.0,1.0
893,541,1.0,1.0
174,82,1.0,1.0
642,653,0.0,1.0
250,486,1.0,1.0
122,285,1.0,1.0
27,66,1.0,1.0
858,477,1.0,1.0
668,714,1.0,1.0
410,135,1.0,1.0
858,105,1.0,1.0
144,320,1.0,1.0
85,190,1.0,1.0
504,850,0.0,1.0
35,32,1.0,1.0
493,508,1.0,1.0
409,603,1.0,1.0
583,602,1.0,1.0
702,382,1.0,1.0
44,94,1.0,1.0
100,215,1.0,1.0
369,681,1.0,1.0
409,463,1.0,1.0
57,100,1.0,1.0
622,311,1.0,1.0
75,368,1.0,1.0
701,177,1.0,1.0
43,449,1.0,1.0
395,722,0.0,1.0
346,653,0.0,1.0
276,206,1.0,1.0
662,671,1.0,1.0
33,34,1.0,1.0
409,622,1.0,1.0
736,791,1.0,1.0
431,202,1.0,1.0
894,320,1.0,1.0
674,164,1.0,1.0
913,914,1.0,1.0
711,829,1.0,1.0
472,823,0.0,1.0
116,264,1.0,1.0
69,26,1.0,1.0
466,812,1.0,1.0
493,510,1.0,1.0
44,93,1.0,1.0
46,98,1.0,1.0
273,266,1.0,1.0
247,145,1.0,1.0
463,589,1.0,1.0
267,538,1.0,1.0
602,622,1.0,1.0
649,758,1.0,1.0
264,517,1.0,1.0
151,149,1.0,1.0
245,107,1.0,1.0
100,485,1.0,1.0
554,90,0.0,1.0
669,180,1.0,1.0
290,289,1.0,1.0
377,692,1.0,1.0
274,275,1.0,1.0
512,871,1.0,1.0
100,281,1.0,1.0
96,223,1.0,1.0
112,259,1.0,1.0
12,9,1.0,1.0
472,102,1.0,1.0
97,226,1.0,1.0
512,534,1.0,1.0
119,273,1.0,1.0
230,477,0.0,1.0
463,409,1.0,1.0
257,534,1.0,1.0
538,117,1.0,1.0
675,678,1.0,1.0
398,668,1.0,1.0
100,837,1.0,1.0
72,155,1.0,1.0
556,918,1.0,1.0
131,280,1.0,1.0
741,83,1.0,1.0
732,733,1.0,1.0
786,180,1.0,1.0
234,481,1.0,1.0
541,542,1.0,1.0
470,100,1.0,1.0
808,211,1.0,1.0
62,622,1.0,1.0
67,149,1.0,1.0
362,674,1.0,1.0
828,105,1.0,1.0
345,4,1.0,1.0
653,642,0.0,1.0
73,157,1.0,1.0
534,512,1.0,1.0
484,836,1.0,1.0
316,377,1.0,1.0
247,107,1.0,1.0
207,717,1.0,1.0
164,672,1.0,1.0
701,355,1.0,1.0
185,145,1.0,1.0
848,180,1.0,1.0
64,140,1.0,1.0
395,720,1.0,1.0
149,26,1.0,1.0
411,749,1.0,1.0
354,353,1.0,1.0
129,289,1.0,1.0
911,716,1.0,1.0
59,61,1.0,1.0
164,674,1.0,1.0
783,80,1.0,1.0
500,242,1.0,1.0
62,590,1.0,1.0
605,489,1.0,1.0
211,922,1.0,1.0
320,869,1.0,1.0
90,276,1.0,1.0
769,200,1.0,1.0
850,240,0.0,1.0
177,783,1.0,1.0
409,743,0.0,1.0
536,262,1.0,1.0
256,518,1.0,1.0
547,589,0.0,0.0
525,53,1.0,0.0
296,510,0.0,0.0
419,344,1.0,0.0
799,770,0.0,0.0
198,106,0.0,0.0
227,70,0.0,0.0
359,748,1.0,0.0
1,695,0.0,0.0
549,870,0.0,0.0
657,410,1.0,0.0
829,294,0.0,0.0
459,262,0.0,0.0
766,433,0.0,0.0
693,366,1.0,0.0
66,37,1.0,0.0
332,497,1.0,0.0
237,689,0.0,0.0
585,724,1.0,0.0
498,797,0.0,0.0
435,737,0.0,0.0
72,776,1.0,0.0
280,779,0.0,0.0
310,864,0.0,0.0
168,722,0.0,0.0
360,486,1.0,0.0
777,147,0.0,0.0
737,11,0.0,0.0
258,57,1.0,0.0
542,0,1.0,0.0
217,17,1.0,0.0
340,253,1.0,0.0
32,317,1.0,0.0
352,255,1.0,0.0
330,588,1.0,0.0
26,254,0.0,0.0
182,668,0.0,0.0
99,337,0.0,0.0
71,262,1.0,0.0
692,26,0.0,0.0
713,598,0.0,0.0
585,430,0.0,0.0
213,854,0.0,0.0
814,624,1.0,0.0
826,423,0.0,0.0
917,666,1.0,0.0
56,166,1.0,0.0
524,542,1.0,0.0
722,25,1.0,0.0
569,691,0.0,0.0
697,787,1.0,0.0
110,683,0.0,0.0
723,620,1.0,0.0
689,611,1.0,0.0
669,681,1.0,0.0
595,525,0.0,0.0
600,294,0.0,0.0
219,568,1.0,0.0
56,841,1.0,0.0
142,614,1.0,0.0
75,624,0.0,0.0
367,123,1.0,0.0
254,595,0.0,0.0
73,57,1.0,0.0
231,528,1.0,0.0
99,587,1.0,0.0
593,58,1.0,0.0
