edge_index0,edge_index1,pred,gr
751,1138,1.0,1.0
883,1277,1.0,1.0
307,1362,1.0,1.0
596,970,1.0,1.0
645,994,1.0,1.0
509,675,1.0,1.0
155,153,1.0,1.0
609,1135,1.0,1.0
1128,741,1.0,1.0
970,967,1.0,1.0
1426,639,1.0,1.0
904,968,1.0,1.0
1032,980,1.0,1.0
843,642,1.0,1.0
175,730,0.0,1.0
982,984,1.0,1.0
714,1103,1.0,1.0
243,97,0.0,1.0
704,1431,1.0,1.0
1335,1107,1.0,1.0
148,346,0.0,1.0
767,1157,0.0,1.0
1094,124,1.0,1.0
475,279,1.0,1.0
1259,527,1.0,1.0
152,354,1.0,1.0
749,751,1.0,1.0
441,769,1.0,1.0
1005,1379,1.0,1.0
51,157,1.0,1.0
334,619,0.0,1.0
1403,1401,1.0,1.0
680,747,1.0,1.0
1384,1385,1.0,1.0
1315,97,1.0,1.0
842,1243,1.0,1.0
397,502,1.0,1.0
392,699,1.0,1.0
1066,189,1.0,1.0
469,798,1.0,1.0
625,341,1.0,1.0
838,1354,1.0,1.0
403,297,0.0,1.0
1056,631,1.0,1.0
61,93,1.0,1.0
431,203,0.0,1.0
693,1021,1.0,1.0
192,318,1.0,1.0
805,105,1.0,1.0
594,965,1.0,1.0
367,528,1.0,1.0
1104,1454,1.0,1.0
1002,372,0.0,1.0
1402,1404,1.0,1.0
66,425,1.0,1.0
111,28,1.0,1.0
356,345,1.0,1.0
318,1306,1.0,1.0
537,891,1.0,1.0
542,545,1.0,1.0
1208,240,1.0,1.0
295,404,1.0,1.0
598,971,1.0,1.0
105,1037,1.0,1.0
425,746,1.0,1.0
1350,599,1.0,1.0
637,1013,1.0,1.0
248,97,0.0,1.0
1275,318,1.0,1.0
215,151,1.0,1.0
1232,1041,1.0,1.0
874,525,1.0,1.0
202,370,1.0,1.0
297,296,0.0,1.0
842,264,1.0,1.0
785,455,1.0,1.0
70,899,1.0,1.0
1417,1252,1.0,1.0
516,97,1.0,1.0
879,1257,1.0,1.0
877,1272,1.0,1.0
585,943,1.0,1.0
1346,191,1.0,1.0
697,168,1.0,1.0
1083,1040,1.0,1.0
307,575,1.0,1.0
1031,185,1.0,1.0
1424,1425,1.0,1.0
1342,962,1.0,1.0
229,791,1.0,1.0
297,104,1.0,1.0
1015,152,1.0,1.0
530,881,0.0,1.0
1181,226,1.0,1.0
1370,1371,1.0,1.0
