edge_index0,edge_index1,pred,gr
786,768,1.0,1.0
664,1049,1.0,1.0
342,1033,1.0,1.0
244,243,1.0,1.0
464,100,1.0,1.0
932,294,1.0,1.0
818,228,1.0,1.0
445,459,1.0,1.0
924,1134,1.0,1.0
104,221,1.0,1.0
100,228,1.0,1.0
77,11,1.0,1.0
202,423,1.0,1.0
846,852,1.0,1.0
676,1077,1.0,1.0
201,91,1.0,1.0
411,38,1.0,1.0
811,225,1.0,1.0
685,751,1.0,1.0
720,408,1.0,1.0
1139,392,1.0,1.0
469,813,1.0,1.0
766,1180,1.0,1.0
685,1080,1.0,1.0
1245,744,1.0,1.0
779,781,1.0,1.0
1101,1103,1.0,1.0
459,468,1.0,1.0
264,528,1.0,1.0
880,1291,1.0,1.0
404,746,1.0,1.0
967,855,1.0,1.0
175,84,1.0,1.0
624,638,1.0,1.0
399,477,1.0,1.0
122,454,1.0,1.0
27,73,1.0,1.0
235,46,1.0,1.0
1287,533,1.0,1.0
712,688,1.0,1.0
1223,387,1.0,1.0
63,568,1.0,1.0
398,134,1.0,1.0
494,715,1.0,1.0
141,303,1.0,1.0
195,610,1.0,1.0
480,802,1.0,1.0
35,32,1.0,1.0
723,1059,1.0,1.0
478,486,1.0,1.0
1252,182,1.0,1.0
397,135,1.0,1.0
723,618,1.0,1.0
66,296,1.0,1.0
774,1184,1.0,1.0
689,370,1.0,1.0
265,911,1.0,1.0
1290,668,1.0,1.0
44,206,1.0,1.0
399,236,1.0,1.0
1129,26,1.0,1.0
100,207,1.0,1.0
106,235,1.0,1.0
1243,1242,1.0,1.0
397,439,1.0,1.0
303,1121,1.0,1.0
1066,362,1.0,1.0
57,100,1.0,1.0
380,688,1.0,1.0
44,96,1.0,1.0
755,427,1.0,1.0
201,751,1.0,1.0
444,780,1.0,1.0
288,291,1.0,1.0
495,494,1.0,1.0
77,164,1.0,1.0
692,1095,1.0,1.0
687,178,1.0,1.0
877,1287,1.0,1.0
43,200,1.0,1.0
100,219,1.0,1.0
382,1103,0.0,1.0
578,579,1.0,1.0
775,738,1.0,1.0
336,638,1.0,1.0
264,529,1.0,1.0
695,1100,1.0,1.0
708,1121,1.0,1.0
202,592,1.0,1.0
1185,1186,1.0,1.0
33,34,1.0,1.0
397,288,1.0,1.0
725,754,1.0,1.0
554,914,1.0,1.0
1058,290,1.0,1.0
889,887,1.0,1.0
922,197,1.0,1.0
514,303,0.0,1.0
1060,588,1.0,1.0
653,165,1.0,1.0
1110,1044,1.0,1.0
626,1019,1.0,1.0
877,878,1.0,1.0
1272,536,1.0,1.0
587,957,1.0,1.0
795,212,1.0,1.0
335,637,0.0,1.0
1032,342,1.0,1.0
441,775,1.0,1.0
579,296,1.0,1.0
115,251,1.0,1.0
154,26,1.0,1.0
72,403,1.0,1.0
439,773,1.0,1.0
661,77,1.0,1.0
681,1081,1.0,1.0
780,265,1.0,1.0
478,761,1.0,1.0
719,935,1.0,1.0
829,1228,1.0,1.0
875,1285,1.0,1.0
44,94,1.0,1.0
46,98,1.0,1.0
563,291,1.0,1.0
259,253,1.0,1.0
439,565,1.0,1.0
1179,1133,1.0,1.0
723,590,1.0,1.0
254,512,1.0,1.0
289,288,1.0,1.0
1024,308,1.0,1.0
554,568,1.0,1.0
251,494,1.0,1.0
152,150,1.0,1.0
233,106,1.0,1.0
1156,1092,0.0,1.0
100,476,1.0,1.0
528,648,1.0,1.0
1189,467,1.0,1.0
764,904,1.0,1.0
363,670,1.0,1.0
583,952,1.0,1.0
590,959,1.0,1.0
489,837,1.0,1.0
100,539,1.0,1.0
1000,1015,1.0,1.0
907,63,0.0,1.0
95,210,1.0,1.0
116,243,1.0,1.0
12,9,1.0,1.0
97,214,1.0,1.0
866,1266,1.0,1.0
489,502,1.0,1.0
306,307,1.0,1.0
119,259,1.0,1.0
439,397,1.0,1.0
246,502,1.0,1.0
1058,936,1.0,1.0
512,117,1.0,1.0
