edge_index0,edge_index1,pred,gr
782,439,1.0,1.0
426,714,1.0,1.0
430,721,1.0,1.0
463,760,1.0,1.0
407,99,1.0,1.0
65,572,1.0,1.0
721,492,1.0,1.0
649,480,1.0,1.0
569,228,1.0,1.0
245,566,1.0,1.0
166,338,1.0,1.0
52,602,1.0,1.0
146,851,1.0,1.0
193,381,1.0,1.0
347,963,1.0,1.0
345,349,1.0,1.0
113,238,1.0,1.0
111,42,1.0,1.0
884,565,1.0,1.0
600,940,1.0,1.0
657,981,1.0,1.0
553,866,1.0,1.0
388,668,1.0,1.0
146,301,1.0,1.0
662,262,1.0,1.0
308,549,1.0,1.0
169,342,1.0,1.0
52,202,1.0,1.0
276,274,1.0,1.0
152,319,1.0,1.0
447,747,0.0,1.0
52,216,1.0,1.0
159,74,1.0,1.0
111,234,1.0,1.0
62,34,1.0,1.0
294,143,1.0,1.0
339,595,1.0,1.0
52,703,1.0,1.0
593,924,1.0,1.0
490,561,1.0,1.0
770,755,1.0,1.0
705,243,1.0,1.0
667,145,1.0,1.0
391,198,1.0,1.0
84,352,1.0,1.0
734,672,1.0,1.0
609,949,1.0,1.0
275,277,1.0,1.0
669,573,1.0,1.0
307,590,0.0,1.0
17,45,1.0,1.0
693,214,1.0,1.0
93,192,1.0,1.0
305,334,1.0,1.0
205,398,1.0,1.0
406,52,1.0,1.0
573,598,1.0,1.0
535,833,1.0,1.0
552,306,1.0,1.0
167,499,0.0,1.0
558,876,1.0,1.0
342,339,1.0,1.0
698,697,1.0,1.0
159,329,1.0,1.0
974,738,0.0,1.0
741,825,0.0,1.0
534,537,1.0,1.0
132,133,1.0,1.0
750,422,1.0,1.0
239,441,1.0,1.0
346,181,1.0,1.0
412,697,1.0,1.0
281,803,1.0,1.0
259,477,1.0,1.0
121,153,1.0,1.0
481,662,1.0,1.0
528,421,1.0,1.0
578,327,1.0,1.0
507,67,1.0,1.0
189,87,1.0,1.0
42,80,1.0,1.0
34,154,1.0,1.0
59,122,1.0,1.0
28,67,1.0,1.0
196,388,1.0,1.0
144,290,1.0,1.0
803,140,1.0,1.0
831,794,1.0,1.0
507,298,1.0,1.0
34,24,1.0,1.0
166,339,1.0,1.0
102,215,1.0,1.0
151,317,1.0,1.0
221,421,1.0,1.0
239,443,0.0,1.0
588,272,1.0,1.0
571,889,1.0,1.0
720,186,1.0,1.0
122,123,1.0,1.0
956,205,1.0,1.0
232,436,1.0,1.0
112,236,1.0,1.0
359,367,1.0,1.0
79,166,1.0,1.0
418,158,1.0,1.0
636,186,1.0,1.0
310,456,1.0,1.0
415,52,1.0,1.0
330,912,1.0,1.0
704,702,1.0,1.0
342,337,1.0,1.0
323,114,1.0,1.0
998,197,1.0,1.0
91,92,1.0,1.0
939,52,1.0,1.0
8,34,1.0,1.0
262,223,1.0,1.0
878,558,1.0,1.0
575,897,1.0,1.0
117,471,1.0,1.0
183,98,1.0,1.0
238,259,1.0,1.0
226,427,0.0,1.0
157,58,1.0,1.0
551,862,1.0,1.0
625,951,1.0,1.0
427,86,1.0,1.0
278,131,1.0,1.0
622,632,1.0,1.0
825,517,1.0,1.0
220,419,1.0,1.0
331,78,1.0,1.0
450,243,1.0,1.0
597,931,1.0,1.0
409,693,1.0,1.0
127,34,1.0,1.0
825,857,1.0,1.0
649,970,1.0,1.0
135,280,1.0,1.0
1016,680,1.0,1.0
116,245,1.0,1.0
198,388,1.0,1.0
380,571,1.0,1.0
107,54,1.0,1.0
555,869,1.0,1.0
114,733,1.0,1.0
81,347,1.0,1.0
316,564,1.0,1.0
427,226,0.0,1.0
991,195,1.0,1.0
248,467,1.0,1.0
85,352,1.0,1.0
146,534,1.0,1.0
243,450,1.0,1.0
562,563,1.0,1.0
206,401,1.0,1.0
694,85,1.0,1.0
474,251,1.0,1.0
358,367,1.0,1.0
73,119,1.0,1.0
721,722,1.0,1.0
609,366,1.0,1.0
123,122,1.0,1.0
307,544,1.0,1.0
298,532,1.0,1.0
77,162,1.0,1.0
636,243,1.0,1.0
596,341,1.0,1.0
296,473,1.0,1.0
544,853,1.0,1.0
293,143,1.0,1.0
175,357,1.0,1.0
253,127,1.0,1.0
989,929,1.0,1.0
491,789,1.0,1.0
141,286,1.0,1.0
256,121,1.0,1.0
872,906,1.0,1.0
422,243,1.0,1.0
34,119,1.0,1.0
52,80,1.0,1.0
83,107,0.0,1.0
539,852,0.0,1.0
272,495,1.0,1.0
198,391,1.0,1.0
243,857,1.0,1.0
1012,394,1.0,1.0
228,428,1.0,1.0
742,473,1.0,1.0
143,290,1.0,1.0
596,169,1.0,1.0
622,366,1.0,1.0
459,151,1.0,1.0
583,905,1.0,1.0
718,603,1.0,1.0
534,151,1.0,1.0
218,695,1.0,1.0
99,203,1.0,1.0
812,816,1.0,1.0
72,151,1.0,1.0
970,325,1.0,1.0
52,887,1.0,1.0
837,152,1.0,1.0
298,581,0.0,1.0
338,79,1.0,1.0
465,464,1.0,1.0
186,371,1.0,1.0
814,825,1.0,1.0
288,509,1.0,1.0
236,114,1.0,1.0
34,245,1.0,1.0
118,60,1.0,1.0
400,567,1.0,1.0
583,913,1.0,1.0
80,111,1.0,1.0
47,89,1.0,1.0
530,145,1.0,1.0
365,624,1.0,1.0
413,229,1.0,1.0
469,767,1.0,1.0
573,562,1.0,1.0
4,134,1.0,1.0
227,427,1.0,1.0
244,766,1.0,1.0
118,62,1.0,1.0
540,847,0.0,1.0
290,512,1.0,1.0
883,152,1.0,1.0
971,152,1.0,1.0
52,699,1.0,1.0
85,98,1.0,1.0
562,881,1.0,1.0
146,304,1.0,1.0
253,24,1.0,1.0
44,85,1.0,1.0
669,993,1.0,1.0
119,34,1.0,1.0
575,896,1.0,1.0
485,476,1.0,1.0
52,427,1.0,1.0
347,610,1.0,1.0
722,721,1.0,1.0
591,922,1.0,1.0
333,915,1.0,1.0
659,198,0.0,1.0
568,885,1.0,1.0
573,893,1.0,1.0
907,298,0.0,1.0
237,259,1.0,1.0
637,638,1.0,1.0
356,355,1.0,1.0
99,204,1.0,1.0
422,151,1.0,1.0
602,213,1.0,1.0
239,442,1.0,1.0
581,298,0.0,1.0
262,479,1.0,1.0
154,34,1.0,1.0
342,79,1.0,1.0
118,119,1.0,1.0
204,202,1.0,1.0
413,53,1.0,1.0
482,781,1.0,1.0
370,417,1.0,1.0
894,841,1.0,1.0
275,274,1.0,1.0
312,558,1.0,1.0
425,427,1.0,1.0
724,230,1.0,1.0
432,690,1.0,1.0
454,452,1.0,1.0
267,488,1.0,1.0
37,9,1.0,1.0
908,298,1.0,1.0
52,206,1.0,1.0
149,310,1.0,1.0
340,167,1.0,1.0
117,466,1.0,1.0
52,382,0.0,1.0
145,996,0.0,1.0
145,532,1.0,1.0
326,74,1.0,1.0
660,302,1.0,1.0
317,380,1.0,1.0
660,670,1.0,1.0
119,255,1.0,1.0
486,485,1.0,1.0
282,67,1.0,1.0
173,52,1.0,1.0
537,835,1.0,1.0
73,153,1.0,1.0
24,58,1.0,1.0
256,238,1.0,1.0
228,429,1.0,1.0
727,52,1.0,1.0
762,430,1.0,1.0
602,101,1.0,1.0
755,756,1.0,1.0
198,665,1.0,1.0
438,233,1.0,1.0
83,174,1.0,1.0
55,52,1.0,1.0
754,777,1.0,1.0
679,1016,1.0,1.0
122,121,1.0,1.0
762,272,1.0,1.0
186,80,1.0,1.0
751,243,1.0,1.0
723,101,1.0,1.0
52,624,1.0,1.0
350,81,1.0,1.0
468,333,1.0,1.0
562,598,1.0,1.0
72,152,1.0,1.0
10,37,1.0,1.0
723,52,1.0,1.0
62,118,1.0,1.0
562,790,1.0,1.0
832,833,1.0,1.0
255,254,1.0,1.0
91,88,1.0,1.0
820,290,1.0,1.0
162,326,1.0,1.0
761,469,1.0,1.0
439,729,0.0,1.0
693,406,1.0,1.0
764,983,1.0,1.0
369,53,1.0,1.0
956,369,1.0,1.0
471,117,1.0,1.0
143,293,1.0,1.0
243,457,1.0,1.0
278,65,1.0,1.0
361,620,1.0,1.0
388,664,1.0,1.0
168,343,1.0,1.0
52,97,1.0,1.0
806,805,1.0,1.0
111,232,1.0,1.0
298,530,1.0,1.0
542,851,1.0,1.0
17,21,1.0,1.0
995,660,1.0,1.0
669,881,1.0,1.0
85,182,1.0,1.0
24,127,1.0,1.0
401,100,1.0,1.0
870,562,1.0,1.0
509,806,1.0,1.0
198,270,1.0,1.0
906,333,1.0,1.0
896,737,1.0,1.0
332,587,1.0,1.0
671,389,1.0,1.0
647,378,1.0,1.0
242,454,1.0,1.0
22,17,1.0,1.0
930,927,1.0,1.0
40,52,1.0,1.0
571,888,1.0,1.0
339,167,1.0,1.0
625,345,1.0,1.0
503,137,1.0,1.0
331,334,1.0,1.0
78,331,1.0,1.0
167,340,1.0,1.0
665,662,1.0,1.0
54,51,1.0,1.0
369,81,1.0,1.0
366,626,1.0,1.0
646,965,1.0,1.0
286,503,1.0,1.0
53,369,1.0,1.0
150,33,1.0,1.0
562,62,1.0,1.0
312,559,1.0,1.0
301,537,1.0,1.0
367,358,1.0,1.0
56,112,1.0,1.0
377,383,1.0,1.0
788,983,1.0,1.0
323,443,1.0,1.0
523,805,0.0,1.0
586,164,1.0,1.0
149,311,1.0,1.0
67,284,1.0,1.0
488,785,1.0,1.0
360,620,1.0,1.0
566,245,1.0,1.0
616,425,1.0,1.0
721,243,1.0,1.0
180,367,1.0,1.0
995,145,1.0,1.0
572,65,1.0,1.0
343,608,1.0,1.0
61,25,1.0,1.0
166,341,1.0,1.0
519,817,1.0,1.0
122,259,1.0,1.0
886,111,1.0,1.0
505,804,1.0,1.0
151,314,1.0,1.0
956,52,1.0,1.0
376,375,1.0,1.0
190,18,1.0,1.0
635,370,1.0,1.0
455,244,1.0,1.0
190,188,1.0,1.0
432,212,1.0,1.0
291,516,1.0,1.0
119,256,1.0,1.0
783,264,1.0,1.0
443,738,1.0,1.0
263,126,1.0,1.0
123,260,1.0,1.0
18,190,1.0,1.0
217,52,1.0,1.0
286,281,1.0,1.0
65,134,1.0,1.0
9,37,1.0,1.0
355,368,1.0,1.0
345,353,1.0,1.0
825,1009,1.0,1.0
525,526,1.0,1.0
235,112,1.0,1.0
47,91,1.0,1.0
766,754,1.0,1.0
906,720,1.0,1.0
441,114,1.0,1.0
495,422,1.0,1.0
272,762,1.0,1.0
671,999,1.0,1.0
886,885,1.0,1.0
652,971,1.0,1.0
83,176,1.0,1.0
282,281,1.0,1.0
931,79,1.0,1.0
156,326,1.0,1.0
446,741,1.0,1.0
234,438,1.0,1.0
756,769,1.0,1.0
249,246,1.0,1.0
179,364,1.0,1.0
310,867,1.0,1.0
400,399,1.0,1.0
514,715,1.0,1.0
121,237,1.0,1.0
45,86,1.0,1.0
70,146,1.0,1.0
320,146,1.0,1.0
52,615,1.0,1.0
69,145,1.0,1.0
594,927,1.0,1.0
91,47,1.0,1.0
111,42,1.0,1.0
83,175,1.0,1.0
445,329,1.0,1.0
52,717,1.0,1.0
290,514,1.0,1.0
193,968,1.0,1.0
713,20,1.0,1.0
321,575,1.0,1.0
79,167,1.0,1.0
127,126,1.0,1.0
766,745,1.0,1.0
466,117,1.0,1.0
