edge_index0,edge_index1,pred,gr
345,998,1.0,1.0
1332,472,1.0,1.0
744,743,1.0,1.0
567,721,1.0,1.0
864,863,1.0,1.0
267,266,1.0,1.0
1014,138,1.0,1.0
485,596,1.0,1.0
658,1013,1.0,1.0
776,1219,1.0,1.0
77,11,1.0,1.0
663,1096,1.0,1.0
325,1012,1.0,1.0
925,1368,1.0,1.0
756,1198,1.0,1.0
92,93,1.0,1.0
1045,1272,1.0,1.0
361,38,1.0,1.0
342,1098,1.0,1.0
1348,904,1.0,1.0
1318,246,1.0,1.0
839,1287,1.0,1.0
1300,218,1.0,1.0
69,158,1.0,1.0
1253,434,1.0,1.0
511,906,0.0,1.0
300,589,1.0,1.0
1300,1201,1.0,1.0
726,1162,1.0,1.0
889,867,1.0,1.0
318,673,1.0,1.0
786,1217,0.0,1.0
596,859,0.0,1.0
285,566,1.0,1.0
1138,1395,1.0,1.0
818,96,1.0,1.0
936,556,1.0,1.0
185,84,1.0,1.0
690,717,1.0,1.0
440,588,1.0,1.0
845,1296,1.0,1.0
124,296,1.0,1.0
1288,465,1.0,1.0
27,66,1.0,1.0
527,520,1.0,1.0
1407,573,1.0,1.0
387,725,1.0,1.0
62,1285,1.0,1.0
1256,468,0.0,1.0
439,1168,1.0,1.0
88,203,1.0,1.0
527,106,1.0,1.0
451,699,1.0,1.0
523,912,0.0,1.0
35,32,1.0,1.0
796,1114,1.0,1.0
1289,1288,1.0,1.0
1375,192,1.0,1.0
316,1002,1.0,1.0
796,683,1.0,1.0
64,322,1.0,1.0
504,892,0.0,1.0
1152,412,1.0,1.0
1102,668,1.0,1.0
655,1084,0.0,1.0
1083,968,1.0,1.0
44,230,1.0,1.0
440,259,1.0,1.0
1238,26,1.0,1.0
102,231,1.0,1.0
1367,1365,1.0,1.0
743,1179,1.0,1.0
316,621,1.0,1.0
1160,1015,1.0,1.0
324,633,1.0,1.0
391,732,1.0,1.0
1280,1279,1.0,1.0
632,819,1.0,1.0
1174,403,1.0,1.0
1243,1121,1.0,1.0
57,102,1.0,1.0
719,725,1.0,1.0
44,98,1.0,1.0
1051,1053,1.0,1.0
92,218,1.0,1.0
1339,707,1.0,1.0
1001,312,1.0,1.0
1072,1069,1.0,1.0
492,873,1.0,1.0
77,175,1.0,1.0
769,767,1.0,1.0
1211,796,1.0,1.0
1158,188,1.0,1.0
964,1407,1.0,1.0
43,94,1.0,1.0
102,1215,1.0,1.0
149,667,1.0,1.0
426,1217,1.0,1.0
331,330,1.0,1.0
865,464,1.0,1.0
384,717,1.0,1.0
285,568,1.0,1.0
1151,779,0.0,1.0
960,1402,1.0,1.0
1247,426,1.0,1.0
1338,1321,1.0,1.0
33,34,1.0,1.0
1094,1093,1.0,1.0
316,1001,1.0,1.0
803,1050,1.0,1.0
326,639,1.0,1.0
809,811,1.0,1.0
948,945,1.0,1.0
212,91,1.0,1.0
555,324,1.0,1.0
689,687,1.0,1.0
399,177,1.0,1.0
1241,360,1.0,1.0
692,1130,1.0,1.0
964,965,1.0,1.0
1146,576,1.0,1.0
684,1113,1.0,1.0
1322,234,1.0,1.0
383,250,1.0,1.0
492,956,0.0,1.0
1404,567,1.0,1.0
482,865,1.0,1.0
330,322,1.0,1.0
118,273,1.0,1.0
163,26,1.0,1.0
488,102,1.0,1.0
890,307,1.0,1.0
73,1137,1.0,1.0
988,299,1.0,1.0
1177,77,1.0,1.0
1323,596,1.0,1.0
656,655,1.0,1.0
761,1202,1.0,1.0
470,847,1.0,1.0
707,286,1.0,1.0
656,726,1.0,1.0
