edge_index0,edge_index1,pred,gr
937,934,1.0,1.0
400,697,1.0,1.0
771,859,1.0,1.0
411,713,1.0,1.0
457,775,1.0,1.0
65,506,0.0,1.0
813,489,1.0,1.0
210,214,1.0,1.0
239,849,1.0,1.0
175,351,1.0,1.0
73,156,1.0,1.0
79,1014,1.0,1.0
276,4,1.0,1.0
626,994,1.0,1.0
677,888,0.0,1.0
637,178,1.0,1.0
122,250,1.0,1.0
109,42,1.0,1.0
895,553,1.0,1.0
661,1029,1.0,1.0
387,672,1.0,1.0
667,270,1.0,1.0
581,937,1.0,1.0
314,566,1.0,1.0
174,352,1.0,1.0
242,113,1.0,1.0
517,515,1.0,1.0
155,281,1.0,1.0
262,476,1.0,1.0
74,75,1.0,1.0
62,34,1.0,1.0
300,146,1.0,1.0
349,627,1.0,1.0
612,977,1.0,1.0
227,112,1.0,1.0
439,237,1.0,1.0
671,148,1.0,1.0
85,187,1.0,1.0
267,675,1.0,1.0
346,625,1.0,1.0
738,389,1.0,1.0
516,518,1.0,1.0
673,508,1.0,1.0
621,619,1.0,1.0
313,609,0.0,1.0
17,45,1.0,1.0
95,194,1.0,1.0
104,212,1.0,1.0
311,339,1.0,1.0
649,86,1.0,1.0
148,815,1.0,1.0
508,408,1.0,1.0
568,312,1.0,1.0
629,501,1.0,1.0
527,866,1.0,1.0
308,554,1.0,1.0
352,349,1.0,1.0
74,158,1.0,1.0
1019,482,0.0,1.0
470,888,1.0,1.0
667,1039,1.0,1.0
894,893,1.0,1.0
811,588,1.0,1.0
135,284,1.0,1.0
762,397,1.0,1.0
329,812,1.0,1.0
373,170,1.0,1.0
289,522,1.0,1.0
249,462,1.0,1.0
117,248,1.0,1.0
490,667,1.0,1.0
797,882,0.0,1.0
603,330,1.0,1.0
523,67,1.0,1.0
191,88,1.0,1.0
42,81,1.0,1.0
785,76,1.0,1.0
803,448,1.0,1.0
34,272,1.0,1.0
109,220,1.0,1.0
57,118,1.0,1.0
28,67,1.0,1.0
198,387,1.0,1.0
147,296,1.0,1.0
486,818,1.0,1.0
522,143,1.0,1.0
896,556,1.0,1.0
947,266,0.0,1.0
523,865,0.0,1.0
676,1053,1.0,1.0
34,24,1.0,1.0
175,349,1.0,1.0
177,353,1.0,1.0
329,266,1.0,1.0
606,283,1.0,1.0
712,185,1.0,1.0
118,119,0.0,1.0
405,689,1.0,1.0
222,418,1.0,1.0
928,554,1.0,1.0
468,792,1.0,1.0
362,643,1.0,1.0
80,175,1.0,1.0
396,690,0.0,1.0
647,185,1.0,1.0
316,435,1.0,1.0
761,976,1.0,1.0
352,348,1.0,1.0
264,59,1.0,1.0
615,199,0.0,1.0
92,93,1.0,1.0
8,34,0.0,1.0
270,203,1.0,1.0
665,1034,1.0,1.0
589,946,0.0,1.0
115,241,1.0,1.0
184,216,1.0,1.0
927,554,1.0,1.0
250,249,1.0,1.0
207,212,1.0,1.0
73,58,1.0,1.0
384,662,0.0,1.0
622,989,1.0,1.0
212,87,1.0,1.0
796,1068,1.0,1.0
