edge_index0,edge_index1,pred,gr
770,700,1.0,1.0
1209,1065,0.0,1.0
1578,868,1.0,1.0
395,385,1.0,1.0
1394,1424,1.0,1.0
501,500,1.0,1.0
575,64,1.0,1.0
666,211,1.0,1.0
1252,200,1.0,1.0
1073,569,1.0,1.0
659,694,1.0,1.0
137,468,1.0,1.0
905,352,1.0,1.0
1591,1854,1.0,1.0
64,200,1.0,1.0
964,833,1.0,1.0
87,11,0.0,1.0
1477,1933,1.0,1.0
397,712,1.0,1.0
1803,1552,1.0,1.0
1445,1969,1.0,1.0
118,115,1.0,1.0
1411,1401,1.0,1.0
361,38,1.0,1.0
757,1376,1.0,1.0
1811,1776,1.0,1.0
370,943,1.0,1.0
1501,2013,1.0,1.0
168,459,1.0,1.0
1641,1179,1.0,1.0
1441,410,1.0,1.0
80,293,1.0,1.0
67,722,0.0,1.0
2031,1295,1.0,1.0
1974,1975,1.0,1.0
1459,1739,1.0,1.0
1904,927,1.0,1.0
1091,1779,1.0,1.0
537,1196,0.0,1.0
1441,1502,1.0,1.0
2023,1854,1.0,1.0
1130,1010,1.0,1.0
1304,1892,1.0,1.0
595,599,0.0,1.0
657,768,1.0,1.0
898,1391,1.0,1.0
569,543,1.0,1.0
1870,578,0.0,1.0
2231,2261,1.0,1.0
399,1009,1.0,1.0
1060,1750,1.0,1.0
1826,2093,0.0,1.0
1375,1932,1.0,1.0
400,401,1.0,1.0
1039,1043,1.0,1.0
193,126,0.0,1.0
1807,1155,1.0,1.0
2302,67,1.0,1.0
1528,725,1.0,1.0
346,94,1.0,1.0
1513,865,1.0,1.0
491,176,1.0,1.0
1704,2037,0.0,1.0
2219,1912,1.0,1.0
1665,2288,1.0,1.0
156,526,1.0,1.0
2023,1529,1.0,1.0
1642,967,1.0,1.0
27,76,1.0,1.0
1905,583,1.0,1.0
2156,1104,0.0,1.0
1094,1092,1.0,1.0
2257,1717,1.0,1.0
1523,2023,1.0,1.0
492,46,1.0,1.0
1734,1035,1.0,1.0
851,1255,1.0,1.0
741,739,1.0,1.0
1891,689,1.0,1.0
65,1311,1.0,1.0
2058,968,1.0,1.0
682,1349,1.0,1.0
1121,608,1.0,1.0
101,367,1.0,1.0
1094,137,1.0,1.0
239,706,1.0,1.0
1634,1179,1.0,1.0
97,362,1.0,1.0
617,1292,0.0,1.0
35,32,1.0,1.0
820,828,0.0,1.0
493,1108,1.0,1.0
1643,1642,1.0,1.0
1711,353,1.0,1.0
1030,783,1.0,1.0
215,655,1.0,1.0
820,576,1.0,1.0
396,842,1.0,1.0
649,1331,0.0,1.0
1661,1656,1.0,1.0
67,715,1.0,1.0
1267,1268,1.0,1.0
983,1268,1.0,1.0
2073,2075,1.0,1.0
1325,690,1.0,1.0
1755,1758,1.0,1.0
1275,486,1.0,1.0
1319,885,0.0,1.0
1604,1397,0.0,1.0
1648,1473,0.0,1.0
