edge_index0,edge_index1,pred,gr
1165,1558,1.0,1.0
169,441,1.0,1.0
755,559,1.0,1.0
750,1301,0.0,1.0
1439,1467,1.0,1.0
656,1225,1.0,1.0
885,1430,1.0,1.0
1868,1473,1.0,1.0
2004,1173,1.0,1.0
840,370,1.0,1.0
307,722,1.0,1.0
71,984,1.0,1.0
1656,1690,1.0,1.0
1818,869,1.0,1.0
1986,1985,1.0,1.0
1225,1035,1.0,1.0
470,957,1.0,1.0
374,395,1.0,1.0
84,208,0.0,1.0
267,664,1.0,1.0
81,240,1.0,1.0
52,770,1.0,1.0
1015,1559,1.0,1.0
229,580,1.0,1.0
307,728,1.0,1.0
493,4,1.0,1.0
280,682,1.0,1.0
1726,689,1.0,1.0
1294,869,0.0,1.0
1537,1568,1.0,1.0
636,282,1.0,1.0
174,256,1.0,1.0
154,42,1.0,1.0
1572,586,1.0,1.0
1237,1738,1.0,1.0
1277,1757,1.0,1.0
1327,1835,0.0,1.0
1140,503,1.0,1.0
737,564,1.0,1.0
1927,1076,1.0,1.0
229,573,1.0,1.0
1290,476,1.0,1.0
1164,1165,1.0,1.0
590,1022,1.0,1.0
273,637,1.0,1.0
52,861,1.0,1.0
451,926,1.0,1.0
1404,1070,1.0,1.0
414,155,1.0,1.0
599,1156,1.0,1.0
518,516,1.0,1.0
235,499,1.0,1.0
1523,462,1.0,1.0
466,952,1.0,1.0
1701,869,1.0,1.0
1739,1860,1.0,1.0
1841,845,1.0,1.0
52,838,1.0,1.0
79,83,1.0,1.0
154,404,1.0,1.0
679,1249,1.0,1.0
69,34,1.0,1.0
471,960,1.0,1.0
1707,973,1.0,1.0
541,226,1.0,1.0
1943,1070,1.0,1.0
926,1370,1.0,1.0
1972,755,1.0,1.0
663,332,1.0,1.0
52,115,0.0,1.0
284,1296,0.0,1.0
1202,1721,1.0,1.0
1567,633,1.0,1.0
448,172,1.0,1.0
849,870,1.0,1.0
1016,1017,1.0,1.0
1258,2068,1.0,1.0
1550,1931,1.0,1.0
520,903,1.0,1.0
1435,1433,1.0,1.0
644,266,1.0,1.0
1293,228,1.0,1.0
756,311,1.0,1.0
98,298,0.0,1.0
249,627,1.0,1.0
683,1256,1.0,1.0
930,739,1.0,1.0
517,519,1.0,1.0
436,872,1.0,1.0
589,993,1.0,1.0
17,45,1.0,1.0
1782,1617,1.0,1.0
1834,848,1.0,1.0
266,639,1.0,1.0
1227,514,1.0,1.0
827,1367,1.0,1.0
106,305,1.0,1.0
514,1027,1.0,1.0
149,341,1.0,1.0
1111,1353,1.0,1.0
587,633,1.0,1.0
134,362,1.0,1.0
69,196,1.0,1.0
667,99,1.0,1.0
228,1091,1.0,1.0
1238,52,1.0,1.0
872,434,1.0,1.0
1122,1553,1.0,1.0
178,463,1.0,1.0
871,588,0.0,1.0
965,1533,1.0,1.0
1088,869,1.0,1.0
1024,266,1.0,1.0
2051,1298,1.0,1.0
759,228,1.0,1.0
265,477,1.0,1.0
529,1055,1.0,1.0
574,508,1.0,1.0
1263,52,1.0,1.0
637,663,1.0,1.0
1992,1152,1.0,1.0
1763,1000,0.0,1.0
1384,1383,1.0,1.0
1296,1794,1.0,1.0
79,236,1.0,1.0
931,1477,1.0,1.0
1608,1956,1.0,1.0
1373,1278,1.0,1.0
240,1914,0.0,1.0
828,794,1.0,1.0
946,869,1.0,1.0
1290,1781,1.0,1.0
1871,1097,1.0,1.0
2028,1277,1.0,1.0
1530,1923,1.0,1.0
1596,1599,1.0,1.0
651,1222,1.0,1.0
1228,514,1.0,1.0
468,248,1.0,1.0
210,212,1.0,1.0
1439,1884,1.0,1.0
1216,796,1.0,1.0
185,469,1.0,1.0
342,296,1.0,1.0
847,1383,1.0,1.0
221,532,1.0,1.0
1296,1100,1.0,1.0
247,254,1.0,1.0
87,238,1.0,1.0
967,1290,1.0,1.0
1507,749,0.0,1.0
1074,139,1.0,1.0
942,242,1.0,1.0
1404,1874,0.0,1.0
527,73,1.0,1.0
302,101,1.0,1.0
1848,827,1.0,1.0
42,94,1.0,1.0
2006,1484,1.0,1.0
164,82,0.0,1.0
1516,882,1.0,1.0
34,239,0.0,1.0
154,399,1.0,1.0
58,159,1.0,1.0
526,73,1.0,1.0
28,73,0.0,1.0
309,737,1.0,1.0
52,1953,1.0,1.0
692,1258,1.0,1.0
227,347,1.0,1.0
1000,1763,0.0,1.0
625,385,1.0,1.0
532,222,1.0,1.0
1708,1434,1.0,1.0
1009,1001,1.0,1.0
1744,679,1.0,1.0
1346,329,1.0,1.0
527,561,1.0,1.0
1111,1630,1.0,1.0
34,24,1.0,1.0
267,663,1.0,1.0
356,839,1.0,1.0
234,506,1.0,1.0
279,139,1.0,1.0
185,329,1.0,1.0
1188,514,1.0,1.0
502,991,1.0,1.0
2037,1287,1.0,1.0
1039,272,1.0,1.0
1696,599,1.0,1.0
934,1482,1.0,1.0
159,160,0.0,1.0
711,134,1.0,1.0
1111,670,1.0,1.0
400,815,1.0,1.0
514,1025,1.0,1.0
1960,869,1.0,1.0
1699,508,1.0,1.0
173,460,1.0,1.0
520,1575,0.0,1.0
696,335,1.0,1.0
93,267,1.0,1.0
358,257,0.0,1.0
931,1479,1.0,1.0
806,127,1.0,1.0
1222,272,1.0,1.0
917,1417,0.0,1.0
591,881,1.0,1.0
823,52,1.0,1.0
1831,1672,1.0,1.0
870,349,1.0,1.0
1315,1566,1.0,1.0
1740,1446,1.0,1.0
629,1182,1.0,1.0
364,135,1.0,1.0
1308,1821,1.0,1.0
773,772,1.0,1.0
637,275,1.0,1.0
514,1038,1.0,1.0
442,66,1.0,1.0
706,1271,1.0,1.0
467,67,1.0,1.0
1174,1707,0.0,1.0
615,1914,0.0,1.0
1530,1926,1.0,1.0
511,310,1.0,1.0
105,107,1.0,1.0
681,52,1.0,1.0
8,34,1.0,1.0
1959,957,1.0,1.0
476,388,1.0,1.0
1126,574,1.0,1.0
1289,1449,1.0,1.0
594,1773,1.0,1.0
1170,783,1.0,1.0
157,415,1.0,1.0
977,1538,1.0,1.0
1812,1809,1.0,1.0
678,661,1.0,1.0
292,113,1.0,1.0
1698,508,1.0,1.0
256,247,1.0,1.0
1926,1121,1.0,1.0
390,341,0.0,1.0
81,66,1.0,1.0
337,806,1.0,1.0
1515,1708,1.0,1.0
2061,1308,1.0,1.0
719,1279,1.0,1.0
1728,2017,1.0,1.0
777,1204,1.0,1.0
341,100,1.0,1.0
503,1000,1.0,1.0
555,1099,1.0,1.0
1596,944,1.0,1.0
494,203,1.0,1.0
1174,212,1.0,1.0
709,708,1.0,1.0
2059,1308,1.0,1.0
595,619,1.0,1.0
1017,1160,1.0,1.0
594,1147,1.0,1.0
869,1063,1.0,1.0
369,860,1.0,1.0
948,1512,1.0,1.0
630,92,0.0,1.0
1851,2009,1.0,1.0
1296,284,0.0,1.0
1076,1064,0.0,1.0
52,396,1.0,1.0
761,266,1.0,1.0
269,123,1.0,1.0
134,360,1.0,1.0
1378,1834,1.0,1.0
165,34,1.0,1.0
785,1479,0.0,1.0
670,266,1.0,1.0
1058,529,1.0,1.0
1722,2012,1.0,1.0
511,510,1.0,1.0
869,1162,1.0,1.0
470,958,1.0,1.0
1787,1672,1.0,1.0
215,522,1.0,1.0
1090,1467,1.0,1.0
266,1199,1.0,1.0
1450,1046,1.0,1.0
1822,1308,1.0,1.0
869,1395,1.0,1.0
832,491,1.0,1.0
1100,1321,1.0,1.0
1814,1781,1.0,1.0
116,321,1.0,1.0
482,483,1.0,1.0
156,84,1.0,1.0
311,737,1.0,1.0
1,661,0.0,1.0
1796,1111,1.0,1.0
207,502,1.0,1.0
1913,942,1.0,1.0
146,55,1.0,1.0
1142,912,1.0,1.0
67,184,1.0,1.0
95,280,1.0,1.0
581,1130,1.0,1.0
1037,1438,1.0,1.0
1349,311,1.0,1.0
341,390,0.0,1.0
1786,308,1.0,1.0
1800,2049,1.0,1.0
416,892,1.0,1.0
99,298,1.0,1.0
229,468,1.0,1.0
602,200,1.0,1.0
266,761,1.0,1.0
962,1530,1.0,1.0
1204,1726,1.0,1.0
167,435,1.0,1.0
767,1324,1.0,1.0
435,1680,1.0,1.0
1486,1490,1.0,1.0
1694,1993,0.0,1.0
1856,99,1.0,1.0
423,163,1.0,1.0
695,335,1.0,1.0
1452,1047,1.0,1.0
80,162,1.0,1.0
1199,266,1.0,1.0
59,82,1.0,1.0
1225,653,1.0,1.0
645,1211,1.0,1.0
683,320,1.0,1.0
691,363,1.0,1.0
160,159,0.0,1.0
2013,1799,0.0,1.0
589,1135,0.0,1.0
561,566,1.0,1.0
1111,1794,1.0,1.0
91,260,1.0,1.0
1222,266,1.0,1.0
1772,1848,0.0,1.0
1797,1801,0.0,1.0
2015,1712,1.0,1.0
1308,2063,1.0,1.0
1760,1213,1.0,1.0
1132,1458,1.0,1.0
1234,274,1.0,1.0
1404,1591,0.0,1.0
563,894,1.0,1.0
266,1190,1.0,1.0
1135,1672,1.0,1.0
540,226,0.0,1.0
118,324,1.0,1.0
1907,942,1.0,1.0
869,1294,0.0,1.0
161,165,1.0,1.0
326,786,1.0,1.0
649,656,1.0,1.0
1498,1532,1.0,1.0
1287,1663,1.0,1.0
1024,668,1.0,1.0
1872,1299,1.0,1.0
916,1466,1.0,1.0
1629,1308,1.0,1.0
224,534,1.0,1.0
422,87,1.0,1.0
1894,1895,1.0,1.0
1979,733,1.0,1.0
923,925,1.0,1.0
1285,209,1.0,1.0
556,1103,1.0,1.0
1034,1026,1.0,1.0
915,914,1.0,1.0
1129,595,1.0,1.0
682,485,1.0,1.0
1812,2052,1.0,1.0
508,1003,1.0,1.0
1349,1306,1.0,1.0
796,266,1.0,1.0
752,975,0.0,1.0
34,162,1.0,1.0
918,167,1.0,1.0
652,644,1.0,1.0
52,94,1.0,1.0
97,146,1.0,1.0
553,1095,1.0,1.0
1150,1685,1.0,1.0
1111,1198,1.0,1.0
485,923,1.0,1.0
172,459,1.0,1.0
1684,1991,1.0,1.0
514,1032,1.0,1.0
270,381,1.0,1.0
1092,550,1.0,1.0
849,52,1.0,1.0
311,756,1.0,1.0
1016,1021,1.0,1.0
234,583,1.0,1.0
551,1082,1.0,1.0
266,1162,1.0,1.0
1236,1449,1.0,1.0
1815,751,1.0,1.0
395,874,1.0,1.0
1409,635,1.0,1.0
944,894,1.0,1.0
226,347,1.0,1.0
1447,1236,1.0,1.0
1234,273,1.0,1.0
1816,1473,1.0,1.0
1487,1015,1.0,1.0
1298,1809,1.0,1.0
1751,1750,1.0,1.0
1573,1417,0.0,1.0
266,670,1.0,1.0
1177,1126,1.0,1.0
1664,914,0.0,1.0
709,320,1.0,1.0
90,234,1.0,1.0
1184,1171,1.0,1.0
1422,1239,1.0,1.0
468,234,1.0,1.0
843,1381,1.0,1.0
370,862,1.0,1.0
1584,1587,1.0,1.0
1481,1909,1.0,1.0
86,248,1.0,1.0
78,234,1.0,1.0
958,190,1.0,1.0
552,639,1.0,1.0
438,872,1.0,1.0
1356,869,1.0,1.0
446,923,1.0,1.0
52,136,1.0,1.0
1657,235,1.0,1.0
561,569,0.0,1.0
1966,1621,1.0,1.0
664,93,1.0,1.0
887,886,1.0,1.0
1270,145,0.0,1.0
927,1347,1.0,1.0
14,692,1.0,1.0
551,1089,0.0,1.0
272,676,1.0,1.0
703,335,1.0,1.0
1471,1393,1.0,1.0
1961,946,1.0,1.0
