edge_index0,edge_index1,pred,gr
1021,632,0.0,1.0
403,26,1.0,1.0
486,849,1.0,1.0
461,818,0.0,1.0
144,145,1.0,1.0
376,634,0.0,1.0
958,1092,0.0,1.0
474,107,1.0,1.0
685,1080,0.0,1.0
890,878,0.0,1.0
66,314,1.0,1.0
53,118,1.0,1.0
827,395,1.0,1.0
1223,1237,1.0,1.0
423,95,1.0,1.0
78,6,1.0,1.0
789,277,0.0,1.0
464,238,1.0,1.0
250,483,1.0,1.0
230,103,0.0,1.0
780,1163,1.0,1.0
460,816,1.0,1.0
66,303,1.0,1.0
425,754,1.0,1.0
324,604,1.0,1.0
343,781,1.0,1.0
578,140,1.0,1.0
229,231,0.0,1.0
6,78,1.0,1.0
329,359,0.0,1.0
194,90,1.0,1.0
43,209,1.0,1.0
692,1095,0.0,1.0
825,98,0.0,1.0
582,716,1.0,1.0
616,956,0.0,1.0
626,1009,0.0,1.0
47,104,0.0,1.0
506,872,0.0,1.0
88,200,1.0,1.0
361,411,1.0,1.0
352,1036,1.0,1.0
245,255,0.0,1.0
91,201,1.0,1.0
267,504,0.0,1.0
745,210,1.0,1.0
303,308,1.0,1.0
973,322,0.0,1.0
154,141,1.0,1.0
1064,984,0.0,1.0
787,226,0.0,1.0
370,673,0.0,1.0
232,103,0.0,1.0
1215,533,1.0,1.0
107,463,1.0,1.0
439,441,1.0,1.0
1265,1267,1.0,1.0
586,579,1.0,1.0
104,236,0.0,1.0
67,144,1.0,1.0
127,288,1.0,1.0
903,835,1.0,1.0
26,316,1.0,1.0
804,1187,1.0,1.0
411,1050,0.0,1.0
917,483,1.0,1.0
107,135,1.0,1.0
850,849,1.0,1.0
505,503,0.0,1.0
317,588,0.0,1.0
560,66,1.0,1.0
587,586,1.0,1.0
479,480,1.0,1.0
199,144,1.0,1.0
938,307,0.0,1.0
107,835,1.0,1.0
484,485,1.0,1.0
351,166,1.0,1.0
597,201,1.0,1.0
463,107,1.0,1.0
144,71,1.0,1.0
300,96,0.0,1.0
738,1134,0.0,1.0
26,147,1.0,1.0
1105,1055,0.0,1.0
175,311,1.0,1.0
89,88,1.0,1.0
1176,789,1.0,1.0
950,66,1.0,1.0
1096,383,1.0,1.0
689,1087,1.0,1.0
247,1241,1.0,1.0
808,398,0.0,1.0
479,845,1.0,1.0
1116,307,1.0,1.0
906,843,1.0,1.0
645,1040,0.0,1.0
552,308,1.0,1.0
912,107,1.0,1.0
593,1023,0.0,1.0
675,180,0.0,1.0
647,664,0.0,1.0
626,1011,0.0,1.0
310,577,0.0,1.0
169,71,1.0,1.0
1166,932,1.0,1.0
352,166,1.0,1.0
1123,728,1.0,1.0
12,10,1.0,1.0
370,615,0.0,1.0
515,789,0.0,1.0
932,1165,1.0,1.0
624,1003,0.0,1.0
49,108,1.0,1.0
1261,421,0.0,1.0
534,901,1.0,1.0
316,27,0.0,1.0
299,1027,0.0,1.0
