edge_index0,edge_index1,pred,gr
20,0,0.0,1.0
21,0,0.0,1.0
22,0,0.0,1.0
23,0,0.0,1.0
24,1,1.0,1.0
25,1,0.0,1.0
26,2,0.0,1.0
27,2,0.0,1.0
28,3,0.0,1.0
29,4,0.0,1.0
30,4,0.0,1.0
31,4,0.0,1.0
32,6,1.0,1.0
33,6,1.0,1.0
34,7,0.0,1.0
35,7,0.0,1.0
36,8,1.0,1.0
37,8,1.0,1.0
38,8,0.0,1.0
39,9,1.0,1.0
40,9,1.0,1.0
12,9,1.0,1.0
9,10,1.0,1.0
39,10,1.0,1.0
41,11,1.0,1.0
9,12,1.0,1.0
10,12,1.0,1.0
42,13,0.0,1.0
43,13,0.0,1.0
44,14,0.0,1.0
45,14,0.0,1.0
46,15,0.0,1.0
47,15,0.0,1.0
48,16,0.0,1.0
49,16,0.0,1.0
22,17,0.0,1.0
21,17,0.0,1.0
20,17,0.0,1.0
23,17,0.0,1.0
50,18,1.0,1.0
51,18,1.0,1.0
52,18,1.0,1.0
53,19,1.0,1.0
54,19,1.0,1.0
55,19,1.0,1.0
0,20,0.0,1.0
17,20,0.0,1.0
56,21,1.0,1.0
17,21,0.0,1.0
57,21,1.0,1.0
58,21,1.0,1.0
415,21,1.0,1.0
59,21,1.0,1.0
60,22,0.0,1.0
17,22,0.0,1.0
61,23,1.0,1.0
1,24,1.0,1.0
62,24,1.0,1.0
63,24,1.0,1.0
64,24,1.0,1.0
65,24,1.0,1.0
1,25,0.0,1.0
66,26,0.0,1.0
66,26,0.0,1.0
2,26,0.0,1.0
67,26,0.0,1.0
68,27,1.0,1.0
71,27,1.0,1.0
579,27,1.0,1.0
523,27,1.0,1.0
67,27,0.0,1.0
145,27,1.0,1.0
69,27,1.0,1.0
148,27,1.0,1.0
70,27,1.0,1.0
2,27,0.0,1.0
68,27,1.0,1.0
3,28,0.0,1.0
4,29,0.0,1.0
72,29,0.0,1.0
73,30,1.0,1.0
74,31,0.0,1.0
4,31,0.0,1.0
75,32,0.0,1.0
76,32,1.0,1.0
76,32,1.0,1.0
33,32,1.0,1.0
76,33,1.0,1.0
6,33,1.0,1.0
76,33,1.0,1.0
32,33,1.0,1.0
7,34,0.0,1.0
77,34,0.0,1.0
78,34,0.0,1.0
79,35,0.0,1.0
80,35,0.0,1.0
7,35,0.0,1.0
81,35,0.0,1.0
8,36,1.0,1.0
353,36,1.0,1.0
180,36,1.0,1.0
83,36,1.0,1.0
82,36,1.0,1.0
85,36,1.0,1.0
609,36,1.0,1.0
568,36,0.0,1.0
174,36,1.0,1.0
288,36,1.0,1.0
27,36,1.0,1.0
84,36,0.0,1.0
344,36,1.0,1.0
163,36,1.0,1.0
277,36,1.0,1.0
86,37,1.0,1.0
8,37,1.0,1.0
9,39,1.0,1.0
10,39,1.0,1.0
39,40,1.0,1.0
9,40,1.0,1.0
186,41,1.0,1.0
87,41,1.0,1.0
183,41,1.0,1.0
11,41,1.0,1.0
945,41,1.0,1.0
89,41,1.0,1.0
88,41,1.0,1.0
359,41,1.0,1.0
623,41,1.0,1.0
90,41,1.0,1.0
187,41,1.0,1.0
43,42,0.0,1.0
13,42,0.0,1.0
42,43,0.0,1.0
13,43,0.0,1.0
91,44,1.0,1.0
195,44,0.0,1.0
92,44,1.0,1.0
93,44,1.0,1.0
14,44,0.0,1.0
94,44,0.0,1.0
97,45,0.0,1.0
200,45,0.0,1.0
95,45,0.0,1.0
201,45,0.0,1.0
98,45,0.0,1.0
198,45,0.0,1.0
14,45,0.0,1.0
389,45,0.0,1.0
96,45,0.0,1.0
196,45,0.0,1.0
318,45,0.0,1.0
99,45,0.0,1.0
15,46,0.0,1.0
100,46,1.0,1.0
101,46,0.0,1.0
101,47,0.0,1.0
102,47,0.0,1.0
16,48,0.0,1.0
103,48,0.0,1.0
104,48,0.0,1.0
105,49,0.0,1.0
16,49,0.0,1.0
18,50,1.0,1.0
106,51,1.0,1.0
107,51,1.0,1.0
18,51,1.0,1.0
108,51,1.0,1.0
109,51,1.0,1.0
110,52,1.0,1.0
106,52,1.0,1.0
18,52,1.0,1.0
108,52,1.0,1.0
111,52,1.0,1.0
19,53,1.0,1.0
112,54,1.0,1.0
19,54,1.0,1.0
113,55,1.0,1.0
59,56,1.0,1.0
103,56,1.0,1.0
246,56,1.0,1.0
742,56,1.0,1.0
124,56,1.0,1.0
453,56,1.0,1.0
260,56,1.0,1.0
686,56,1.0,1.0
122,56,1.0,1.0
210,56,1.0,1.0
736,56,1.0,1.0
737,56,1.0,1.0
685,56,1.0,1.0
366,56,1.0,1.0
691,56,1.0,1.0
119,56,1.0,1.0
244,56,1.0,1.0
417,56,0.0,1.0
114,56,1.0,1.0
631,56,1.0,1.0
644,56,1.0,1.0
750,56,1.0,1.0
687,56,1.0,1.0
383,56,1.0,1.0
966,56,1.0,1.0
125,56,1.0,1.0
408,56,1.0,1.0
745,56,1.0,1.0
414,56,1.0,1.0
415,56,1.0,1.0
1029,56,1.0,1.0
60,56,0.0,1.0
214,56,1.0,1.0
678,56,1.0,1.0
47,56,0.0,1.0
441,56,1.0,1.0
117,56,1.0,1.0
446,56,1.0,1.0
449,56,1.0,1.0
765,56,1.0,1.0
223,56,1.0,1.0
1011,56,1.0,1.0
236,56,1.0,1.0
129,56,1.0,1.0
412,56,1.0,1.0
100,56,1.0,1.0
967,56,1.0,1.0
504,56,0.0,1.0
689,56,1.0,1.0
463,56,1.0,1.0
956,56,1.0,1.0
252,56,1.0,1.0
255,56,1.0,1.0
684,56,1.0,1.0
118,56,1.0,1.0
402,56,1.0,1.0
406,56,1.0,1.0
749,56,1.0,1.0
372,56,1.0,1.0
968,56,1.0,1.0
116,56,1.0,1.0
193,56,1.0,1.0
1035,56,0.0,1.0
126,56,1.0,1.0
645,56,1.0,1.0
115,56,0.0,1.0
337,56,1.0,1.0
368,56,1.0,1.0
261,56,1.0,1.0
235,56,1.0,1.0
679,56,1.0,1.0
462,56,1.0,1.0
21,56,1.0,1.0
254,56,1.0,1.0
447,56,1.0,1.0
121,57,1.0,1.0
119,57,1.0,1.0
58,57,1.0,1.0
122,57,1.0,1.0
120,57,1.0,1.0
259,57,0.0,1.0
256,57,1.0,1.0
123,58,1.0,1.0
57,58,1.0,1.0
21,58,1.0,1.0
124,59,1.0,1.0
56,59,1.0,1.0
21,59,1.0,1.0
456,59,1.0,1.0
125,59,1.0,1.0
126,59,1.0,1.0
127,59,1.0,1.0
56,60,0.0,1.0
22,60,0.0,1.0
128,60,0.0,1.0
129,61,1.0,1.0
130,61,0.0,1.0
23,61,1.0,1.0
131,62,1.0,1.0
24,62,1.0,1.0
739,63,1.0,1.0
482,63,1.0,1.0
1023,63,1.0,1.0
132,63,1.0,1.0
772,63,1.0,1.0
500,63,1.0,1.0
337,63,1.0,1.0
617,63,1.0,1.0
484,63,1.0,1.0
490,63,1.0,1.0
138,63,1.0,1.0
794,63,1.0,1.0
788,63,1.0,1.0
24,63,1.0,1.0
487,63,1.0,1.0
485,63,1.0,1.0
479,63,1.0,1.0
263,63,1.0,1.0
1022,63,1.0,1.0
483,63,1.0,1.0
503,63,1.0,1.0
683,63,1.0,1.0
773,63,1.0,1.0
758,63,1.0,1.0
445,63,1.0,1.0
484,63,1.0,1.0
133,63,1.0,1.0
134,63,1.0,1.0
305,63,1.0,1.0
494,63,1.0,1.0
771,63,1.0,1.0
143,63,1.0,1.0
135,63,1.0,1.0
828,63,1.0,1.0
535,63,1.0,1.0
491,63,1.0,1.0
140,64,1.0,1.0
1005,64,0.0,1.0
1059,64,1.0,1.0
959,64,0.0,1.0
732,64,1.0,1.0
553,64,1.0,1.0
137,64,0.0,1.0
24,64,1.0,1.0
745,64,1.0,1.0
513,64,0.0,1.0
642,64,0.0,1.0
930,64,0.0,1.0
139,64,0.0,1.0
583,64,1.0,1.0
1002,64,0.0,1.0
879,64,0.0,1.0
1054,64,0.0,1.0
929,64,0.0,1.0
136,64,0.0,1.0
138,64,1.0,1.0
869,64,1.0,1.0
878,64,0.0,1.0
387,64,1.0,1.0
24,65,1.0,1.0
24,65,1.0,1.0
26,66,0.0,1.0
26,66,0.0,1.0
71,67,0.0,1.0
26,67,0.0,1.0
27,67,0.0,1.0
66,67,0.0,1.0
27,68,1.0,1.0
163,68,1.0,1.0
27,68,1.0,1.0
579,68,1.0,1.0
83,68,1.0,1.0
141,68,1.0,1.0
71,68,1.0,1.0
36,68,1.0,1.0
142,68,1.0,1.0
143,69,0.0,1.0
144,70,1.0,1.0
27,70,1.0,1.0
148,71,1.0,1.0
286,71,1.0,1.0
83,71,1.0,1.0
146,71,1.0,1.0
27,71,1.0,1.0
145,71,1.0,1.0
994,71,1.0,1.0
277,71,1.0,1.0
67,71,0.0,1.0
147,71,1.0,1.0
353,71,1.0,1.0
73,72,1.0,1.0
29,72,0.0,1.0
149,72,0.0,1.0
74,72,1.0,1.0
150,72,1.0,1.0
30,73,1.0,1.0
72,73,1.0,1.0
663,74,1.0,1.0
29,74,0.0,1.0
151,74,1.0,1.0
31,74,0.0,1.0
533,74,0.0,1.0
303,74,0.0,1.0
305,74,1.0,1.0
152,74,0.0,1.0
979,74,1.0,1.0
154,74,1.0,1.0
153,74,0.0,1.0
292,74,0.0,1.0
155,74,1.0,1.0
156,75,0.0,1.0
157,75,0.0,1.0
32,75,0.0,1.0
158,76,1.0,1.0
32,76,1.0,1.0
159,76,1.0,1.0
32,76,1.0,1.0
33,76,1.0,1.0
159,76,1.0,1.0
160,76,1.0,1.0
34,77,0.0,1.0
161,77,1.0,1.0
162,77,1.0,1.0
163,77,1.0,1.0
164,77,0.0,1.0
165,78,1.0,1.0
166,78,0.0,1.0
35,79,0.0,1.0
79,80,0.0,1.0
79,80,0.0,1.0
35,80,0.0,1.0
167,80,0.0,1.0
168,81,0.0,1.0
170,81,0.0,1.0
169,81,0.0,1.0
35,81,0.0,1.0
171,81,0.0,1.0
172,81,0.0,1.0
173,82,1.0,1.0
174,82,1.0,1.0
174,83,1.0,1.0
346,83,1.0,1.0
348,83,0.0,1.0
36,83,1.0,1.0
68,83,1.0,1.0
148,83,1.0,1.0
175,83,1.0,1.0
173,83,1.0,1.0
176,84,0.0,1.0
151,84,0.0,1.0
36,84,0.0,1.0
177,84,0.0,1.0
36,85,1.0,1.0
178,85,1.0,1.0
179,85,1.0,1.0
180,85,1.0,1.0
181,86,1.0,1.0
182,86,1.0,1.0
41,87,1.0,1.0
183,87,1.0,1.0
183,87,1.0,1.0
184,87,1.0,1.0
185,88,1.0,1.0
186,88,1.0,1.0
41,89,1.0,1.0
187,89,1.0,1.0
184,89,1.0,1.0
185,89,1.0,1.0
183,90,1.0,1.0
41,90,1.0,1.0
93,91,1.0,1.0
188,91,1.0,1.0
189,91,0.0,1.0
190,91,1.0,1.0
44,91,1.0,1.0
191,92,1.0,1.0
192,92,1.0,1.0
193,92,1.0,1.0
194,92,0.0,1.0
91,93,1.0,1.0
44,93,1.0,1.0
44,94,0.0,1.0
195,94,0.0,1.0
196,95,0.0,1.0
45,95,0.0,1.0
197,96,0.0,1.0
45,96,0.0,1.0
198,96,0.0,1.0
199,96,0.0,1.0
45,97,0.0,1.0
200,97,0.0,1.0
201,97,0.0,1.0
202,97,0.0,1.0
203,98,1.0,1.0
45,98,0.0,1.0
159,99,0.0,1.0
394,99,0.0,1.0
206,99,0.0,1.0
205,99,0.0,1.0
204,99,0.0,1.0
720,99,0.0,1.0
1020,99,0.0,1.0
207,99,0.0,1.0
601,99,0.0,1.0
386,99,0.0,1.0
63,100,1.0,1.0
407,100,1.0,1.0
209,100,1.0,1.0
401,100,1.0,1.0
210,100,1.0,1.0
208,100,1.0,1.0
212,100,1.0,1.0
337,100,1.0,1.0
405,100,1.0,1.0
211,100,1.0,1.0
407,100,1.0,1.0
416,100,1.0,1.0
678,100,1.0,1.0
402,100,1.0,1.0
956,100,1.0,1.0
682,100,1.0,1.0
213,101,0.0,1.0
47,101,0.0,1.0
46,101,0.0,1.0
214,102,0.0,1.0
215,102,0.0,1.0
216,102,0.0,1.0
217,103,1.0,1.0
48,103,0.0,1.0
357,103,1.0,1.0
56,103,1.0,1.0
456,103,1.0,1.0
409,103,1.0,1.0
218,103,1.0,1.0
219,103,1.0,1.0
125,103,1.0,1.0
220,104,1.0,1.0
219,104,1.0,1.0
182,104,1.0,1.0
48,104,0.0,1.0
221,104,0.0,1.0
222,104,0.0,1.0
695,104,1.0,1.0
217,104,1.0,1.0
223,105,1.0,1.0
224,105,1.0,1.0
127,105,1.0,1.0
224,105,1.0,1.0
225,105,1.0,1.0
49,105,0.0,1.0
51,106,1.0,1.0
226,106,1.0,1.0
226,106,1.0,1.0
108,106,1.0,1.0
52,106,1.0,1.0
51,107,1.0,1.0
227,107,0.0,1.0
228,108,1.0,1.0
106,108,1.0,1.0
229,108,1.0,1.0
230,108,1.0,1.0
51,108,1.0,1.0
52,108,1.0,1.0
226,109,1.0,1.0
230,109,1.0,1.0
52,110,1.0,1.0
231,111,1.0,1.0
52,111,1.0,1.0
108,111,1.0,1.0
232,112,1.0,1.0
233,113,1.0,1.0
55,113,1.0,1.0
234,113,1.0,1.0
56,114,1.0,1.0
235,114,1.0,1.0
236,115,0.0,1.0
237,115,0.0,1.0
238,115,0.0,1.0
239,115,0.0,1.0
240,115,0.0,1.0
193,116,1.0,1.0
241,116,1.0,1.0
242,117,1.0,1.0
56,117,1.0,1.0
243,117,1.0,1.0
244,117,1.0,1.0
193,117,1.0,1.0
56,118,1.0,1.0
57,119,1.0,1.0
125,119,1.0,1.0
57,120,1.0,1.0
127,120,1.0,1.0
245,120,1.0,1.0
246,121,1.0,1.0
57,121,1.0,1.0
56,122,1.0,1.0
247,122,1.0,1.0
57,122,1.0,1.0
248,122,1.0,1.0
249,123,1.0,1.0
58,123,1.0,1.0
250,123,1.0,1.0
251,124,1.0,1.0
252,124,1.0,1.0
253,124,1.0,1.0
337,125,1.0,1.0
690,125,1.0,1.0
56,125,1.0,1.0
254,125,1.0,1.0
255,125,1.0,1.0
688,125,1.0,1.0
412,125,1.0,1.0
119,125,1.0,1.0
59,125,1.0,1.0
56,125,1.0,1.0
688,125,1.0,1.0
256,125,1.0,1.0
191,125,1.0,1.0
103,125,1.0,1.0
130,125,0.0,1.0
472,125,1.0,1.0
243,126,1.0,1.0
56,126,1.0,1.0
257,126,0.0,1.0
258,127,0.0,1.0
105,127,1.0,1.0
120,127,1.0,1.0
259,127,0.0,1.0
260,127,1.0,1.0
59,127,1.0,1.0
253,128,1.0,1.0
249,128,1.0,1.0
120,128,0.0,1.0
261,128,1.0,1.0
60,128,0.0,1.0
256,129,1.0,1.0
56,129,1.0,1.0
262,129,0.0,1.0
252,129,1.0,1.0
61,129,1.0,1.0
253,129,1.0,1.0
235,129,1.0,1.0
251,129,1.0,1.0
245,129,1.0,1.0
442,129,1.0,1.0
62,131,1.0,1.0
135,132,1.0,1.0
63,132,1.0,1.0
263,133,1.0,1.0
63,133,1.0,1.0
63,134,1.0,1.0
264,134,1.0,1.0
138,134,1.0,1.0
63,135,1.0,1.0
265,135,1.0,1.0
132,135,1.0,1.0
266,135,1.0,1.0
267,135,1.0,1.0
268,136,0.0,1.0
64,136,0.0,1.0
269,137,0.0,1.0
64,137,0.0,1.0
272,138,1.0,1.0
266,138,1.0,1.0
445,138,1.0,1.0
270,138,1.0,1.0
271,138,0.0,1.0
264,138,1.0,1.0
134,138,1.0,1.0
199,139,0.0,1.0
273,139,0.0,1.0
275,139,0.0,1.0
274,139,0.0,1.0
64,139,0.0,1.0
276,139,0.0,1.0
274,140,1.0,1.0
199,140,1.0,1.0
277,141,1.0,1.0
278,142,0.0,1.0
68,142,1.0,1.0
518,142,0.0,1.0
279,142,0.0,1.0
277,142,1.0,1.0
280,142,1.0,1.0
832,143,0.0,1.0
63,143,1.0,1.0
69,143,0.0,1.0
283,143,0.0,1.0
281,143,0.0,1.0
282,143,0.0,1.0
524,143,0.0,1.0
284,143,0.0,1.0
277,144,1.0,1.0
285,144,1.0,1.0
70,144,1.0,1.0
161,144,1.0,1.0
71,145,1.0,1.0
27,145,1.0,1.0
286,146,1.0,1.0
287,146,1.0,1.0
288,147,1.0,1.0
289,147,1.0,1.0
277,147,1.0,1.0
71,147,1.0,1.0
287,147,1.0,1.0
83,148,1.0,1.0
27,148,1.0,1.0
290,148,1.0,1.0
291,149,0.0,1.0
74,149,0.0,1.0
292,149,0.0,1.0
293,150,1.0,1.0
407,150,1.0,1.0
294,150,1.0,1.0
72,150,1.0,1.0
295,150,0.0,1.0
296,150,0.0,1.0
297,151,1.0,1.0
74,151,1.0,1.0
298,151,1.0,1.0
299,151,1.0,1.0
84,151,0.0,1.0
300,152,0.0,1.0
301,152,0.0,1.0
74,152,0.0,1.0
302,152,0.0,1.0
303,153,0.0,1.0
74,153,0.0,1.0
304,154,1.0,1.0
548,154,1.0,1.0
305,154,1.0,1.0
306,154,1.0,1.0
74,154,1.0,1.0
307,154,1.0,1.0
330,154,1.0,1.0
308,155,1.0,1.0
74,155,1.0,1.0
301,155,1.0,1.0
302,155,0.0,1.0
309,156,1.0,1.0
310,156,1.0,1.0
311,156,0.0,1.0
312,156,1.0,1.0
75,156,0.0,1.0
309,157,1.0,1.0
75,157,0.0,1.0
313,157,1.0,1.0
309,157,1.0,1.0
76,158,1.0,1.0
99,159,0.0,1.0
76,159,1.0,1.0
76,159,1.0,1.0
6,160,1.0,1.0
76,160,1.0,1.0
178,161,1.0,1.0
77,161,1.0,1.0
144,161,1.0,1.0
180,161,1.0,1.0
314,161,1.0,1.0
315,162,1.0,1.0
316,162,1.0,1.0
317,162,0.0,1.0
77,162,1.0,1.0
318,162,1.0,1.0
321,163,0.0,1.0
319,163,1.0,1.0
68,163,1.0,1.0
320,163,1.0,1.0
36,163,1.0,1.0
77,163,1.0,1.0
322,164,0.0,1.0
36,164,1.0,1.0
77,164,0.0,1.0
267,165,1.0,1.0
78,165,1.0,1.0
323,165,1.0,1.0
324,166,0.0,1.0
324,166,0.0,1.0
325,166,0.0,1.0
78,166,0.0,1.0
865,167,0.0,1.0
326,167,0.0,1.0
80,167,0.0,1.0
327,167,0.0,1.0
328,167,0.0,1.0
329,167,0.0,1.0
844,167,0.0,1.0
331,168,0.0,1.0
342,168,1.0,1.0
905,168,0.0,1.0
330,168,1.0,1.0
859,168,1.0,1.0
81,168,0.0,1.0
844,168,1.0,1.0
862,168,1.0,1.0
587,168,1.0,1.0
332,168,0.0,1.0
333,168,1.0,1.0
334,168,1.0,1.0
81,169,0.0,1.0
335,169,0.0,1.0
336,169,0.0,1.0
337,169,0.0,1.0
254,170,0.0,1.0
296,170,0.0,1.0
338,170,0.0,1.0
81,170,0.0,1.0
339,170,0.0,1.0
340,171,0.0,1.0
81,172,0.0,1.0
331,172,0.0,1.0
341,172,0.0,1.0
168,172,1.0,1.0
342,172,0.0,1.0
82,173,1.0,1.0
346,173,1.0,1.0
343,173,1.0,1.0
36,173,1.0,1.0
355,173,1.0,1.0
83,173,1.0,1.0
174,173,1.0,1.0
344,173,1.0,1.0
174,173,1.0,1.0
345,173,1.0,1.0
346,174,1.0,1.0
36,174,1.0,1.0
83,174,1.0,1.0
347,174,0.0,1.0
173,174,1.0,1.0
82,174,1.0,1.0
83,175,1.0,1.0
348,175,0.0,1.0
84,176,0.0,1.0
349,177,1.0,1.0
84,177,0.0,1.0
351,178,1.0,1.0
352,178,1.0,1.0
350,178,1.0,1.0
36,178,1.0,1.0
580,178,1.0,1.0
833,178,1.0,1.0
161,178,1.0,1.0
285,178,1.0,1.0
85,178,1.0,1.0
180,178,1.0,1.0
353,179,1.0,1.0
85,179,1.0,1.0
180,179,1.0,1.0
289,179,1.0,1.0
285,179,1.0,1.0
178,179,1.0,1.0
285,180,1.0,1.0
178,180,1.0,1.0
354,180,1.0,1.0
178,180,1.0,1.0
314,180,1.0,1.0
351,180,1.0,1.0
161,180,1.0,1.0
352,180,1.0,1.0
355,181,1.0,1.0
345,181,1.0,1.0
356,181,1.0,1.0
86,181,1.0,1.0
357,182,1.0,1.0
337,182,1.0,1.0
104,182,1.0,1.0
358,182,1.0,1.0
86,182,1.0,1.0
363,183,1.0,1.0
87,183,1.0,1.0
41,183,1.0,1.0
618,183,1.0,1.0
621,183,1.0,1.0
360,183,1.0,1.0
359,183,1.0,1.0
625,183,1.0,1.0
359,183,1.0,1.0
361,183,1.0,1.0
184,183,1.0,1.0
623,183,1.0,1.0
620,183,1.0,1.0
945,183,1.0,1.0
362,184,1.0,1.0
183,184,1.0,1.0
363,184,1.0,1.0
364,184,1.0,1.0
87,184,1.0,1.0
41,185,1.0,1.0
89,185,1.0,1.0
186,185,1.0,1.0
41,186,1.0,1.0
185,186,1.0,1.0
88,186,1.0,1.0
365,187,1.0,1.0
89,187,1.0,1.0
91,188,1.0,1.0
366,188,0.0,1.0
91,189,0.0,1.0
367,189,0.0,1.0
368,190,1.0,1.0
369,190,1.0,1.0
370,191,1.0,1.0
192,191,1.0,1.0
92,191,1.0,1.0
125,191,1.0,1.0
371,191,1.0,1.0
213,191,1.0,1.0
957,191,0.0,1.0
372,191,1.0,1.0
636,191,1.0,1.0
214,191,1.0,1.0
375,191,0.0,1.0
369,191,1.0,1.0
375,192,0.0,1.0
191,192,1.0,1.0
630,192,1.0,1.0
373,192,1.0,1.0
369,192,1.0,1.0
374,192,1.0,1.0
369,192,1.0,1.0
687,192,1.0,1.0
216,192,0.0,1.0
377,193,0.0,1.0
447,193,1.0,1.0
752,193,1.0,1.0
644,193,1.0,1.0
92,193,1.0,1.0
376,193,1.0,1.0
116,193,1.0,1.0
56,193,1.0,1.0
124,193,1.0,1.0
378,194,0.0,1.0
92,194,0.0,1.0
379,194,0.0,1.0
44,195,0.0,1.0
380,195,0.0,1.0
45,196,0.0,1.0
200,196,0.0,1.0
95,196,0.0,1.0
649,196,0.0,1.0
381,196,0.0,1.0
382,196,0.0,1.0
198,197,0.0,1.0
96,197,0.0,1.0
383,197,0.0,1.0
197,198,0.0,1.0
199,198,0.0,1.0
96,198,0.0,1.0
1054,199,0.0,1.0
382,199,1.0,1.0
137,199,0.0,1.0
651,199,1.0,1.0
273,199,0.0,1.0
876,199,0.0,1.0
96,199,0.0,1.0
386,199,0.0,1.0
139,199,0.0,1.0
488,199,1.0,1.0
198,199,0.0,1.0
388,199,0.0,1.0
384,199,0.0,1.0
781,199,1.0,1.0
976,199,1.0,1.0
652,199,1.0,1.0
486,199,1.0,1.0
385,199,1.0,1.0
387,199,1.0,1.0
814,199,0.0,1.0
725,199,0.0,1.0
196,200,0.0,1.0
97,200,0.0,1.0
45,200,0.0,1.0
389,201,0.0,1.0
202,201,0.0,1.0
45,201,0.0,1.0
201,202,0.0,1.0
97,202,0.0,1.0
665,203,1.0,1.0
272,203,1.0,1.0
662,203,1.0,1.0
393,203,1.0,1.0
863,203,1.0,1.0
98,203,1.0,1.0
546,203,1.0,1.0
391,203,1.0,1.0
318,203,1.0,1.0
318,203,1.0,1.0
390,203,1.0,1.0
821,203,1.0,1.0
664,203,1.0,1.0
986,203,1.0,1.0
392,203,1.0,1.0
394,204,0.0,1.0
99,205,0.0,1.0
395,206,0.0,1.0
99,206,0.0,1.0
396,206,0.0,1.0
397,207,1.0,1.0
398,207,0.0,1.0
399,208,1.0,1.0
100,208,1.0,1.0
400,208,1.0,1.0
401,209,1.0,1.0
402,209,1.0,1.0
100,209,1.0,1.0
208,210,1.0,1.0
403,210,1.0,1.0
404,210,1.0,1.0
405,210,1.0,1.0
100,210,1.0,1.0
210,211,1.0,1.0
400,211,1.0,1.0
399,211,1.0,1.0
100,211,1.0,1.0
406,211,1.0,1.0
399,212,1.0,1.0
407,212,1.0,1.0
401,212,1.0,1.0
100,212,1.0,1.0
101,213,0.0,1.0
408,213,1.0,1.0
191,213,1.0,1.0
409,213,1.0,1.0
370,213,1.0,1.0
56,214,1.0,1.0
191,214,1.0,1.0
369,214,1.0,1.0
102,214,0.0,1.0
410,216,0.0,1.0
192,216,0.0,1.0
411,216,0.0,1.0
102,216,0.0,1.0
103,217,1.0,1.0
104,217,1.0,1.0
103,218,1.0,1.0
412,218,1.0,1.0
413,218,0.0,1.0
220,219,1.0,1.0
414,219,0.0,1.0
104,219,1.0,1.0
220,219,1.0,1.0
103,219,1.0,1.0
219,220,1.0,1.0
104,220,1.0,1.0
103,220,1.0,1.0
415,220,0.0,1.0
414,220,0.0,1.0
219,220,1.0,1.0
416,221,0.0,1.0
417,221,0.0,1.0
104,221,0.0,1.0
56,223,1.0,1.0
105,223,1.0,1.0
224,223,1.0,1.0
418,223,0.0,1.0
225,224,1.0,1.0
105,224,1.0,1.0
235,224,1.0,1.0
105,225,1.0,1.0
419,225,0.0,1.0
420,225,1.0,1.0
421,225,1.0,1.0
224,225,1.0,1.0
109,226,1.0,1.0
106,226,1.0,1.0
106,226,1.0,1.0
227,226,0.0,1.0
231,226,1.0,1.0
422,226,1.0,1.0
430,226,1.0,1.0
107,227,0.0,1.0
226,227,0.0,1.0
423,227,0.0,1.0
424,227,0.0,1.0
425,228,1.0,1.0
426,228,1.0,1.0
427,228,1.0,1.0
428,228,1.0,1.0
230,229,1.0,1.0
429,229,0.0,1.0
430,229,1.0,1.0
337,229,0.0,1.0
108,229,1.0,1.0
422,230,1.0,1.0
18,230,1.0,1.0
430,230,1.0,1.0
108,230,1.0,1.0
109,230,1.0,1.0
229,230,1.0,1.0
434,231,1.0,1.0
433,231,1.0,1.0
431,231,0.0,1.0
111,231,1.0,1.0
432,231,0.0,1.0
110,231,1.0,1.0
435,231,1.0,1.0
718,231,1.0,1.0
1048,231,1.0,1.0
436,232,0.0,1.0
112,232,1.0,1.0
437,232,0.0,1.0
113,233,1.0,1.0
438,234,1.0,1.0
439,234,0.0,1.0
113,234,1.0,1.0
440,234,0.0,1.0
114,235,1.0,1.0
224,235,1.0,1.0
417,235,0.0,1.0
443,235,1.0,1.0
129,235,1.0,1.0
441,235,1.0,1.0
442,235,0.0,1.0
337,236,1.0,1.0
56,236,1.0,1.0
115,237,0.0,1.0
115,238,0.0,1.0
444,238,0.0,1.0
445,238,1.0,1.0
115,239,0.0,1.0
244,241,1.0,1.0
56,241,1.0,1.0
446,241,1.0,1.0
116,241,1.0,1.0
447,241,1.0,1.0
448,242,1.0,1.0
449,242,1.0,1.0
450,242,1.0,1.0
117,242,1.0,1.0
451,242,1.0,1.0
