edge_index0,edge_index1,pred,gr
1214,159,1.0,1.0
124,127,1.0,1.0
537,4,1.0,1.0
66,938,1.0,1.0
717,654,0.0,1.0
1059,1034,0.0,1.0
425,944,0.0,1.0
953,1308,1.0,1.0
495,1019,1.0,1.0
248,503,1.0,1.0
1227,247,1.0,1.0
524,80,1.0,1.0
1019,494,1.0,1.0
245,242,1.0,1.0
245,575,1.0,1.0
237,236,1.0,1.0
637,274,1.0,1.0
1065,1306,1.0,1.0
556,1068,0.0,1.0
1202,1203,1.0,1.0
384,411,1.0,1.0
819,820,1.0,1.0
206,207,1.0,1.0
180,430,1.0,1.0
1143,284,1.0,1.0
277,41,1.0,1.0
202,26,1.0,1.0
988,482,1.0,1.0
596,1118,1.0,1.0
366,358,1.0,1.0
834,847,1.0,1.0
127,314,1.0,1.0
105,277,1.0,1.0
98,269,1.0,1.0
116,298,0.0,1.0
771,1312,0.0,1.0
41,107,1.0,1.0
1107,466,1.0,1.0
277,237,1.0,1.0
515,1028,1.0,1.0
455,949,1.0,1.0
100,99,1.0,1.0
705,465,1.0,1.0
462,554,0.0,1.0
46,125,1.0,1.0
449,446,1.0,1.0
535,1040,1.0,1.0
282,643,1.0,1.0
425,443,1.0,1.0
12,10,1.0,1.0
138,344,1.0,1.0
428,394,1.0,1.0
912,911,1.0,1.0
149,379,1.0,1.0
78,222,1.0,1.0
140,352,1.0,1.0
461,779,1.0,1.0
1176,448,1.0,1.0
1196,1199,0.0,1.0
674,1210,1.0,1.0
435,915,1.0,1.0
707,129,1.0,1.0
45,122,1.0,1.0
10,9,1.0,1.0
45,119,1.0,1.0
245,1111,1.0,1.0
1240,61,1.0,1.0
131,329,1.0,1.0
762,690,1.0,1.0
287,383,1.0,1.0
307,681,1.0,1.0
307,701,1.0,1.0
386,809,1.0,1.0
818,390,1.0,1.0
211,214,0.0,1.0
338,394,1.0,1.0
65,887,1.0,1.0
266,94,1.0,1.0
766,1300,1.0,1.0
175,22,1.0,1.0
486,992,1.0,1.0
953,374,1.0,1.0
639,280,1.0,1.0
149,377,1.0,1.0
973,1107,1.0,1.0
390,473,1.0,1.0
312,15,1.0,1.0
576,1102,1.0,1.0
26,76,1.0,1.0
