edge_index0,edge_index1,pred,gr
841,854,1.0,1.0
256,88,1.0,1.0
127,323,1.0,1.0
229,970,1.0,1.0
423,62,1.0,1.0
601,820,1.0,1.0
238,237,1.0,1.0
410,317,1.0,1.0
491,208,1.0,1.0
800,1079,1.0,1.0
429,823,1.0,1.0
106,281,1.0,1.0
870,82,1.0,1.0
434,1062,1.0,1.0
86,237,1.0,1.0
630,592,1.0,1.0
534,979,1.0,1.0
264,1039,1.0,1.0
959,4,1.0,1.0
360,144,1.0,1.0
286,613,1.0,1.0
168,395,1.0,1.0
572,1038,1.0,1.0
143,359,1.0,1.0
832,1062,1.0,1.0
460,459,1.0,1.0
554,464,1.0,1.0
550,343,0.0,1.0
383,745,1.0,1.0
393,383,1.0,1.0
63,612,1.0,1.0
434,829,1.0,1.0
229,529,1.0,1.0
285,41,1.0,1.0
839,179,1.0,1.0
660,145,1.0,1.0
347,1172,1.0,1.0
998,35,1.0,1.0
733,388,1.0,1.0
662,321,1.0,1.0
229,909,1.0,1.0
320,127,1.0,1.0
486,904,1.0,1.0
859,856,1.0,1.0
91,250,1.0,1.0
493,886,1.0,1.0
464,878,1.0,1.0
986,987,1.0,1.0
779,770,1.0,1.0
679,682,1.0,1.0
643,1119,1.0,1.0
263,267,1.0,1.0
659,410,1.0,1.0
802,62,1.0,1.0
594,106,1.0,1.0
334,330,0.0,1.0
600,429,1.0,1.0
826,798,1.0,1.0
942,112,1.0,1.0
674,1144,1.0,1.0
429,1078,1.0,1.0
412,770,1.0,1.0
1078,472,1.0,1.0
60,57,1.0,1.0
414,780,1.0,1.0
286,1092,1.0,1.0
57,148,1.0,1.0
383,748,1.0,1.0
393,148,1.0,1.0
491,913,1.0,1.0
3,27,1.0,1.0
497,245,1.0,1.0
145,58,1.0,1.0
720,355,1.0,1.0
191,210,1.0,1.0
58,767,1.0,1.0
652,1125,1.0,1.0
931,232,1.0,1.0
491,911,1.0,1.0
554,856,1.0,1.0
434,831,1.0,1.0
149,160,1.0,1.0
136,336,1.0,1.0
663,664,1.0,1.0
865,1020,1.0,1.0
504,215,1.0,1.0
105,106,1.0,1.0
429,814,1.0,1.0
825,429,1.0,1.0
463,875,1.0,1.0
608,1085,1.0,1.0
565,191,0.0,1.0
191,25,1.0,1.0
106,279,1.0,1.0
679,1146,1.0,1.0
732,58,1.0,1.0
403,768,1.0,1.0
208,492,1.0,1.0
395,761,1.0,1.0
126,635,1.0,1.0
343,550,0.0,1.0
17,20,1.0,1.0
1041,198,1.0,1.0
863,703,1.0,1.0
842,843,1.0,1.0
42,118,1.0,1.0
968,342,0.0,1.0
329,666,1.0,1.0
65,93,1.0,1.0
475,896,1.0,1.0
229,1080,1.0,1.0
642,288,1.0,1.0
1053,275,1.0,1.0
41,111,1.0,1.0
674,1141,1.0,1.0
648,307,1.0,1.0
901,900,1.0,1.0
369,732,1.0,1.0
271,587,1.0,1.0
35,90,1.0,1.0
826,429,1.0,1.0
769,503,1.0,1.0
324,126,1.0,1.0
838,308,1.0,1.0
794,798,1.0,1.0
58,166,1.0,1.0
64,188,1.0,1.0
139,344,1.0,1.0
257,570,1.0,1.0
90,85,1.0,1.0
1084,184,1.0,1.0
74,191,1.0,1.0
121,42,1.0,1.0
1107,1110,1.0,1.0
638,58,1.0,1.0
311,359,1.0,1.0
533,975,1.0,1.0
413,651,1.0,1.0
1001,289,1.0,1.0
268,579,1.0,1.0
450,66,1.0,1.0
550,288,1.0,1.0
819,812,1.0,1.0
481,896,1.0,1.0
153,743,1.0,1.0
163,359,1.0,1.0
329,665,1.0,1.0
330,334,0.0,1.0
81,6,1.0,1.0
672,48,1.0,1.0
560,559,0.0,1.0
188,450,1.0,1.0
271,586,1.0,1.0
570,257,1.0,1.0
687,540,1.0,1.0
1123,124,1.0,1.0
130,50,1.0,1.0
62,821,1.0,1.0
160,405,1.0,1.0
