edge_index0,edge_index1,pred,gr
806,752,0.0,1.0
102,104,1.0,1.0
140,143,1.0,1.0
337,4,1.0,1.0
941,287,1.0,1.0
529,905,1.0,1.0
477,838,1.0,1.0
580,1138,1.0,1.0
1205,1102,1.0,1.0
910,889,1.0,1.0
813,171,0.0,1.0
303,71,1.0,1.0
690,169,1.0,1.0
690,700,1.0,1.0
162,161,1.0,1.0
689,1089,1.0,1.0
937,913,1.0,1.0
696,1103,0.0,1.0
1314,829,1.0,1.0
1213,788,1.0,1.0
293,568,1.0,1.0
1114,708,1.0,1.0
627,628,1.0,1.0
1132,1227,0.0,1.0
201,41,1.0,1.0
686,1085,1.0,1.0
66,26,1.0,1.0
614,413,1.0,1.0
264,258,1.0,1.0
709,1121,1.0,1.0
104,847,1.0,1.0
1068,568,1.0,1.0
187,185,1.0,1.0
521,730,0.0,1.0
41,428,1.0,1.0
201,162,1.0,1.0
387,724,1.0,1.0
87,195,1.0,1.0
46,101,1.0,1.0
1244,1314,1.0,1.0
1096,443,1.0,1.0
880,1296,1.0,1.0
895,1315,1.0,1.0
580,308,1.0,1.0
222,59,1.0,1.0
12,10,1.0,1.0
115,246,1.0,1.0
1026,286,1.0,1.0
741,982,1.0,1.0
123,279,1.0,1.0
70,1022,0.0,1.0
114,254,1.0,1.0
1282,525,1.0,1.0
306,602,1.0,1.0
475,229,1.0,1.0
45,223,0.0,1.0
1123,680,1.0,1.0
10,9,0.0,1.0
45,438,1.0,1.0
690,697,1.0,1.0
834,59,1.0,1.0
693,1095,1.0,1.0
1311,1283,1.0,1.0
106,233,1.0,1.0
529,1218,1.0,1.0
130,289,1.0,1.0
464,820,1.0,1.0
212,1020,1.0,1.0
212,327,1.0,1.0
751,183,1.0,1.0
728,1140,1.0,1.0
739,1144,1.0,1.0
243,286,1.0,1.0
84,145,1.0,1.0
493,22,1.0,1.0
948,1056,1.0,1.0
910,271,1.0,1.0
138,299,1.0,1.0
1176,420,1.0,1.0
123,273,1.0,1.0
1303,520,1.0,1.0
183,392,1.0,1.0
598,991,1.0,1.0
225,15,1.0,1.0
26,65,1.0,1.0
59,705,1.0,1.0
740,983,1.0,1.0
88,9,0.0,1.0
456,808,1.0,1.0
146,729,1.0,1.0
232,476,1.0,1.0
258,518,1.0,1.0
580,572,1.0,1.0
192,412,1.0,1.0
1282,897,1.0,1.0
991,305,1.0,1.0
305,71,1.0,1.0
697,988,1.0,1.0
502,499,1.0,1.0
300,590,1.0,1.0
285,550,1.0,1.0
1298,258,1.0,1.0
652,690,1.0,1.0
808,876,1.0,1.0
499,862,1.0,1.0
652,169,1.0,1.0
304,597,1.0,1.0
293,487,1.0,1.0
484,291,1.0,1.0
397,458,1.0,1.0
213,446,1.0,1.0
1086,1142,1.0,1.0
93,202,1.0,1.0
711,679,1.0,1.0
626,1006,1.0,1.0
746,747,1.0,1.0
572,606,1.0,1.0
123,133,1.0,1.0
788,212,1.0,1.0
1025,842,1.0,1.0
252,251,1.0,1.0
1153,165,1.0,1.0
797,638,1.0,1.0
572,400,0.0,1.0
529,402,1.0,1.0
1089,305,1.0,1.0
155,335,1.0,1.0
280,59,1.0,1.0
473,44,1.0,1.0
720,308,1.0,1.0
