edge_index0,edge_index1,pred,gr
20,0,1.0,1.0
21,0,1.0,1.0
22,0,1.0,1.0
23,1,1.0,1.0
24,1,1.0,1.0
25,2,1.0,1.0
26,2,1.0,1.0
27,3,1.0,1.0
28,4,1.0,1.0
29,5,1.0,1.0
30,6,1.0,1.0
31,6,1.0,1.0
32,7,1.0,1.0
33,7,1.0,1.0
8,7,1.0,1.0
34,8,1.0,1.0
35,8,1.0,1.0
12,9,1.0,1.0
36,10,1.0,1.0
9,10,1.0,1.0
37,11,1.0,1.0
9,12,1.0,1.0
38,13,1.0,1.0
39,13,1.0,1.0
40,14,1.0,1.0
41,14,1.0,1.0
42,15,1.0,1.0
43,15,1.0,1.0
44,16,1.0,1.0
45,16,1.0,1.0
20,17,1.0,1.0
46,17,1.0,1.0
21,17,1.0,1.0
22,17,1.0,1.0
47,18,1.0,1.0
48,18,1.0,1.0
49,18,1.0,1.0
50,18,1.0,1.0
51,19,1.0,1.0
52,19,1.0,1.0
53,19,1.0,1.0
54,20,1.0,1.0
0,20,1.0,1.0
0,21,1.0,1.0
55,21,1.0,1.0
17,21,1.0,1.0
17,22,1.0,1.0
56,22,1.0,1.0
134,22,1.0,1.0
57,22,1.0,1.0
58,22,1.0,1.0
59,22,1.0,1.0
60,23,1.0,1.0
60,23,1.0,1.0
1,23,1.0,1.0
61,23,1.0,1.0
62,23,1.0,1.0
1,24,1.0,1.0
610,25,1.0,1.0
609,25,1.0,1.0
2,25,1.0,1.0
67,25,1.0,1.0
340,25,1.0,1.0
164,25,1.0,1.0
63,25,1.0,1.0
35,25,1.0,1.0
64,25,1.0,1.0
65,25,1.0,1.0
69,25,1.0,1.0
332,25,1.0,1.0
66,25,1.0,1.0
152,25,1.0,1.0
68,26,1.0,1.0
69,26,1.0,1.0
70,26,1.0,1.0
68,26,1.0,1.0
2,26,1.0,1.0
4,28,1.0,1.0
71,28,1.0,1.0
72,28,1.0,1.0
37,29,1.0,1.0
73,29,1.0,1.0
177,30,1.0,1.0
6,30,1.0,1.0
31,30,1.0,1.0
177,30,1.0,1.0
74,30,1.0,1.0
75,30,1.0,1.0
74,30,1.0,1.0
75,30,1.0,1.0
30,31,1.0,1.0
6,31,1.0,1.0
76,32,1.0,1.0
77,32,1.0,1.0
78,32,1.0,1.0
7,32,1.0,1.0
79,33,1.0,1.0
80,33,1.0,1.0
323,35,1.0,1.0
369,35,1.0,1.0
81,35,1.0,1.0
584,35,1.0,1.0
319,35,1.0,1.0
581,35,1.0,1.0
82,35,1.0,1.0
334,35,1.0,1.0
8,35,1.0,1.0
70,35,1.0,1.0
318,35,1.0,1.0
646,35,1.0,1.0
25,35,1.0,1.0
83,35,1.0,1.0
84,35,1.0,1.0
85,35,1.0,1.0
86,36,1.0,1.0
10,36,1.0,1.0
29,37,1.0,1.0
683,37,1.0,1.0
87,37,1.0,1.0
11,37,1.0,1.0
88,37,1.0,1.0
89,37,1.0,1.0
685,37,1.0,1.0
90,37,1.0,1.0
200,37,1.0,1.0
398,37,1.0,1.0
39,38,1.0,1.0
13,39,1.0,1.0
38,39,1.0,1.0
91,40,1.0,1.0
92,40,1.0,1.0
14,40,1.0,1.0
93,40,1.0,1.0
94,40,1.0,1.0
95,41,1.0,1.0
432,41,1.0,1.0
99,41,1.0,1.0
711,41,1.0,1.0
436,41,1.0,1.0
