edge_index0,edge_index1,pred,gr
300,530,1.0,1.0
186,80,1.0,1.0
105,238,1.0,1.0
170,1100,1.0,1.0
787,61,1.0,1.0
290,508,1.0,1.0
181,180,1.0,1.0
875,468,0.0,1.0
506,793,1.0,1.0
293,517,1.0,1.0
90,204,1.0,1.0
296,523,1.0,1.0
895,75,1.0,1.0
79,180,1.0,1.0
1026,1028,1.0,1.0
804,883,1.0,1.0
348,592,1.0,1.0
295,62,1.0,1.0
725,1064,1.0,1.0
1104,473,1.0,1.0
572,4,1.0,1.0
733,866,1.0,1.0
266,125,1.0,1.0
473,754,1.0,1.0
528,822,1.0,1.0
121,265,1.0,1.0
372,536,1.0,1.0
362,254,1.0,1.0
138,290,1.0,1.0
648,432,1.0,1.0
696,1037,1.0,1.0
170,910,1.0,1.0
207,41,1.0,1.0
434,122,0.0,1.0
920,737,1.0,1.0
257,908,1.0,1.0
611,35,1.0,1.0
784,284,1.0,1.0
170,345,1.0,1.0
319,547,1.0,1.0
756,757,1.0,1.0
185,81,1.0,1.0
909,1075,1.0,1.0
536,832,1.0,1.0
602,600,1.0,1.0
453,726,1.0,1.0
652,1000,1.0,1.0
1092,170,1.0,1.0
489,775,0.0,1.0
512,61,1.0,1.0
393,90,1.0,1.0
245,241,1.0,1.0
1088,1008,1.0,1.0
756,954,1.0,1.0
802,803,1.0,1.0
555,863,1.0,1.0
686,227,1.0,1.0
157,325,1.0,1.0
59,56,1.0,1.0
56,225,1.0,1.0
101,1029,1.0,1.0
432,274,1.0,1.0
648,225,1.0,1.0
3,27,1.0,1.0
623,188,1.0,1.0
122,101,1.0,1.0
477,263,1.0,1.0
156,553,1.0,1.0
427,692,1.0,1.0
570,174,1.0,1.0
933,1099,1.0,1.0
372,757,1.0,1.0
170,853,1.0,1.0
114,247,1.0,1.0
438,439,1.0,1.0
1093,955,1.0,1.0
89,90,1.0,1.0
561,328,1.0,1.0
551,156,1.0,1.0
531,576,1.0,1.0
156,25,1.0,1.0
90,202,1.0,1.0
660,1005,1.0,1.0
104,414,1.0,1.0
254,362,1.0,1.0
17,20,1.0,1.0
421,682,1.0,1.0
715,1054,1.0,1.0
793,135,1.0,1.0
823,824,0.0,1.0
240,440,1.0,1.0
518,521,1.0,1.0
170,510,1.0,1.0
546,851,1.0,1.0
970,467,1.0,1.0
993,385,1.0,1.0
41,94,1.0,1.0
447,719,1.0,1.0
417,1060,1.0,1.0
545,544,1.0,1.0
193,387,1.0,1.0
35,184,1.0,1.0
419,678,1.0,1.0
235,104,1.0,1.0
296,221,1.0,1.0
101,132,1.0,1.0
63,144,1.0,1.0
1116,760,1.0,1.0
117,256,1.0,1.0
184,78,1.0,1.0
655,142,1.0,1.0
68,156,1.0,1.0
98,42,1.0,1.0
397,999,0.0,1.0
691,1031,1.0,1.0
416,101,1.0,1.0
223,265,1.0,1.0
347,588,1.0,1.0
277,426,1.0,1.0
614,834,1.0,1.0
195,377,1.0,1.0
307,146,1.0,1.0
362,467,1.0,1.0
795,521,1.0,1.0
129,265,1.0,1.0
240,442,1.0,1.0
241,245,1.0,1.0
1104,933,1.0,1.0
74,6,1.0,1.0
445,48,1.0,1.0
665,1009,1.0,1.0
851,761,1.0,1.0
144,307,1.0,1.0
193,642,1.0,1.0
420,354,1.0,1.0
676,102,1.0,1.0
1070,715,1.0,1.0
108,50,1.0,1.0
61,980,1.0,1.0
420,679,1.0,1.0
372,631,1.0,1.0
37,377,1.0,1.0
428,414,1.0,1.0
35,154,1.0,1.0
101,203,1.0,1.0
323,35,1.0,1.0
298,328,1.0,1.0
592,667,1.0,1.0
209,143,1.0,1.0
1002,209,1.0,1.0
545,513,1.0,1.0
600,602,1.0,1.0
896,815,1.0,1.0
895,351,1.0,1.0
191,192,1.0,1.0
782,61,1.0,1.0
976,608,1.0,1.0
1075,909,1.0,1.0
205,397,1.0,1.0
721,442,1.0,1.0
33,78,1.0,1.0
993,385,1.0,1.0
1017,274,1.0,1.0
516,61,1.0,1.0
196,194,1.0,1.0
258,262,1.0,1.0
995,101,1.0,1.0
564,863,1.0,1.0
241,111,1.0,1.0
246,332,1.0,1.0
110,243,1.0,1.0
249,721,1.0,1.0
8,34,1.0,1.0
210,407,1.0,1.0
151,557,0.0,1.0
603,325,1.0,1.0
7,8,1.0,1.0
575,897,1.0,1.0
438,710,1.0,1.0
596,925,1.0,1.0
252,741,1.0,1.0
797,980,1.0,1.0
824,823,0.0,1.0
389,646,1.0,1.0
