edge_index0,edge_index1,pred,gr
688,360,1.0,1.0
523,617,1.0,1.0
812,811,1.0,1.0
241,240,1.0,1.0
464,457,1.0,1.0
104,226,1.0,1.0
78,11,1.0,1.0
420,38,1.0,1.0
136,286,1.0,1.0
627,151,1.0,1.0
801,573,1.0,1.0
723,735,1.0,1.0
457,285,1.0,1.0
260,522,1.0,1.0
205,209,1.0,1.0
871,508,1.0,1.0
176,84,1.0,1.0
409,820,1.0,1.0
122,270,1.0,1.0
27,74,1.0,1.0
468,466,1.0,1.0
234,46,1.0,1.0
663,708,1.0,1.0
316,612,1.0,1.0
489,745,1.0,1.0
468,104,1.0,1.0
422,769,1.0,1.0
35,32,1.0,1.0
549,482,1.0,1.0
750,604,1.0,1.0
65,145,1.0,1.0
44,97,1.0,1.0
409,763,1.0,1.0
101,207,1.0,1.0
106,234,0.0,1.0
360,676,1.0,1.0
407,446,1.0,1.0
57,101,1.0,1.0
44,98,1.0,1.0
789,435,1.0,1.0
825,283,1.0,1.0
491,489,1.0,1.0
78,367,1.0,1.0
707,179,1.0,1.0
43,198,1.0,1.0
392,735,1.0,1.0
305,304,1.0,1.0
813,765,1.0,1.0
165,358,1.0,1.0
260,524,1.0,1.0
892,665,1.0,1.0
33,34,1.0,1.0
754,788,1.0,1.0
331,196,1.0,1.0
872,300,0.0,1.0
368,678,1.0,1.0
900,901,1.0,1.0
143,306,1.0,1.0
346,225,1.0,1.0
448,813,1.0,1.0
304,145,1.0,1.0
116,247,1.0,1.0
67,26,1.0,1.0
463,101,1.0,1.0
779,203,1.0,1.0
680,78,1.0,1.0
218,458,1.0,1.0
427,776,1.0,1.0
283,261,0.0,1.0
549,797,1.0,1.0
44,95,1.0,1.0
203,780,1.0,1.0
46,99,1.0,1.0
203,779,1.0,1.0
287,546,1.0,1.0
255,249,1.0,1.0
231,146,1.0,1.0
250,505,1.0,1.0
247,489,1.0,1.0
343,650,1.0,1.0
581,779,1.0,1.0
522,670,1.0,1.0
348,182,1.0,1.0
281,280,1.0,1.0
371,689,1.0,1.0
261,257,1.0,1.0
485,486,1.0,1.0
101,544,1.0,1.0
96,210,1.0,1.0
111,240,1.0,1.0
12,9,1.0,1.0
784,452,1.0,1.0
819,456,1.0,1.0
485,501,1.0,1.0
119,255,1.0,1.0
446,407,1.0,1.0
505,117,1.0,1.0
683,365,1.0,1.0
393,663,1.0,1.0
101,833,1.0,1.0
75,159,1.0,1.0
135,265,1.0,1.0
299,301,1.0,1.0
406,85,1.0,1.0
747,748,1.0,1.0
586,182,1.0,1.0
508,509,1.0,1.0
651,650,1.0,1.0
591,528,1.0,1.0
362,368,1.0,1.0
293,566,1.0,1.0
810,359,1.0,1.0
847,104,1.0,1.0
163,4,1.0,1.0
781,527,1.0,1.0
76,738,0.0,1.0
501,485,1.0,1.0
106,232,1.0,1.0
231,106,1.0,1.0
435,433,1.0,1.0
678,687,1.0,1.0
170,360,1.0,1.0
187,146,1.0,1.0
751,182,1.0,1.0
304,303,1.0,1.0
219,462,1.0,1.0
604,607,1.0,1.0
392,734,1.0,1.0
650,26,1.0,1.0
410,412,1.0,1.0
523,356,1.0,1.0
133,280,1.0,1.0
893,645,1.0,1.0
890,726,1.0,1.0
59,61,1.0,1.0
678,368,1.0,1.0
304,584,1.0,1.0
723,82,1.0,1.0
146,318,1.0,1.0
836,472,1.0,1.0
63,809,1.0,1.0
436,552,1.0,1.0
203,431,1.0,1.0
300,577,1.0,1.0
670,260,1.0,1.0
308,307,1.0,1.0
179,723,1.0,1.0
640,621,1.0,1.0
407,761,1.0,1.0
63,295,1.0,1.0
502,245,1.0,1.0
239,492,1.0,1.0
421,345,0.0,0.0
572,815,0.0,0.0
194,105,0.0,0.0
215,71,0.0,0.0
593,651,0.0,0.0
804,170,0.0,0.0
225,278,0.0,0.0
441,245,0.0,0.0
691,168,1.0,0.0
74,37,1.0,0.0
158,837,0.0,0.0
777,402,1.0,0.0
340,851,0.0,0.0
223,526,1.0,0.0
227,799,0.0,0.0
477,750,0.0,0.0
635,755,1.0,0.0
171,735,0.0,0.0
353,820,1.0,0.0
835,784,1.0,0.0
605,348,1.0,0.0
755,11,0.0,0.0
241,57,1.0,0.0
509,0,1.0,0.0
333,397,1.0,0.0
211,17,0.0,0.0
336,481,0.0,0.0
214,890,0.0,0.0
357,238,0.0,0.0
531,155,1.0,0.0
26,237,1.0,0.0
184,663,0.0,0.0
465,240,0.0,0.0
564,846,1.0,0.0
72,245,1.0,0.0
689,26,1.0,0.0
536,560,0.0,0.0
891,835,0.0,0.0
551,168,1.0,0.0
584,765,1.0,0.0
194,625,0.0,0.0
56,169,1.0,0.0
319,184,0.0,0.0
754,776,1.0,0.0
735,25,1.0,0.0
752,233,0.0,0.0
453,417,1.0,0.0
695,596,1.0,0.0
451,786,1.0,0.0
740,123,1.0,0.0
348,676,1.0,0.0
213,537,1.0,0.0
207,603,1.0,0.0
557,630,0.0,0.0
366,123,0.0,0.0
88,580,1.0,0.0
753,490,1.0,0.0
170,548,1.0,0.0
76,57,0.0,0.0
100,585,1.0,0.0
