edge_index0,edge_index1,pred,gr
113,240,0.0,1.0
63,478,0.0,1.0
550,209,1.0,1.0
74,313,1.0,1.0
250,4,1.0,1.0
600,334,1.0,1.0
106,42,1.0,1.0
535,464,1.0,1.0
380,670,1.0,1.0
137,283,1.0,1.0
665,244,1.0,1.0
160,331,1.0,1.0
230,433,1.0,1.0
468,466,1.0,1.0
143,263,1.0,1.0
72,146,1.0,1.0
106,219,1.0,1.0
60,34,1.0,1.0
277,134,1.0,1.0
333,332,1.0,1.0
52,602,1.0,1.0
167,677,0.0,1.0
223,109,1.0,1.0
669,136,1.0,1.0
82,178,1.0,1.0
148,507,1.0,1.0
434,382,1.0,1.0
467,469,1.0,1.0
671,208,0.0,1.0
289,581,1.0,1.0
17,45,1.0,1.0
89,187,1.0,1.0
287,323,1.0,1.0
631,83,1.0,1.0
208,405,1.0,1.0
532,288,1.0,1.0
517,161,1.0,1.0
162,457,1.0,1.0
285,260,1.0,1.0
611,52,1.0,1.0
331,333,1.0,1.0
72,144,1.0,1.0
557,147,1.0,1.0
123,257,1.0,1.0
314,315,1.0,1.0
362,177,1.0,1.0
438,442,1.0,1.0
450,665,1.0,1.0
486,65,1.0,1.0
184,85,1.0,1.0
42,78,1.0,1.0
231,71,1.0,1.0
34,248,1.0,1.0
106,216,1.0,1.0
28,65,1.0,1.0
191,380,1.0,1.0
52,203,0.0,1.0
344,609,1.0,1.0
135,273,1.0,1.0
486,280,1.0,1.0
34,24,1.0,1.0
142,258,1.0,1.0
166,339,1.0,1.0
314,429,1.0,1.0
630,604,1.0,1.0
215,421,1.0,1.0
352,199,1.0,1.0
292,533,1.0,1.0
318,577,1.0,1.0
603,601,1.0,1.0
331,163,1.0,1.0
241,57,0.0,1.0
453,562,1.0,1.0
90,91,1.0,1.0
8,34,1.0,1.0
244,196,1.0,1.0
367,640,1.0,1.0
173,175,1.0,1.0
443,439,1.0,1.0
350,394,0.0,1.0
74,57,1.0,1.0
373,651,1.0,1.0
394,84,1.0,1.0
251,253,1.0,1.0
296,306,1.0,1.0
674,496,1.0,1.0
