edge_index0,edge_index1,pred,gr
806,797,1.0,1.0
845,776,1.0,1.0
493,495,1.0,1.0
509,1041,1.0,1.0
322,909,1.0,1.0
824,380,1.0,1.0
322,750,1.0,1.0
1117,623,1.0,1.0
61,170,1.0,1.0
175,435,1.0,1.0
744,1270,1.0,1.0
865,316,1.0,1.0
176,356,1.0,1.0
441,941,1.0,1.0
189,478,1.0,1.0
414,749,1.0,1.0
409,156,1.0,1.0
554,639,1.0,1.0
542,100,1.0,1.0
629,1077,1.0,1.0
825,830,1.0,1.0
331,44,1.0,1.0
1201,89,1.0,1.0
322,753,1.0,1.0
647,505,1.0,1.0
1372,1314,1.0,1.0
743,241,1.0,1.0
278,644,1.0,1.0
69,73,1.0,1.0
551,204,1.0,1.0
1358,812,1.0,1.0
363,138,1.0,1.0
393,593,1.0,1.0
460,466,1.0,1.0
250,532,1.0,1.0
444,944,1.0,1.0
241,600,1.0,1.0
582,237,1.0,1.0
1221,984,1.0,1.0
1070,916,1.0,1.0
649,482,1.0,1.0
142,374,1.0,1.0
956,950,1.0,1.0
205,523,1.0,1.0
1441,1429,1.0,1.0
619,180,1.0,1.0
1083,241,1.0,1.0
924,436,1.0,1.0
78,37,1.0,1.0
115,113,1.0,1.0
634,247,1.0,1.0
805,417,1.0,1.0
182,451,1.0,1.0
853,1419,1.0,1.0
12,9,0.0,1.0
520,1244,1.0,1.0
281,671,1.0,1.0
1155,604,1.0,1.0
1299,1432,1.0,1.0
667,1048,0.0,1.0
1398,821,1.0,1.0
506,126,1.0,1.0
576,1125,1.0,1.0
804,135,1.0,1.0
1370,808,1.0,1.0
816,1380,1.0,1.0
243,608,1.0,1.0
112,13,1.0,1.0
396,159,1.0,1.0
426,751,1.0,1.0
1053,522,1.0,1.0
1192,245,1.0,1.0
10,12,1.0,1.0
473,947,1.0,1.0
548,320,1.0,1.0
918,1371,1.0,1.0
293,695,1.0,1.0
381,840,1.0,1.0
96,97,1.0,1.0
1062,206,1.0,1.0
77,26,1.0,1.0
644,284,1.0,1.0
417,800,1.0,1.0
920,434,1.0,1.0
1021,889,1.0,1.0
955,65,1.0,1.0
535,1075,1.0,1.0
555,1096,0.0,1.0
65,183,1.0,1.0
854,1426,1.0,1.0
759,761,1.0,1.0
467,976,1.0,1.0
349,454,1.0,1.0
140,372,1.0,1.0
157,173,1.0,1.0
63,163,1.0,1.0
735,1123,1.0,1.0
739,307,1.0,1.0
192,393,1.0,1.0
1427,598,1.0,1.0
560,1033,1.0,1.0
1170,250,1.0,1.0
1191,821,1.0,1.0
851,732,1.0,1.0
117,308,1.0,1.0
569,250,1.0,1.0
758,1326,1.0,1.0
63,808,1.0,1.0
229,565,1.0,1.0
411,427,1.0,1.0
1329,1330,1.0,1.0
318,737,1.0,1.0
32,31,1.0,1.0
1428,1364,1.0,1.0
825,372,1.0,1.0
580,1134,1.0,1.0
294,107,1.0,1.0
1385,1381,1.0,1.0
1065,1071,1.0,1.0
1429,1441,1.0,1.0
63,430,1.0,1.0
1175,393,1.0,1.0
705,703,1.0,1.0
221,218,1.0,1.0
89,251,0.0,1.0
1215,1291,1.0,1.0
65,955,1.0,1.0
804,360,1.0,1.0
417,806,1.0,1.0
79,82,1.0,1.0
135,351,1.0,1.0
273,664,1.0,1.0
484,1006,1.0,1.0
650,197,1.0,1.0
230,239,1.0,1.0
688,41,1.0,1.0
1067,916,1.0,1.0
350,793,1.0,1.0
234,576,1.0,1.0
232,574,1.0,1.0
447,950,1.0,1.0
1294,1295,1.0,1.0
928,776,1.0,1.0
63,881,1.0,1.0
362,65,1.0,1.0
249,631,1.0,1.0
1352,66,1.0,1.0
1205,1242,1.0,1.0
273,662,1.0,1.0
215,270,1.0,1.0
1328,758,1.0,1.0
335,347,1.0,1.0
1100,980,1.0,1.0
1412,393,1.0,1.0
441,442,1.0,1.0
129,347,1.0,1.0
905,918,1.0,1.0
576,1122,1.0,1.0
149,382,1.0,1.0
63,338,1.0,1.0
675,1248,1.0,1.0
436,925,1.0,1.0
695,694,1.0,1.0
182,450,1.0,1.0
832,826,1.0,1.0
1129,1310,1.0,1.0
1095,232,1.0,1.0
292,104,1.0,1.0
814,816,1.0,1.0
97,69,1.0,1.0
215,519,1.0,1.0
983,201,1.0,1.0
389,849,1.0,1.0
