edge_index0,edge_index1,pred,gr
112,258,1.0,1.0
656,1117,1.0,1.0
665,660,1.0,1.0
1024,1027,1.0,1.0
405,61,1.0,1.0
1186,705,1.0,1.0
248,667,1.0,1.0
18,50,1.0,1.0
321,703,1.0,1.0
210,988,1.0,1.0
248,253,1.0,1.0
31,30,1.0,1.0
415,57,1.0,1.0
953,1023,1.0,1.0
238,567,1.0,1.0
1152,202,1.0,1.0
42,605,1.0,1.0
671,730,1.0,1.0
190,453,1.0,1.0
985,507,1.0,1.0
254,602,1.0,1.0
794,235,1.0,1.0
478,113,1.0,1.0
502,974,1.0,1.0
182,181,1.0,1.0
160,390,1.0,1.0
75,30,1.0,1.0
152,235,1.0,1.0
145,358,1.0,1.0
78,206,1.0,1.0
720,360,1.0,1.0
1151,1071,1.0,1.0
149,363,1.0,1.0
72,70,1.0,1.0
768,345,1.0,1.0
193,465,1.0,1.0
1119,115,1.0,1.0
71,192,1.0,1.0
118,303,1.0,1.0
732,112,1.0,1.0
67,181,1.0,1.0
443,179,1.0,1.0
396,206,1.0,1.0
229,37,1.0,1.0
973,57,1.0,1.0
181,435,1.0,1.0
67,8,1.0,1.0
576,1055,1.0,1.0
704,1146,1.0,1.0
502,973,1.0,1.0
124,312,1.0,1.0
234,497,1.0,1.0
24,62,1.0,1.0
108,41,1.0,1.0
104,251,1.0,1.0
837,241,1.0,1.0
461,853,1.0,1.0
1184,705,1.0,1.0
387,437,1.0,1.0
29,30,1.0,1.0
112,1097,1.0,1.0
507,509,1.0,1.0
258,116,1.0,1.0
30,75,1.0,1.0
447,448,1.0,1.0
863,397,1.0,1.0
367,58,1.0,1.0
210,869,1.0,1.0
612,108,1.0,1.0
9,35,1.0,1.0
112,272,1.0,1.0
643,113,1.0,1.0
249,1116,0.0,1.0
61,60,1.0,1.0
295,297,0.0,1.0
1155,969,1.0,1.0
461,928,0.0,1.0
1054,1114,1.0,1.0
48,123,1.0,1.0
278,112,1.0,1.0
444,62,1.0,1.0
487,959,1.0,1.0
24,64,1.0,1.0
457,240,1.0,1.0
927,166,1.0,1.0
1077,248,1.0,1.0
640,1075,1.0,1.0
337,119,1.0,1.0
862,873,0.0,1.0
761,1155,1.0,1.0
908,643,1.0,1.0
787,57,1.0,1.0
636,248,1.0,1.0
862,206,1.0,1.0
564,1043,1.0,1.0
642,113,1.0,1.0
969,968,1.0,1.0
272,259,1.0,1.0
327,812,1.0,1.0
1031,345,1.0,1.0
586,272,1.0,1.0
847,112,1.0,1.0
40,104,1.0,1.0
616,1091,1.0,1.0
1056,360,1.0,1.0
605,42,1.0,1.0
330,323,1.0,1.0
440,888,1.0,1.0
24,68,1.0,1.0
22,17,1.0,1.0
983,209,1.0,1.0
1180,484,1.0,1.0
718,235,1.0,1.0
112,647,1.0,1.0
536,226,1.0,1.0
141,354,1.0,1.0
732,664,1.0,1.0
309,683,1.0,1.0
791,615,1.0,1.0
671,136,1.0,1.0
243,330,1.0,1.0
1067,1181,1.0,1.0
98,244,1.0,1.0
64,176,1.0,1.0
753,57,1.0,1.0
1096,1099,1.0,1.0
202,481,1.0,1.0
458,67,1.0,1.0
374,502,1.0,1.0
195,73,1.0,1.0
58,154,1.0,1.0
693,696,1.0,1.0
354,771,1.0,1.0
789,112,1.0,1.0
760,140,1.0,1.0
1180,1179,1.0,1.0
206,496,1.0,1.0
484,947,1.0,1.0
157,748,1.0,1.0
279,642,1.0,1.0
47,123,1.0,1.0
301,112,1.0,1.0
658,112,1.0,1.0
120,308,1.0,1.0
176,423,1.0,1.0
654,665,1.0,1.0
722,132,1.0,1.0
179,184,1.0,1.0
879,385,1.0,1.0
489,961,1.0,1.0
191,456,1.0,1.0
757,57,1.0,1.0
655,1116,1.0,1.0
466,464,1.0,1.0
118,299,1.0,1.0
429,160,1.0,1.0
46,0,1.0,1.0
119,120,1.0,1.0
58,810,1.0,1.0
400,850,1.0,1.0
462,210,1.0,1.0
543,232,1.0,1.0
799,149,1.0,1.0
428,182,1.0,1.0
360,799,1.0,1.0
112,994,1.0,1.0
202,868,1.0,1.0
1163,1150,1.0,1.0
537,226,1.0,1.0
1029,555,1.0,1.0
643,1112,1.0,1.0
281,732,1.0,1.0
397,399,1.0,1.0
245,96,1.0,1.0
484,948,1.0,1.0
258,304,1.0,1.0
369,824,1.0,1.0
353,765,1.0,1.0
447,435,0.0,1.0
51,129,1.0,1.0
660,1121,1.0,1.0
830,162,1.0,1.0
377,831,1.0,1.0
257,605,1.0,1.0
956,958,1.0,1.0
489,959,1.0,1.0
30,75,1.0,1.0
800,235,1.0,1.0
172,213,1.0,1.0
656,1118,1.0,1.0
476,515,1.0,1.0
420,725,1.0,1.0
58,1151,1.0,1.0
245,99,1.0,1.0
644,280,1.0,1.0
310,688,1.0,1.0
397,842,1.0,1.0
871,242,1.0,1.0
1083,267,1.0,1.0
283,653,1.0,1.0
840,176,1.0,1.0
250,108,1.0,1.0
400,847,1.0,1.0
46,118,1.0,1.0
874,175,1.0,1.0
27,71,1.0,1.0
657,294,1.0,1.0
497,234,1.0,1.0
720,1170,1.0,1.0
129,323,1.0,1.0
212,521,1.0,1.0
17,46,1.0,1.0
858,385,1.0,1.0
277,646,1.0,1.0
641,644,1.0,1.0
57,289,1.0,1.0
461,875,1.0,1.0
670,732,1.0,1.0
162,830,1.0,1.0
1172,327,1.0,1.0
812,893,1.0,1.0
32,80,1.0,1.0
418,557,1.0,1.0
205,491,1.0,1.0
781,761,1.0,1.0
107,108,1.0,1.0
702,131,1.0,1.0
272,297,1.0,1.0
802,804,1.0,1.0
422,876,1.0,1.0
713,57,1.0,1.0
510,986,1.0,1.0
440,887,1.0,1.0
533,481,1.0,1.0
349,195,1.0,1.0
114,282,1.0,1.0
279,112,1.0,1.0
743,57,1.0,1.0
944,761,1.0,1.0
331,330,1.0,1.0
754,58,1.0,1.0
462,466,1.0,1.0
128,48,1.0,1.0
306,262,1.0,1.0
60,61,1.0,1.0
317,310,1.0,1.0
334,136,1.0,1.0
26,70,1.0,1.0
799,362,1.0,1.0
457,491,1.0,1.0
461,402,1.0,1.0
848,207,1.0,1.0
664,1115,0.0,1.0
229,227,1.0,1.0
437,1033,1.0,1.0
461,876,1.0,1.0
269,621,1.0,1.0
942,643,1.0,1.0
732,281,1.0,1.0
782,1155,1.0,1.0
722,1172,1.0,1.0
309,685,1.0,1.0
112,658,1.0,1.0
330,1175,1.0,1.0
506,267,1.0,1.0
389,390,1.0,1.0
336,131,1.0,1.0
121,123,1.0,1.0
297,295,0.0,1.0
217,526,1.0,1.0
729,1183,1.0,1.0
534,227,1.0,1.0
322,325,1.0,1.0
915,964,1.0,1.0
903,904,1.0,1.0
309,1132,1.0,1.0
585,1060,1.0,1.0
850,166,1.0,1.0
119,337,1.0,1.0
218,528,1.0,1.0
256,604,1.0,1.0
660,112,1.0,1.0
858,160,1.0,1.0
37,89,1.0,1.0
660,652,1.0,1.0
904,571,1.0,1.0
609,272,1.0,1.0
619,1095,1.0,1.0
353,769,1.0,1.0
812,327,1.0,1.0
853,461,1.0,1.0
837,388,1.0,1.0
1055,40,1.0,1.0
671,676,1.0,1.0
149,362,1.0,1.0
351,759,1.0,1.0
812,945,1.0,1.0
23,56,1.0,1.0
293,118,1.0,1.0
160,65,1.0,1.0
358,137,1.0,1.0
93,100,1.0,1.0
323,706,1.0,1.0
516,990,1.0,1.0
55,135,1.0,1.0
769,774,1.0,1.0
32,78,1.0,1.0
1039,1049,1.0,1.0
1074,1117,1.0,1.0
237,558,1.0,1.0
116,289,1.0,1.0
662,258,1.0,1.0
604,1073,1.0,1.0
112,300,1.0,1.0
1007,232,1.0,1.0
596,206,1.0,1.0
563,559,1.0,1.0
502,139,1.0,1.0
957,960,1.0,1.0
338,134,1.0,1.0
552,502,1.0,1.0
360,793,1.0,1.0
353,741,1.0,1.0
61,159,1.0,1.0
112,638,1.0,1.0
84,539,1.0,1.0
101,96,1.0,1.0
112,609,1.0,1.0
60,158,1.0,1.0
112,54,1.0,1.0
773,496,1.0,1.0
616,1127,1.0,1.0
604,1076,1.0,1.0
626,235,1.0,1.0
811,364,1.0,1.0
202,486,1.0,1.0
959,76,1.0,1.0
255,112,1.0,1.0
57,745,1.0,1.0
179,431,1.0,1.0
160,384,1.0,1.0
107,255,1.0,1.0
1066,1067,1.0,1.0
216,523,1.0,1.0
166,395,1.0,1.0
968,499,1.0,1.0
959,487,1.0,1.0
549,1024,1.0,1.0
400,853,1.0,1.0
1056,798,1.0,1.0
434,443,1.0,1.0
461,810,0.0,1.0
145,357,1.0,1.0
67,158,1.0,1.0
561,1038,1.0,1.0
