edge_index0,edge_index1,pred,gr
666,699,0.0,1.0
1238,1056,1.0,1.0
1557,861,1.0,1.0
391,381,1.0,1.0
393,986,1.0,1.0
1736,1680,1.0,1.0
498,497,1.0,1.0
1253,64,0.0,1.0
658,204,1.0,1.0
1590,464,1.0,1.0
1065,568,1.0,1.0
657,640,0.0,1.0
137,465,1.0,1.0
900,348,1.0,1.0
1573,1990,1.0,1.0
64,464,1.0,1.0
963,825,1.0,1.0
87,11,1.0,1.0
1443,1966,1.0,1.0
393,639,0.0,1.0
1782,1533,1.0,1.0
1364,1906,1.0,1.0
118,115,1.0,1.0
1320,1310,1.0,1.0
357,38,1.0,1.0
758,1439,0.0,1.0
1791,1233,1.0,1.0
366,942,1.0,1.0
1457,1975,1.0,1.0
168,455,1.0,1.0
746,1171,1.0,1.0
1565,406,1.0,1.0
80,289,1.0,1.0
67,184,1.0,1.0
2015,992,1.0,1.0
2157,2158,1.0,1.0
1401,1429,1.0,1.0
1842,923,0.0,1.0
1084,1752,1.0,1.0
534,593,1.0,1.0
1565,1458,1.0,1.0
2001,1990,1.0,1.0
1120,1001,1.0,1.0
1369,1907,1.0,1.0
586,587,1.0,1.0
629,664,1.0,1.0
893,1362,1.0,1.0
568,539,1.0,1.0
2017,843,0.0,1.0
395,1000,0.0,1.0
1046,1712,1.0,1.0
1811,2081,1.0,1.0
396,397,1.0,1.0
1021,1025,1.0,1.0
407,126,1.0,1.0
1787,1145,1.0,1.0
1490,1482,1.0,1.0
342,94,1.0,1.0
1471,858,1.0,1.0
488,561,1.0,1.0
393,242,1.0,1.0
1685,2028,1.0,1.0
156,524,1.0,1.0
2001,1502,1.0,1.0
1624,966,1.0,1.0
27,76,1.0,1.0
424,219,1.0,1.0
2136,1096,1.0,1.0
557,556,1.0,1.0
1484,2001,1.0,1.0
489,46,1.0,1.0
989,1174,1.0,1.0
844,1522,1.0,1.0
2057,1857,1.0,1.0
2133,642,1.0,1.0
65,209,1.0,1.0
1932,967,1.0,1.0
597,1241,1.0,1.0
1111,1592,1.0,1.0
101,363,1.0,1.0
557,137,1.0,1.0
1873,641,1.0,1.0
743,1171,1.0,1.0
97,358,1.0,1.0
575,1201,1.0,1.0
35,32,1.0,1.0
812,820,1.0,1.0
490,1099,1.0,1.0
1625,1624,1.0,1.0
1704,349,1.0,1.0
1713,777,1.0,1.0
622,624,1.0,1.0
812,813,1.0,1.0
392,834,1.0,1.0
697,1357,1.0,1.0
1643,1638,1.0,1.0
67,258,1.0,1.0
648,653,1.0,1.0
237,653,1.0,1.0
2072,1935,1.0,1.0
721,217,1.0,1.0
1721,1724,1.0,1.0
1824,482,1.0,1.0
1340,880,1.0,1.0
1586,1418,0.0,1.0
1630,1438,1.0,1.0
1050,718,1.0,1.0
518,222,1.0,1.0
963,314,1.0,1.0
1048,1026,1.0,1.0
1936,2077,1.0,1.0
44,127,1.0,1.0
488,487,1.0,1.0
2050,26,1.0,1.0
1797,2169,1.0,1.0
64,436,1.0,1.0
139,489,1.0,1.0
2139,1898,1.0,1.0
861,1548,1.0,1.0
622,219,1.0,1.0
1370,1373,1.0,1.0
641,739,1.0,1.0
851,1540,1.0,1.0
2065,2064,1.0,1.0
1324,727,1.0,1.0
417,421,1.0,1.0
807,1479,1.0,1.0
57,64,1.0,1.0
901,1522,1.0,1.0
1947,1683,1.0,1.0
44,129,1.0,1.0
1197,555,1.0,1.0
118,406,1.0,1.0
1069,542,1.0,1.0
65,1297,1.0,1.0
1357,688,1.0,1.0
525,60,1.0,1.0
668,1338,1.0,1.0
205,625,1.0,1.0
1847,1052,1.0,1.0
1112,1111,1.0,1.0
1077,1747,1.0,1.0
