edge_index0,edge_index1,pred,gr
1183,1537,1.0,1.0
172,462,1.0,1.0
909,580,1.0,1.0
760,1308,1.0,1.0
1422,1444,1.0,1.0
659,1217,1.0,1.0
921,1414,1.0,1.0
1382,1453,1.0,1.0
321,127,1.0,1.0
310,731,1.0,1.0
71,889,0.0,1.0
1391,1389,1.0,1.0
1721,1132,1.0,1.0
1217,1056,1.0,1.0
492,989,1.0,1.0
416,418,1.0,1.0
84,211,0.0,1.0
269,679,1.0,1.0
81,243,1.0,1.0
52,124,1.0,1.0
1037,1538,1.0,1.0
232,601,1.0,1.0
310,737,1.0,1.0
515,4,1.0,1.0
281,694,1.0,1.0
905,701,1.0,1.0
1343,1132,1.0,1.0
1358,1548,1.0,1.0
397,283,1.0,1.0
177,259,1.0,1.0
157,42,1.0,1.0
1550,607,1.0,1.0
814,1337,0.0,1.0
1282,1774,1.0,1.0
1161,524,1.0,1.0
746,585,1.0,1.0
232,594,1.0,1.0
1296,498,1.0,1.0
1182,1183,1.0,1.0
371,858,1.0,1.0
274,655,1.0,1.0
52,118,1.0,1.0
472,955,1.0,1.0
1621,1092,1.0,1.0
436,158,1.0,1.0
619,1175,1.0,1.0
539,537,1.0,1.0
238,521,1.0,1.0
1507,483,1.0,1.0
487,978,1.0,1.0
1240,1132,1.0,1.0
1370,327,0.0,1.0
52,319,1.0,1.0
79,83,1.0,1.0
157,426,1.0,1.0
687,1250,1.0,1.0
69,34,1.0,1.0
493,992,1.0,1.0
1697,1004,1.0,1.0
563,229,1.0,1.0
955,1455,1.0,1.0
678,684,1.0,1.0
52,1253,1.0,1.0
285,1239,1.0,1.0
1215,1708,1.0,1.0
1547,652,1.0,1.0
469,175,1.0,1.0
332,338,1.0,1.0
1038,1039,1.0,1.0
541,939,0.0,1.0
1419,1417,1.0,1.0
367,268,1.0,1.0
1299,231,1.0,1.0
766,314,1.0,1.0
98,301,0.0,1.0
252,647,1.0,1.0
695,1261,1.0,1.0
959,748,1.0,1.0
538,540,1.0,1.0
457,393,1.0,1.0
610,831,1.0,1.0
17,45,1.0,1.0
1802,1598,1.0,1.0
819,330,1.0,1.0
268,360,1.0,1.0
1715,535,1.0,1.0
1767,1778,1.0,1.0
106,308,1.0,1.0
535,1051,1.0,1.0
152,318,1.0,1.0
1133,1348,1.0,1.0
608,652,1.0,1.0
375,865,1.0,1.0
69,199,1.0,1.0
681,99,1.0,1.0
231,1112,0.0,1.0
815,52,1.0,1.0
393,456,1.0,1.0
1143,1392,1.0,1.0
181,484,1.0,1.0
1159,609,1.0,1.0
997,1517,1.0,1.0
1109,1132,1.0,1.0
1046,268,1.0,1.0
752,231,1.0,1.0
267,499,0.0,1.0
550,1073,1.0,1.0
595,529,1.0,1.0
794,52,1.0,1.0
655,678,1.0,1.0
1781,1022,0.0,1.0
789,788,1.0,1.0
1239,1614,0.0,1.0
79,239,1.0,1.0
960,1460,1.0,1.0
1591,1824,1.0,1.0
1346,1283,1.0,1.0
1768,987,1.0,1.0
972,1132,1.0,1.0
1296,1801,1.0,1.0
1579,1582,1.0,1.0
1723,822,1.0,1.0
1713,535,1.0,1.0
490,251,1.0,1.0
213,215,1.0,1.0
661,844,1.0,1.0
188,491,1.0,1.0
346,299,1.0,1.0
329,788,1.0,1.0
224,553,1.0,1.0
1239,1121,1.0,1.0
250,257,1.0,1.0
87,241,1.0,1.0
999,1296,1.0,1.0
1489,750,0.0,1.0
841,691,1.0,1.0
968,245,1.0,1.0
548,73,1.0,1.0
305,101,1.0,1.0
42,94,1.0,1.0
167,82,1.0,1.0
1498,918,1.0,1.0
34,242,1.0,1.0
157,421,1.0,1.0
58,162,1.0,1.0
547,73,1.0,1.0
28,73,1.0,1.0
312,746,1.0,1.0
702,1263,1.0,1.0
230,559,1.0,1.0
1022,1781,0.0,1.0
645,783,1.0,1.0
553,225,1.0,1.0
1698,1418,1.0,1.0
1031,1023,1.0,1.0
1747,687,1.0,1.0
1692,488,1.0,1.0
548,582,1.0,1.0
1133,1637,1.0,1.0
34,24,1.0,1.0
269,678,1.0,1.0
115,320,1.0,1.0
237,527,1.0,1.0
280,691,1.0,1.0
188,488,1.0,1.0
1202,535,1.0,1.0
358,829,1.0,1.0
1059,126,1.0,1.0
1685,619,1.0,1.0
961,1463,0.0,1.0
162,163,1.0,1.0
719,375,1.0,1.0
1133,356,1.0,1.0
422,401,1.0,1.0
535,843,1.0,1.0
1688,529,1.0,1.0
176,481,1.0,1.0
541,1553,1.0,1.0
706,130,1.0,1.0
93,269,1.0,1.0
862,260,1.0,1.0
960,1461,1.0,1.0
822,126,1.0,1.0
946,890,1.0,1.0
612,917,1.0,1.0
795,52,1.0,1.0
338,396,1.0,1.0
1318,1220,1.0,1.0
1743,1428,1.0,1.0
369,853,1.0,1.0
866,125,1.0,1.0
1314,1823,0.0,1.0
1254,1252,1.0,1.0
655,276,1.0,1.0
535,1359,1.0,1.0
463,66,1.0,1.0
714,1270,1.0,1.0
489,67,1.0,1.0
1194,1697,1.0,1.0
532,313,1.0,1.0
105,107,1.0,1.0
690,52,1.0,1.0
8,34,1.0,1.0
498,410,1.0,1.0
1147,595,1.0,1.0
1295,1431,1.0,1.0
615,1792,1.0,1.0
1189,1691,1.0,1.0
160,437,1.0,1.0
1007,1521,1.0,1.0
1818,1815,1.0,1.0
372,676,0.0,1.0
295,113,1.0,1.0
1687,529,1.0,1.0
259,250,1.0,1.0
413,318,0.0,1.0
81,66,1.0,1.0
1497,1698,1.0,1.0
765,1314,1.0,1.0
728,1284,0.0,1.0
141,405,1.0,1.0
318,100,1.0,1.0
524,1022,1.0,1.0
576,1120,1.0,1.0
1579,970,1.0,1.0
516,206,1.0,1.0
1194,215,1.0,1.0
717,716,1.0,1.0
1827,1314,1.0,1.0
616,639,1.0,1.0
1039,1179,1.0,1.0
615,1168,1.0,1.0
1132,1085,1.0,1.0
411,907,1.0,1.0
974,1494,1.0,1.0
649,92,1.0,1.0
1239,285,1.0,1.0
1097,1086,1.0,1.0
52,419,1.0,1.0
770,268,1.0,1.0
271,686,1.0,1.0
375,863,1.0,1.0
778,819,1.0,1.0
168,34,1.0,1.0
1190,1461,1.0,1.0
356,268,1.0,1.0
1076,550,1.0,1.0
1709,1828,1.0,1.0
532,531,1.0,1.0
1132,673,1.0,1.0
