edge_index0,edge_index1,pred,gr
482,865,1.0,1.0
1258,663,1.0,1.0
1035,522,1.0,1.0
276,634,0.0,1.0
1245,1165,1.0,1.0
346,345,1.0,1.0
171,169,1.0,1.0
1080,321,1.0,1.0
675,405,1.0,1.0
868,1426,1.0,1.0
121,1265,1.0,1.0
553,244,1.0,1.0
64,321,1.0,1.0
82,11,1.0,1.0
964,1529,1.0,1.0
272,1451,1.0,1.0
1327,1332,1.0,1.0
1042,1608,1.0,1.0
285,104,1.0,1.0
1283,1666,1.0,1.0
253,38,1.0,1.0
470,957,1.0,1.0
1345,1274,1.0,1.0
626,1172,0.0,1.0
152,314,1.0,1.0
1123,777,1.0,1.0
1048,643,1.0,1.0
75,200,1.0,1.0
67,167,0.0,1.0
1835,1836,1.0,1.0
1738,1205,1.0,1.0
1446,573,1.0,1.0
403,815,1.0,1.0
382,797,1.0,1.0
1048,1527,1.0,1.0
740,629,1.0,1.0
897,1465,1.0,1.0
1369,1252,1.0,1.0
871,480,1.0,1.0
1069,908,1.0,1.0
405,388,1.0,1.0
274,614,1.0,1.0
1354,1840,1.0,1.0
280,277,1.0,1.0
655,659,1.0,1.0
1111,110,1.0,1.0
1340,760,1.0,1.0
1521,1057,1.0,1.0
238,89,1.0,1.0
1586,518,1.0,1.0
337,699,1.0,1.0
1505,1589,1.0,1.0
140,372,1.0,1.0
1124,600,1.0,1.0
27,73,1.0,1.0
1796,411,1.0,1.0
1798,714,1.0,1.0
702,709,1.0,1.0
339,46,1.0,1.0
1235,783,1.0,1.0
504,988,1.0,1.0
1656,1654,1.0,1.0
1785,426,1.0,1.0
65,448,1.0,1.0
1652,636,1.0,1.0
579,1105,1.0,1.0
734,1084,1.0,1.0
94,257,1.0,1.0
702,121,1.0,1.0
1120,777,1.0,1.0
93,254,1.0,1.0
705,1263,1.0,1.0
35,32,1.0,1.0
1083,940,1.0,1.0
338,723,1.0,1.0
1125,1124,1.0,1.0
1349,245,1.0,1.0
1712,1419,1.0,1.0
416,846,1.0,1.0
1083,514,1.0,1.0
1694,1015,1.0,1.0
423,874,1.0,1.0
1197,1198,1.0,1.0
67,432,1.0,1.0
845,1136,1.0,1.0
602,1136,1.0,1.0
450,886,1.0,1.0
928,923,1.0,1.0
1054,542,1.0,1.0
1076,1509,1.0,1.0
1530,956,1.0,1.0
1182,446,1.0,1.0
366,417,1.0,1.0
1714,1358,1.0,1.0
44,111,1.0,1.0
337,336,1.0,1.0
1637,26,1.0,1.0
909,1479,1.0,1.0
64,296,1.0,1.0
123,339,0.0,1.0
1814,1813,1.0,1.0
522,1022,1.0,1.0
416,411,1.0,1.0
933,863,1.0,1.0
694,1134,1.0,1.0
1672,1671,1.0,1.0
1676,1112,1.0,1.0
524,1025,1.0,1.0
57,64,1.0,1.0
557,988,1.0,1.0
44,113,1.0,1.0
1142,613,1.0,1.0
285,643,1.0,1.0
65,173,1.0,1.0
874,888,1.0,1.0
375,60,1.0,1.0
1414,429,1.0,1.0
1501,925,1.0,1.0
735,734,1.0,1.0
452,946,1.0,1.0
82,226,1.0,1.0
1058,1056,1.0,1.0
1522,1083,1.0,1.0
1053,241,1.0,1.0
657,1235,1.0,1.0
1749,452,1.0,1.0
43,106,1.0,1.0
64,706,1.0,1.0
195,474,1.0,1.0
1550,1549,1.0,1.0
437,908,1.0,1.0
