edge_index0,edge_index1,pred,gr
863,1244,1.0,1.0
136,326,1.0,1.0
561,992,1.0,1.0
1113,1295,1.0,1.0
632,1077,1.0,1.0
652,1103,1.0,1.0
255,542,1.0,1.0
69,752,1.0,1.0
1491,572,1.0,1.0
1077,1078,1.0,1.0
692,1165,1.0,1.0
298,301,1.0,1.0
79,167,0.0,1.0
218,487,1.0,1.0
78,199,1.0,1.0
52,616,1.0,1.0
754,1247,1.0,1.0
189,1326,1.0,1.0
255,546,1.0,1.0
388,4,1.0,1.0
232,510,1.0,1.0
1410,516,1.0,1.0
495,228,1.0,1.0
144,209,1.0,1.0
131,42,1.0,1.0
1256,822,1.0,1.0
913,1401,1.0,1.0
963,1440,1.0,1.0
841,771,1.0,1.0
551,983,1.0,1.0
978,1460,1.0,1.0
860,863,1.0,1.0
111,267,1.0,1.0
220,490,1.0,1.0
346,672,1.0,1.0
320,132,1.0,1.0
454,851,1.0,1.0
404,402,1.0,1.0
195,396,1.0,1.0
358,702,1.0,1.0
52,1052,0.0,1.0
77,198,1.0,1.0
131,309,1.0,1.0
278,583,1.0,1.0
67,34,1.0,1.0
437,816,1.0,1.0
427,186,1.0,1.0
672,1135,1.0,1.0
486,906,1.0,1.0
52,1062,1.0,1.0
230,997,1.0,1.0
903,1391,1.0,1.0
1406,482,1.0,1.0
337,142,1.0,1.0
1054,1042,1.0,1.0
931,110,1.0,1.0
741,855,1.0,1.0
1109,1106,1.0,1.0
1064,315,1.0,1.0
982,188,1.0,1.0
1479,259,1.0,1.0
93,246,1.0,1.0
368,721,1.0,1.0
511,938,1.0,1.0
673,553,1.0,1.0
403,405,1.0,1.0
687,676,1.0,1.0
567,109,1.0,1.0
449,897,1.0,1.0
17,45,1.0,1.0
315,498,1.0,1.0
1431,1444,1.0,1.0
101,253,1.0,1.0
406,918,1.0,1.0
126,282,1.0,1.0
447,482,1.0,1.0
477,881,1.0,1.0
493,94,1.0,1.0
914,52,1.0,1.0
676,629,1.0,1.0
825,1240,1.0,1.0
149,355,1.0,1.0
839,448,1.0,1.0
1465,1220,1.0,1.0
265,572,1.0,1.0
814,315,1.0,1.0
221,372,1.0,1.0
418,784,1.0,1.0
846,393,1.0,1.0
597,52,1.0,1.0
490,486,1.0,1.0
1031,1264,1.0,1.0
997,1499,1.0,1.0
77,196,1.0,1.0
674,1138,1.0,1.0
1033,964,1.0,1.0
1432,715,0.0,1.0
696,572,1.0,1.0
