edge_index0,edge_index1,pred,gr
489,926,1.0,1.0
867,698,1.0,1.0
1068,549,1.0,1.0
285,269,1.0,1.0
1248,1211,1.0,1.0
346,345,1.0,1.0
849,64,1.0,1.0
177,439,1.0,1.0
1124,320,1.0,1.0
1407,842,1.0,1.0
881,1434,1.0,1.0
123,327,1.0,1.0
1101,1567,1.0,1.0
64,320,1.0,1.0
637,528,1.0,1.0
83,11,1.0,1.0
966,1516,0.0,1.0
1308,1312,1.0,1.0
1079,1623,0.0,1.0
282,102,1.0,1.0
1648,1688,1.0,1.0
262,38,1.0,1.0
476,961,1.0,1.0
1340,1269,1.0,1.0
254,1651,1.0,1.0
1511,1917,1.0,1.0
154,314,1.0,1.0
1085,661,1.0,1.0
620,609,1.0,1.0
67,188,0.0,1.0
1736,1185,1.0,1.0
1486,1487,0.0,1.0
1825,1350,1.0,1.0
1657,602,1.0,1.0
413,864,0.0,1.0
383,826,1.0,1.0
1085,1513,1.0,1.0
1954,1567,1.0,1.0
758,663,1.0,1.0
1044,1581,1.0,1.0
1380,848,1.0,1.0
876,486,1.0,1.0
584,1104,1.0,1.0
842,389,1.0,1.0
1961,534,0.0,1.0
1959,1958,1.0,1.0
283,662,1.0,1.0
1361,1831,0.0,1.0
284,286,1.0,1.0
1974,1977,1.0,1.0
281,112,1.0,1.0
1321,780,1.0,1.0
2103,67,0.0,1.0
1952,1008,1.0,1.0
237,90,1.0,1.0
986,545,1.0,1.0
338,415,1.0,1.0
1710,1594,1.0,1.0
1238,2060,1.0,1.0
142,377,1.0,1.0
1684,643,1.0,1.0
27,71,1.0,1.0
1779,438,1.0,1.0
732,725,1.0,1.0
1712,1954,1.0,1.0
339,46,1.0,1.0
1829,809,1.0,1.0
535,1040,1.0,1.0
451,449,1.0,1.0
1772,544,1.0,1.0
65,878,1.0,1.0
1661,691,1.0,1.0
607,1671,1.0,1.0
754,1126,1.0,1.0
1192,1714,1.0,1.0
732,123,1.0,1.0
1172,1171,1.0,1.0
97,264,1.0,1.0
735,1266,1.0,1.0
35,32,1.0,1.0
514,999,1.0,1.0
720,742,1.0,1.0
1166,1684,1.0,1.0
1529,244,1.0,1.0
1730,953,1.0,1.0
441,902,1.0,1.0
514,943,1.0,1.0
292,688,0.0,1.0
923,1472,1.0,1.0
1745,1231,1.0,1.0
67,456,1.0,1.0
644,910,1.0,1.0
1742,1744,0.0,1.0
1439,894,1.0,1.0
1625,1900,1.0,1.0
2078,331,1.0,1.0
1090,573,1.0,1.0
1119,939,1.0,1.0
1518,960,1.0,1.0
1885,2088,1.0,1.0
1221,1462,0.0,1.0
366,797,1.0,1.0
637,532,1.0,1.0
1733,1365,1.0,1.0
2054,1749,1.0,1.0
44,113,1.0,1.0
338,337,1.0,1.0
1653,26,1.0,1.0
64,297,1.0,1.0
125,339,1.0,1.0
1790,1789,1.0,1.0
549,1051,1.0,1.0
441,438,1.0,1.0
1592,918,1.0,1.0
1171,1644,1.0,1.0
1922,1921,1.0,1.0
803,1179,1.0,1.0
1928,1525,1.0,1.0
552,1058,1.0,1.0
995,1545,1.0,1.0
57,64,1.0,1.0
1629,1040,1.0,1.0
1679,1709,1.0,1.0
44,115,1.0,1.0
1184,655,1.0,1.0
282,661,1.0,1.0
1842,393,0.0,1.0
65,1438,1.0,1.0
1472,905,1.0,1.0
372,60,1.0,1.0
873,1421,0.0,1.0
897,436,1.0,1.0
1528,1490,1.0,1.0
755,754,1.0,1.0
709,1259,1.0,1.0
83,224,1.0,1.0
1661,1181,1.0,1.0
1093,1092,1.0,1.0
1565,514,1.0,1.0
1035,240,1.0,1.0
1359,1829,1.0,1.0
2107,709,1.0,1.0
43,276,1.0,1.0
64,736,1.0,1.0
195,480,1.0,1.0
1527,1504,1.0,1.0
1587,1586,1.0,1.0
1963,240,1.0,1.0
592,1104,1.0,1.0
445,446,1.0,1.0
1247,642,1.0,1.0
220,545,1.0,1.0
1490,1558,1.0,1.0
2056,1235,1.0,1.0
283,287,1.0,1.0
1096,1635,1.0,1.0
1168,1686,1.0,1.0
671,688,0.0,1.0
1114,1644,1.0,1.0
1410,972,1.0,1.0
278,649,1.0,1.0
1406,1405,1.0,1.0
33,34,1.0,1.0
1520,1523,1.0,1.0
441,897,1.0,1.0
1129,1183,1.0,1.0
952,1004,1.0,1.0
1917,494,1.0,1.0
2018,939,1.0,1.0
1133,1134,1.0,1.0
1436,427,1.0,1.0
1358,1355,1.0,1.0
260,100,1.0,1.0
778,1171,1.0,1.0
1612,1562,1.0,1.0
454,939,1.0,1.0
554,230,1.0,1.0
1175,1696,1.0,1.0
1497,992,1.0,1.0
1669,2016,1.0,1.0
989,1550,1.0,1.0
1359,1360,1.0,1.0
2082,1784,1.0,1.0
1335,812,1.0,1.0
729,1277,1.0,1.0
517,1009,1.0,1.0
1394,164,1.0,1.0
528,1025,0.0,1.0
1490,1902,1.0,1.0
2092,1301,1.0,1.0
709,1262,1.0,1.0
1230,1739,1.0,1.0
108,285,1.0,1.0
703,1247,1.0,1.0
446,456,1.0,1.0
136,353,1.0,1.0
1060,1600,1.0,1.0
449,451,1.0,1.0
69,26,1.0,1.0
838,163,1.0,1.0
79,618,0.0,1.0
438,930,1.0,1.0
1233,278,1.0,1.0
1260,1759,1.0,1.0
1056,83,1.0,1.0
1942,1190,1.0,1.0
407,842,1.0,1.0
1461,1221,1.0,1.0
1398,406,1.0,1.0
1088,1193,1.0,1.0
693,1227,1.0,1.0
393,366,1.0,1.0
1540,1944,1.0,1.0
1461,1044,1.0,1.0
720,745,1.0,1.0
912,1431,1.0,1.0
724,324,0.0,1.0
1816,2102,1.0,1.0
2084,754,1.0,1.0
1013,76,1.0,1.0
2007,1789,1.0,1.0
1225,1737,1.0,1.0
1738,1749,1.0,1.0
1788,2080,1.0,1.0
1779,734,1.0,1.0
44,111,1.0,1.0
278,1236,1.0,1.0
46,117,1.0,1.0
2033,1698,1.0,1.0
1946,1541,0.0,1.0
278,1233,1.0,1.0
433,436,1.0,1.0
363,355,1.0,1.0
1701,1175,1.0,1.0
1888,419,1.0,1.0
335,175,1.0,1.0
438,1390,1.0,1.0
825,731,1.0,1.0
514,997,1.0,1.0
356,777,1.0,1.0
1797,1218,1.0,1.0
894,897,1.0,1.0
534,1961,0.0,1.0
76,205,1.0,1.0
1133,878,1.0,1.0
353,754,1.0,1.0
1686,2023,1.0,1.0
200,198,1.0,1.0
1307,1802,1.0,1.0
1738,1233,1.0,1.0
1464,673,1.0,1.0
1238,2057,1.0,1.0
1749,1738,1.0,1.0
1174,1173,1.0,1.0
1458,1282,0.0,1.0
64,723,1.0,1.0
662,107,1.0,1.0
1779,873,1.0,1.0
788,563,1.0,1.0
1408,718,1.0,1.0
1031,243,1.0,1.0
987,1007,1.0,1.0
387,386,1.0,1.0
565,1072,1.0,1.0
1798,1800,1.0,1.0
366,364,1.0,1.0
1811,1810,1.0,1.0
997,1556,1.0,1.0
964,1522,1.0,1.0
943,1499,1.0,1.0
747,746,1.0,1.0
64,390,1.0,1.0
515,1003,1.0,1.0
1476,65,1.0,1.0
114,305,1.0,1.0
2095,2087,1.0,1.0
131,345,1.0,1.0
12,9,1.0,1.0
709,120,1.0,1.0
116,308,1.0,1.0
2016,1146,0.0,1.0
1341,1188,1.0,1.0
747,765,1.0,1.0
139,363,1.0,1.0
1847,725,1.0,1.0
438,441,1.0,1.0
347,765,1.0,1.0
1436,437,1.0,1.0
1000,980,1.0,1.0
1120,1649,1.0,1.0
1518,1512,1.0,1.0
777,137,1.0,1.0
1569,1636,1.0,1.0
1053,1048,1.0,1.0
1576,1685,1.0,1.0
1193,934,1.0,1.0
593,535,1.0,1.0
1098,1583,1.0,1.0
278,1114,1.0,1.0
64,1375,1.0,1.0
80,211,1.0,1.0
810,1366,0.0,1.0
1516,966,0.0,1.0
158,376,1.0,1.0
1699,1700,1.0,1.0
1494,1441,1.0,1.0
605,91,1.0,1.0
1640,589,1.0,1.0
1975,1972,1.0,1.0
932,243,1.0,1.0
1783,2083,1.0,1.0
868,168,1.0,1.0
1426,428,1.0,1.0
879,1432,1.0,1.0
754,2084,1.0,1.0
780,781,1.0,1.0
707,64,1.0,1.0
1303,1685,1.0,1.0
914,278,1.0,1.0
611,1120,0.0,1.0
915,923,1.0,1.0
65,897,1.0,1.0
1377,823,0.0,1.0
365,453,1.0,1.0
618,38,1.0,1.0
790,1337,1.0,1.0
72,198,1.0,1.0
589,1109,1.0,1.0
1278,728,1.0,1.0
2104,1357,1.0,1.0
551,554,1.0,1.0
922,1471,1.0,1.0
1463,807,1.0,1.0
65,1472,1.0,1.0
910,547,1.0,1.0
1069,1606,1.0,1.0
1644,1645,1.0,1.0
727,123,1.0,1.0
2103,1599,1.0,1.0
