edge_index0,edge_index1,pred,gr
836,1297,1.0,1.0
136,324,1.0,1.0
625,414,1.0,1.0
1095,1562,1.0,1.0
635,892,1.0,1.0
651,1086,1.0,1.0
1699,1108,1.0,1.0
1711,854,1.0,1.0
1040,1398,1.0,1.0
69,842,0.0,1.0
1291,1633,1.0,1.0
1538,599,1.0,1.0
1685,1684,1.0,1.0
892,1063,1.0,1.0
360,692,1.0,1.0
293,297,1.0,1.0
80,165,0.0,1.0
486,895,1.0,1.0
79,197,1.0,1.0
52,902,1.0,1.0
1171,1608,1.0,1.0
185,423,1.0,1.0
258,559,1.0,1.0
375,4,1.0,1.0
229,508,1.0,1.0
1366,517,1.0,1.0
1183,599,1.0,1.0
1754,1350,1.0,1.0
487,232,1.0,1.0
144,206,1.0,1.0
131,42,1.0,1.0
1197,429,1.0,1.0
900,1367,1.0,1.0
966,1434,1.0,1.0
819,387,1.0,1.0
567,983,1.0,1.0
1640,1121,1.0,1.0
978,370,1.0,1.0
833,836,1.0,1.0
433,815,1.0,1.0
1365,896,0.0,1.0
52,1766,1.0,1.0
338,673,1.0,1.0
1642,777,1.0,1.0
317,132,1.0,1.0
440,828,1.0,1.0
393,391,1.0,1.0
191,446,1.0,1.0
1147,352,1.0,1.0
861,1322,1.0,1.0
1342,599,1.0,1.0
1370,1745,1.0,1.0
1773,608,1.0,1.0
52,613,1.0,1.0
78,85,1.0,1.0
131,307,1.0,1.0
500,913,1.0,1.0
67,34,1.0,1.0
361,695,1.0,1.0
1320,1103,1.0,1.0
412,182,1.0,1.0
1644,777,1.0,1.0
673,1111,1.0,1.0
1812,625,1.0,1.0
485,489,1.0,1.0
52,916,1.0,1.0
233,996,1.0,1.0
881,1352,1.0,1.0
1375,475,1.0,1.0
335,142,1.0,1.0
1170,747,1.0,1.0
932,112,0.0,1.0
1189,1623,1.0,1.0
390,743,1.0,1.0
1091,1089,1.0,1.0
538,220,1.0,1.0
982,184,1.0,1.0
989,262,1.0,1.0
93,249,1.0,1.0
208,794,1.0,1.0
509,927,1.0,1.0
674,569,1.0,1.0
392,394,1.0,1.0
984,843,1.0,1.0
432,733,1.0,1.0
17,45,1.0,1.0
1524,611,1.0,1.0
220,537,1.0,1.0
890,382,1.0,1.0
1426,1438,1.0,1.0
101,256,1.0,1.0
382,906,1.0,1.0
126,294,1.0,1.0
430,475,1.0,1.0
918,1397,1.0,1.0
494,94,1.0,1.0
184,858,0.0,1.0
901,52,1.0,1.0
843,632,1.0,1.0
857,1166,1.0,1.0
149,353,1.0,1.0
817,431,1.0,1.0
703,1155,1.0,1.0
277,599,1.0,1.0
1178,220,1.0,1.0
491,710,0.0,1.0
403,759,1.0,1.0
424,381,1.0,1.0
1516,52,1.0,1.0
896,485,1.0,1.0
1693,831,1.0,1.0
1441,741,1.0,1.0
1028,1027,1.0,1.0
996,1821,1.0,1.0
78,194,1.0,1.0
1242,1472,1.0,1.0
1419,967,1.0,1.0
197,1600,1.0,1.0
1427,594,1.0,1.0
1554,599,1.0,1.0
1788,966,1.0,1.0
1334,1718,1.0,1.0
1583,1584,1.0,1.0
1743,1180,1.0,1.0
891,382,1.0,1.0
358,207,1.0,1.0
166,170,1.0,1.0
1076,623,1.0,1.0
452,359,1.0,1.0
492,247,1.0,1.0
602,1027,1.0,1.0
177,402,1.0,1.0
996,782,1.0,1.0
203,204,1.0,1.0
83,192,1.0,1.0
