edge_index0,edge_index1,pred,gr
218,4,1.0,1.0
245,583,1.0,1.0
866,440,1.0,1.0
736,332,1.0,1.0
1195,1197,1.0,1.0
259,596,1.0,1.0
356,342,1.0,1.0
1081,458,1.0,1.0
657,123,1.0,1.0
123,284,1.0,1.0
669,1178,1.0,1.0
77,75,1.0,1.0
208,206,1.0,1.0
639,703,1.0,1.0
400,818,1.0,1.0
896,1342,1.0,1.0
214,500,1.0,1.0
220,226,1.0,1.0
83,226,1.0,1.0
123,700,1.0,1.0
1288,131,1.0,1.0
26,73,1.0,1.0
377,1222,1.0,1.0
92,238,1.0,1.0
67,178,0.0,1.0
1197,1195,1.0,1.0
641,639,1.0,1.0
78,102,1.0,1.0
1086,609,1.0,1.0
184,442,1.0,1.0
676,1197,1.0,1.0
797,123,1.0,1.0
517,1013,1.0,1.0
98,252,1.0,1.0
431,859,1.0,1.0
496,274,1.0,1.0
17,23,1.0,1.0
648,995,1.0,1.0
426,425,1.0,1.0
960,959,1.0,1.0
275,622,1.0,1.0
96,249,1.0,1.0
357,64,1.0,1.0
694,1236,1.0,1.0
687,789,1.0,1.0
389,354,1.0,1.0
271,189,1.0,1.0
1179,596,1.0,1.0
1161,1254,1.0,1.0
153,384,1.0,1.0
66,839,1.0,1.0
72,251,1.0,1.0
1104,184,1.0,1.0
385,763,1.0,1.0
69,184,1.0,1.0
1211,284,1.0,1.0
131,61,1.0,1.0
811,193,1.0,1.0
427,726,1.0,1.0
928,591,1.0,1.0
371,786,1.0,1.0
1293,135,1.0,1.0
247,102,1.0,1.0
176,170,1.0,1.0
71,72,1.0,1.0
911,206,1.0,1.0
62,156,1.0,1.0
66,396,1.0,1.0
589,224,1.0,1.0
215,1005,1.0,1.0
377,1337,1.0,1.0
83,521,1.0,1.0
880,431,1.0,1.0
377,795,0.0,1.0
1084,303,0.0,1.0
457,69,0.0,1.0
805,415,1.0,1.0
225,296,1.0,1.0
1226,377,1.0,1.0
60,152,1.0,1.0
325,66,1.0,1.0
1346,123,1.0,1.0
363,364,1.0,1.0
930,1034,1.0,1.0
43,31,1.0,1.0
705,1142,1.0,1.0
130,338,1.0,1.0
332,334,1.0,1.0
337,732,1.0,1.0
431,69,1.0,1.0
800,1257,0.0,1.0
1251,1253,1.0,1.0
42,41,1.0,1.0
322,709,1.0,1.0
273,496,1.0,1.0
52,137,1.0,1.0
54,145,1.0,1.0
453,917,1.0,1.0
1005,215,1.0,1.0
886,69,1.0,1.0
1141,1138,1.0,1.0
93,241,1.0,1.0
738,335,1.0,1.0
911,69,1.0,1.0
62,67,1.0,1.0
523,1016,1.0,1.0
308,678,1.0,1.0
239,1069,0.0,1.0
451,886,1.0,1.0
619,496,1.0,1.0
174,410,1.0,1.0
1251,1249,1.0,1.0
322,707,1.0,1.0
176,418,1.0,1.0
1346,1344,1.0,1.0
834,835,1.0,1.0
523,876,0.0,1.0
735,339,1.0,1.0
679,681,1.0,1.0
63,159,1.0,1.0
662,117,1.0,1.0
1036,285,1.0,1.0
834,833,1.0,1.0
532,1027,1.0,1.0
201,263,1.0,1.0
643,289,1.0,1.0
442,893,1.0,1.0
755,356,1.0,1.0
665,563,1.0,1.0
214,497,1.0,1.0
408,410,1.0,1.0
1154,516,1.0,1.0
529,530,1.0,1.0
625,674,1.0,1.0
1012,1039,1.0,1.0
467,465,1.0,1.0
173,63,1.0,1.0
115,607,0.0,1.0
113,106,1.0,1.0
280,281,1.0,1.0
836,174,1.0,1.0
1130,105,1.0,1.0
148,372,1.0,1.0
677,1204,1.0,1.0
860,189,1.0,1.0
91,233,1.0,1.0
69,883,1.0,1.0
130,940,1.0,1.0
819,398,1.0,1.0
233,553,1.0,1.0
596,1101,1.0,1.0
939,222,1.0,1.0
465,946,1.0,1.0
1278,163,1.0,1.0
843,810,1.0,1.0
233,971,1.0,1.0
368,784,1.0,1.0
971,1116,1.0,1.0
1038,591,1.0,1.0
437,859,1.0,1.0
517,237,1.0,1.0
172,49,1.0,1.0
367,364,1.0,1.0
919,303,1.0,1.0
27,214,1.0,1.0
466,467,1.0,1.0
664,813,1.0,1.0
607,115,0.0,1.0
27,39,1.0,1.0
266,608,1.0,1.0
266,612,1.0,1.0
303,25,1.0,1.0
180,433,1.0,1.0
1173,149,1.0,1.0
1069,239,0.0,1.0
1260,727,1.0,1.0
505,1006,1.0,1.0
1056,1054,1.0,1.0
285,111,1.0,1.0
740,925,1.0,1.0
357,324,0.0,1.0
323,715,1.0,1.0
1249,1148,1.0,1.0
880,69,1.0,1.0
1239,1238,1.0,1.0
426,66,0.0,1.0
702,1251,1.0,1.0
175,413,1.0,1.0
940,339,1.0,1.0
364,775,1.0,1.0
27,75,1.0,1.0
649,115,1.0,1.0
285,281,1.0,1.0
266,269,1.0,1.0
310,686,1.0,1.0
591,928,1.0,1.0
616,1122,1.0,1.0
793,865,1.0,1.0
541,573,1.0,1.0
324,49,1.0,1.0
1240,692,1.0,1.0
959,914,1.0,1.0
450,69,1.0,1.0
914,916,1.0,1.0
1302,225,1.0,1.0
1150,653,1.0,1.0
781,772,1.0,1.0
1168,1169,1.0,1.0
