edge_index0,edge_index1,pred,gr
908,819,1.0,1.0
857,488,1.0,1.0
589,1160,1.0,1.0
337,783,1.0,1.0
837,391,1.0,1.0
1155,630,1.0,1.0
61,169,1.0,1.0
778,719,1.0,1.0
173,444,1.0,1.0
1032,1133,1.0,1.0
876,322,1.0,1.0
178,369,1.0,1.0
216,552,1.0,1.0
426,781,1.0,1.0
1133,1029,1.0,1.0
420,155,1.0,1.0
526,1077,1.0,1.0
659,101,1.0,1.0
635,1102,1.0,1.0
838,843,1.0,1.0
346,44,1.0,1.0
498,1036,1.0,1.0
1219,89,1.0,1.0
66,193,1.0,1.0
651,1230,1.0,1.0
1399,459,1.0,1.0
777,119,1.0,1.0
289,268,1.0,1.0
70,206,1.0,1.0
682,97,1.0,1.0
935,174,1.0,1.0
376,137,1.0,1.0
404,610,1.0,1.0
984,992,1.0,1.0
250,1096,1.0,1.0
119,333,1.0,1.0
1298,732,1.0,1.0
916,969,1.0,1.0
1294,577,1.0,1.0
653,1235,1.0,1.0
141,385,1.0,1.0
965,187,1.0,1.0
199,514,1.0,1.0
1461,1443,1.0,1.0
545,119,1.0,1.0
78,37,1.0,1.0
302,113,1.0,1.0
1169,247,1.0,1.0
909,429,1.0,1.0
12,9,1.0,1.0
280,676,0.0,1.0
284,687,1.0,1.0
330,763,1.0,1.0
266,566,1.0,1.0
1420,834,1.0,1.0
507,508,1.0,1.0
436,125,1.0,1.0
473,971,1.0,1.0
582,1036,1.0,1.0
594,595,1.0,1.0
826,134,1.0,1.0
1396,895,1.0,1.0
488,1009,1.0,1.0
828,1403,1.0,1.0
243,616,1.0,1.0
111,13,1.0,1.0
406,158,1.0,1.0
679,282,1.0,1.0
1212,245,1.0,1.0
10,12,1.0,1.0
978,979,1.0,1.0
723,335,1.0,1.0
948,1398,1.0,1.0
292,704,1.0,1.0
392,853,1.0,1.0
270,96,1.0,1.0
1087,214,1.0,1.0
77,26,1.0,1.0
268,662,1.0,1.0
429,822,1.0,1.0
63,952,0.0,1.0
951,892,1.0,1.0
1001,905,1.0,1.0
543,1100,1.0,1.0
554,1110,1.0,1.0
65,466,1.0,1.0
865,1138,1.0,1.0
793,795,1.0,1.0
959,960,1.0,1.0
139,383,1.0,1.0
156,417,1.0,1.0
63,162,1.0,1.0
773,720,1.0,1.0
1308,314,1.0,1.0
1186,404,1.0,1.0
753,1330,1.0,1.0
1027,1026,1.0,1.0
560,1046,1.0,1.0
764,328,1.0,1.0
1196,250,1.0,1.0
1211,834,1.0,1.0
771,1348,1.0,1.0
1039,196,1.0,1.0
116,316,1.0,1.0
583,250,1.0,1.0
792,1367,1.0,1.0
63,895,1.0,1.0
1037,1038,1.0,1.0
287,564,1.0,1.0
423,173,1.0,1.0
1370,1371,1.0,1.0
334,775,1.0,1.0
899,181,1.0,1.0
32,31,1.0,1.0
1442,1389,1.0,1.0
838,383,1.0,1.0
215,544,1.0,1.0
103,107,1.0,1.0
579,1141,1.0,1.0
1443,1461,1.0,1.0
63,1401,1.0,1.0
740,738,1.0,1.0
528,519,1.0,1.0
89,251,1.0,1.0
1231,1037,1.0,1.0
826,373,1.0,1.0
429,908,1.0,1.0
79,82,1.0,1.0
134,817,1.0,1.0
1016,322,1.0,1.0
276,671,1.0,1.0
952,63,0.0,1.0
478,487,1.0,1.0
41,108,1.0,1.0
227,240,1.0,1.0
879,1454,1.0,1.0
1066,1094,1.0,1.0
699,41,1.0,1.0
1089,577,1.0,1.0
365,363,1.0,1.0
229,582,1.0,1.0
230,588,0.0,1.0
970,187,1.0,1.0
1285,1281,1.0,1.0
956,488,0.0,1.0
63,897,1.0,1.0
375,65,1.0,1.0
249,425,1.0,1.0
755,758,1.0,1.0
1013,66,1.0,1.0
1222,1018,1.0,1.0
276,669,1.0,1.0
657,95,1.0,1.0
312,252,1.0,1.0
1369,792,1.0,1.0
348,351,1.0,1.0
63,926,1.0,1.0
1115,1111,1.0,1.0
919,917,1.0,1.0
1433,404,0.0,1.0
128,351,1.0,1.0
63,923,1.0,1.0
582,1135,1.0,1.0
148,393,1.0,1.0
63,353,1.0,1.0
691,1262,1.0,1.0
704,698,1.0,1.0
845,839,1.0,1.0
1079,230,1.0,1.0
291,294,1.0,1.0
830,828,1.0,1.0
96,70,1.0,1.0
657,278,1.0,1.0
993,172,1.0,1.0
400,862,1.0,1.0
17,21,1.0,1.0
59,158,0.0,1.0
251,645,1.0,1.0
941,63,1.0,1.0
290,697,1.0,1.0
603,1101,1.0,1.0
710,1274,1.0,1.0
858,1431,1.0,1.0
1462,1463,1.0,1.0
68,201,1.0,1.0
474,978,1.0,1.0
726,517,1.0,1.0
394,405,1.0,1.0
190,485,1.0,1.0
981,262,1.0,1.0
473,997,1.0,1.0
464,134,1.0,1.0
1001,1257,1.0,1.0
137,376,1.0,1.0
1199,250,1.0,1.0
152,404,1.0,1.0
156,23,1.0,1.0
765,1345,1.0,1.0
1105,473,1.0,1.0
719,733,1.0,1.0
857,1427,1.0,1.0
865,1437,0.0,1.0
365,817,1.0,1.0
664,1043,1.0,1.0
1214,1215,1.0,1.0
368,463,1.0,1.0
658,95,1.0,1.0
1408,1406,1.0,1.0
1062,1060,1.0,1.0
826,954,1.0,1.0
407,884,1.0,1.0
323,120,1.0,1.0
557,1115,1.0,1.0
798,1370,1.0,1.0
968,916,1.0,1.0
149,399,1.0,1.0
379,136,1.0,1.0
1219,1223,1.0,1.0
691,687,1.0,1.0
66,192,1.0,1.0
665,63,1.0,1.0
1167,80,1.0,1.0
403,870,1.0,1.0
44,125,1.0,1.0
134,464,1.0,1.0
1333,757,1.0,1.0
108,5,1.0,1.0
710,709,1.0,1.0
239,605,1.0,1.0
577,1067,1.0,1.0
63,364,1.0,1.0
484,1002,1.0,1.0
1448,66,1.0,1.0
241,238,1.0,1.0
209,97,1.0,1.0
873,1446,1.0,1.0
709,710,1.0,1.0
419,63,1.0,1.0
1252,1146,1.0,1.0
63,172,1.0,1.0
324,66,1.0,1.0
884,1456,1.0,1.0
792,189,1.0,1.0
1306,1369,1.0,1.0
473,475,1.0,1.0
97,90,1.0,1.0
517,68,1.0,1.0
637,1108,0.0,1.0
206,681,1.0,1.0
68,200,1.0,1.0
33,31,1.0,1.0
903,455,1.0,1.0
729,1309,1.0,1.0
507,1048,0.0,1.0
466,960,1.0,1.0
1236,795,1.0,1.0
2,25,1.0,1.0
581,1143,1.0,1.0
1339,1338,1.0,1.0
180,465,1.0,1.0
481,999,1.0,1.0
1048,507,0.0,1.0
1150,1149,1.0,1.0
160,410,1.0,1.0
436,344,1.0,1.0
1439,1040,1.0,1.0
55,151,1.0,1.0
850,845,1.0,1.0
636,922,1.0,1.0
146,385,1.0,1.0
1079,1001,1.0,1.0
457,950,1.0,1.0
409,887,1.0,1.0
437,916,1.0,1.0
1035,1099,1.0,1.0
602,725,1.0,1.0
739,117,1.0,1.0
476,475,1.0,1.0
241,240,1.0,1.0
637,1216,1.0,1.0
1248,196,1.0,1.0
645,190,1.0,1.0
322,1013,1.0,1.0
385,145,1.0,1.0
128,352,1.0,1.0
591,601,1.0,1.0
1123,569,1.0,1.0
128,348,1.0,1.0
1126,510,1.0,1.0
214,68,1.0,1.0
182,470,1.0,1.0
205,78,1.0,1.0
1275,710,1.0,1.0
488,1013,1.0,1.0
508,1048,0.0,1.0
691,1195,1.0,1.0
565,566,1.0,1.0
353,63,1.0,1.0
1061,1060,1.0,1.0
598,723,1.0,1.0
9,12,1.0,1.0
66,189,0.0,1.0
654,261,1.0,1.0
454,940,1.0,1.0
922,636,1.0,1.0
944,942,1.0,1.0
328,504,1.0,1.0
188,172,1.0,1.0
576,246,1.0,1.0
428,690,1.0,1.0
1134,582,1.0,1.0
443,922,1.0,1.0
333,479,0.0,0.0
609,606,1.0,0.0
841,957,0.0,0.0
103,137,0.0,0.0
1377,1117,0.0,0.0
968,728,0.0,0.0
479,1322,1.0,0.0
487,419,0.0,0.0
1174,211,0.0,0.0
1428,31,1.0,0.0
457,57,0.0,0.0
716,1172,0.0,0.0
123,1127,0.0,0.0
1206,1422,0.0,0.0
718,1345,1.0,0.0
1065,927,0.0,0.0
1113,719,1.0,0.0
1239,870,0.0,0.0
723,10,0.0,0.0
800,19,1.0,0.0
1276,263,0.0,0.0
4,249,0.0,0.0
1378,839,1.0,0.0
657,840,1.0,0.0
1216,1299,0.0,0.0
1075,105,0.0,0.0
38,1322,1.0,0.0
609,1240,1.0,0.0
162,1357,1.0,0.0
1019,1115,1.0,0.0
267,322,1.0,0.0
482,207,1.0,0.0
1051,518,1.0,0.0
1246,1242,1.0,0.0
