edge_index0,edge_index1,pred,gr
379,837,1.0,1.0
114,267,1.0,1.0
649,1171,1.0,1.0
1188,676,1.0,1.0
1061,1063,0.0,1.0
446,60,1.0,1.0
1251,722,1.0,1.0
256,683,1.0,1.0
316,696,1.0,1.0
562,1064,1.0,1.0
18,50,1.0,1.0
328,719,1.0,1.0
256,615,1.0,1.0
31,30,1.0,1.0
887,57,1.0,1.0
237,565,1.0,1.0
586,101,1.0,1.0
837,155,1.0,1.0
42,630,0.0,1.0
686,747,1.0,1.0
190,474,1.0,1.0
1014,514,1.0,1.0
262,627,1.0,1.0
284,115,1.0,1.0
628,1142,1.0,1.0
348,783,1.0,1.0
449,450,1.0,1.0
161,406,1.0,1.0
837,863,1.0,1.0
76,30,1.0,1.0
1242,250,1.0,1.0
79,201,1.0,1.0
829,350,1.0,1.0
157,386,1.0,1.0
150,374,1.0,1.0
73,71,1.0,1.0
592,1099,1.0,1.0
191,480,1.0,1.0
1173,117,1.0,1.0
999,975,1.0,1.0
72,193,1.0,1.0
120,310,1.0,1.0
650,114,1.0,1.0
62,450,1.0,1.0
171,172,1.0,1.0
225,37,1.0,1.0
755,57,1.0,1.0
450,945,1.0,1.0
904,975,1.0,1.0
62,8,1.0,1.0
552,1050,1.0,1.0
460,457,1.0,1.0
721,1227,1.0,1.0
348,755,1.0,1.0
126,319,1.0,1.0
229,550,1.0,1.0
24,61,1.0,1.0
110,41,1.0,1.0
106,259,1.0,1.0
881,242,1.0,1.0
422,1076,1.0,1.0
1249,722,1.0,1.0
758,765,1.0,1.0
878,430,1.0,1.0
29,30,1.0,1.0
1003,482,1.0,1.0
514,516,1.0,1.0
267,118,1.0,1.0
30,76,1.0,1.0
873,874,1.0,1.0
1070,418,1.0,1.0
378,58,1.0,1.0
205,1119,1.0,1.0
635,110,1.0,1.0
9,35,1.0,1.0
156,988,1.0,1.0
114,1127,1.0,1.0
665,115,1.0,1.0
257,1189,1.0,1.0
555,1052,1.0,1.0
