edge_index0,edge_index1,pred,gr
493,241,1.0,1.0
668,296,1.0,1.0
57,129,1.0,1.0
8,33,1.0,1.0
227,94,1.0,1.0
218,454,1.0,1.0
714,182,1.0,1.0
718,305,1.0,1.0
613,394,1.0,1.0
565,295,0.0,1.0
522,777,1.0,1.0
403,752,1.0,1.0
401,80,1.0,1.0
549,867,1.0,1.0
249,57,1.0,1.0
424,57,1.0,1.0
517,57,1.0,1.0
688,415,1.0,1.0
186,377,1.0,1.0
572,67,0.0,1.0
280,541,1.0,1.0
820,57,1.0,1.0
428,249,1.0,1.0
501,844,1.0,1.0
377,709,1.0,1.0
40,90,1.0,1.0
365,687,1.0,1.0
47,99,1.0,1.0
135,68,1.0,1.0
713,717,1.0,1.0
130,284,1.0,1.0
589,305,1.0,1.0
210,793,1.0,1.0
818,547,1.0,1.0
57,465,1.0,1.0
108,258,1.0,1.0
118,732,0.0,1.0
45,104,1.0,1.0
779,267,1.0,1.0
292,676,1.0,1.0
274,532,1.0,1.0
156,339,1.0,1.0
25,136,1.0,1.0
654,321,1.0,1.0
351,77,1.0,1.0
729,140,1.0,1.0
152,327,1.0,1.0
353,570,0.0,1.0
57,527,1.0,1.0
99,45,1.0,1.0
57,820,1.0,1.0
179,371,1.0,1.0
435,434,0.0,1.0
57,127,1.0,1.0
336,397,0.0,1.0
810,321,1.0,1.0
536,643,1.0,1.0
863,484,1.0,1.0
148,150,1.0,1.0
257,507,1.0,1.0
821,592,1.0,1.0
108,471,1.0,1.0
432,528,1.0,1.0
232,470,1.0,1.0
294,575,0.0,1.0
44,99,1.0,1.0
797,795,1.0,1.0
385,722,1.0,1.0
834,796,1.0,1.0
78,80,1.0,1.0
279,540,1.0,1.0
446,814,1.0,1.0
466,461,1.0,1.0
346,668,1.0,1.0
407,197,1.0,1.0
511,199,1.0,1.0
540,1,1.0,1.0
461,839,1.0,1.0
127,94,1.0,1.0
611,394,1.0,1.0
376,705,1.0,1.0
525,200,1.0,1.0
452,451,1.0,1.0
777,57,1.0,1.0
430,450,1.0,1.0
525,57,1.0,1.0
344,533,1.0,1.0
244,499,1.0,1.0
351,672,1.0,1.0
94,113,1.0,1.0
722,399,1.0,1.0
763,410,1.0,1.0
804,803,1.0,1.0
557,559,1.0,1.0
681,682,1.0,1.0
311,609,1.0,1.0
515,512,1.0,1.0
163,34,1.0,1.0
352,292,1.0,1.0
375,703,1.0,1.0
173,167,1.0,1.0
548,206,1.0,1.0
269,508,1.0,1.0
184,649,1.0,1.0
57,511,1.0,1.0
622,154,1.0,1.0
399,185,1.0,1.0
123,267,1.0,1.0
254,506,1.0,1.0
163,355,1.0,1.0
552,132,1.0,1.0
361,173,1.0,1.0
415,775,1.0,1.0
452,802,1.0,1.0
510,231,1.0,1.0
99,101,1.0,1.0
397,413,1.0,1.0
140,309,1.0,1.0
306,309,1.0,1.0
75,163,1.0,1.0
451,89,1.0,1.0
233,95,1.0,1.0
210,277,1.0,1.0
764,41,1.0,1.0
406,83,1.0,1.0
140,304,1.0,1.0
779,526,1.0,1.0
818,816,1.0,1.0
176,165,1.0,1.0
429,462,1.0,1.0
132,286,1.0,1.0
484,849,1.0,1.0
770,185,1.0,1.0
405,120,1.0,1.0
331,127,1.0,1.0
204,427,1.0,1.0
408,57,1.0,1.0
471,435,1.0,1.0
57,819,1.0,1.0
826,777,1.0,1.0
353,75,0.0,1.0
84,197,1.0,1.0
305,597,1.0,1.0
248,55,1.0,1.0
685,686,1.0,1.0
34,287,1.0,1.0
151,146,0.0,1.0
210,607,0.0,1.0
228,127,1.0,1.0
305,729,1.0,1.0
666,650,1.0,1.0
210,814,1.0,1.0
353,675,1.0,1.0
667,336,1.0,1.0
427,440,0.0,1.0
252,471,1.0,1.0
300,585,1.0,1.0
60,138,1.0,1.0
154,62,1.0,1.0
460,838,1.0,1.0
127,89,1.0,1.0
170,73,1.0,1.0
157,346,1.0,1.0
75,69,1.0,1.0
295,576,1.0,1.0
160,286,1.0,1.0
212,452,1.0,1.0
390,309,1.0,1.0
