edge_index0,edge_index1,pred,gr
800,442,1.0,1.0
204,431,1.0,1.0
785,784,1.0,1.0
254,253,1.0,1.0
697,231,1.0,1.0
106,235,1.0,1.0
689,181,1.0,1.0
62,231,1.0,1.0
77,11,1.0,1.0
855,854,1.0,1.0
211,208,1.0,1.0
602,601,1.0,1.0
197,38,1.0,1.0
806,227,1.0,1.0
671,434,1.0,1.0
70,151,1.0,1.0
464,808,1.0,1.0
510,743,1.0,1.0
380,690,1.0,1.0
414,463,1.0,1.0
206,428,1.0,1.0
864,524,1.0,1.0
175,83,1.0,1.0
398,470,1.0,1.0
123,278,1.0,1.0
27,68,1.0,1.0
479,825,1.0,1.0
415,539,1.0,1.0
63,582,1.0,1.0
397,723,1.0,1.0
501,702,1.0,1.0
479,106,1.0,1.0
88,741,1.0,1.0
484,832,1.0,1.0
35,32,1.0,1.0
243,494,1.0,1.0
292,293,1.0,1.0
764,348,1.0,1.0
66,312,1.0,1.0
301,577,1.0,1.0
871,577,1.0,1.0
772,344,1.0,1.0
44,213,1.0,1.0
398,242,1.0,1.0
62,214,1.0,1.0
396,300,1.0,1.0
57,62,1.0,1.0
44,98,1.0,1.0
211,434,1.0,1.0
452,285,1.0,1.0
589,559,1.0,1.0
77,168,1.0,1.0
884,415,1.0,1.0
43,92,1.0,1.0
381,690,1.0,1.0
297,570,1.0,1.0
786,725,1.0,1.0
342,632,1.0,1.0
206,203,1.0,1.0
762,348,1.0,1.0
33,34,1.0,1.0
396,589,1.0,1.0
89,199,0.0,1.0
302,584,1.0,1.0
403,192,1.0,1.0
865,466,0.0,1.0
884,750,1.0,1.0
446,786,1.0,1.0
570,312,1.0,1.0
117,259,1.0,1.0
148,26,1.0,1.0
818,487,1.0,1.0
647,77,1.0,1.0
285,269,1.0,1.0
243,496,1.0,1.0
828,829,1.0,1.0
44,95,1.0,1.0
46,100,1.0,1.0
593,559,1.0,1.0
268,261,1.0,1.0
239,140,1.0,1.0
300,308,1.0,1.0
262,521,1.0,1.0
305,589,1.0,1.0
302,582,1.0,1.0
259,501,1.0,1.0
156,154,1.0,1.0
62,469,1.0,1.0
428,91,1.0,1.0
377,181,1.0,1.0
283,282,1.0,1.0
361,658,1.0,1.0
269,270,1.0,1.0
517,498,1.0,1.0
62,776,1.0,1.0
97,219,1.0,1.0
113,253,1.0,1.0
12,9,1.0,1.0
456,103,1.0,1.0
99,223,1.0,1.0
517,516,1.0,1.0
120,268,1.0,1.0
300,396,1.0,1.0
252,516,1.0,1.0
521,118,1.0,1.0
644,654,1.0,1.0
382,636,1.0,1.0
201,694,1.0,1.0
74,158,1.0,1.0
540,887,1.0,1.0
718,84,1.0,1.0
710,711,1.0,1.0
571,181,1.0,1.0
524,525,1.0,1.0
454,62,1.0,1.0
580,201,1.0,1.0
63,589,1.0,1.0
71,154,1.0,1.0
483,476,1.0,1.0
577,350,1.0,1.0
89,192,1.0,1.0
475,106,1.0,1.0
162,4,1.0,1.0
75,637,1.0,1.0
516,517,1.0,1.0
108,240,1.0,1.0
239,108,1.0,1.0
421,420,1.0,1.0
764,425,1.0,1.0
166,356,1.0,1.0
186,140,1.0,1.0
488,181,1.0,1.0
570,596,1.0,1.0
221,450,1.0,1.0
242,486,1.0,1.0
304,588,1.0,1.0
293,574,1.0,1.0
381,693,1.0,1.0
154,26,1.0,1.0
399,407,1.0,1.0
128,282,1.0,1.0
427,609,1.0,1.0
767,628,1.0,1.0
544,61,1.0,1.0
380,81,1.0,1.0
140,310,1.0,1.0
201,878,1.0,1.0
466,807,1.0,1.0
91,206,1.0,1.0
325,70,1.0,1.0
832,834,1.0,1.0
401,191,1.0,1.0
178,380,1.0,1.0
396,720,1.0,1.0
518,257,1.0,1.0
249,499,1.0,1.0
530,308,1.0,0.0
509,53,1.0,0.0
772,135,1.0,0.0
615,341,0.0,0.0
821,711,1.0,0.0
843,851,0.0,0.0
409,107,1.0,0.0
224,72,1.0,0.0
805,638,1.0,0.0
566,711,1.0,0.0
781,648,0.0,0.0
1,663,0.0,0.0
336,100,1.0,0.0
708,397,1.0,0.0
592,561,1.0,0.0
441,257,0.0,0.0
660,655,0.0,0.0
68,37,0.0,0.0
331,839,1.0,0.0
827,779,0.0,0.0
842,292,0.0,0.0
735,714,1.0,0.0
578,168,0.0,0.0
695,721,0.0,0.0
170,690,0.0,0.0
638,129,1.0,0.0
163,470,1.0,0.0
704,39,1.0,0.0
872,326,1.0,0.0
311,377,0.0,0.0
714,11,0.0,0.0
254,57,0.0,0.0
525,0,0.0,0.0
738,385,1.0,0.0
436,17,0.0,0.0
608,246,1.0,0.0
220,767,1.0,0.0
389,248,0.0,0.0
26,247,0.0,0.0
183,636,0.0,0.0
101,338,0.0,0.0
73,257,0.0,0.0
658,26,0.0,0.0
413,655,1.0,0.0
409,727,0.0,0.0
56,357,1.0,0.0
771,183,0.0,0.0
690,25,1.0,0.0
890,829,1.0,0.0
821,222,1.0,0.0
664,880,0.0,0.0
111,651,0.0,0.0
698,124,1.0,0.0
438,548,1.0,0.0
56,823,1.0,0.0
736,873,0.0,0.0
514,143,0.0,0.0
167,124,1.0,0.0
763,503,0.0,0.0
648,489,1.0,0.0
75,57,1.0,0.0
101,573,0.0,0.0
139,58,0.0,0.0
