edge_index0,edge_index1,pred,gr
190,362,1.0,1.0
64,529,1.0,1.0
209,212,1.0,1.0
156,287,1.0,1.0
141,273,1.0,1.0
242,4,1.0,1.0
576,322,1.0,1.0
116,233,1.0,1.0
110,42,1.0,1.0
507,627,1.0,1.0
366,642,1.0,1.0
141,275,1.0,1.0
636,239,1.0,1.0
279,503,1.0,1.0
147,290,1.0,1.0
73,153,1.0,1.0
319,573,1.0,1.0
61,34,1.0,1.0
265,138,1.0,1.0
317,571,1.0,1.0
52,583,1.0,1.0
409,114,1.0,1.0
250,450,1.0,1.0
641,140,1.0,1.0
420,368,0.0,1.0
643,422,1.0,1.0
17,45,1.0,1.0
91,187,1.0,1.0
276,310,1.0,1.0
422,569,1.0,1.0
504,277,1.0,1.0
316,240,0.0,1.0
272,487,1.0,1.0
564,317,1.0,1.0
73,151,1.0,1.0
236,300,1.0,1.0
347,99,1.0,1.0
254,455,1.0,1.0
428,148,1.0,1.0
616,328,1.0,1.0
554,154,1.0,1.0
457,66,1.0,1.0
184,87,1.0,1.0
42,80,1.0,1.0
219,404,1.0,1.0
34,150,1.0,1.0
110,218,1.0,1.0
28,66,1.0,1.0
192,366,1.0,1.0
139,261,1.0,1.0
455,258,1.0,1.0
34,24,1.0,1.0
314,317,1.0,1.0
146,521,1.0,1.0
170,328,1.0,1.0
236,414,1.0,1.0
345,207,1.0,1.0
216,400,1.0,1.0
115,231,1.0,1.0
339,344,1.0,1.0
79,314,1.0,1.0
377,101,1.0,1.0
617,182,1.0,1.0
281,505,1.0,1.0
304,551,1.0,1.0
584,582,1.0,1.0
564,165,1.0,1.0
297,117,1.0,1.0
248,193,1.0,1.0
92,189,1.0,1.0
321,52,1.0,1.0
8,34,1.0,1.0
239,436,1.0,1.0
176,98,1.0,1.0
233,427,1.0,1.0
337,392,1.0,1.0
74,155,1.0,1.0
201,377,1.0,1.0
359,623,1.0,1.0
392,86,1.0,1.0
243,444,1.0,1.0
332,590,1.0,1.0
307,78,1.0,1.0
52,215,1.0,1.0
370,349,1.0,1.0
315,318,1.0,1.0
122,34,1.0,1.0
248,247,1.0,1.0
131,253,1.0,1.0
194,366,1.0,1.0
361,528,1.0,1.0
173,54,1.0,1.0
117,542,1.0,1.0
81,324,1.0,1.0
274,492,1.0,1.0
392,337,1.0,1.0
284,125,1.0,1.0
349,370,1.0,1.0
405,221,1.0,1.0
338,344,1.0,1.0
72,149,1.0,1.0
111,404,1.0,1.0
278,502,1.0,1.0
77,160,1.0,1.0
617,349,1.0,1.0
568,164,1.0,1.0
264,138,1.0,1.0
172,331,1.0,1.0
296,428,1.0,1.0
631,127,1.0,1.0
596,349,1.0,1.0
34,149,1.0,1.0
52,80,1.0,1.0
83,173,1.0,1.0
346,383,1.0,1.0
349,517,1.0,1.0
212,393,1.0,1.0
138,261,1.0,1.0
389,387,1.0,1.0
76,146,1.0,1.0
549,543,1.0,1.0
71,146,1.0,1.0
52,104,1.0,1.0
182,496,1.0,1.0
259,459,1.0,1.0
19,653,0.0,1.0
239,434,1.0,1.0
231,117,1.0,1.0
34,156,1.0,1.0
111,57,1.0,1.0
206,525,1.0,1.0
80,110,1.0,1.0
47,89,1.0,1.0
175,343,1.0,1.0
4,443,1.0,1.0
111,61,1.0,1.0
261,462,1.0,1.0
52,594,1.0,1.0
85,98,1.0,1.0
52,574,1.0,1.0
649,575,1.0,1.0
141,511,1.0,1.0
636,268,1.0,1.0
44,85,1.0,1.0
149,34,1.0,1.0
319,572,1.0,1.0
52,392,1.0,1.0
324,578,1.0,1.0
634,194,1.0,1.0
269,479,1.0,1.0
422,520,1.0,1.0
232,427,1.0,1.0
420,409,1.0,1.0
334,333,1.0,1.0
383,346,1.0,1.0
596,146,1.0,1.0
239,435,1.0,1.0
150,34,1.0,1.0
564,79,1.0,1.0
111,149,1.0,1.0
283,272,1.0,1.0
211,392,1.0,1.0
225,58,1.0,1.0
482,483,1.0,1.0
241,441,1.0,1.0
37,9,1.0,1.0
144,281,1.0,1.0
565,316,1.0,1.0
140,269,1.0,1.0
306,153,1.0,1.0
521,361,1.0,1.0
486,480,1.0,1.0
223,146,1.0,1.0
149,425,1.0,1.0
256,66,1.0,1.0
456,455,1.0,1.0
72,148,1.0,1.0
309,557,1.0,1.0
596,557,1.0,1.0
24,155,1.0,1.0
296,233,1.0,1.0
212,394,1.0,1.0
390,52,1.0,1.0
194,639,1.0,1.0
217,403,1.0,1.0
83,171,1.0,1.0
55,52,1.0,1.0
182,80,1.0,1.0
52,343,1.0,1.0
323,81,1.0,1.0
71,147,1.0,1.0
10,37,1.0,1.0
501,557,1.0,1.0
61,111,1.0,1.0
425,294,1.0,1.0
92,88,1.0,1.0
160,306,1.0,1.0
426,219,1.0,1.0
100,198,1.0,1.0
268,478,1.0,1.0
178,335,1.0,1.0
345,178,1.0,1.0
138,264,1.0,1.0
243,64,1.0,1.0
341,599,1.0,1.0
366,638,1.0,1.0
346,604,1.0,1.0
52,97,1.0,1.0
110,216,1.0,1.0
17,21,1.0,1.0
85,179,1.0,1.0
24,122,1.0,1.0
194,245,1.0,1.0
545,309,1.0,1.0
368,420,0.0,1.0
308,556,1.0,1.0
644,367,1.0,1.0
22,17,1.0,1.0
362,631,1.0,1.0
40,52,1.0,1.0
548,349,1.0,1.0
317,316,1.0,1.0
307,310,1.0,1.0
78,307,1.0,1.0
316,565,1.0,1.0
639,636,1.0,1.0
54,51,1.0,1.0
178,81,1.0,1.0
387,208,1.0,1.0
335,178,1.0,1.0
145,33,1.0,1.0
283,515,1.0,1.0
275,494,1.0,1.0
344,338,1.0,1.0
59,115,1.0,1.0
355,357,1.0,1.0
297,414,1.0,1.0
555,162,1.0,1.0
144,282,1.0,1.0
66,133,1.0,1.0
340,599,1.0,1.0
287,156,1.0,1.0
593,211,1.0,1.0
600,344,1.0,1.0
529,64,1.0,1.0
604,608,1.0,1.0
60,25,1.0,1.0
314,164,1.0,1.0
579,581,1.0,1.0
345,52,1.0,1.0
354,353,1.0,1.0
185,18,1.0,1.0
185,93,1.0,1.0
262,466,1.0,1.0
149,296,1.0,1.0
220,406,1.0,1.0
479,364,1.0,1.0
