edge_index0,edge_index1,pred,gr
832,808,1.0,1.0
679,347,1.0,1.0
200,432,1.0,1.0
815,593,1.0,1.0
249,248,0.0,1.0
722,945,1.0,1.0
461,474,1.0,1.0
756,1167,1.0,1.0
100,945,1.0,1.0
76,11,1.0,1.0
205,978,1.0,1.0
891,1296,1.0,1.0
691,1091,0.0,1.0
89,90,1.0,1.0
595,974,1.0,1.0
630,38,1.0,1.0
1086,838,1.0,1.0
1220,837,1.0,1.0
761,1171,1.0,1.0
696,197,1.0,1.0
405,402,1.0,1.0
64,1250,0.0,1.0
1315,1316,1.0,1.0
1138,391,1.0,1.0
504,879,1.0,1.0
286,944,1.0,1.0
696,1094,1.0,1.0
1290,844,1.0,1.0
1159,1158,1.0,1.0
820,823,1.0,1.0
608,998,1.0,1.0
1115,1117,1.0,1.0
474,804,1.0,1.0
268,543,1.0,1.0
918,1336,1.0,1.0
201,424,1.0,1.0
897,531,1.0,1.0
1031,703,1.0,1.0
171,83,1.0,1.0
397,567,1.0,1.0
205,140,1.0,1.0
768,1059,1.0,1.0
123,279,1.0,1.0
27,68,1.0,1.0
1276,497,1.0,1.0
485,492,1.0,1.0
240,46,1.0,1.0
1335,549,1.0,1.0
654,714,1.0,1.0
62,133,1.0,1.0
306,1165,1.0,1.0
882,728,1.0,1.0
485,105,1.0,1.0
983,300,1.0,1.0
324,1007,1.0,1.0
487,852,1.0,1.0
35,32,1.0,1.0
636,329,1.0,1.0
241,502,1.0,1.0
1301,178,1.0,1.0
1201,996,1.0,1.0
396,813,1.0,1.0
636,601,1.0,1.0
208,344,1.0,1.0
64,142,1.0,1.0
577,587,1.0,1.0
1096,1177,1.0,1.0
700,367,1.0,1.0
786,1163,1.0,1.0
44,210,1.0,1.0
397,239,1.0,1.0
1129,26,1.0,1.0
100,211,1.0,1.0
107,240,1.0,1.0
1284,1283,1.0,1.0
347,667,1.0,1.0
396,453,1.0,1.0
300,1125,1.0,1.0
348,671,1.0,1.0
57,100,1.0,1.0
44,96,1.0,1.0
794,438,1.0,1.0
89,197,1.0,1.0
459,821,1.0,1.0
62,582,1.0,1.0
275,60,1.0,1.0
743,1150,1.0,1.0
970,590,1.0,1.0
510,882,1.0,1.0
76,164,1.0,1.0
702,1104,1.0,1.0
1107,636,1.0,1.0
699,174,1.0,1.0
916,1335,1.0,1.0
43,199,1.0,1.0
100,1109,1.0,1.0
1172,1076,1.0,1.0
382,1117,1.0,1.0
592,299,1.0,1.0
816,411,1.0,1.0
341,655,1.0,1.0
268,441,1.0,1.0
706,1114,0.0,1.0
1043,869,1.0,1.0
771,344,1.0,1.0
720,1125,1.0,1.0
846,1231,1.0,1.0
33,34,1.0,1.0
1075,360,1.0,1.0
396,970,1.0,1.0
736,793,1.0,1.0
574,948,1.0,1.0
951,288,1.0,1.0
928,926,1.0,1.0
189,398,1.0,1.0
898,300,1.0,1.0
661,162,1.0,1.0
986,1023,1.0,1.0
916,917,1.0,1.0
903,552,1.0,1.0
868,222,1.0,1.0
326,635,1.0,1.0
1227,216,1.0,1.0
334,483,1.0,1.0
93,200,1.0,1.0
455,816,1.0,1.0
299,142,1.0,1.0
117,255,1.0,1.0
669,1066,1.0,1.0
66,26,1.0,1.0
848,495,1.0,1.0
71,775,1.0,1.0
674,76,1.0,1.0
822,1225,1.0,1.0
1085,1252,1.0,1.0
821,269,1.0,1.0
241,500,1.0,1.0
597,290,1.0,1.0
231,484,1.0,1.0
1008,619,1.0,1.0
44,94,1.0,1.0
46,98,1.0,1.0
297,590,1.0,1.0
263,257,1.0,1.0
475,143,1.0,1.0
566,943,1.0,1.0
636,1029,1.0,1.0
258,529,1.0,1.0
587,970,1.0,1.0
619,321,1.0,1.0
574,133,1.0,1.0
255,882,1.0,1.0
598,981,1.0,1.0
100,1128,1.0,1.0
543,91,1.0,1.0
901,1310,1.0,1.0
653,177,1.0,1.0
361,684,1.0,1.0
1319,1312,1.0,1.0
1029,952,1.0,1.0
525,505,1.0,1.0
100,802,1.0,1.0
639,1038,1.0,1.0
95,214,1.0,1.0
112,248,1.0,1.0
12,9,1.0,1.0
97,218,1.0,1.0
525,520,1.0,1.0
120,263,1.0,1.0
1248,492,1.0,1.0
453,396,1.0,1.0
251,520,1.0,1.0
951,293,1.0,1.0
327,637,1.0,1.0
774,1184,1.0,1.0
529,118,1.0,1.0
664,1058,1.0,1.0
992,872,1.0,1.0
377,654,1.0,1.0
708,1044,1.0,1.0
205,720,1.0,1.0
100,937,1.0,1.0
73,153,1.0,1.0
984,604,1.0,1.0
741,84,1.0,1.0
1137,389,1.0,1.0
591,177,1.0,1.0
531,532,1.0,1.0
464,100,1.0,1.0
885,872,1.0,1.0
62,970,1.0,1.0
939,472,1.0,1.0
265,540,1.0,1.0
775,38,1.0,1.0
349,661,1.0,1.0
1125,1126,1.0,1.0
859,105,1.0,1.0
700,1101,1.0,1.0
158,4,1.0,1.0
913,545,1.0,1.0
520,525,1.0,1.0
776,7,0.0,1.0
1079,361,1.0,1.0
475,107,1.0,1.0
421,711,1.0,1.0
438,437,1.0,1.0
208,442,1.0,1.0
162,673,1.0,1.0
699,336,1.0,1.0
675,347,1.0,1.0
182,143,1.0,1.0
844,1251,1.0,1.0
299,141,1.0,1.0
239,494,1.0,1.0
971,969,1.0,1.0
581,288,1.0,1.0
601,604,1.0,1.0
382,719,1.0,1.0
1134,26,1.0,1.0
399,317,1.0,1.0
200,783,0.0,1.0
810,1221,1.0,1.0
1239,830,1.0,1.0
1100,330,1.0,1.0
669,1065,1.0,1.0
910,923,1.0,1.0
60,127,1.0,1.0
162,661,1.0,1.0
299,301,1.0,1.0
1115,81,1.0,1.0
143,589,1.0,1.0
1126,1125,1.0,1.0
860,1259,1.0,1.0
62,814,1.0,1.0
205,927,0.0,1.0
540,906,1.0,1.0
300,878,1.0,1.0
91,268,1.0,1.0
1164,405,1.0,1.0
852,232,1.0,1.0
1198,1060,1.0,1.0
174,1115,1.0,1.0
751,622,1.0,1.0
396,744,1.0,1.0
526,253,1.0,1.0
247,511,1.0,1.0
472,939,1.0,1.0
1090,546,1.0,0.0
660,1093,1.0,0.0
1297,53,1.0,0.0
949,500,0.0,0.0
