edge_index0,edge_index1,pred,gr
805,457,1.0,1.0
518,881,1.0,1.0
418,733,1.0,1.0
603,992,1.0,1.0
188,364,1.0,1.0
63,477,1.0,1.0
253,482,1.0,1.0
552,201,1.0,1.0
213,545,0.0,1.0
623,1009,1.0,1.0
565,952,1.0,1.0
77,1014,1.0,1.0
133,891,0.0,1.0
246,4,1.0,1.0
167,341,1.0,1.0
686,867,1.0,1.0
784,790,1.0,1.0
104,42,1.0,1.0
888,522,1.0,1.0
644,1023,1.0,1.0
666,1043,1.0,1.0
536,909,1.0,1.0
373,270,1.0,1.0
672,1053,1.0,1.0
280,531,1.0,1.0
223,435,1.0,1.0
403,105,1.0,1.0
835,833,1.0,1.0
139,251,1.0,1.0
828,789,1.0,1.0
1024,990,1.0,1.0
77,158,1.0,1.0
144,72,1.0,1.0
104,208,1.0,1.0
61,34,1.0,1.0
956,460,1.0,1.0
266,130,1.0,1.0
435,760,1.0,1.0
333,328,1.0,1.0
77,699,1.0,1.0
340,683,1.0,1.0
590,981,1.0,1.0
1011,315,1.0,1.0
221,110,1.0,1.0
471,810,1.0,1.0
746,743,1.0,1.0
728,211,1.0,1.0
677,132,1.0,1.0
83,179,1.0,1.0
148,681,0.0,1.0
342,637,1.0,1.0
440,375,1.0,1.0
834,836,1.0,1.0
678,437,1.0,1.0
279,820,1.0,1.0
17,45,1.0,1.0
92,187,1.0,1.0
484,628,1.0,1.0
277,315,1.0,1.0
618,1004,1.0,1.0
336,84,1.0,1.0
1013,77,1.0,1.0
437,441,1.0,1.0
570,959,1.0,1.0
534,278,1.0,1.0
975,211,0.0,1.0
378,132,1.0,1.0
165,473,1.0,1.0
541,573,1.0,1.0
335,333,1.0,1.0
995,993,1.0,1.0
144,299,1.0,1.0
436,763,1.0,1.0
481,146,1.0,1.0
254,486,1.0,1.0
412,648,1.0,1.0
306,571,1.0,1.0
338,178,1.0,1.0
607,993,1.0,1.0
258,490,1.0,1.0
683,1081,0.0,1.0
453,140,1.0,1.0
973,385,1.0,1.0
184,86,1.0,1.0
42,79,1.0,1.0
230,74,1.0,1.0
34,141,0.0,1.0
104,206,1.0,1.0
557,287,1.0,1.0
28,65,1.0,1.0
191,373,1.0,1.0
344,639,1.0,1.0
131,262,1.0,1.0
490,127,1.0,1.0
889,934,1.0,1.0
34,24,1.0,1.0
623,333,1.0,1.0
322,605,1.0,1.0
138,286,1.0,1.0
198,385,1.0,1.0
306,297,1.0,1.0
588,484,1.0,1.0
478,960,1.0,1.0
708,162,1.0,1.0
439,774,1.0,1.0
287,448,1.0,1.0
484,978,1.0,1.0
783,788,1.0,1.0
351,199,1.0,1.0
78,623,1.0,1.0
384,697,1.0,1.0
436,765,0.0,1.0
464,802,1.0,1.0
282,407,1.0,1.0
597,77,1.0,1.0
157,319,1.0,1.0
729,727,1.0,1.0
310,967,1.0,1.0
329,619,1.0,1.0
700,698,1.0,1.0
335,332,1.0,1.0
357,652,1.0,1.0
296,227,1.0,1.0
569,956,1.0,1.0
462,192,1.0,1.0
90,91,1.0,1.0
626,77,1.0,1.0
8,34,1.0,1.0
555,936,1.0,1.0
107,404,1.0,1.0
175,97,1.0,1.0
790,454,1.0,1.0
349,391,0.0,1.0
565,58,1.0,1.0
370,667,1.0,1.0
391,85,1.0,1.0
569,486,1.0,1.0
656,1035,1.0,1.0
867,501,1.0,1.0
312,76,1.0,1.0
683,340,1.0,1.0
77,203,1.0,1.0
414,211,1.0,1.0
163,160,1.0,1.0
111,34,1.0,1.0
556,765,0.0,1.0
847,845,1.0,1.0
462,794,1.0,1.0
867,897,1.0,1.0
253,483,1.0,1.0
1071,894,1.0,1.0
123,257,1.0,1.0
211,627,0.0,1.0
1081,693,1.0,1.0
159,325,1.0,1.0
106,213,1.0,1.0
193,373,1.0,1.0
122,478,1.0,1.0
171,53,1.0,1.0
227,480,1.0,1.0
