edge_index0,edge_index1,pred,gr
485,910,1.0,1.0
1316,699,1.0,1.0
1116,569,1.0,1.0
289,270,1.0,1.0
1301,1299,1.0,1.0
352,351,1.0,1.0
1450,64,1.0,1.0
1163,920,1.0,1.0
422,325,1.0,1.0
1443,841,1.0,1.0
1475,438,1.0,1.0
122,333,1.0,1.0
64,325,1.0,1.0
651,544,1.0,1.0
84,11,1.0,1.0
997,1468,0.0,1.0
454,450,1.0,1.0
1371,1083,1.0,1.0
1120,1651,1.0,1.0
105,103,1.0,1.0
948,943,1.0,1.0
272,38,1.0,1.0
472,887,1.0,1.0
1431,1334,1.0,1.0
259,1436,1.0,1.0
153,320,1.0,1.0
1125,287,1.0,1.0
638,525,1.0,1.0
67,166,1.0,1.0
1622,955,1.0,1.0
1844,1845,1.0,1.0
1784,1280,1.0,1.0
1534,619,1.0,1.0
733,1337,1.0,1.0
390,835,1.0,1.0
1125,1048,1.0,1.0
775,1189,1.0,1.0
963,1531,1.0,1.0
859,860,1.0,1.0
893,482,1.0,1.0
599,1143,1.0,1.0
841,396,1.0,1.0
374,822,1.0,1.0
1250,1762,1.0,1.0
1423,1754,1.0,1.0
636,1190,1.0,1.0
282,111,1.0,1.0
1380,796,1.0,1.0
1053,1135,1.0,1.0
243,91,1.0,1.0
1023,562,1.0,1.0
342,735,1.0,1.0
454,952,1.0,1.0
1224,1632,1.0,1.0
141,384,1.0,1.0
1609,1064,1.0,1.0
27,78,1.0,1.0
738,739,1.0,1.0
1061,1609,1.0,1.0
343,46,1.0,1.0
1760,683,1.0,1.0
564,1095,1.0,1.0
1699,1697,1.0,1.0
881,451,1.0,1.0
65,902,1.0,1.0
1695,662,1.0,1.0
466,1496,1.0,1.0
767,1158,1.0,1.0
97,265,1.0,1.0
738,122,1.0,1.0
1512,453,1.0,1.0
99,274,1.0,1.0
745,872,1.0,1.0
35,32,1.0,1.0
528,1055,1.0,1.0
344,753,1.0,1.0
1841,250,1.0,1.0
1281,1205,1.0,1.0
439,431,1.0,1.0
528,529,1.0,1.0
290,561,1.0,1.0
907,171,1.0,1.0
67,1687,1.0,1.0
1399,1162,1.0,1.0
1851,1736,1.0,1.0
939,428,1.0,1.0
1288,1749,1.0,1.0
875,1459,1.0,1.0
1131,587,1.0,1.0
1153,1016,1.0,1.0
1204,994,1.0,1.0
693,936,1.0,1.0
372,1004,1.0,1.0
651,221,1.0,1.0
1284,1257,1.0,1.0
44,112,1.0,1.0
342,341,1.0,1.0
1676,26,1.0,1.0
959,1527,1.0,1.0
