edge_index0,edge_index1,pred,gr
144,346,1.0,1.0
614,439,1.0,1.0
574,1014,1.0,1.0
1131,1164,1.0,1.0
628,1096,1.0,1.0
653,1121,1.0,1.0
261,557,1.0,1.0
70,751,1.0,1.0
1366,1367,1.0,1.0
1096,764,1.0,1.0
375,723,1.0,1.0
298,303,1.0,1.0
80,174,0.0,1.0
925,1422,1.0,1.0
137,330,1.0,1.0
52,285,1.0,1.0
193,450,1.0,1.0
394,4,1.0,1.0
235,518,1.0,1.0
1415,907,1.0,1.0
1006,589,1.0,1.0
498,236,1.0,1.0
149,218,1.0,1.0
132,42,1.0,1.0
1278,454,1.0,1.0
928,1423,1.0,1.0
988,1468,1.0,1.0
603,1071,1.0,1.0
850,770,1.0,1.0
565,440,1.0,1.0
193,446,1.0,1.0
999,381,1.0,1.0
1142,1144,1.0,1.0
458,754,1.0,1.0
229,507,1.0,1.0
52,1038,1.0,1.0
363,702,1.0,1.0
324,133,1.0,1.0
463,860,1.0,1.0
414,412,1.0,1.0
199,399,1.0,1.0
1229,665,1.0,1.0
369,714,1.0,1.0
1406,589,1.0,1.0
86,79,1.0,1.0
132,313,1.0,1.0
936,1390,1.0,1.0
68,34,1.0,1.0
376,726,1.0,1.0
1386,742,1.0,1.0
435,190,1.0,1.0
702,1195,1.0,1.0
274,926,1.0,1.0
52,941,1.0,1.0
237,1405,0.0,1.0
905,1408,0.0,1.0
1428,495,1.0,1.0
353,147,1.0,1.0
416,776,1.0,1.0
1127,1125,1.0,1.0
1078,319,1.0,1.0
1004,192,1.0,1.0
94,252,1.0,1.0
210,485,0.0,1.0
519,950,1.0,1.0
703,567,0.0,1.0
413,415,1.0,1.0
338,667,1.0,1.0
457,924,1.0,1.0
17,45,1.0,1.0
1070,1028,1.0,1.0
1460,1472,1.0,1.0
102,259,1.0,1.0
409,932,1.0,1.0
127,300,1.0,1.0
455,495,1.0,1.0
510,95,1.0,1.0
929,52,1.0,1.0
667,595,1.0,1.0
875,1261,1.0,1.0
152,366,1.0,1.0
848,456,1.0,1.0
731,1239,1.0,1.0
825,589,1.0,1.0
1269,319,1.0,1.0
575,192,1.0,1.0
230,748,0.0,1.0
425,791,1.0,1.0
855,408,1.0,1.0
958,52,1.0,1.0
507,274,1.0,1.0
1475,1277,1.0,1.0
86,219,1.0,1.0
695,1185,1.0,1.0
1417,989,1.0,1.0
1461,722,1.0,1.0
708,589,1.0,1.0
373,209,1.0,1.0
175,177,1.0,1.0
1102,612,1.0,1.0
157,374,1.0,1.0
508,249,1.0,1.0
185,423,1.0,1.0
1405,1512,1.0,1.0
208,216,1.0,1.0
83,200,1.0,1.0
733,999,1.0,1.0
1207,1306,1.0,1.0
1267,514,1.0,1.0
872,332,1.0,1.0
424,72,1.0,1.0
256,97,1.0,1.0
42,90,1.0,1.0
666,84,1.0,1.0
1218,650,1.0,1.0
34,201,1.0,1.0
132,308,1.0,1.0
215,464,1.0,1.0
28,72,1.0,1.0
263,565,1.0,1.0
52,112,1.0,1.0
527,955,1.0,1.0
191,431,1.0,1.0
1277,1475,1.0,1.0
483,580,1.0,1.0
423,186,1.0,1.0
1388,1126,1.0,1.0
761,756,1.0,1.0
1377,370,1.0,1.0
424,790,1.0,1.0
34,24,1.0,1.0
925,274,1.0,1.0
578,1025,1.0,1.0
198,406,1.0,1.0
234,514,1.0,1.0
157,370,1.0,1.0
900,409,1.0,1.0
1094,228,1.0,1.0
1361,463,1.0,1.0
698,1191,1.0,1.0
464,142,1.0,1.0
620,269,1.0,1.0
309,632,1.0,1.0
409,1115,1.0,1.0
1373,408,1.0,1.0
148,365,1.0,1.0
416,592,0.0,1.0
532,292,1.0,1.0
89,925,1.0,1.0
605,1075,1.0,1.0
695,1187,1.0,1.0
917,228,1.0,1.0
682,1166,1.0,1.0
460,639,1.0,1.0
959,52,1.0,1.0
1105,1392,1.0,1.0
491,890,1.0,1.0
114,276,1.0,1.0
942,940,1.0,1.0
507,506,1.0,1.0
409,1397,1.0,1.0
347,65,1.0,1.0
546,977,1.0,1.0
371,66,1.0,1.0
874,1386,1.0,1.0
403,264,1.0,1.0
101,103,1.0,1.0
939,52,1.0,1.0
8,34,1.0,1.0
381,290,0.0,1.0
833,855,1.0,1.0
998,1482,1.0,1.0
870,1375,1.0,1.0
135,325,1.0,1.0
738,1244,1.0,1.0
251,109,1.0,1.0
1372,408,1.0,1.0
218,208,1.0,1.0
294,300,0.0,1.0
137,65,1.0,1.0
1217,1388,1.0,1.0
556,990,1.0,1.0
973,908,1.0,1.0
300,96,1.0,1.0
770,1277,1.0,1.0
395,172,1.0,1.0
874,177,1.0,1.0
617,619,1.0,1.0
1337,478,1.0,1.0
780,866,1.0,1.0
589,801,1.0,1.0
291,606,1.0,1.0
710,1214,1.0,1.0
492,88,1.0,1.0
1405,237,0.0,1.0
1184,802,1.0,1.0
52,304,0.0,1.0
635,319,1.0,1.0
594,935,1.0,1.0
269,584,1.0,1.0
150,34,1.0,1.0
871,1187,0.0,1.0
1292,425,1.0,1.0
403,402,1.0,1.0
589,898,0.0,1.0
375,724,1.0,1.0
179,418,1.0,1.0
319,901,1.0,1.0
1463,392,1.0,1.0
1512,1021,1.0,1.0
522,537,1.0,1.0
383,735,1.0,1.0
134,80,1.0,1.0
265,565,1.0,1.0
411,505,1.0,1.0
123,55,1.0,1.0
852,677,1.0,1.0
66,156,1.0,1.0
91,235,1.0,1.0
453,840,1.0,1.0
769,1130,1.0,1.0
300,294,0.0,1.0
1491,262,1.0,1.0
326,660,1.0,1.0
95,252,1.0,1.0
193,373,1.0,1.0
1404,168,1.0,1.0
319,635,1.0,1.0
728,1236,0.0,1.0
908,1415,1.0,1.0
140,337,1.0,1.0
281,600,1.0,1.0
337,1353,1.0,1.0
1380,1382,1.0,1.0
333,141,1.0,1.0
531,292,1.0,1.0
1282,779,0.0,1.0
78,136,1.0,1.0
901,319,1.0,1.0
58,84,1.0,1.0
1096,1097,1.0,1.0
519,539,1.0,1.0
526,1037,1.0,1.0
142,464,1.0,1.0
457,844,1.0,1.0
790,442,1.0,1.0
87,223,1.0,1.0
917,319,1.0,1.0
1471,1111,1.0,1.0
1154,1151,1.0,1.0
113,232,1.0,1.0
1123,662,1.0,1.0
319,1402,1.0,1.0
844,1343,1.0,1.0
434,190,0.0,1.0
242,517,1.0,1.0
589,1006,1.0,1.0
138,150,1.0,1.0
1395,628,1.0,1.0
1198,1238,1.0,1.0
1269,511,1.0,1.0
681,1163,1.0,1.0
188,427,1.0,1.0
329,83,1.0,1.0
690,704,1.0,1.0
994,173,1.0,1.0
1354,885,1.0,1.0
680,679,1.0,1.0
834,1337,1.0,1.0
518,386,1.0,1.0
612,319,1.0,1.0
1077,891,1.0,1.0
34,136,1.0,1.0
683,140,1.0,1.0
1264,1078,1.0,1.0
52,90,1.0,1.0
93,123,1.0,1.0
438,816,1.0,1.0
591,1079,1.0,1.0
386,690,1.0,1.0
147,1146,1.0,1.0
409,1095,1.0,1.0
198,451,1.0,1.0
441,820,1.0,1.0
319,898,1.0,1.0
303,626,1.0,1.0
1048,497,1.0,1.0
706,662,1.0,1.0
190,431,0.0,1.0
113,229,1.0,1.0
1007,1498,1.0,1.0
1450,1446,1.0,1.0
1279,1166,1.0,1.0
877,833,1.0,1.0
617,539,1.0,1.0
205,198,0.0,1.0
1394,884,1.0,1.0
1092,931,1.0,1.0
373,198,1.0,1.0
587,1039,1.0,1.0
1300,1303,1.0,1.0
82,209,1.0,1.0
77,198,1.0,1.0
724,164,1.0,1.0
341,667,1.0,1.0
1054,589,1.0,1.0
351,690,1.0,1.0
52,126,1.0,1.0
1349,199,1.0,1.0
790,445,1.0,1.0
1422,89,1.0,1.0
655,654,1.0,1.0
975,122,0.0,1.0
692,1181,1.0,1.0
14,527,1.0,1.0
441,826,1.0,1.0
228,502,1.0,1.0
542,292,1.0,1.0
1175,1358,1.0,1.0
1301,589,1.0,1.0
429,793,1.0,1.0
1194,1167,0.0,1.0
19,1085,1.0,1.0
381,731,1.0,1.0
365,66,1.0,1.0
34,80,1.0,1.0
58,60,1.0,1.0
268,762,1.0,1.0
90,132,1.0,1.0
47,99,1.0,1.0
1288,192,1.0,1.0
244,536,1.0,1.0
622,305,1.0,1.0
441,822,1.0,1.0
650,1116,1.0,1.0
667,140,1.0,1.0
4,176,1.0,1.0
641,1107,1.0,1.0
1078,1107,1.0,1.0
295,300,1.0,1.0
320,891,1.0,1.0
58,68,1.0,1.0
701,377,1.0,1.0
431,796,1.0,1.0
673,199,1.0,1.0
1091,534,1.0,1.0
1458,199,1.0,1.0
52,969,1.0,1.0
95,109,1.0,1.0
140,335,1.0,1.0
918,745,1.0,1.0
1140,337,1.0,1.0
52,1433,0.0,1.0
409,765,1.0,1.0
193,837,1.0,1.0
248,542,1.0,1.0
138,24,1.0,1.0
44,95,1.0,1.0
585,1034,1.0,1.0
338,680,1.0,1.0
688,674,0.0,1.0
1059,612,1.0,1.0
1321,1317,1.0,1.0
136,34,1.0,1.0
999,1488,1.0,1.0
936,1432,1.0,1.0
870,721,0.0,1.0
344,207,1.0,1.0
1265,297,1.0,1.0
52,300,1.0,1.0
342,739,1.0,1.0
235,521,1.0,1.0
815,1319,1.0,1.0
1097,1096,1.0,1.0
319,1077,1.0,1.0
494,897,1.0,1.0
998,265,1.0,1.0
738,270,1.0,1.0
1378,1193,1.0,1.0
1078,643,1.0,1.0
868,1374,1.0,1.0
667,864,1.0,1.0
