edge_index0,edge_index1,pred,gr
603,1156,1.0,1.0
1141,946,1.0,1.0
1438,755,1.0,1.0
363,352,1.0,1.0
1645,1231,1.0,1.0
464,463,0.0,1.0
1126,64,1.0,1.0
1164,208,1.0,1.0
1480,429,1.0,1.0
956,523,1.0,1.0
1159,1218,1.0,1.0
137,430,1.0,1.0
789,319,1.0,1.0
1466,1851,1.0,1.0
64,429,1.0,1.0
849,715,1.0,1.0
87,11,1.0,1.0
1332,1898,1.0,1.0
365,1255,1.0,1.0
1710,1411,1.0,1.0
1446,1969,1.0,1.0
118,115,1.0,1.0
1811,1242,1.0,1.0
328,38,1.0,1.0
653,1328,1.0,1.0
1725,1672,1.0,1.0
337,828,0.0,1.0
1998,2037,1.0,1.0
168,420,1.0,1.0
1316,1070,1.0,1.0
1451,379,1.0,1.0
80,259,1.0,1.0
67,193,0.0,1.0
1941,1567,1.0,1.0
1268,1269,1.0,1.0
2046,1620,1.0,1.0
1799,809,1.0,1.0
976,1676,1.0,1.0
501,520,1.0,1.0
1451,1345,1.0,1.0
1928,1851,0.0,1.0
1019,891,1.0,1.0
1292,1871,1.0,1.0
1653,526,1.0,1.0
580,601,1.0,1.0
783,1260,1.0,1.0
523,507,1.0,1.0
1944,734,1.0,1.0
2343,1044,1.0,1.0
2182,2295,1.0,1.0
368,890,1.0,1.0
1605,2042,1.0,1.0
1752,2018,1.0,1.0
1930,2183,1.0,1.0
369,370,1.0,1.0
920,924,1.0,1.0
380,126,1.0,1.0
1717,1045,1.0,1.0
2231,67,0.0,1.0
1373,1378,1.0,1.0
313,94,1.0,1.0
1358,752,1.0,1.0
454,189,1.0,1.0
365,883,1.0,1.0
1575,1953,1.0,1.0
2249,2134,1.0,1.0
1541,2227,1.0,1.0
156,490,1.0,1.0
1928,1379,1.0,1.0
1513,853,1.0,1.0
27,76,1.0,1.0
1778,555,1.0,1.0
2090,993,1.0,1.0
979,533,1.0,1.0
2243,1590,1.0,1.0
1367,1928,1.0,1.0
455,46,1.0,1.0
874,936,1.0,1.0
735,1399,1.0,1.0
623,621,1.0,1.0
2077,751,1.0,1.0
65,201,1.0,1.0
1308,854,1.0,1.0
579,1200,1.0,1.0
1011,1482,1.0,1.0
101,334,1.0,1.0
979,137,1.0,1.0
217,609,1.0,1.0
1313,1070,1.0,1.0
97,329,1.0,1.0
984,1665,1.0,1.0
35,32,1.0,1.0
703,710,1.0,1.0
456,997,1.0,1.0
1514,1513,1.0,1.0
1323,320,1.0,1.0
925,1523,1.0,1.0
597,207,1.0,1.0
703,632,1.0,1.0
364,725,1.0,1.0
1171,1150,1.0,1.0
1536,1531,1.0,1.0
67,229,1.0,1.0
1783,1160,1.0,1.0
873,1160,1.0,1.0
2001,2003,1.0,1.0
1181,588,1.0,1.0
1630,1633,1.0,1.0
1770,447,0.0,1.0
1456,774,1.0,1.0
1476,1252,0.0,1.0
1522,1327,1.0,1.0
2344,2096,1.0,1.0
386,929,1.0,1.0
484,1071,0.0,1.0
849,284,1.0,1.0
928,1594,1.0,1.0
1834,2008,1.0,1.0
44,127,0.0,1.0
454,453,1.0,1.0
1980,26,1.0,1.0
2030,2241,1.0,1.0
64,400,1.0,1.0
139,455,1.0,1.0
2094,1789,1.0,1.0
755,1429,1.0,1.0
597,555,1.0,1.0
1595,1597,1.0,1.0
609,1563,1.0,1.0
742,1418,1.0,1.0
1992,1991,1.0,1.0
1061,1237,1.0,1.0
2174,1335,1.0,1.0
383,910,1.0,1.0
700,1282,1.0,1.0
57,64,1.0,1.0
1406,1399,1.0,1.0
1908,1573,1.0,1.0
44,129,1.0,1.0
1566,889,1.0,1.0
118,379,1.0,1.0
959,510,1.0,1.0
65,587,1.0,1.0
1150,200,1.0,1.0
491,60,1.0,1.0
1224,1804,1.0,1.0
592,562,1.0,1.0
1800,942,1.0,1.0
1012,1011,1.0,1.0
967,1662,1.0,1.0
87,300,1.0,1.0
1308,1883,0.0,1.0
1458,1457,1.0,1.0
1794,703,1.0,1.0
1405,316,1.0,1.0
922,874,1.0,1.0
2019,967,1.0,1.0
43,121,1.0,1.0
64,985,1.0,1.0
233,657,1.0,1.0
1902,1891,1.0,1.0
1400,1403,1.0,1.0
2186,316,1.0,1.0
617,1260,1.0,1.0
634,607,1.0,1.0
1644,838,1.0,1.0
294,752,1.0,1.0
942,1590,1.0,1.0
2225,1533,1.0,1.0
368,371,1.0,1.0
1461,1976,1.0,1.0
1186,1679,1.0,1.0
861,725,1.0,1.0
1258,1563,1.0,1.0
538,1135,1.0,1.0
1188,617,1.0,1.0
365,1810,0.0,1.0
1106,1111,1.0,1.0
33,34,1.0,1.0
1601,392,1.0,1.0
597,592,1.0,1.0
1486,1565,1.0,1.0
105,341,1.0,1.0
1315,1366,1.0,1.0
2037,676,1.0,1.0
2050,1252,1.0,1.0
1179,1201,1.0,1.0
1586,2031,1.0,1.0
203,554,1.0,1.0
1580,1579,1.0,1.0
331,110,1.0,1.0
1043,609,1.0,1.0
1183,1795,1.0,1.0
613,1252,1.0,1.0
759,304,1.0,1.0
1248,1837,1.0,1.0
2086,2263,1.0,1.0
1275,685,1.0,1.0
1989,2218,1.0,1.0
1361,1265,1.0,1.0
922,1561,1.0,1.0
2189,2091,1.0,1.0
226,635,1.0,1.0
