edge_index0,edge_index1,pred,gr
1065,1466,1.0,1.0
158,396,1.0,1.0
682,506,1.0,1.0
1327,1363,1.0,1.0
596,1107,1.0,1.0
793,1319,1.0,1.0
2048,1372,1.0,1.0
1937,1075,1.0,1.0
721,744,1.0,1.0
296,661,1.0,1.0
71,900,1.0,1.0
1564,1596,0.0,1.0
1730,751,1.0,1.0
1919,1918,1.0,1.0
1107,952,1.0,1.0
426,875,1.0,1.0
345,349,1.0,1.0
84,197,0.0,1.0
256,598,1.0,1.0
81,229,1.0,1.0
2139,1011,1.0,1.0
52,755,1.0,1.0
931,1467,1.0,1.0
218,1029,1.0,1.0
296,667,1.0,1.0
448,4,1.0,1.0
269,624,1.0,1.0
1229,630,1.0,1.0
1210,751,1.0,1.0
1444,1475,1.0,1.0
579,270,1.0,1.0
163,245,1.0,1.0
143,42,1.0,1.0
1481,530,1.0,1.0
1129,1647,1.0,1.0
1186,1687,1.0,1.0
1287,1783,1.0,1.0
1042,458,1.0,1.0
676,511,1.0,1.0
1851,1016,1.0,1.0
218,525,1.0,1.0
1200,432,1.0,1.0
1064,1065,1.0,1.0
317,707,1.0,1.0
262,580,1.0,1.0
2116,1589,1.0,1.0
52,1262,1.0,1.0
406,837,1.0,1.0
1770,2074,1.0,1.0
1871,984,1.0,1.0
369,144,1.0,1.0
543,1058,1.0,1.0
473,471,1.0,1.0
224,454,1.0,1.0
1429,417,1.0,1.0
421,863,1.0,1.0
1237,751,1.0,1.0
1649,1958,1.0,1.0
1227,728,0.0,1.0
52,719,1.0,1.0
79,83,1.0,1.0
143,359,1.0,1.0
617,1143,1.0,1.0
69,34,1.0,1.0
2158,1981,1.0,1.0
427,878,1.0,1.0
1614,891,1.0,1.0
497,215,1.0,1.0
1873,984,1.0,1.0
837,1374,1.0,1.0
1898,682,0.0,1.0
318,614,1.0,1.0
52,1146,0.0,1.0
272,1215,0.0,1.0
1103,1630,1.0,1.0
1474,576,1.0,1.0
403,161,1.0,1.0
732,1250,1.0,1.0
932,933,1.0,1.0
1156,124,0.0,1.0
1457,1858,1.0,1.0
475,812,1.0,1.0
1324,1322,1.0,1.0
610,255,1.0,1.0
1203,217,1.0,1.0
2027,300,1.0,1.0
98,287,1.0,1.0
238,570,1.0,1.0
52,127,1.0,1.0
625,1154,1.0,1.0
126,330,1.0,1.0
841,678,1.0,1.0
1011,1892,1.0,1.0
472,474,1.0,1.0
391,804,1.0,1.0
718,704,1.0,1.0
533,909,1.0,1.0
17,45,1.0,1.0
1717,1515,1.0,1.0
1755,731,1.0,1.0
255,1939,1.0,1.0
1860,469,1.0,1.0
1680,1694,1.0,1.0
106,294,1.0,1.0
469,942,1.0,1.0
139,346,1.0,1.0
531,576,1.0,1.0
326,737,1.0,1.0
69,185,1.0,1.0
602,99,1.0,1.0
1197,2161,0.0,1.0
217,1078,1.0,1.0
1130,52,1.0,1.0
804,389,1.0,1.0
2118,1589,1.0,1.0
1023,1459,1.0,1.0
167,418,1.0,1.0
1040,532,1.0,1.0
883,1439,1.0,1.0
329,751,1.0,1.0
1479,255,1.0,1.0
2164,1722,1.0,1.0
254,433,0.0,1.0
484,965,1.0,1.0
519,463,1.0,1.0
1163,52,1.0,1.0
580,318,1.0,1.0
1925,1054,1.0,1.0
1698,916,0.0,1.0
1252,1251,1.0,1.0
1215,1279,1.0,1.0
79,225,1.0,1.0
842,1379,1.0,1.0
1520,1881,1.0,1.0
1690,1188,1.0,1.0
229,1837,1.0,1.0
1681,873,1.0,1.0
857,751,1.0,1.0
1200,1716,1.0,1.0
1780,760,1.0,1.0
1972,1186,1.0,1.0
1436,1847,1.0,1.0
1551,1554,1.0,1.0
1119,1111,1.0,1.0
1637,469,1.0,1.0
424,237,1.0,1.0
199,201,1.0,1.0
1327,1801,1.0,1.0
1312,769,1.0,1.0
2176,986,1.0,1.0
174,425,1.0,1.0
600,285,1.0,1.0
730,1251,1.0,1.0
210,487,1.0,1.0
1215,1002,1.0,1.0
236,243,1.0,1.0
87,227,1.0,1.0
885,1200,1.0,1.0
1410,686,0.0,1.0
987,621,1.0,1.0
853,231,1.0,1.0
722,127,1.0,1.0
1871,1872,1.0,1.0
482,73,1.0,1.0
291,101,1.0,1.0
1919,2116,1.0,1.0
2080,2081,1.0,1.0
1935,2132,1.0,1.0
1981,1680,1.0,1.0
42,94,1.0,1.0
1941,1387,1.0,1.0
153,82,1.0,1.0
