edge_index0,edge_index1,pred,gr
929,1446,1.0,1.0
1293,699,1.0,1.0
1087,1601,1.0,1.0
288,637,1.0,1.0
1275,1195,1.0,1.0
363,362,1.0,1.0
1489,482,1.0,1.0
1135,335,1.0,1.0
709,838,1.0,1.0
876,455,1.0,1.0
122,1299,1.0,1.0
1113,254,1.0,1.0
1115,1580,1.0,1.0
64,335,1.0,1.0
84,11,1.0,1.0
296,465,1.0,1.0
1335,1058,1.0,1.0
1092,1614,1.0,1.0
103,101,0.0,1.0
947,1482,1.0,1.0
269,38,1.0,1.0
1352,1392,1.0,1.0
487,1647,1.0,1.0
1015,1548,1.0,1.0
153,407,1.0,1.0
1539,802,1.0,1.0
1097,283,1.0,1.0
76,208,1.0,1.0
1716,671,1.0,1.0
421,420,1.0,1.0
1736,1225,1.0,1.0
1515,608,1.0,1.0
747,1318,1.0,1.0
400,436,1.0,1.0
1097,1000,1.0,1.0
760,634,1.0,1.0
931,1464,1.0,1.0
1381,1281,1.0,1.0
981,926,1.0,1.0
1125,1129,1.0,1.0
838,406,1.0,1.0
284,632,1.0,1.0
1365,1845,1.0,1.0
286,285,1.0,1.0
689,693,1.0,1.0
293,111,1.0,1.0
1341,784,1.0,1.0
1741,1043,1.0,1.0
248,91,1.0,1.0
1030,559,1.0,1.0
354,438,1.0,1.0
1174,1602,1.0,1.0
141,389,1.0,1.0
1163,1151,1.0,1.0
27,78,1.0,1.0
446,449,1.0,1.0
434,726,1.0,1.0
355,46,1.0,1.0
1257,811,1.0,1.0
548,1063,1.0,1.0
1664,1452,1.0,1.0
1786,563,1.0,1.0
65,169,1.0,1.0
483,979,1.0,1.0
756,1137,1.0,1.0
677,473,1.0,1.0
434,122,1.0,1.0
1161,802,1.0,1.0
96,270,1.0,1.0
728,1297,1.0,1.0
35,32,1.0,1.0
429,861,1.0,1.0
723,743,1.0,1.0
1164,1163,1.0,1.0
1244,255,1.0,1.0
1259,498,1.0,1.0
467,954,1.0,1.0
429,430,1.0,1.0
295,661,1.0,1.0
1432,883,1.0,1.0
1730,1216,1.0,1.0
67,470,1.0,1.0
888,890,1.0,1.0
1264,1265,1.0,1.0
1103,580,1.0,1.0
1130,973,1.0,1.0
1550,1551,1.0,1.0
694,886,1.0,1.0
383,458,1.0,1.0
1261,680,1.0,1.0
44,112,1.0,1.0
354,353,1.0,1.0
1648,26,1.0,1.0
967,1501,1.0,1.0
64,309,1.0,1.0
124,355,1.0,1.0
1819,1818,1.0,1.0
467,449,1.0,1.0
1435,1438,1.0,1.0
464,1639,1.0,1.0
1310,1799,1.0,1.0
1679,1678,1.0,1.0
948,1208,1.0,1.0
1155,1156,1.0,1.0
524,1041,1.0,1.0
57,64,1.0,1.0
1620,1063,1.0,1.0
1686,1171,1.0,1.0
44,114,0.0,1.0
1223,675,1.0,1.0
103,283,1.0,1.0
65,882,1.0,1.0
883,444,1.0,1.0
828,60,1.0,1.0
447,900,1.0,1.0
951,842,1.0,1.0
1491,695,1.0,1.0
757,756,1.0,1.0
716,1291,1.0,1.0
84,237,1.0,1.0
1108,1107,1.0,1.0
1578,429,1.0,1.0
1102,251,1.0,1.0
691,1257,1.0,1.0
1752,716,1.0,1.0
43,276,1.0,1.0
64,729,1.0,1.0
1461,1240,1.0,1.0
596,1129,0.0,1.0
606,1141,1.0,1.0
1274,620,1.0,1.0
231,559,1.0,1.0
695,1600,1.0,1.0
284,633,1.0,1.0
1110,1627,1.0,1.0
1588,1308,1.0,1.0
638,661,1.0,1.0
1126,1639,1.0,1.0
1591,596,1.0,1.0
296,1713,1.0,1.0
1768,1767,1.0,1.0
33,34,1.0,1.0
1243,304,1.0,1.0
467,951,1.0,1.0
1146,1222,1.0,1.0
497,1004,1.0,1.0
