edge_index0,edge_index1,pred,gr
605,378,1.0,1.0
377,644,1.0,1.0
63,457,0.0,1.0
538,219,1.0,1.0
72,292,0.0,1.0
151,304,1.0,1.0
142,279,0.0,1.0
193,365,1.0,1.0
247,4,1.0,1.0
327,336,1.0,1.0
119,239,1.0,1.0
108,42,1.0,1.0
372,637,1.0,1.0
631,243,1.0,1.0
170,588,1.0,1.0
255,253,1.0,1.0
148,252,1.0,1.0
71,152,1.0,1.0
108,226,1.0,1.0
61,34,1.0,1.0
273,139,1.0,1.0
214,330,1.0,1.0
451,534,1.0,1.0
564,324,1.0,1.0
636,141,1.0,1.0
82,338,1.0,1.0
234,640,1.0,1.0
498,374,1.0,1.0
254,256,1.0,1.0
638,459,1.0,1.0
401,399,1.0,1.0
17,45,1.0,1.0
89,191,1.0,1.0
356,424,1.0,1.0
284,320,1.0,1.0
61,122,1.0,1.0
325,83,1.0,1.0
459,405,1.0,1.0
517,285,1.0,1.0
404,452,0.0,1.0
263,469,1.0,1.0
525,435,1.0,1.0
388,53,1.0,1.0
588,214,1.0,1.0
71,149,1.0,1.0
235,300,1.0,1.0
357,182,1.0,1.0
134,466,1.0,1.0
110,158,1.0,1.0
561,301,1.0,1.0
468,65,1.0,1.0
188,85,1.0,1.0
42,78,1.0,1.0
34,159,1.0,1.0
108,225,1.0,1.0
56,111,1.0,1.0
28,65,1.0,1.0
196,372,1.0,1.0
140,269,1.0,1.0
466,259,1.0,1.0
34,24,1.0,1.0
329,214,1.0,1.0
147,528,1.0,1.0
203,383,1.0,1.0
235,218,1.0,1.0
111,112,1.0,1.0
233,236,1.0,1.0
347,206,1.0,1.0
77,329,1.0,1.0
289,518,1.0,1.0
315,557,1.0,1.0
588,169,1.0,1.0
441,59,1.0,1.0
394,197,1.0,1.0
194,90,1.0,1.0
8,34,1.0,1.0
243,205,1.0,1.0
541,407,1.0,1.0
183,96,1.0,1.0
239,157,1.0,1.0
345,424,1.0,1.0
151,303,1.0,1.0
364,624,1.0,1.0
424,84,1.0,1.0
248,454,1.0,1.0
609,355,1.0,1.0
294,532,1.0,1.0
646,478,1.0,1.0
317,76,1.0,1.0
53,221,1.0,1.0
171,589,1.0,1.0
113,34,1.0,1.0
131,258,1.0,1.0
324,577,1.0,1.0
592,352,1.0,1.0
198,372,1.0,1.0
1,575,1.0,1.0
507,458,1.0,1.0
176,54,1.0,1.0
59,546,1.0,1.0
79,332,1.0,1.0
424,345,1.0,1.0
83,338,1.0,1.0
208,125,1.0,1.0
430,429,1.0,1.0
346,206,1.0,1.0
74,156,1.0,1.0
577,324,1.0,1.0
207,392,1.0,1.0
112,111,1.0,1.0
75,163,1.0,1.0
406,585,1.0,1.0
