edge_index0,edge_index1,pred,gr
379,778,1.0,1.0
135,430,1.0,1.0
486,953,1.0,1.0
937,911,1.0,1.0
601,1119,0.0,1.0
520,1010,1.0,1.0
112,675,1.0,1.0
1242,1243,0.0,1.0
754,363,1.0,1.0
112,300,1.0,1.0
700,1225,1.0,1.0
514,1002,1.0,1.0
74,81,1.0,1.0
341,130,1.0,1.0
400,152,1.0,1.0
225,553,0.0,1.0
697,879,1.0,1.0
258,605,0.0,1.0
159,142,1.0,1.0
555,653,1.0,1.0
326,1235,0.0,1.0
560,332,1.0,1.0
564,235,0.0,1.0
81,239,0.0,1.0
69,463,1.0,1.0
100,283,1.0,1.0
90,257,1.0,1.0
911,69,1.0,1.0
872,874,1.0,1.0
575,1077,1.0,1.0
608,1131,1.0,1.0
188,69,1.0,1.0
984,188,1.0,1.0
362,763,1.0,1.0
809,1335,1.0,1.0
1002,367,1.0,1.0
834,334,1.0,1.0
502,833,0.0,1.0
678,306,1.0,1.0
973,193,1.0,1.0
912,69,1.0,1.0
203,530,0.0,1.0
623,1152,1.0,1.0
317,321,0.0,1.0
1264,1016,1.0,1.0
770,694,1.0,1.0
776,1318,0.0,1.0
485,69,1.0,1.0
964,963,1.0,1.0
34,88,0.0,1.0
304,675,1.0,1.0
74,27,1.0,1.0
184,474,1.0,1.0
471,463,1.0,1.0
840,1369,1.0,1.0
1248,1382,1.0,1.0
511,997,0.0,1.0
97,26,1.0,1.0
248,583,1.0,1.0
791,140,1.0,1.0
1372,326,0.0,1.0
164,171,1.0,1.0
813,1338,1.0,1.0
998,233,1.0,1.0
301,673,0.0,1.0
50,139,1.0,1.0
1,24,0.0,1.0
577,1081,0.0,1.0
284,76,1.0,1.0
222,548,1.0,1.0
816,810,1.0,1.0
55,148,1.0,1.0
150,145,1.0,1.0
1082,347,1.0,1.0
190,496,1.0,1.0
205,295,1.0,1.0
568,1033,0.0,1.0
461,974,1.0,1.0
70,1041,1.0,1.0
132,49,0.0,1.0
40,636,1.0,1.0
70,190,1.0,1.0
1103,418,0.0,1.0
104,78,1.0,1.0
802,792,1.0,1.0
559,79,1.0,1.0
533,1023,0.0,1.0
908,1127,0.0,1.0
183,472,1.0,1.0
897,464,1.0,1.0
470,922,1.0,1.0
1222,134,1.0,1.0
753,752,1.0,1.0
326,124,1.0,1.0
134,319,0.0,1.0
69,906,1.0,1.0
383,366,0.0,1.0
153,409,0.0,1.0
146,401,1.0,1.0
53,145,1.0,1.0
813,152,1.0,1.0
357,757,0.0,1.0
162,430,1.0,1.0
791,878,1.0,1.0
1179,949,1.0,1.0
134,768,1.0,1.0
464,897,1.0,1.0
134,382,1.0,1.0
528,1019,1.0,1.0
1142,581,1.0,1.0
491,185,1.0,1.0
694,134,1.0,1.0
830,816,1.0,1.0
744,750,1.0,1.0
593,1102,0.0,1.0
909,69,1.0,1.0
998,134,1.0,1.0
840,1182,0.0,1.0
76,220,1.0,1.0
474,491,1.0,1.0
388,387,1.0,1.0
543,541,1.0,1.0
70,197,1.0,1.0
471,928,1.0,1.0
79,228,1.0,1.0
259,1148,1.0,1.0
397,144,1.0,1.0
873,171,1.0,1.0
134,753,1.0,1.0
95,276,1.0,1.0
1143,1295,1.0,1.0
251,252,0.0,1.0
255,598,0.0,1.0
731,125,1.0,1.0
94,272,1.0,1.0
888,316,1.0,1.0
188,483,1.0,1.0
385,783,1.0,1.0
190,495,1.0,1.0
89,36,1.0,1.0
1332,134,1.0,1.0
1390,570,0.0,1.0
490,491,1.0,1.0
464,483,1.0,1.0
879,1122,1.0,1.0
851,719,1.0,1.0
429,178,1.0,1.0
1372,1327,0.0,1.0
44,32,0.0,1.0
732,1277,0.0,1.0
1344,1347,0.0,1.0
1132,737,1.0,1.0
544,1044,0.0,1.0
346,567,1.0,1.0
531,211,1.0,1.0
1230,764,0.0,1.0
1135,1136,0.0,1.0
135,378,1.0,1.0
418,1103,0.0,1.0
943,959,1.0,1.0
592,254,0.0,1.0
1166,1016,1.0,1.0
440,409,1.0,1.0
114,13,0.0,1.0
134,20,1.0,1.0
926,183,1.0,1.0
750,1288,1.0,1.0
1149,261,1.0,1.0
171,164,1.0,1.0
189,474,1.0,1.0
346,410,1.0,1.0
530,1020,0.0,1.0
265,266,1.0,1.0
1235,326,0.0,1.0
225,554,0.0,1.0
69,911,1.0,1.0
960,946,1.0,1.0
708,709,0.0,1.0
1340,614,0.0,1.0
262,625,0.0,1.0
1183,1010,1.0,1.0
693,1221,0.0,1.0
18,53,1.0,1.0
1395,422,1.0,1.0
248,585,0.0,1.0
123,336,0.0,1.0
354,744,1.0,1.0
224,75,1.0,1.0
