edge_index0,edge_index1,pred,gr
20,0,0.0,1.0
21,0,0.0,1.0
22,0,0.0,1.0
23,1,0.0,1.0
24,1,0.0,1.0
25,2,1.0,1.0
26,2,1.0,1.0
27,3,0.0,1.0
28,4,1.0,1.0
29,4,1.0,1.0
30,5,0.0,1.0
31,6,1.0,1.0
32,6,1.0,1.0
33,6,1.0,1.0
34,6,1.0,1.0
35,7,0.0,1.0
36,7,0.0,1.0
8,7,0.0,1.0
37,8,1.0,1.0
7,8,0.0,1.0
38,8,1.0,1.0
39,8,0.0,1.0
12,9,0.0,1.0
10,9,0.0,1.0
40,9,0.0,1.0
41,10,0.0,1.0
12,10,0.0,1.0
10,12,0.0,1.0
9,12,0.0,1.0
42,13,0.0,1.0
43,14,1.0,1.0
44,14,1.0,1.0
45,15,0.0,1.0
46,15,0.0,1.0
47,15,0.0,1.0
48,16,1.0,1.0
49,16,1.0,1.0
50,17,0.0,1.0
21,17,0.0,1.0
20,17,0.0,1.0
22,17,0.0,1.0
51,18,1.0,1.0
52,18,1.0,1.0
53,18,1.0,1.0
54,19,0.0,1.0
55,19,0.0,1.0
56,19,0.0,1.0
0,21,0.0,1.0
17,21,0.0,1.0
57,22,1.0,1.0
0,22,0.0,1.0
17,22,0.0,1.0
58,24,0.0,1.0
59,24,0.0,1.0
60,24,1.0,1.0
61,24,1.0,1.0
62,25,1.0,1.0
63,25,1.0,1.0
2,25,1.0,1.0
64,25,1.0,1.0
63,25,1.0,1.0
65,26,1.0,1.0
66,26,1.0,1.0
68,26,0.0,1.0
37,26,1.0,1.0
373,26,1.0,1.0
62,26,1.0,1.0
173,26,1.0,1.0
67,26,1.0,1.0
69,26,1.0,1.0
70,26,1.0,1.0
71,26,1.0,1.0
72,26,1.0,1.0
2,26,1.0,1.0
3,27,0.0,1.0
73,28,1.0,1.0
74,28,1.0,1.0
4,28,1.0,1.0
75,29,1.0,1.0
4,29,1.0,1.0
73,29,1.0,1.0
76,30,0.0,1.0
5,30,0.0,1.0
6,31,1.0,1.0
32,31,1.0,1.0
34,32,1.0,1.0
34,32,1.0,1.0
33,32,1.0,1.0
6,32,1.0,1.0
31,32,1.0,1.0
77,32,1.0,1.0
33,32,1.0,1.0
78,33,0.0,1.0
34,33,1.0,1.0
32,33,1.0,1.0
32,33,1.0,1.0
6,33,1.0,1.0
33,34,1.0,1.0
32,34,1.0,1.0
6,34,1.0,1.0
32,34,1.0,1.0
7,35,0.0,1.0
79,35,0.0,1.0
80,35,0.0,1.0
81,36,1.0,1.0
82,36,1.0,1.0
64,37,1.0,1.0
84,37,1.0,1.0
859,37,1.0,1.0
89,37,1.0,1.0
87,37,1.0,1.0
71,37,1.0,1.0
85,37,1.0,1.0
814,37,1.0,1.0
83,37,1.0,1.0
86,37,1.0,1.0
403,37,1.0,1.0
26,37,1.0,1.0
429,37,1.0,1.0
88,37,1.0,1.0
171,37,1.0,1.0
172,37,1.0,1.0
779,37,1.0,1.0
90,37,1.0,1.0
91,38,1.0,1.0
92,38,1.0,1.0
8,38,1.0,1.0
8,39,0.0,1.0
41,40,0.0,1.0
9,40,0.0,1.0
40,41,0.0,1.0
9,41,0.0,1.0
10,41,0.0,1.0
93,42,0.0,1.0
13,42,0.0,1.0
14,43,1.0,1.0
94,43,1.0,1.0
95,43,1.0,1.0
96,43,1.0,1.0
97,43,1.0,1.0
98,43,1.0,1.0
99,44,1.0,1.0
100,44,1.0,1.0
101,44,1.0,1.0
107,44,1.0,1.0
102,44,1.0,1.0
103,44,1.0,1.0
104,44,1.0,1.0
14,44,1.0,1.0
105,44,1.0,1.0
106,44,1.0,1.0
956,44,1.0,1.0
108,45,0.0,1.0
15,45,0.0,1.0
109,45,1.0,1.0
110,46,1.0,1.0
111,46,0.0,1.0
108,46,0.0,1.0
112,46,1.0,1.0
113,46,1.0,1.0
15,46,0.0,1.0
112,46,1.0,1.0
114,46,1.0,1.0
115,47,0.0,1.0
15,47,0.0,1.0
116,48,1.0,1.0
117,49,1.0,1.0
118,49,1.0,1.0
119,50,1.0,1.0
17,50,0.0,1.0
0,50,0.0,1.0
120,50,1.0,1.0
121,50,1.0,1.0
122,50,1.0,1.0
123,51,1.0,1.0
18,51,1.0,1.0
124,51,1.0,1.0
18,52,1.0,1.0
125,53,1.0,1.0
126,53,0.0,1.0
124,53,1.0,1.0
127,53,1.0,1.0
19,54,0.0,1.0
128,55,0.0,1.0
19,55,0.0,1.0
129,56,0.0,1.0
130,56,0.0,1.0
131,56,0.0,1.0
22,57,1.0,1.0
132,57,1.0,1.0
112,57,1.0,1.0
24,58,0.0,1.0
24,58,0.0,1.0
1108,59,1.0,1.0
142,59,0.0,1.0
851,59,0.0,1.0
641,59,0.0,1.0
139,59,0.0,1.0
135,59,0.0,1.0
140,59,0.0,1.0
141,59,0.0,1.0
530,59,0.0,1.0
686,59,1.0,1.0
1127,59,0.0,1.0
259,59,1.0,1.0
138,59,1.0,1.0
137,59,0.0,1.0
340,59,1.0,1.0
351,59,0.0,1.0
346,59,1.0,1.0
136,59,1.0,1.0
133,59,1.0,1.0
680,59,1.0,1.0
862,59,0.0,1.0
528,59,0.0,1.0
134,59,0.0,1.0
671,59,1.0,1.0
676,59,1.0,1.0
673,59,1.0,1.0
1102,59,0.0,1.0
672,59,1.0,1.0
665,59,1.0,1.0
1117,59,1.0,1.0
723,60,1.0,1.0
700,60,1.0,1.0
697,60,1.0,1.0
705,60,1.0,1.0
706,60,1.0,1.0
153,60,1.0,1.0
752,60,1.0,1.0
360,60,1.0,1.0
143,60,1.0,1.0
377,60,1.0,1.0
145,60,1.0,1.0
366,60,1.0,1.0
715,60,1.0,1.0
932,60,1.0,1.0
147,60,1.0,1.0
376,60,1.0,1.0
717,60,1.0,1.0
704,60,1.0,1.0
146,60,1.0,1.0
714,60,1.0,1.0
144,60,1.0,1.0
646,60,1.0,1.0
716,60,1.0,1.0
150,60,1.0,1.0
152,60,1.0,1.0
148,60,1.0,1.0
151,60,1.0,1.0
681,60,1.0,1.0
751,60,1.0,1.0
109,60,1.0,1.0
294,60,1.0,1.0
701,60,1.0,1.0
149,60,1.0,1.0
359,60,1.0,1.0
153,61,1.0,1.0
24,61,1.0,1.0
154,61,1.0,1.0
64,62,1.0,1.0
69,62,1.0,1.0
25,62,1.0,1.0
25,63,1.0,1.0
62,63,1.0,1.0
25,63,1.0,1.0
156,64,1.0,1.0
408,64,1.0,1.0
769,64,1.0,1.0
88,64,1.0,1.0
155,64,1.0,1.0
157,64,0.0,1.0
69,64,1.0,1.0
158,64,0.0,1.0
159,64,1.0,1.0
69,64,1.0,1.0
62,64,1.0,1.0
25,64,1.0,1.0
160,64,0.0,1.0
809,64,1.0,1.0
72,65,1.0,1.0
26,65,1.0,1.0
155,65,1.0,1.0
161,65,1.0,1.0
162,66,1.0,1.0
26,66,1.0,1.0
163,66,1.0,1.0
164,66,1.0,1.0
86,66,1.0,1.0
165,66,1.0,1.0
26,67,1.0,1.0
26,68,0.0,1.0
166,68,0.0,1.0
167,68,0.0,1.0
26,69,1.0,1.0
64,69,1.0,1.0
398,69,1.0,1.0
171,69,1.0,1.0
71,69,1.0,1.0
70,69,1.0,1.0
168,69,1.0,1.0
169,69,1.0,1.0
64,69,1.0,1.0
170,69,1.0,1.0
62,69,1.0,1.0
67,69,1.0,1.0
69,70,1.0,1.0
26,70,1.0,1.0
71,70,1.0,1.0
69,71,1.0,1.0
171,71,1.0,1.0
72,71,1.0,1.0
172,71,1.0,1.0
173,71,1.0,1.0
26,71,1.0,1.0
70,71,1.0,1.0
156,71,1.0,1.0
26,71,1.0,1.0
174,72,1.0,1.0
904,72,0.0,1.0
175,72,1.0,1.0
414,72,1.0,1.0
415,72,1.0,1.0
178,72,1.0,1.0
71,72,1.0,1.0
410,72,1.0,1.0
789,72,1.0,1.0
176,72,1.0,1.0
412,72,1.0,1.0
179,72,1.0,1.0
177,72,1.0,1.0
222,72,1.0,1.0
181,72,1.0,1.0
180,72,1.0,1.0
182,72,1.0,1.0
75,73,1.0,1.0
28,73,1.0,1.0
187,73,1.0,1.0
74,73,1.0,1.0
183,73,1.0,1.0
184,73,1.0,1.0
185,73,1.0,1.0
192,73,1.0,1.0
188,73,1.0,1.0
545,73,1.0,1.0
143,73,1.0,1.0
29,73,1.0,1.0
186,73,1.0,1.0
190,73,1.0,1.0
832,73,1.0,1.0
189,73,1.0,1.0
190,74,1.0,1.0
191,74,1.0,1.0
192,74,1.0,1.0
28,74,1.0,1.0
73,74,1.0,1.0
193,74,0.0,1.0
29,75,1.0,1.0
73,75,1.0,1.0
194,75,1.0,1.0
187,75,1.0,1.0
195,75,1.0,1.0
196,76,0.0,1.0
197,76,1.0,1.0
32,77,1.0,1.0
32,77,1.0,1.0
198,78,1.0,1.0
199,78,0.0,1.0
200,78,0.0,1.0
201,79,1.0,1.0
88,79,1.0,1.0
202,79,1.0,1.0
172,79,1.0,1.0
35,79,0.0,1.0
203,80,0.0,1.0
204,80,0.0,1.0
35,80,0.0,1.0
205,80,0.0,1.0
36,81,1.0,1.0
206,81,1.0,1.0
207,81,1.0,1.0
208,82,1.0,1.0
209,82,1.0,1.0
210,82,1.0,1.0
211,83,1.0,1.0
170,83,1.0,1.0
86,83,1.0,1.0
87,83,1.0,1.0
212,83,1.0,1.0
37,83,1.0,1.0
37,84,1.0,1.0
90,84,1.0,1.0
213,84,1.0,1.0
90,84,1.0,1.0
171,84,1.0,1.0
214,85,1.0,1.0
90,85,1.0,1.0
215,86,1.0,1.0
83,86,1.0,1.0
165,86,1.0,1.0
216,86,1.0,1.0
201,86,1.0,1.0
211,86,1.0,1.0
217,86,1.0,1.0
87,86,1.0,1.0
37,86,1.0,1.0
218,86,1.0,1.0
168,86,1.0,1.0
66,86,1.0,1.0
217,87,1.0,1.0
83,87,1.0,1.0
201,87,1.0,1.0
219,87,0.0,1.0
86,87,1.0,1.0
216,87,1.0,1.0
215,87,1.0,1.0
211,87,1.0,1.0
64,88,1.0,1.0
37,88,1.0,1.0
220,88,0.0,1.0
79,88,1.0,1.0
37,89,1.0,1.0
90,89,1.0,1.0
84,89,1.0,1.0
221,90,1.0,1.0
84,90,1.0,1.0
213,90,1.0,1.0
89,90,1.0,1.0
222,90,1.0,1.0
223,90,1.0,1.0
171,90,1.0,1.0
84,90,1.0,1.0
37,90,1.0,1.0
224,91,1.0,1.0
225,91,1.0,1.0
38,91,1.0,1.0
226,91,1.0,1.0
227,91,1.0,1.0
228,92,1.0,1.0
38,92,1.0,1.0
223,92,1.0,1.0
229,92,1.0,1.0
13,93,0.0,1.0
42,93,0.0,1.0
43,94,1.0,1.0
230,95,1.0,1.0
231,95,1.0,1.0
113,95,1.0,1.0
43,95,1.0,1.0
232,95,1.0,1.0
43,96,1.0,1.0
233,96,0.0,1.0
234,96,0.0,1.0
235,97,1.0,1.0
43,97,1.0,1.0
236,97,1.0,1.0
98,97,1.0,1.0
237,97,1.0,1.0
97,98,1.0,1.0
43,98,1.0,1.0
238,98,1.0,1.0
239,98,1.0,1.0
107,99,1.0,1.0
44,99,1.0,1.0
240,99,1.0,1.0
241,99,1.0,1.0
242,100,1.0,1.0
44,100,1.0,1.0
243,100,1.0,1.0
106,100,1.0,1.0
244,100,0.0,1.0
245,100,1.0,1.0
246,100,0.0,1.0
44,101,1.0,1.0
247,101,1.0,1.0
248,102,1.0,1.0
249,102,1.0,1.0
44,102,1.0,1.0
250,102,1.0,1.0
252,103,1.0,1.0
555,103,0.0,1.0
251,103,1.0,1.0
1115,103,1.0,1.0
561,103,1.0,1.0
258,103,0.0,1.0
44,103,1.0,1.0
253,103,1.0,1.0
554,103,1.0,1.0
257,103,1.0,1.0
259,103,1.0,1.0
254,103,1.0,1.0
256,103,1.0,1.0
255,103,1.0,1.0
1113,103,1.0,1.0
101,104,1.0,1.0
44,104,1.0,1.0
247,104,1.0,1.0
247,104,1.0,1.0
260,105,0.0,1.0
44,105,1.0,1.0
100,106,1.0,1.0
44,106,1.0,1.0
99,107,1.0,1.0
44,107,1.0,1.0
45,108,0.0,1.0
46,108,0.0,1.0
47,108,0.0,1.0
266,109,1.0,1.0
1030,109,1.0,1.0
60,109,1.0,1.0
132,109,1.0,1.0
262,109,1.0,1.0
261,109,1.0,1.0
268,109,1.0,1.0
265,109,1.0,1.0
1029,109,1.0,1.0
153,109,1.0,1.0
264,109,1.0,1.0
264,109,1.0,1.0
263,109,1.0,1.0
1046,109,1.0,1.0
567,109,1.0,1.0
568,109,1.0,1.0
571,109,1.0,1.0
267,109,1.0,1.0
570,109,1.0,1.0
153,110,1.0,1.0
46,110,1.0,1.0
112,110,1.0,1.0
132,110,1.0,1.0
269,112,1.0,1.0
270,112,1.0,1.0
271,112,1.0,1.0
46,112,1.0,1.0
272,112,1.0,1.0
113,112,1.0,1.0
57,112,1.0,1.0
110,112,1.0,1.0
132,113,1.0,1.0
273,113,1.0,1.0
280,113,0.0,1.0
274,113,1.0,1.0
277,113,1.0,1.0
46,113,1.0,1.0
275,113,1.0,1.0
276,113,0.0,1.0
231,113,1.0,1.0
278,113,1.0,1.0
279,113,1.0,1.0
112,113,1.0,1.0
117,114,1.0,1.0
281,114,1.0,1.0
47,115,0.0,1.0
282,115,0.0,1.0
283,115,0.0,1.0
284,115,0.0,1.0
48,116,1.0,1.0
285,116,1.0,1.0
286,116,1.0,1.0
275,117,1.0,1.0
49,117,1.0,1.0
287,117,1.0,1.0
288,117,1.0,1.0
153,117,1.0,1.0
289,117,1.0,1.0
290,117,1.0,1.0
132,117,1.0,1.0
291,117,1.0,1.0
292,118,1.0,1.0
290,118,1.0,1.0
293,118,0.0,1.0
287,118,1.0,1.0
294,118,1.0,1.0
295,118,1.0,1.0
49,118,1.0,1.0
288,118,1.0,1.0
296,118,1.0,1.0
297,119,1.0,1.0
50,119,1.0,1.0
122,119,1.0,1.0
122,120,1.0,1.0
285,120,1.0,1.0
50,120,1.0,1.0
298,120,1.0,1.0
299,120,1.0,1.0
275,121,1.0,1.0
300,121,1.0,1.0
132,121,1.0,1.0
301,121,1.0,1.0
302,121,1.0,1.0
303,121,1.0,1.0
285,121,1.0,1.0
304,121,1.0,1.0
305,122,1.0,1.0
306,122,1.0,1.0
307,122,1.0,1.0
308,122,1.0,1.0
119,122,1.0,1.0
309,123,0.0,1.0
51,123,1.0,1.0
310,123,1.0,1.0
51,124,1.0,1.0
126,124,0.0,1.0
311,124,1.0,1.0
312,124,1.0,1.0
313,124,1.0,1.0
53,125,1.0,1.0
314,125,1.0,1.0
315,125,1.0,1.0
310,125,1.0,1.0
153,126,0.0,1.0
53,126,0.0,1.0
124,126,0.0,1.0
316,126,0.0,1.0
317,126,0.0,1.0
53,127,1.0,1.0
311,127,1.0,1.0
313,127,1.0,1.0
310,127,1.0,1.0
318,128,1.0,1.0
319,128,1.0,1.0
320,129,0.0,1.0
321,129,0.0,1.0
322,129,0.0,1.0
323,130,1.0,1.0
324,130,1.0,1.0
325,130,1.0,1.0
326,130,1.0,1.0
259,130,1.0,1.0
327,130,1.0,1.0
328,130,0.0,1.0
56,130,0.0,1.0
329,131,0.0,1.0
56,131,0.0,1.0
330,131,0.0,1.0
512,132,1.0,1.0
515,132,1.0,1.0
490,132,1.0,1.0
334,132,1.0,1.0
1046,132,1.0,1.0
663,132,1.0,1.0
133,132,1.0,1.0
338,132,1.0,1.0
299,132,1.0,1.0
513,132,1.0,1.0
335,132,1.0,1.0
277,132,1.0,1.0
230,132,1.0,1.0
284,132,1.0,1.0
910,132,1.0,1.0
336,132,1.0,1.0
844,132,0.0,1.0
239,132,1.0,1.0
956,132,1.0,1.0
911,132,1.0,1.0
153,132,1.0,1.0
302,132,1.0,1.0
802,132,1.0,1.0
50,132,1.0,1.0
946,132,1.0,1.0
304,132,1.0,1.0
606,132,1.0,1.0
666,132,1.0,1.0
584,132,1.0,1.0
941,132,1.0,1.0
275,132,1.0,1.0
386,132,1.0,1.0
241,132,1.0,1.0
275,132,1.0,1.0
668,132,1.0,1.0
1050,132,1.0,1.0
607,132,1.0,1.0
337,132,1.0,1.0
568,132,1.0,1.0
113,132,1.0,1.0
1041,132,1.0,1.0
600,132,1.0,1.0
574,132,1.0,1.0
665,132,1.0,1.0
1030,132,1.0,1.0
597,132,1.0,1.0
909,132,1.0,1.0
576,132,1.0,1.0
121,132,1.0,1.0
308,132,1.0,1.0
578,132,1.0,1.0
595,132,1.0,1.0
508,132,1.0,1.0
332,132,1.0,1.0
604,132,1.0,1.0
811,132,0.0,1.0
331,132,1.0,1.0
266,132,1.0,1.0
339,132,1.0,1.0
482,132,1.0,1.0
737,132,1.0,1.0
274,132,1.0,1.0
1038,132,1.0,1.0
109,132,1.0,1.0
281,132,1.0,1.0
263,132,1.0,1.0
963,132,1.0,1.0
333,132,1.0,1.0
507,132,1.0,1.0
509,132,1.0,1.0
1054,132,1.0,1.0
117,132,1.0,1.0
536,132,1.0,1.0
806,132,1.0,1.0
581,132,1.0,1.0
758,132,1.0,1.0
504,132,1.0,1.0
47,132,0.0,1.0
214,132,1.0,1.0
945,132,1.0,1.0
1042,132,1.0,1.0
763,132,1.0,1.0
1047,132,1.0,1.0
577,132,1.0,1.0
340,133,1.0,1.0
59,134,0.0,1.0
240,134,1.0,1.0
59,135,0.0,1.0
341,135,0.0,1.0
342,135,0.0,1.0
341,135,0.0,1.0
343,136,1.0,1.0
344,136,1.0,1.0
345,136,1.0,1.0
59,136,1.0,1.0
59,137,0.0,1.0
346,137,1.0,1.0
347,138,1.0,1.0
347,138,1.0,1.0
280,138,0.0,1.0
59,138,1.0,1.0
348,138,1.0,1.0
349,139,1.0,1.0
59,139,0.0,1.0
59,140,0.0,1.0
350,140,0.0,1.0
351,140,0.0,1.0
59,141,0.0,1.0
352,141,0.0,1.0
59,142,0.0,1.0
353,142,0.0,1.0
354,142,0.0,1.0
355,142,0.0,1.0
356,142,0.0,1.0
357,143,1.0,1.0
189,143,1.0,1.0
73,143,1.0,1.0
358,143,1.0,1.0
60,143,1.0,1.0
60,144,1.0,1.0
359,144,1.0,1.0
360,144,1.0,1.0
361,144,1.0,1.0
362,144,1.0,1.0
363,144,1.0,1.0
240,145,1.0,1.0
364,145,1.0,1.0
365,145,1.0,1.0
366,145,1.0,1.0
60,145,1.0,1.0
367,146,0.0,1.0
368,146,1.0,1.0
60,146,1.0,1.0
369,146,1.0,1.0
153,147,1.0,1.0
60,147,1.0,1.0
370,148,1.0,1.0
371,148,1.0,1.0
372,148,1.0,1.0
373,148,1.0,1.0
374,148,1.0,1.0
375,148,1.0,1.0
60,148,1.0,1.0
60,149,1.0,1.0
376,149,1.0,1.0
60,150,1.0,1.0
377,150,1.0,1.0
378,150,1.0,1.0
379,151,1.0,1.0
60,151,1.0,1.0
377,151,1.0,1.0
378,151,1.0,1.0
60,152,1.0,1.0
153,152,1.0,1.0
382,152,1.0,1.0
189,152,1.0,1.0
380,152,1.0,1.0
423,152,1.0,1.0
383,152,1.0,1.0
381,152,1.0,1.0
384,152,1.0,1.0
735,152,0.0,1.0
385,152,0.0,1.0
345,152,1.0,1.0
685,152,1.0,1.0
147,153,1.0,1.0
705,153,1.0,1.0
61,153,1.0,1.0
502,153,1.0,1.0
387,153,1.0,1.0
386,153,1.0,1.0
110,153,1.0,1.0
389,153,1.0,1.0
388,153,1.0,1.0
132,153,1.0,1.0
97,153,1.0,1.0
60,153,1.0,1.0
275,153,1.0,1.0
152,153,1.0,1.0
376,153,1.0,1.0
126,153,0.0,1.0
229,153,1.0,1.0
61,154,1.0,1.0
201,155,1.0,1.0
65,155,1.0,1.0
72,155,1.0,1.0
64,155,1.0,1.0
71,156,1.0,1.0
390,156,1.0,1.0
64,156,1.0,1.0
391,156,1.0,1.0
392,156,1.0,1.0
393,157,0.0,1.0
64,157,0.0,1.0
193,158,0.0,1.0
156,159,1.0,1.0
64,159,1.0,1.0
392,159,1.0,1.0
394,160,0.0,1.0
64,160,0.0,1.0
180,161,1.0,1.0
178,161,1.0,1.0
65,161,1.0,1.0
395,162,1.0,1.0
66,162,1.0,1.0
66,163,1.0,1.0
162,163,1.0,1.0
66,164,1.0,1.0
172,164,1.0,1.0
86,165,1.0,1.0
206,165,1.0,1.0
168,165,1.0,1.0
87,165,1.0,1.0
68,166,0.0,1.0
396,166,0.0,1.0
397,167,0.0,1.0
68,167,0.0,1.0
396,167,0.0,1.0
69,168,1.0,1.0
165,168,1.0,1.0
398,168,1.0,1.0
86,168,1.0,1.0
66,168,1.0,1.0
399,169,1.0,1.0
400,169,0.0,1.0
401,169,0.0,1.0
69,169,1.0,1.0
398,169,1.0,1.0
216,170,1.0,1.0
402,170,1.0,1.0
403,170,1.0,1.0
404,170,0.0,1.0
37,170,1.0,1.0
69,170,1.0,1.0
84,171,1.0,1.0
405,171,1.0,1.0
213,171,1.0,1.0
69,171,1.0,1.0
90,171,1.0,1.0
71,171,1.0,1.0
37,171,1.0,1.0
406,171,1.0,1.0
402,171,1.0,1.0
407,171,1.0,1.0
164,172,1.0,1.0
408,172,1.0,1.0
37,172,1.0,1.0
176,172,1.0,1.0
409,172,1.0,1.0
79,172,1.0,1.0
403,172,1.0,1.0
26,173,1.0,1.0
64,173,1.0,1.0
25,173,1.0,1.0
410,174,1.0,1.0
72,174,1.0,1.0
411,175,1.0,1.0
213,175,1.0,1.0
412,175,1.0,1.0
413,175,1.0,1.0
72,175,1.0,1.0
414,175,1.0,1.0
415,175,1.0,1.0
416,175,1.0,1.0
417,175,1.0,1.0
410,176,1.0,1.0
417,176,1.0,1.0
72,177,1.0,1.0
182,177,1.0,1.0
161,178,1.0,1.0
72,178,1.0,1.0
180,178,1.0,1.0
72,179,1.0,1.0
418,179,1.0,1.0
72,180,1.0,1.0
178,180,1.0,1.0
161,180,1.0,1.0
72,181,1.0,1.0
419,181,0.0,1.0
420,182,1.0,1.0
177,182,1.0,1.0
417,182,1.0,1.0
421,182,1.0,1.0
420,182,1.0,1.0
422,183,1.0,1.0
73,183,1.0,1.0
187,183,1.0,1.0
423,184,1.0,1.0
73,184,1.0,1.0
424,184,1.0,1.0
424,185,1.0,1.0
73,185,1.0,1.0
423,185,1.0,1.0
425,185,1.0,1.0
73,186,1.0,1.0
426,186,0.0,1.0
427,186,0.0,1.0
192,187,1.0,1.0
194,187,1.0,1.0
183,187,1.0,1.0
428,187,1.0,1.0
75,187,1.0,1.0
73,187,1.0,1.0
379,187,1.0,1.0
429,188,1.0,1.0
430,188,1.0,1.0
206,188,1.0,1.0
431,188,1.0,1.0
73,188,1.0,1.0
432,188,1.0,1.0
433,189,1.0,1.0
143,189,1.0,1.0
434,189,0.0,1.0
421,189,1.0,1.0
152,189,1.0,1.0
73,189,1.0,1.0
435,189,1.0,1.0
436,189,1.0,1.0
309,189,0.0,1.0
73,190,1.0,1.0
74,190,1.0,1.0
195,191,1.0,1.0
437,191,1.0,1.0
74,191,1.0,1.0
75,191,1.0,1.0
438,192,1.0,1.0
74,192,1.0,1.0
73,192,1.0,1.0
439,193,0.0,1.0
440,193,0.0,1.0
441,193,1.0,1.0
264,193,1.0,1.0
158,193,0.0,1.0
442,193,0.0,1.0
443,194,1.0,1.0
187,194,1.0,1.0
75,195,1.0,1.0
444,195,0.0,1.0
194,195,1.0,1.0
191,195,1.0,1.0
197,196,0.0,1.0
445,196,0.0,1.0
446,196,0.0,1.0
76,197,1.0,1.0
445,197,1.0,1.0
447,198,1.0,1.0
78,198,1.0,1.0
448,198,1.0,1.0
449,198,0.0,1.0
450,199,0.0,1.0
78,199,0.0,1.0
451,199,0.0,1.0
450,199,0.0,1.0
448,200,1.0,1.0
78,200,0.0,1.0
452,200,0.0,1.0
155,201,1.0,1.0
216,201,1.0,1.0
79,201,1.0,1.0
86,201,1.0,1.0
87,201,1.0,1.0
453,202,1.0,1.0
454,202,1.0,1.0
455,202,1.0,1.0
456,202,0.0,1.0
457,202,0.0,1.0
458,203,1.0,1.0
80,203,0.0,1.0
204,203,1.0,1.0
203,204,1.0,1.0
80,204,0.0,1.0
458,204,1.0,1.0
80,205,0.0,1.0
358,205,1.0,1.0
459,205,0.0,1.0
465,206,1.0,1.0
462,206,1.0,1.0
467,206,1.0,1.0
776,206,1.0,1.0
814,206,1.0,1.0
461,206,1.0,1.0
468,206,1.0,1.0
888,206,1.0,1.0
188,206,1.0,1.0
460,206,1.0,1.0
463,206,1.0,1.0
464,206,1.0,1.0
466,206,1.0,1.0
81,206,1.0,1.0
379,206,1.0,1.0
366,206,1.0,1.0
420,206,1.0,1.0
345,206,1.0,1.0
469,207,1.0,1.0
81,207,1.0,1.0
470,207,1.0,1.0
471,207,1.0,1.0
423,207,1.0,1.0
472,207,1.0,1.0
473,207,1.0,1.0
480,208,1.0,1.0
469,208,1.0,1.0
477,208,1.0,1.0
475,208,1.0,1.0
461,208,1.0,1.0
877,208,1.0,1.0
734,208,0.0,1.0
474,208,1.0,1.0
481,208,1.0,1.0
82,208,1.0,1.0
865,208,1.0,1.0
476,208,1.0,1.0
479,208,1.0,1.0
478,208,1.0,1.0
886,208,1.0,1.0
793,208,1.0,1.0
891,208,1.0,1.0
890,208,1.0,1.0
82,209,1.0,1.0
349,209,1.0,1.0
82,210,1.0,1.0
482,210,1.0,1.0
483,210,0.0,1.0
484,210,1.0,1.0
485,211,1.0,1.0
86,211,1.0,1.0
170,211,1.0,1.0
83,211,1.0,1.0
486,212,0.0,1.0
487,212,0.0,1.0
217,212,1.0,1.0
83,212,1.0,1.0
171,213,1.0,1.0
84,213,1.0,1.0
488,213,1.0,1.0
175,213,1.0,1.0
406,213,1.0,1.0
90,213,1.0,1.0
489,213,1.0,1.0
490,214,1.0,1.0
85,214,1.0,1.0
491,214,1.0,1.0
492,215,0.0,1.0
86,215,1.0,1.0
87,215,1.0,1.0
86,216,1.0,1.0
87,216,1.0,1.0
212,217,1.0,1.0
87,217,1.0,1.0
155,217,1.0,1.0
211,217,1.0,1.0
486,218,0.0,1.0
86,218,1.0,1.0
404,219,0.0,1.0
493,220,0.0,1.0
493,220,0.0,1.0
88,220,0.0,1.0
494,221,1.0,1.0
222,221,1.0,1.0
90,221,1.0,1.0
228,221,1.0,1.0
495,221,1.0,1.0
228,222,1.0,1.0
90,222,1.0,1.0
409,222,1.0,1.0
72,222,1.0,1.0
223,222,1.0,1.0
222,223,1.0,1.0
92,223,1.0,1.0
228,223,1.0,1.0
90,223,1.0,1.0
368,224,1.0,1.0
