edge_index0,edge_index1,pred,gr
431,835,1.0,1.0
523,88,1.0,1.0
126,312,1.0,1.0
228,929,1.0,1.0
413,62,1.0,1.0
401,737,1.0,1.0
237,236,1.0,1.0
379,306,1.0,1.0
457,206,1.0,1.0
105,270,1.0,1.0
880,81,1.0,1.0
372,373,1.0,1.0
782,783,1.0,1.0
85,236,1.0,1.0
429,832,1.0,1.0
602,566,1.0,1.0
505,940,1.0,1.0
812,63,1.0,1.0
241,976,1.0,1.0
914,4,1.0,1.0
348,143,1.0,1.0
686,1159,1.0,1.0
399,746,1.0,1.0
530,975,1.0,1.0
142,345,1.0,1.0
428,783,1.0,1.0
535,452,1.0,1.0
521,332,1.0,1.0
411,401,1.0,1.0
356,354,1.0,1.0
699,356,1.0,1.0
355,704,1.0,1.0
782,779,1.0,1.0
228,501,1.0,1.0
274,41,1.0,1.0
632,144,1.0,1.0
335,1141,1.0,1.0
960,35,1.0,1.0
425,817,1.0,1.0
634,310,1.0,1.0
368,370,1.0,1.0
228,496,1.0,1.0
309,126,1.0,1.0
1163,995,1.0,1.0
261,93,1.0,1.0
460,881,1.0,1.0
452,860,1.0,1.0
498,926,1.0,1.0
948,949,1.0,1.0
723,542,1.0,1.0
1125,653,1.0,1.0
611,1087,1.0,1.0
841,280,1.0,1.0
240,260,1.0,1.0
631,379,1.0,1.0
568,105,1.0,1.0
323,319,0.0,1.0
429,589,1.0,1.0
800,408,1.0,1.0
903,111,1.0,1.0
646,1117,1.0,1.0
526,787,1.0,1.0
381,542,1.0,1.0
60,57,1.0,1.0
360,724,1.0,1.0
57,147,1.0,1.0
356,377,1.0,1.0
699,147,1.0,1.0
457,873,1.0,1.0
3,27,1.0,1.0
411,811,1.0,1.0
541,247,1.0,1.0
144,58,1.0,1.0
690,343,1.0,1.0
190,441,1.0,1.0
58,153,1.0,1.0
625,1098,1.0,1.0
897,231,1.0,1.0
457,871,1.0,1.0
58,715,1.0,1.0
535,995,1.0,1.0
782,740,1.0,1.0
148,156,1.0,1.0
135,325,1.0,1.0
635,636,1.0,1.0
64,187,1.0,1.0
480,217,1.0,1.0
104,105,1.0,1.0
809,526,1.0,1.0
544,190,1.0,1.0
836,571,1.0,1.0
190,25,1.0,1.0
105,268,1.0,1.0
1125,652,1.0,1.0
719,58,1.0,1.0
206,458,1.0,1.0
746,745,1.0,1.0
125,606,1.0,1.0
332,521,1.0,1.0
17,20,1.0,1.0
403,789,1.0,1.0
42,117,1.0,1.0
934,331,0.0,1.0
318,638,1.0,1.0
65,86,1.0,1.0
468,409,1.0,1.0
228,788,1.0,1.0
817,822,1.0,1.0
462,278,1.0,1.0
41,113,1.0,1.0
646,1113,1.0,1.0
357,294,1.0,1.0
711,719,1.0,1.0
263,552,1.0,1.0
35,90,1.0,1.0
800,526,1.0,1.0
756,479,1.0,1.0
313,125,1.0,1.0
435,295,1.0,1.0
810,408,1.0,1.0
58,164,1.0,1.0
177,418,1.0,1.0
443,445,1.0,1.0
138,333,1.0,1.0
257,528,1.0,1.0
90,84,1.0,1.0
73,190,1.0,1.0
847,1070,1.0,1.0
120,42,1.0,1.0
1080,1083,1.0,1.0
617,58,1.0,1.0
296,345,1.0,1.0
787,167,1.0,1.0
504,936,1.0,1.0
387,624,1.0,1.0
963,279,1.0,1.0
1020,555,1.0,1.0
444,66,1.0,1.0
521,278,1.0,1.0
169,402,1.0,1.0
370,748,1.0,1.0
161,345,1.0,1.0
318,637,1.0,1.0
319,323,0.0,1.0
80,6,1.0,1.0
644,48,1.0,1.0
205,202,1.0,1.0
822,177,1.0,1.0
445,444,1.0,1.0
263,1017,1.0,1.0
528,257,1.0,1.0
659,511,1.0,1.0
708,123,1.0,1.0
129,50,1.0,1.0
156,376,1.0,1.0
452,862,1.0,1.0
659,1128,1.0,1.0
1120,1119,1.0,1.0
440,439,1.0,1.0
37,555,1.0,1.0
626,606,1.0,1.0
35,195,1.0,1.0
211,471,1.0,1.0
58,269,1.0,1.0
849,35,1.0,1.0
430,834,1.0,1.0
542,1004,1.0,1.0
715,58,1.0,1.0
940,1074,1.0,1.0
280,182,1.0,1.0
602,40,1.0,1.0
949,948,1.0,1.0
880,508,1.0,1.0
101,98,1.0,1.0
363,729,1.0,1.0
794,62,1.0,1.0
1015,398,1.0,1.0
180,428,1.0,1.0
