edge_index0,edge_index1,pred,gr
518,1055,1.0,1.0
1304,714,1.0,1.0
1127,584,1.0,1.0
280,272,1.0,1.0
296,708,1.0,1.0
1288,1258,1.0,1.0
350,349,1.0,1.0
171,168,1.0,1.0
1182,326,1.0,1.0
892,419,1.0,1.0
900,437,1.0,1.0
122,328,1.0,1.0
64,326,1.0,1.0
84,11,1.0,1.0
296,455,1.0,1.0
1352,1356,1.0,1.0
295,101,1.0,1.0
999,967,1.0,1.0
266,38,1.0,1.0
504,1046,1.0,1.0
153,392,1.0,1.0
1153,699,1.0,1.0
76,212,1.0,1.0
67,164,1.0,1.0
765,1328,1.0,1.0
385,844,1.0,1.0
779,678,0.0,1.0
444,515,1.0,1.0
621,974,1.0,1.0
419,391,0.0,1.0
285,677,1.0,1.0
286,287,1.0,1.0
293,111,1.0,1.0
1364,802,1.0,1.0
249,91,1.0,1.0
1073,575,1.0,1.0
640,746,1.0,1.0
141,377,1.0,1.0
27,78,1.0,1.0
750,403,1.0,1.0
341,46,1.0,1.0
656,1158,1.0,1.0
65,473,1.0,1.0
774,1186,0.0,1.0
750,122,1.0,1.0
701,457,1.0,1.0
96,267,1.0,1.0
163,411,1.0,1.0
35,32,1.0,1.0
1185,1010,1.0,1.0
342,759,1.0,1.0
431,927,1.0,1.0
1185,952,1.0,1.0
281,671,1.0,1.0
433,919,1.0,1.0
1237,1238,1.0,1.0
67,958,1.0,1.0
475,944,1.0,1.0
994,987,1.0,1.0
1159,605,1.0,1.0
1178,1066,1.0,1.0
1208,1045,1.0,1.0
1139,471,1.0,1.0
370,820,1.0,1.0
44,112,1.0,1.0
640,1201,1.0,1.0
64,300,1.0,1.0
124,341,0.0,1.0
584,1120,1.0,1.0
431,426,1.0,1.0
1005,933,1.0,1.0
585,1131,1.0,1.0
57,64,1.0,1.0
44,114,1.0,1.0
1278,711,1.0,1.0
295,699,1.0,1.0
883,395,1.0,1.0
65,169,1.0,1.0
376,60,1.0,1.0
910,442,1.0,1.0
775,774,1.0,1.0
732,1302,1.0,1.0
84,237,1.0,1.0
1163,1161,1.0,1.0
1157,252,1.0,1.0
43,106,1.0,1.0
64,879,1.0,1.0
203,509,1.0,1.0
461,974,1.0,1.0
1254,957,1.0,1.0
1287,1017,1.0,1.0
231,575,1.0,1.0
285,288,1.0,1.0
1220,671,1.0,1.0
296,966,1.0,1.0
891,890,1.0,1.0
33,34,1.0,1.0
431,910,1.0,1.0
1193,1277,1.0,1.0
464,982,1.0,1.0
440,936,1.0,1.0
930,434,1.0,1.0
1396,824,1.0,1.0
276,278,1.0,1.0
800,457,1.0,1.0
1070,1066,1.0,1.0
583,239,1.0,1.0
1219,533,1.0,1.0
1397,1398,1.0,1.0
1374,832,1.0,1.0
752,1322,1.0,1.0
1080,1192,1.0,1.0
166,310,1.0,1.0
560,748,1.0,1.0
732,667,1.0,1.0
102,280,1.0,1.0
718,1287,1.0,1.0
957,958,1.0,1.0
135,357,1.0,1.0
210,26,1.0,1.0
727,64,1.0,1.0
1312,855,1.0,1.0
80,219,1.0,1.0
426,173,1.0,1.0
1236,296,1.0,1.0
1109,84,1.0,1.0
894,419,1.0,1.0
1007,1139,1.0,1.0
423,896,1.0,1.0
1155,1246,1.0,1.0
675,1231,1.0,1.0
395,370,1.0,1.0
1007,1004,1.0,1.0
342,757,1.0,1.0
178,186,0.0,1.0
747,332,1.0,1.0
1087,77,1.0,1.0
44,110,1.0,1.0
296,706,1.0,1.0
46,116,1.0,1.0
296,703,1.0,1.0
296,1236,1.0,1.0
479,442,1.0,1.0
367,359,1.0,1.0
339,187,1.0,1.0
426,922,1.0,1.0
843,753,1.0,1.0
360,798,1.0,1.0
1343,1265,1.0,1.0
944,910,1.0,1.0
77,217,1.0,1.0
440,473,1.0,1.0
357,774,1.0,1.0
208,206,1.0,1.0
1276,1236,1.0,1.0
334,124,1.0,1.0
867,864,1.0,1.0
64,745,1.0,1.0
677,104,1.0,1.0
470,589,0.0,1.0
893,851,1.0,1.0
563,255,1.0,1.0
1074,1064,1.0,1.0
389,388,1.0,1.0
597,1140,1.0,1.0
370,368,1.0,1.0
767,766,1.0,1.0
64,165,1.0,1.0
113,308,1.0,1.0
130,349,1.0,1.0
12,9,1.0,1.0
732,119,1.0,1.0
115,312,1.0,1.0
1379,1269,1.0,1.0
767,786,1.0,1.0
138,367,1.0,1.0
161,403,0.0,1.0
426,431,1.0,1.0
351,786,1.0,1.0
930,941,1.0,1.0
