edge_index0,edge_index1,pred,gr
138,318,1.0,1.0
604,426,1.0,1.0
70,855,1.0,1.0
384,720,1.0,1.0
287,291,1.0,1.0
80,848,0.0,1.0
476,878,1.0,1.0
144,326,1.0,1.0
52,584,1.0,1.0
258,549,1.0,1.0
377,4,1.0,1.0
499,902,1.0,1.0
979,797,1.0,1.0
473,230,1.0,1.0
162,211,1.0,1.0
133,42,1.0,1.0
831,385,1.0,1.0
553,427,1.0,1.0
440,739,1.0,1.0
222,474,1.0,1.0
346,668,1.0,1.0
311,134,1.0,1.0
391,389,1.0,1.0
199,455,0.0,1.0
52,117,1.0,1.0
84,79,1.0,1.0
133,301,1.0,1.0
68,34,1.0,1.0
433,812,1.0,1.0
418,190,1.0,1.0
479,477,1.0,1.0
52,112,1.0,1.0
232,977,1.0,1.0
343,149,1.0,1.0
712,653,1.0,1.0
487,225,1.0,1.0
971,192,1.0,1.0
565,262,1.0,1.0
94,248,0.0,1.0
361,700,1.0,1.0
672,555,1.0,1.0
390,392,1.0,1.0
334,647,1.0,1.0
439,719,1.0,1.0
17,45,1.0,1.0
225,532,0.0,1.0
102,256,1.0,1.0
398,751,1.0,1.0
128,288,1.0,1.0
437,470,1.0,1.0
68,165,1.0,1.0
492,95,1.0,1.0
895,52,1.0,1.0
647,612,1.0,1.0
152,354,1.0,1.0
829,438,1.0,1.0
742,225,1.0,1.0
558,192,1.0,1.0
221,368,0.0,1.0
408,761,1.0,1.0
429,697,1.0,1.0
914,52,1.0,1.0
474,479,1.0,1.0
84,212,1.0,1.0
678,797,1.0,1.0
431,808,1.0,1.0
178,176,1.0,1.0
157,363,1.0,1.0
490,246,1.0,1.0
185,755,1.0,1.0
205,210,1.0,1.0
83,206,1.0,1.0
781,495,0.0,1.0
859,328,1.0,1.0
759,72,1.0,1.0
253,97,1.0,1.0
42,90,1.0,1.0
145,78,1.0,1.0
34,207,1.0,1.0
133,296,1.0,1.0
59,140,1.0,1.0
407,72,1.0,1.0
28,72,1.0,1.0
260,553,1.0,1.0
505,908,1.0,1.0
191,414,1.0,1.0
755,186,1.0,1.0
817,805,1.0,1.0
34,24,1.0,1.0
476,479,1.0,1.0
269,571,1.0,1.0
198,452,1.0,1.0
228,495,1.0,1.0
157,360,1.0,1.0
871,398,1.0,1.0
383,717,1.0,1.0
140,141,1.0,1.0
526,569,1.0,1.0
297,618,1.0,1.0
398,940,1.0,1.0
353,365,1.0,1.0
510,281,1.0,1.0
89,476,1.0,1.0
941,251,1.0,1.0
442,625,1.0,1.0
580,579,1.0,1.0
474,223,1.0,1.0
319,65,0.0,1.0
523,938,1.0,1.0
358,66,1.0,1.0
395,261,1.0,1.0
101,103,1.0,1.0
892,52,1.0,1.0
8,34,1.0,1.0
136,312,1.0,1.0
240,109,1.0,1.0
211,205,1.0,1.0
283,288,1.0,1.0
144,65,1.0,1.0
541,956,1.0,1.0
932,876,1.0,1.0
288,96,1.0,1.0
385,729,1.0,1.0
378,174,1.0,1.0
524,525,1.0,1.0
445,839,1.0,1.0
797,771,1.0,1.0
280,596,1.0,1.0
467,88,1.0,1.0
977,232,1.0,1.0
52,292,1.0,1.0
621,225,0.0,1.0
478,879,1.0,1.0
52,119,1.0,1.0
150,34,1.0,1.0
395,394,1.0,1.0
797,847,1.0,1.0
384,721,1.0,1.0
179,401,1.0,1.0
225,746,1.0,1.0
906,513,1.0,1.0
484,660,1.0,1.0
135,80,1.0,1.0
262,553,1.0,1.0
173,383,1.0,1.0
124,55,1.0,1.0
66,367,1.0,1.0
91,499,1.0,1.0
447,816,1.0,1.0
288,283,1.0,1.0
313,636,1.0,1.0
95,248,1.0,1.0
193,431,1.0,1.0
450,169,1.0,1.0
225,621,0.0,1.0
146,650,1.0,1.0
329,643,1.0,1.0
509,281,1.0,1.0
82,143,1.0,1.0
746,225,1.0,1.0
60,78,1.0,1.0
903,515,1.0,1.0
504,570,1.0,1.0
141,140,1.0,1.0
439,822,1.0,1.0
87,216,1.0,1.0
941,225,1.0,1.0
881,226,1.0,1.0
225,872,1.0,1.0
417,190,1.0,1.0
237,497,0.0,1.0
797,979,1.0,1.0
142,150,1.0,1.0
742,493,1.0,1.0
188,410,1.0,1.0
325,83,1.0,1.0
665,667,1.0,1.0
423,790,1.0,1.0
488,861,1.0,1.0
658,657,1.0,1.0
902,662,1.0,1.0
602,225,1.0,1.0
34,143,1.0,1.0
845,487,1.0,1.0
52,90,1.0,1.0
93,124,1.0,1.0
420,784,1.0,1.0
662,665,1.0,1.0
398,745,1.0,1.0
578,52,1.0,1.0
262,565,1.0,1.0
734,738,1.0,1.0
225,847,1.0,1.0
291,613,1.0,1.0
676,638,1.0,1.0
190,414,1.0,1.0
881,222,1.0,1.0
524,515,1.0,1.0
86,198,1.0,1.0
867,860,1.0,1.0
431,198,1.0,1.0
77,198,1.0,1.0
721,461,1.0,1.0
341,665,1.0,1.0
52,127,1.0,1.0
878,89,1.0,1.0
631,630,1.0,1.0
937,123,0.0,1.0
14,505,1.0,1.0
251,818,1.0,1.0
522,281,1.0,1.0
269,578,1.0,1.0
225,884,1.0,1.0
412,763,1.0,1.0
365,66,1.0,1.0
34,80,1.0,1.0
60,62,1.0,1.0
828,852,1.0,1.0
90,133,1.0,1.0
47,99,1.0,1.0
241,518,1.0,1.0
608,293,1.0,1.0
647,146,1.0,1.0
4,713,1.0,1.0
119,269,1.0,1.0
531,887,1.0,1.0
487,887,1.0,1.0
284,288,1.0,1.0
307,865,1.0,1.0
60,68,1.0,1.0
674,362,1.0,1.0
414,766,1.0,1.0
258,550,1.0,1.0
52,928,1.0,1.0
95,109,1.0,1.0
146,330,1.0,1.0
715,710,1.0,1.0
398,888,1.0,1.0
193,432,1.0,1.0
244,522,1.0,1.0
142,24,1.0,1.0
44,95,1.0,1.0
268,266,1.0,1.0
334,658,1.0,1.0
52,114,1.0,1.0
143,34,1.0,1.0
857,691,0.0,1.0
316,204,1.0,1.0
52,288,1.0,1.0
118,251,1.0,1.0
322,163,1.0,1.0
499,905,1.0,1.0
469,722,1.0,1.0
965,262,1.0,1.0
209,205,1.0,1.0
672,343,1.0,1.0
508,507,1.0,1.0
602,198,1.0,1.0
334,657,1.0,1.0
157,156,1.0,1.0
207,34,1.0,1.0
474,89,1.0,1.0
60,143,1.0,1.0
523,521,1.0,1.0
608,53,1.0,1.0
115,276,1.0,1.0
570,266,1.0,1.0
529,594,1.0,1.0
695,357,1.0,1.0
390,389,1.0,1.0
444,429,1.0,1.0
290,288,1.0,1.0
591,575,1.0,1.0
338,61,1.0,1.0
788,792,1.0,1.0
304,306,1.0,1.0
374,710,1.0,1.0
37,9,1.0,1.0
52,581,1.0,1.0
649,647,1.0,1.0
196,442,1.0,1.0
224,221,1.0,1.0
266,52,1.0,1.0
136,635,1.0,1.0
52,536,1.0,1.0
192,425,1.0,1.0
361,814,0.0,1.0
458,79,1.0,1.0
347,351,1.0,1.0
452,173,1.0,1.0
347,972,1.0,1.0
422,787,1.0,1.0
340,198,1.0,1.0
