edge_index0,edge_index1,pred,gr
20,0,1.0,1.0
21,0,1.0,1.0
22,0,1.0,1.0
23,1,0.0,1.0
24,2,1.0,1.0
25,2,1.0,1.0
26,3,0.0,1.0
27,4,1.0,1.0
28,5,0.0,1.0
29,6,1.0,1.0
30,6,1.0,1.0
31,6,1.0,1.0
32,6,1.0,1.0
33,7,0.0,1.0
8,7,0.0,1.0
34,8,0.0,1.0
7,8,0.0,1.0
35,8,0.0,1.0
36,9,0.0,1.0
10,9,0.0,1.0
9,10,0.0,1.0
37,10,0.0,1.0
12,10,0.0,1.0
9,12,0.0,1.0
38,13,0.0,1.0
39,13,0.0,1.0
40,15,1.0,1.0
41,15,1.0,1.0
42,15,1.0,1.0
43,16,0.0,1.0
44,16,0.0,1.0
20,17,1.0,1.0
21,17,1.0,1.0
45,17,1.0,1.0
46,18,0.0,1.0
47,18,0.0,1.0
48,18,0.0,1.0
49,19,0.0,1.0
50,19,0.0,1.0
51,20,1.0,1.0
0,20,1.0,1.0
52,20,1.0,1.0
53,20,1.0,1.0
54,20,1.0,1.0
55,20,1.0,1.0
17,20,1.0,1.0
0,21,1.0,1.0
56,21,1.0,1.0
0,22,1.0,1.0
17,22,1.0,1.0
1,23,0.0,1.0
57,24,1.0,1.0
58,24,1.0,1.0
62,24,1.0,1.0
59,24,1.0,1.0
2,24,1.0,1.0
60,24,1.0,1.0
61,24,1.0,1.0
154,24,1.0,1.0
63,24,1.0,1.0
64,24,1.0,1.0
65,24,1.0,1.0
66,24,1.0,1.0
60,25,1.0,1.0
67,25,1.0,1.0
68,25,1.0,1.0
2,25,1.0,1.0
64,25,1.0,1.0
3,26,0.0,1.0
4,27,1.0,1.0
69,27,1.0,1.0
70,27,1.0,1.0
5,28,0.0,1.0
71,28,0.0,1.0
72,28,0.0,1.0
6,29,1.0,1.0
32,30,1.0,1.0
6,30,1.0,1.0
32,30,1.0,1.0
30,31,1.0,1.0
32,31,1.0,1.0
73,31,0.0,1.0
6,31,1.0,1.0
32,31,1.0,1.0
74,32,1.0,1.0
74,32,1.0,1.0
29,32,1.0,1.0
30,32,1.0,1.0
31,32,1.0,1.0
30,32,1.0,1.0
6,32,1.0,1.0
31,32,1.0,1.0
7,33,0.0,1.0
75,33,0.0,1.0
76,33,0.0,1.0
77,33,1.0,1.0
24,34,1.0,1.0
78,34,1.0,1.0
79,34,1.0,1.0
150,34,1.0,1.0
151,34,1.0,1.0
83,34,1.0,1.0
80,34,1.0,1.0
81,34,1.0,1.0
82,34,1.0,1.0
138,34,1.0,1.0
84,34,1.0,1.0
85,34,1.0,1.0
86,34,1.0,1.0
87,35,0.0,1.0
8,35,0.0,1.0
88,35,0.0,1.0
37,36,0.0,1.0
9,36,0.0,1.0
36,37,0.0,1.0
39,38,0.0,1.0
13,38,0.0,1.0
13,39,0.0,1.0
38,39,0.0,1.0
52,40,1.0,1.0
15,40,1.0,1.0
15,41,1.0,1.0
89,41,1.0,1.0
90,42,1.0,1.0
91,42,1.0,1.0
15,42,1.0,1.0
92,42,1.0,1.0
93,43,0.0,1.0
16,43,0.0,1.0
94,44,0.0,1.0
16,44,0.0,1.0
95,44,0.0,1.0
96,45,1.0,1.0
0,45,1.0,1.0
18,46,0.0,1.0
18,47,0.0,1.0
97,47,0.0,1.0
98,47,0.0,1.0
99,47,0.0,1.0
