edge_index0,edge_index1,pred,gr
104,103,1.0,1.0
332,4,1.0,1.0
452,410,1.0,1.0
669,580,1.0,1.0
872,853,1.0,1.0
174,310,1.0,1.0
319,72,1.0,1.0
582,169,1.0,1.0
582,674,1.0,1.0
165,164,1.0,1.0
400,192,1.0,1.0
733,523,1.0,1.0
268,442,1.0,1.0
150,151,1.0,1.0
195,41,1.0,1.0
66,26,1.0,1.0
295,390,1.0,1.0
367,680,1.0,1.0
251,246,1.0,1.0
92,195,1.0,1.0
789,442,1.0,1.0
386,387,0.0,1.0
99,207,0.0,1.0
553,747,1.0,1.0
195,165,0.0,1.0
85,182,0.0,1.0
46,102,1.0,1.0
329,291,1.0,1.0
403,728,0.0,1.0
12,10,1.0,1.0
113,236,1.0,1.0
123,264,1.0,1.0
115,242,1.0,1.0
770,774,1.0,1.0
450,440,1.0,1.0
45,210,1.0,1.0
141,541,1.0,1.0
10,9,1.0,1.0
45,97,1.0,1.0
582,670,1.0,1.0
803,105,1.0,1.0
317,163,1.0,1.0
107,227,1.0,1.0
64,527,1.0,1.0
483,842,0.0,1.0
198,267,1.0,1.0
491,857,1.0,1.0
388,848,0.0,1.0
183,294,1.0,1.0
136,22,1.0,1.0
872,258,1.0,1.0
727,394,1.0,1.0
123,730,1.0,1.0
216,15,0.0,1.0
26,296,1.0,1.0
89,9,1.0,1.0
595,283,0.0,1.0
145,572,1.0,1.0
226,451,0.0,1.0
185,187,1.0,1.0
770,432,1.0,1.0
322,72,1.0,1.0
670,619,1.0,1.0
409,733,1.0,1.0
283,536,0.0,1.0
320,325,1.0,1.0
268,517,1.0,1.0
456,269,1.0,1.0
243,480,1.0,1.0
93,196,1.0,1.0
599,657,1.0,1.0
148,303,1.0,1.0
184,388,1.0,1.0
123,127,1.0,1.0
487,130,0.0,1.0
240,239,1.0,1.0
161,333,1.0,1.0
768,562,1.0,1.0
290,549,0.0,1.0
72,158,0.0,1.0
577,147,1.0,1.0
440,221,1.0,1.0
323,610,1.0,1.0
98,100,1.0,1.0
240,475,1.0,1.0
101,865,1.0,1.0
603,590,1.0,1.0
45,421,1.0,1.0
123,259,1.0,1.0
717,719,0.0,1.0
352,357,1.0,1.0
160,331,1.0,1.0
675,582,1.0,1.0
88,185,1.0,1.0
818,816,1.0,1.0
560,561,1.0,1.0
444,794,1.0,1.0
460,807,1.0,1.0
249,246,1.0,1.0
366,361,1.0,1.0
282,280,1.0,1.0
615,678,0.0,1.0
249,494,1.0,1.0
252,494,1.0,1.0
736,330,0.0,1.0
101,212,1.0,1.0
646,647,1.0,1.0
60,129,1.0,1.0
544,415,1.0,1.0
546,290,1.0,1.0
402,92,1.0,1.0
103,436,1.0,1.0
561,560,1.0,1.0
758,843,0.0,1.0
442,105,1.0,1.0
563,562,1.0,1.0
541,141,1.0,1.0
660,817,1.0,1.0
119,247,1.0,1.0
437,108,1.0,1.0
275,108,1.0,1.0
377,88,1.0,1.0
263,217,1.0,1.0
427,870,1.0,1.0
795,454,0.0,1.0
839,431,1.0,1.0
571,568,1.0,1.0
300,577,1.0,1.0
623,859,0.0,1.0
696,87,1.0,1.0
321,435,1.0,1.0
246,248,0.0,1.0
670,324,1.0,1.0
562,321,1.0,1.0
105,800,1.0,1.0
87,185,1.0,1.0
442,441,1.0,1.0
72,622,1.0,1.0
236,114,1.0,1.0
64,551,0.0,1.0
471,827,1.0,1.0
105,801,0.0,1.0
537,246,1.0,1.0
147,302,1.0,1.0
666,291,1.0,1.0
64,538,0.0,1.0
703,321,1.0,1.0
418,419,0.0,1.0
347,647,1.0,1.0
122,256,1.0,1.0
233,108,1.0,1.0
381,154,1.0,1.0
404,403,1.0,1.0
711,294,1.0,1.0
497,733,0.0,0.0
338,291,1.0,0.0
390,624,1.0,0.0
785,674,1.0,0.0
653,562,0.0,0.0
188,109,1.0,0.0
225,71,1.0,0.0
668,21,0.0,0.0
592,674,1.0,0.0
739,91,1.0,0.0
337,274,1.0,0.0
267,242,0.0,0.0
607,639,0.0,0.0
646,191,0.0,0.0
717,313,1.0,0.0
51,84,1.0,0.0
139,686,1.0,0.0
630,731,0.0,0.0
814,687,1.0,0.0
496,767,0.0,0.0
676,140,0.0,0.0
272,283,0.0,0.0
659,427,0.0,0.0
164,350,1.0,0.0
155,517,1.0,0.0
243,57,0.0,0.0
504,0,0.0,0.0
202,17,0.0,0.0
634,799,0.0,0.0
302,229,0.0,0.0
262,518,1.0,0.0
204,858,0.0,0.0
690,473,0.0,0.0
26,827,0.0,0.0
510,236,0.0,0.0
106,306,0.0,0.0
70,242,0.0,0.0
647,26,0.0,0.0
141,550,0.0,0.0
389,191,0.0,0.0
112,535,1.0,0.0
139,544,0.0,0.0
808,618,0.0,0.0
130,142,1.0,0.0
55,395,0.0,0.0
350,24,0.0,0.0
677,221,0.0,0.0
253,714,0.0,0.0
451,382,1.0,0.0
140,480,1.0,0.0
639,215,1.0,0.0
684,124,1.0,0.0
201,265,1.0,0.0
759,255,1.0,0.0
831,869,1.0,0.0
724,124,0.0,0.0
678,824,1.0,0.0
91,519,1.0,0.0
600,72,0.0,0.0
52,672,0.0,0.0
488,496,1.0,0.0
72,57,1.0,0.0
147,653,1.0,0.0
