edge_index0,edge_index1,pred,gr
20,0,0.0,1.0
21,0,0.0,1.0
22,0,1.0,1.0
23,1,1.0,1.0
24,1,0.0,1.0
25,2,1.0,1.0
26,2,1.0,1.0
27,3,1.0,1.0
28,4,1.0,1.0
29,5,0.0,1.0
30,6,1.0,1.0
31,6,1.0,1.0
32,7,1.0,1.0
33,7,0.0,1.0
8,7,1.0,1.0
34,8,1.0,1.0
35,8,1.0,1.0
12,9,1.0,1.0
36,10,1.0,1.0
9,10,1.0,1.0
37,11,1.0,1.0
9,12,1.0,1.0
38,13,1.0,1.0
39,13,1.0,1.0
40,14,1.0,1.0
41,14,1.0,1.0
42,15,1.0,1.0
43,15,0.0,1.0
44,16,1.0,1.0
45,16,1.0,1.0
20,17,0.0,1.0
46,17,0.0,1.0
21,17,0.0,1.0
22,17,0.0,1.0
47,18,1.0,1.0
48,18,1.0,1.0
49,18,1.0,1.0
50,18,1.0,1.0
51,19,1.0,1.0
52,19,1.0,1.0
53,19,1.0,1.0
54,20,0.0,1.0
0,20,0.0,1.0
0,21,0.0,1.0
55,21,1.0,1.0
17,21,0.0,1.0
17,22,0.0,1.0
56,22,1.0,1.0
57,22,1.0,1.0
106,22,1.0,1.0
58,22,1.0,1.0
59,22,1.0,1.0
60,23,1.0,1.0
60,23,1.0,1.0
1,23,1.0,1.0
61,23,1.0,1.0
62,23,1.0,1.0
1,24,0.0,1.0
602,25,1.0,1.0
597,25,1.0,1.0
2,25,1.0,1.0
63,25,1.0,1.0
157,25,1.0,1.0
65,25,1.0,1.0
161,25,1.0,1.0
35,25,1.0,1.0
64,25,1.0,1.0
66,25,1.0,1.0
327,25,1.0,1.0
67,25,1.0,1.0
68,26,1.0,1.0
66,26,1.0,1.0
69,26,1.0,1.0
68,26,1.0,1.0
2,26,1.0,1.0
4,28,1.0,1.0
70,28,1.0,1.0
71,28,1.0,1.0
37,29,0.0,1.0
72,29,1.0,1.0
74,30,1.0,1.0
6,30,1.0,1.0
31,30,1.0,1.0
74,30,1.0,1.0
73,30,1.0,1.0
75,30,1.0,1.0
73,30,1.0,1.0
75,30,1.0,1.0
30,31,1.0,1.0
6,31,1.0,1.0
76,32,1.0,1.0
77,32,1.0,1.0
78,32,1.0,1.0
7,32,1.0,1.0
79,33,0.0,1.0
80,33,1.0,1.0
378,35,1.0,1.0
181,35,1.0,1.0
85,35,1.0,1.0
318,35,1.0,1.0
403,35,1.0,1.0
81,35,1.0,1.0
189,35,1.0,1.0
83,35,1.0,1.0
8,35,1.0,1.0
69,35,1.0,1.0
82,35,1.0,1.0
197,35,1.0,1.0
25,35,1.0,1.0
84,35,1.0,1.0
677,35,1.0,1.0
385,35,1.0,1.0
86,36,1.0,1.0
10,36,1.0,1.0
29,37,0.0,1.0
91,37,1.0,1.0
87,37,1.0,1.0
11,37,1.0,1.0
88,37,1.0,1.0
204,37,1.0,1.0
89,37,0.0,1.0
410,37,1.0,1.0
693,37,1.0,1.0
90,37,1.0,1.0
205,37,1.0,1.0
39,38,1.0,1.0
13,39,1.0,1.0
38,39,1.0,1.0
92,40,1.0,1.0
93,40,1.0,1.0
14,40,1.0,1.0
94,40,1.0,1.0
95,40,0.0,1.0
440,41,1.0,1.0
100,41,1.0,1.0
98,41,1.0,1.0
96,41,1.0,1.0
97,41,1.0,1.0
375,41,1.0,1.0
222,41,1.0,1.0
99,41,1.0,1.0
219,41,1.0,1.0
14,41,1.0,1.0
105,42,1.0,1.0
101,42,0.0,1.0
104,42,1.0,1.0
102,42,1.0,1.0
103,42,1.0,1.0
227,42,1.0,1.0
15,42,1.0,1.0
106,43,1.0,1.0
101,43,0.0,1.0
15,43,0.0,1.0
107,43,0.0,1.0
16,44,1.0,1.0
108,44,1.0,1.0
16,45,1.0,1.0
109,45,1.0,1.0
110,45,1.0,1.0
0,46,0.0,1.0
17,46,0.0,1.0
18,47,1.0,1.0
111,48,1.0,1.0
112,48,1.0,1.0
113,48,1.0,1.0
18,48,1.0,1.0
114,49,1.0,1.0
115,49,1.0,1.0
116,49,1.0,1.0
18,49,1.0,1.0
117,50,1.0,1.0
114,50,1.0,1.0
118,50,1.0,1.0
119,50,1.0,1.0
18,50,1.0,1.0
19,51,1.0,1.0
120,51,1.0,1.0
121,51,1.0,1.0
19,52,1.0,1.0
122,53,1.0,1.0
123,53,1.0,1.0
19,53,1.0,1.0
124,53,1.0,1.0
125,54,0.0,1.0
20,54,0.0,1.0
102,55,1.0,1.0
21,55,1.0,1.0
106,55,1.0,1.0
126,55,1.0,1.0
127,56,1.0,1.0
22,56,1.0,1.0
131,57,1.0,1.0
128,57,1.0,1.0
129,57,1.0,1.0
130,57,1.0,1.0
56,57,1.0,1.0
22,57,1.0,1.0
132,57,1.0,1.0
133,58,1.0,1.0
240,58,1.0,1.0
106,58,1.0,1.0
134,58,1.0,1.0
135,58,1.0,1.0
136,58,1.0,1.0
57,59,1.0,1.0
137,59,1.0,1.0
138,59,1.0,1.0
139,59,1.0,1.0
22,59,1.0,1.0
23,60,1.0,1.0
23,60,1.0,1.0
544,61,1.0,1.0
140,61,1.0,1.0
295,61,1.0,1.0
568,61,1.0,1.0
567,61,1.0,1.0
299,61,1.0,1.0
704,61,1.0,1.0
23,61,1.0,1.0
553,61,1.0,1.0
294,61,1.0,1.0
143,61,1.0,1.0
297,61,1.0,1.0
566,61,1.0,1.0
143,61,1.0,1.0
564,61,1.0,1.0
141,61,1.0,1.0
144,61,1.0,1.0
629,61,1.0,1.0
423,61,1.0,1.0
300,61,1.0,1.0
230,61,1.0,1.0
142,61,1.0,1.0
745,61,1.0,1.0
550,61,1.0,1.0
146,62,1.0,1.0
305,62,1.0,1.0
560,62,1.0,1.0
581,62,1.0,1.0
147,62,0.0,1.0
592,62,1.0,1.0
447,62,1.0,1.0
145,62,1.0,1.0
667,62,1.0,1.0
582,62,1.0,1.0
148,62,1.0,1.0
358,62,0.0,1.0
574,62,1.0,1.0
23,62,1.0,1.0
573,62,1.0,1.0
149,62,1.0,1.0
150,63,1.0,1.0
151,63,1.0,1.0
152,63,1.0,1.0
25,63,1.0,1.0
191,64,0.0,1.0
153,64,0.0,1.0
154,64,0.0,1.0
320,64,1.0,1.0
155,64,1.0,1.0
156,64,0.0,1.0
25,64,1.0,1.0
157,65,1.0,1.0
158,65,1.0,1.0
82,65,1.0,1.0
66,65,1.0,1.0
69,66,1.0,1.0
25,66,1.0,1.0
26,66,1.0,1.0
65,66,1.0,1.0
159,67,1.0,1.0
25,67,1.0,1.0
160,67,1.0,1.0
161,67,1.0,1.0
26,68,1.0,1.0
26,68,1.0,1.0
181,69,1.0,1.0
158,69,1.0,1.0
326,69,1.0,1.0
164,69,0.0,1.0
26,69,1.0,1.0
66,69,1.0,1.0
162,69,1.0,1.0
158,69,1.0,1.0
35,69,1.0,1.0
614,69,1.0,1.0
323,69,1.0,1.0
343,69,0.0,1.0
163,69,1.0,1.0
160,69,1.0,1.0
433,70,1.0,1.0
167,70,1.0,1.0
168,70,1.0,1.0
165,70,1.0,1.0
344,70,1.0,1.0
553,70,1.0,1.0
71,70,1.0,1.0
166,70,1.0,1.0
28,70,1.0,1.0
625,70,1.0,1.0
28,71,1.0,1.0
168,71,1.0,1.0
169,71,1.0,1.0
170,71,1.0,1.0
171,71,1.0,1.0
172,72,1.0,1.0
173,72,1.0,1.0
29,72,1.0,1.0
30,73,1.0,1.0
30,73,1.0,1.0
174,73,1.0,1.0
30,74,1.0,1.0
30,74,1.0,1.0
75,74,1.0,1.0
6,74,1.0,1.0
30,75,1.0,1.0
175,75,1.0,1.0
6,75,1.0,1.0
74,75,1.0,1.0
30,75,1.0,1.0
32,76,1.0,1.0
176,76,1.0,1.0
177,76,1.0,1.0
178,76,1.0,1.0
78,77,1.0,1.0
179,77,1.0,1.0
78,77,1.0,1.0
32,77,1.0,1.0
179,78,1.0,1.0
77,78,1.0,1.0
32,78,1.0,1.0
180,79,0.0,1.0
181,79,0.0,1.0
182,79,0.0,1.0
183,80,1.0,1.0
33,80,1.0,1.0
184,80,1.0,1.0
185,80,0.0,1.0
186,81,1.0,1.0
674,81,1.0,1.0
189,81,1.0,1.0
83,81,0.0,1.0
187,81,1.0,1.0
188,81,0.0,1.0
677,81,0.0,1.0
35,81,1.0,1.0
385,81,1.0,1.0
383,81,1.0,1.0
385,81,1.0,1.0
403,82,1.0,1.0
162,82,1.0,1.0
79,82,0.0,1.0
190,82,1.0,1.0
673,82,1.0,1.0
191,82,1.0,1.0
65,82,1.0,1.0
81,83,0.0,1.0
192,83,0.0,1.0
193,84,1.0,1.0
194,84,1.0,1.0
35,84,1.0,1.0
195,84,1.0,1.0
196,84,1.0,1.0
197,85,1.0,1.0
198,85,1.0,1.0
35,85,1.0,1.0
199,85,1.0,1.0
36,86,1.0,1.0
200,87,1.0,1.0
201,87,1.0,1.0
202,87,1.0,1.0
203,87,1.0,1.0
37,87,1.0,1.0
90,88,0.0,1.0
204,88,0.0,1.0
37,88,1.0,1.0
205,89,0.0,1.0
172,89,1.0,1.0
204,90,0.0,1.0
37,90,1.0,1.0
205,90,1.0,1.0
37,91,1.0,1.0
206,91,1.0,1.0
203,91,1.0,1.0
207,92,1.0,1.0
93,92,1.0,1.0
208,92,0.0,1.0
40,92,1.0,1.0
209,92,1.0,1.0
210,93,1.0,1.0
40,93,1.0,1.0
141,93,1.0,1.0
211,93,1.0,1.0
212,94,1.0,1.0
40,94,1.0,1.0
40,95,0.0,1.0
213,95,0.0,1.0
214,96,0.0,1.0
215,96,1.0,1.0
41,96,1.0,1.0
216,96,0.0,1.0
217,97,1.0,1.0
218,97,1.0,1.0
41,97,1.0,1.0
41,98,1.0,1.0
219,98,1.0,1.0
220,98,1.0,1.0
62,99,1.0,1.0
221,99,1.0,1.0
106,99,1.0,1.0
222,100,1.0,1.0
223,100,1.0,1.0
224,100,1.0,1.0
43,101,0.0,1.0
207,102,1.0,1.0
766,102,1.0,1.0
455,102,1.0,1.0
225,102,1.0,1.0
42,102,1.0,1.0
454,102,1.0,1.0
278,102,1.0,1.0
55,102,1.0,1.0
453,102,1.0,1.0
226,102,1.0,1.0
227,102,1.0,1.0
42,103,1.0,1.0
228,104,1.0,1.0
109,104,1.0,1.0
42,104,1.0,1.0
141,105,1.0,1.0
106,105,1.0,1.0
233,106,1.0,1.0
125,106,1.0,1.0
141,106,1.0,1.0
192,106,1.0,1.0
289,106,1.0,1.0
496,106,1.0,1.0
531,106,1.0,1.0
282,106,1.0,1.0
459,106,1.0,1.0
747,106,1.0,1.0
290,106,1.0,1.0
366,106,1.0,1.0
452,106,1.0,1.0
542,106,1.0,1.0
240,106,1.0,1.0
766,106,1.0,1.0
138,106,1.0,1.0
275,106,1.0,1.0
227,106,1.0,1.0
230,106,1.0,1.0
99,106,1.0,1.0
228,106,1.0,1.0
768,106,1.0,1.0
538,106,1.0,1.0
457,106,1.0,1.0
685,106,1.0,1.0
769,106,1.0,1.0
109,106,1.0,1.0
132,106,1.0,1.0
105,106,1.0,1.0
231,106,1.0,1.0
229,106,1.0,1.0
474,106,1.0,1.0
536,106,1.0,1.0
702,106,1.0,1.0
539,106,1.0,1.0
235,106,1.0,1.0
58,106,1.0,1.0
130,106,1.0,1.0
656,106,1.0,1.0
773,106,1.0,1.0
392,106,1.0,1.0
135,106,1.0,1.0
460,106,1.0,1.0
761,106,0.0,1.0
730,106,1.0,1.0
687,106,1.0,1.0
22,106,1.0,1.0
764,106,1.0,1.0
465,106,1.0,1.0
232,106,1.0,1.0
43,106,1.0,1.0
486,106,1.0,1.0
776,106,1.0,1.0
240,106,1.0,1.0
148,106,1.0,1.0
54,106,0.0,1.0
743,106,1.0,1.0
487,106,1.0,1.0
209,106,1.0,1.0
221,106,1.0,1.0
133,106,1.0,1.0
753,106,1.0,1.0
55,106,1.0,1.0
43,107,0.0,1.0
234,107,1.0,1.0
235,107,0.0,1.0
236,108,1.0,1.0
44,108,1.0,1.0
236,108,1.0,1.0
139,108,1.0,1.0
237,108,1.0,1.0
474,108,1.0,1.0
106,109,1.0,1.0
240,109,1.0,1.0
239,109,1.0,1.0
45,109,1.0,1.0
238,109,1.0,1.0
241,109,1.0,1.0
104,109,1.0,1.0
745,109,1.0,1.0
141,109,1.0,1.0
241,110,1.0,1.0
287,110,1.0,1.0
243,110,1.0,1.0
45,110,1.0,1.0
242,110,1.0,1.0
482,110,1.0,1.0
244,110,1.0,1.0
48,111,1.0,1.0
112,111,1.0,1.0
141,112,0.0,1.0
111,112,1.0,1.0
113,112,1.0,1.0
245,112,1.0,1.0
48,112,1.0,1.0
114,113,1.0,1.0
246,113,1.0,1.0
48,113,1.0,1.0
49,113,1.0,1.0
118,113,1.0,1.0
50,113,1.0,1.0
112,113,1.0,1.0
247,114,1.0,1.0
49,114,1.0,1.0
50,114,1.0,1.0
113,114,1.0,1.0
116,114,1.0,1.0
49,115,1.0,1.0
248,115,1.0,1.0
249,115,1.0,1.0
250,115,1.0,1.0
251,115,1.0,1.0
114,116,1.0,1.0
49,116,1.0,1.0
48,116,1.0,1.0
50,117,1.0,1.0
252,117,1.0,1.0
247,117,1.0,1.0
50,118,1.0,1.0
113,118,1.0,1.0
50,119,1.0,1.0
253,119,1.0,1.0
254,119,1.0,1.0
255,119,1.0,1.0
51,120,1.0,1.0
256,120,1.0,1.0
257,120,1.0,1.0
258,121,1.0,1.0
259,121,0.0,1.0
260,121,0.0,1.0
261,122,0.0,1.0
262,122,1.0,1.0
358,122,1.0,1.0
804,122,1.0,1.0
53,122,1.0,1.0
263,122,1.0,1.0
258,122,1.0,1.0
264,122,1.0,1.0
265,123,0.0,1.0
53,123,1.0,1.0
266,123,1.0,1.0
267,124,1.0,1.0
53,124,1.0,1.0
268,124,1.0,1.0
269,124,1.0,1.0
270,124,1.0,1.0
272,125,1.0,1.0
278,125,1.0,1.0
276,125,1.0,1.0
271,125,1.0,1.0
54,125,0.0,1.0
135,125,1.0,1.0
131,125,1.0,1.0
273,125,1.0,1.0
106,125,1.0,1.0
261,125,1.0,1.0
129,125,1.0,1.0
274,125,1.0,1.0
531,125,1.0,1.0
274,126,1.0,1.0
273,126,1.0,1.0
275,126,1.0,1.0
128,126,1.0,1.0
276,126,1.0,1.0
55,126,1.0,1.0
277,127,1.0,1.0
56,127,1.0,1.0
139,128,1.0,1.0
126,128,1.0,1.0
278,128,1.0,1.0
57,129,1.0,1.0
279,129,1.0,1.0
240,129,1.0,1.0
280,130,1.0,1.0
106,130,1.0,1.0
125,131,1.0,1.0
106,131,1.0,1.0
106,132,1.0,1.0
240,132,1.0,1.0
281,133,0.0,1.0
106,133,1.0,1.0
58,133,1.0,1.0
136,134,0.0,1.0
58,134,1.0,1.0
273,135,1.0,1.0
58,135,1.0,1.0
276,135,1.0,1.0
531,135,1.0,1.0
282,135,1.0,1.0
106,135,1.0,1.0
283,135,1.0,1.0
125,135,1.0,1.0
134,136,0.0,1.0
58,136,1.0,1.0
284,136,1.0,1.0
285,136,1.0,1.0
59,137,1.0,1.0
286,137,1.0,1.0
287,138,1.0,1.0
59,138,1.0,1.0
22,138,1.0,1.0
288,138,1.0,1.0
289,138,1.0,1.0
59,139,1.0,1.0
212,139,1.0,1.0
108,139,1.0,1.0
290,139,1.0,1.0
128,139,1.0,1.0
58,139,1.0,1.0
61,140,1.0,1.0
291,140,1.0,1.0
292,140,1.0,1.0
61,141,1.0,1.0
293,141,1.0,1.0
142,141,1.0,1.0
294,141,1.0,1.0
745,141,1.0,1.0
105,141,1.0,1.0
230,141,1.0,1.0
772,141,1.0,1.0
178,141,1.0,1.0
210,141,1.0,1.0
109,141,1.0,1.0
112,141,0.0,1.0
93,141,1.0,1.0
143,141,1.0,1.0
240,141,1.0,1.0
295,141,1.0,1.0
296,142,1.0,1.0
297,142,1.0,1.0
61,142,1.0,1.0
141,142,1.0,1.0
299,143,1.0,1.0
141,143,1.0,1.0
298,143,1.0,1.0
61,143,1.0,1.0
61,143,1.0,1.0
423,143,1.0,1.0
704,143,1.0,1.0
300,143,1.0,1.0
61,144,1.0,1.0
301,144,1.0,1.0
62,145,1.0,1.0
223,145,1.0,1.0
302,145,1.0,1.0
303,145,1.0,1.0
304,145,1.0,1.0
305,146,1.0,1.0
306,146,1.0,1.0
62,146,1.0,1.0
307,146,1.0,1.0
308,146,1.0,1.0
309,147,1.0,1.0
62,147,0.0,1.0
512,147,1.0,1.0
310,147,1.0,1.0
311,147,1.0,1.0
312,147,1.0,1.0
233,148,1.0,1.0
313,148,1.0,1.0
62,148,1.0,1.0
106,148,1.0,1.0
223,149,1.0,1.0
63,150,1.0,1.0
314,150,1.0,1.0
314,151,1.0,1.0
315,151,1.0,1.0
164,151,0.0,1.0
316,151,1.0,1.0
63,152,1.0,1.0
317,152,1.0,1.0
64,153,0.0,1.0
153,154,1.0,1.0
64,154,0.0,1.0
318,155,1.0,1.0
64,155,1.0,1.0
190,155,1.0,1.0
319,155,1.0,1.0
320,155,1.0,1.0
64,156,0.0,1.0
602,157,1.0,1.0
600,157,1.0,1.0
321,157,1.0,1.0
325,157,1.0,1.0
673,157,1.0,1.0
665,157,1.0,1.0
323,157,1.0,1.0
383,157,1.0,1.0
25,157,1.0,1.0
324,157,1.0,1.0
386,157,1.0,1.0
322,157,1.0,1.0
65,157,1.0,1.0
599,157,1.0,1.0
398,157,1.0,1.0
25,158,1.0,1.0
326,158,1.0,1.0
605,158,1.0,1.0
597,158,1.0,1.0
65,158,1.0,1.0
319,158,1.0,1.0
327,158,1.0,1.0
69,158,1.0,1.0
197,158,1.0,1.0
189,158,1.0,1.0
155,158,1.0,1.0
329,159,1.0,1.0
328,159,1.0,1.0
606,159,1.0,1.0
610,159,1.0,1.0
577,159,1.0,1.0
330,159,1.0,1.0
331,159,1.0,1.0
67,159,1.0,1.0
67,160,1.0,1.0
69,160,1.0,1.0
333,160,1.0,1.0
335,160,1.0,1.0
332,160,1.0,1.0
334,160,1.0,1.0
161,160,1.0,1.0
329,161,1.0,1.0
335,161,1.0,1.0
160,161,1.0,1.0
335,161,1.0,1.0
336,161,1.0,1.0
67,161,1.0,1.0
82,162,1.0,1.0
69,162,1.0,1.0
307,163,1.0,1.0
339,163,1.0,1.0
337,163,1.0,1.0
340,163,1.0,1.0
338,163,1.0,1.0
158,163,1.0,1.0
532,163,1.0,1.0
579,163,1.0,1.0
65,164,0.0,1.0
623,164,1.0,1.0
69,164,0.0,1.0
341,164,1.0,1.0
342,164,1.0,1.0
343,164,1.0,1.0
344,165,1.0,1.0
345,166,1.0,1.0
70,167,1.0,1.0
346,167,1.0,1.0
168,167,1.0,1.0
347,168,1.0,1.0
169,168,1.0,1.0
625,168,1.0,1.0
167,168,1.0,1.0
70,168,1.0,1.0
348,168,1.0,1.0
71,168,1.0,1.0
168,169,1.0,1.0
71,169,1.0,1.0
349,169,1.0,1.0
345,170,1.0,1.0
71,170,1.0,1.0
350,170,1.0,1.0
171,170,1.0,1.0
71,171,1.0,1.0
169,171,1.0,1.0
351,171,1.0,1.0
352,172,1.0,1.0
72,172,1.0,1.0
72,173,1.0,1.0
353,173,1.0,1.0
172,173,1.0,1.0
41,174,0.0,1.0
816,174,1.0,1.0
692,174,1.0,1.0
634,174,1.0,1.0
358,174,1.0,1.0
585,174,1.0,1.0
357,174,1.0,1.0
354,174,1.0,1.0
356,174,1.0,1.0
73,174,1.0,1.0
355,174,1.0,1.0
635,174,1.0,1.0
814,174,1.0,1.0
359,175,1.0,1.0
75,175,1.0,1.0
360,175,1.0,1.0
361,175,1.0,1.0
362,176,1.0,1.0
363,176,1.0,1.0
364,176,0.0,1.0
76,176,1.0,1.0
365,177,1.0,1.0
76,177,1.0,1.0
366,177,1.0,1.0
367,177,1.0,1.0
368,178,0.0,1.0
76,178,1.0,1.0
141,178,1.0,1.0
369,179,1.0,1.0
77,179,1.0,1.0
372,179,1.0,1.0
370,179,1.0,1.0
371,179,1.0,1.0
78,179,1.0,1.0
373,180,0.0,1.0
374,180,1.0,1.0
375,180,0.0,1.0
79,180,0.0,1.0
376,180,0.0,1.0
377,181,0.0,1.0
35,181,1.0,1.0
79,181,0.0,1.0
69,181,1.0,1.0
378,182,1.0,1.0
379,182,1.0,1.0
318,182,1.0,1.0
79,182,0.0,1.0
380,183,1.0,1.0
184,183,1.0,1.0
183,184,1.0,1.0
80,184,1.0,1.0
183,184,1.0,1.0
380,184,1.0,1.0
80,185,0.0,1.0
381,185,1.0,1.0
292,185,1.0,1.0
382,186,1.0,1.0
383,186,1.0,1.0
81,186,1.0,1.0
384,186,1.0,1.0
385,187,1.0,1.0
189,187,1.0,1.0
81,187,1.0,1.0
324,187,1.0,1.0
386,187,1.0,1.0
387,187,1.0,1.0
385,189,1.0,1.0
388,189,1.0,1.0
158,189,1.0,1.0
681,189,1.0,1.0
35,189,1.0,1.0
65,189,1.0,1.0
389,189,1.0,1.0
390,190,1.0,1.0
391,190,1.0,1.0
155,190,1.0,1.0
82,190,1.0,1.0
82,191,1.0,1.0
64,191,0.0,1.0
106,192,1.0,1.0
83,192,0.0,1.0
392,192,1.0,1.0
396,193,1.0,1.0
393,193,1.0,1.0
394,193,1.0,1.0
84,193,1.0,1.0
395,193,1.0,1.0
643,193,1.0,1.0
397,193,1.0,1.0
399,194,1.0,1.0
84,194,1.0,1.0
400,194,1.0,1.0
195,194,1.0,1.0
398,194,1.0,1.0
678,194,1.0,1.0
218,194,1.0,1.0
401,195,1.0,1.0
84,195,1.0,1.0
396,196,1.0,1.0
84,196,1.0,1.0
402,197,1.0,1.0
198,197,1.0,1.0
158,197,1.0,1.0
35,197,1.0,1.0
85,197,1.0,1.0
403,197,1.0,1.0
379,197,1.0,1.0
403,197,1.0,1.0
404,198,1.0,1.0
405,198,1.0,1.0
318,198,1.0,1.0
406,199,0.0,1.0
316,199,1.0,1.0
85,199,1.0,1.0
404,199,1.0,1.0
202,200,1.0,1.0
407,200,1.0,1.0
408,200,1.0,1.0
409,200,1.0,1.0
87,200,1.0,1.0
203,201,1.0,1.0
693,201,1.0,1.0
410,201,1.0,1.0
87,201,1.0,1.0
411,201,0.0,1.0
412,201,1.0,1.0
203,201,1.0,1.0
408,201,1.0,1.0
200,202,1.0,1.0
203,202,1.0,1.0
410,202,1.0,1.0
413,202,1.0,1.0
87,202,1.0,1.0
410,203,1.0,1.0
202,203,1.0,1.0
413,203,1.0,1.0
201,203,1.0,1.0
173,203,0.0,1.0
87,203,1.0,1.0
91,203,1.0,1.0
414,203,0.0,1.0
699,203,1.0,1.0
408,203,1.0,1.0
91,203,1.0,1.0
206,203,1.0,1.0
37,203,1.0,1.0
416,203,1.0,1.0
415,203,1.0,1.0
201,203,1.0,1.0
410,203,1.0,1.0
37,204,1.0,1.0
88,204,0.0,1.0
88,204,0.0,1.0
206,205,1.0,1.0
37,205,1.0,1.0
90,205,1.0,1.0
89,205,0.0,1.0
417,206,1.0,1.0
91,206,1.0,1.0
416,206,1.0,1.0
415,206,1.0,1.0
205,206,1.0,1.0
102,207,1.0,1.0
418,207,1.0,1.0
92,208,0.0,1.0
419,209,0.0,1.0
280,209,1.0,1.0
420,209,0.0,1.0
421,209,1.0,1.0
106,209,1.0,1.0
211,210,1.0,1.0
422,210,1.0,1.0
211,210,1.0,1.0
141,210,1.0,1.0
210,211,1.0,1.0
210,211,1.0,1.0
423,212,1.0,1.0
424,212,0.0,1.0
94,212,1.0,1.0
425,213,1.0,1.0
95,213,0.0,1.0
426,213,1.0,1.0
427,213,1.0,1.0
428,214,1.0,1.0
429,215,1.0,1.0
96,216,0.0,1.0
724,217,1.0,1.0
260,217,0.0,1.0
720,217,1.0,1.0
430,217,1.0,1.0
432,217,0.0,1.0
375,217,1.0,1.0
194,217,1.0,1.0
431,217,1.0,1.0
433,217,1.0,1.0
643,217,1.0,1.0
718,217,1.0,1.0
628,217,0.0,1.0
434,217,0.0,1.0
97,218,1.0,1.0
435,218,1.0,1.0
436,218,1.0,1.0
194,218,1.0,1.0
437,218,0.0,1.0
356,218,0.0,1.0
438,219,1.0,1.0
726,219,1.0,1.0
439,219,1.0,1.0
441,219,1.0,1.0
440,219,1.0,1.0
98,219,1.0,1.0
41,219,1.0,1.0
442,220,1.0,1.0
443,220,1.0,1.0
443,220,1.0,1.0
41,220,1.0,1.0
444,221,1.0,1.0
445,221,1.0,1.0
106,221,1.0,1.0
446,221,1.0,1.0
99,221,1.0,1.0
223,222,1.0,1.0
224,222,1.0,1.0
41,222,1.0,1.0
450,223,1.0,1.0
448,223,1.0,1.0
447,223,1.0,1.0
739,223,1.0,1.0
149,223,1.0,1.0
814,223,0.0,1.0
222,223,1.0,1.0
800,223,0.0,1.0
302,223,1.0,1.0
449,223,1.0,1.0
648,223,1.0,1.0
145,223,1.0,1.0
451,223,1.0,1.0
810,223,1.0,1.0
441,223,1.0,1.0
106,224,1.0,1.0
452,224,1.0,1.0
222,224,1.0,1.0
100,224,1.0,1.0
451,224,1.0,1.0
453,225,1.0,1.0
226,225,1.0,1.0
454,225,1.0,1.0
455,225,1.0,1.0
102,226,1.0,1.0
472,227,1.0,1.0
456,227,1.0,1.0
457,227,1.0,1.0
42,227,1.0,1.0
106,227,1.0,1.0
235,227,1.0,1.0
284,227,1.0,1.0
458,227,1.0,1.0
240,227,1.0,1.0
102,227,1.0,1.0
459,228,1.0,1.0
104,228,1.0,1.0
106,228,1.0,1.0
460,229,1.0,1.0
464,230,1.0,1.0
751,230,1.0,1.0
748,230,1.0,1.0
749,230,1.0,1.0
465,230,1.0,1.0
461,230,1.0,1.0
106,230,1.0,1.0
750,230,1.0,1.0
462,230,1.0,1.0
463,230,1.0,1.0
463,230,1.0,1.0
141,230,1.0,1.0
392,231,1.0,1.0
466,231,0.0,1.0
467,231,1.0,1.0
468,231,1.0,1.0
106,231,1.0,1.0
106,232,1.0,1.0
470,233,0.0,1.0
469,233,1.0,1.0
275,233,1.0,1.0
148,233,1.0,1.0
471,233,0.0,1.0
106,233,1.0,1.0
107,234,1.0,1.0
472,235,1.0,1.0
227,235,1.0,1.0
107,235,0.0,1.0
276,235,1.0,1.0
237,236,1.0,1.0
473,236,1.0,1.0
460,236,1.0,1.0
108,236,1.0,1.0
474,236,1.0,1.0
108,237,1.0,1.0
475,237,1.0,1.0
476,237,1.0,1.0
236,237,1.0,1.0
477,237,1.0,1.0
109,238,1.0,1.0
478,238,1.0,1.0
479,239,1.0,1.0
480,239,1.0,1.0
