edge_index0,edge_index1,pred,gr
184,185,1.0,1.0
293,61,1.0,1.0
178,177,1.0,1.0
131,273,1.0,1.0
91,207,1.0,1.0
79,177,1.0,1.0
406,391,0.0,1.0
288,62,1.0,1.0
192,610,1.0,1.0
550,4,1.0,1.0
263,269,1.0,1.0
372,609,1.0,1.0
122,265,1.0,1.0
356,249,0.0,1.0
141,398,1.0,1.0
170,698,1.0,1.0
210,41,1.0,1.0
529,146,1.0,1.0
421,123,1.0,1.0
426,230,1.0,1.0
228,106,1.0,1.0
702,701,1.0,1.0
180,315,1.0,1.0
579,581,1.0,1.0
441,443,1.0,1.0
191,369,1.0,1.0
483,131,1.0,1.0
393,91,1.0,1.0
240,236,1.0,1.0
394,359,1.0,1.0
359,594,1.0,1.0
274,484,1.0,1.0
59,56,1.0,1.0
56,125,1.0,1.0
479,125,1.0,1.0
3,27,1.0,1.0
141,527,1.0,1.0
361,186,1.0,1.0
123,57,1.0,1.0
468,467,1.0,1.0
417,651,1.0,1.0
170,339,1.0,1.0
127,133,1.0,1.0
115,242,1.0,1.0
427,428,1.0,1.0
63,151,1.0,1.0
321,160,1.0,1.0
90,91,1.0,1.0
625,359,1.0,1.0
156,25,1.0,1.0
91,205,1.0,1.0
441,675,1.0,1.0
495,57,1.0,1.0
105,414,1.0,1.0
249,356,0.0,1.0
17,20,0.0,1.0
57,129,0.0,1.0
42,99,1.0,1.0
235,429,1.0,1.0
314,83,1.0,1.0
198,385,1.0,1.0
35,157,1.0,1.0
57,138,1.0,1.0
64,153,1.0,1.0
118,260,0.0,1.0
189,370,1.0,1.0
157,78,1.0,1.0
69,156,1.0,1.0
101,42,1.0,1.0
132,265,1.0,1.0
691,680,1.0,1.0
195,378,1.0,1.0
308,155,1.0,1.0
356,324,1.0,1.0
135,265,1.0,1.0
235,430,1.0,1.0
236,240,1.0,1.0
434,48,1.0,1.0
153,308,1.0,1.0
198,618,1.0,1.0
370,189,1.0,1.0
584,348,0.0,1.0
109,50,1.0,1.0
306,305,1.0,1.0
37,378,1.0,1.0
418,414,1.0,1.0
35,66,1.0,1.0
319,317,1.0,1.0
57,206,1.0,1.0
642,640,1.0,1.0
406,40,1.0,1.0
581,579,1.0,1.0
87,199,1.0,1.0
493,57,1.0,1.0
290,509,1.0,1.0
208,399,0.0,1.0
673,430,1.0,1.0
57,130,1.0,1.0
33,78,0.0,1.0
197,196,1.0,1.0
252,258,1.0,1.0
236,112,1.0,1.0
241,328,0.0,1.0
111,238,1.0,1.0
244,673,1.0,1.0
8,34,1.0,1.0
597,645,1.0,1.0
7,8,1.0,1.0
427,662,1.0,1.0
575,538,0.0,1.0
390,622,1.0,1.0
196,197,1.0,1.0
300,530,1.0,1.0
327,70,1.0,1.0
450,447,1.0,1.0
325,546,1.0,1.0
174,350,1.0,1.0
324,544,0.0,1.0
0,22,1.0,1.0
555,558,1.0,1.0
182,186,1.0,1.0
66,35,1.0,1.0
197,380,1.0,1.0
598,596,1.0,1.0
82,190,0.0,1.0
61,593,0.0,1.0
198,201,1.0,1.0
427,659,1.0,1.0
543,317,1.0,1.0
663,106,1.0,1.0
242,238,1.0,1.0
271,324,1.0,1.0
265,476,1.0,1.0
236,107,1.0,1.0
402,634,0.0,1.0
25,66,1.0,1.0
428,663,1.0,1.0
451,680,1.0,1.0
585,352,1.0,1.0
167,165,1.0,1.0
231,206,1.0,1.0
280,493,1.0,1.0
22,58,1.0,1.0
239,439,1.0,1.0
409,286,1.0,1.0
83,193,0.0,1.0
185,81,1.0,1.0
361,152,1.0,1.0
306,533,0.0,1.0
642,407,1.0,1.0
241,114,1.0,1.0
192,372,0.0,1.0
616,196,1.0,1.0
233,427,1.0,1.0
236,241,1.0,1.0
61,228,1.0,1.0
243,434,1.0,1.0
151,159,0.0,1.0
56,126,1.0,1.0
57,131,1.0,1.0
654,57,1.0,1.0
139,58,1.0,1.0
458,693,1.0,1.0
704,259,1.0,1.0
260,139,1.0,1.0
462,699,1.0,1.0
206,295,1.0,1.0
188,365,1.0,1.0
248,170,0.0,1.0
280,57,1.0,1.0
376,362,1.0,1.0
106,228,1.0,1.0
199,386,1.0,1.0
61,294,1.0,1.0
62,290,1.0,1.0
194,375,1.0,1.0
485,275,1.0,1.0
35,187,1.0,1.0
170,248,0.0,1.0
109,235,1.0,1.0
430,437,1.0,1.0
635,209,1.0,1.0
37,89,0.0,1.0
406,486,1.0,1.0
36,9,1.0,1.0
441,674,1.0,1.0
313,67,1.0,1.0
400,368,1.0,1.0
610,192,1.0,1.0
171,344,1.0,1.0
40,406,1.0,1.0
230,426,1.0,1.0
157,534,1.0,1.0
314,180,1.0,1.0
308,153,1.0,1.0
226,422,1.0,1.0
543,589,0.0,1.0
98,217,1.0,1.0
159,66,0.0,1.0
245,247,1.0,1.0
439,238,1.0,1.0
374,612,1.0,1.0
349,587,1.0,1.0
147,300,1.0,1.0
82,367,1.0,1.0
269,263,1.0,1.0
140,286,1.0,1.0
396,506,1.0,1.0
83,66,1.0,1.0
669,665,1.0,1.0
395,57,1.0,1.0
626,57,1.0,1.0
56,266,1.0,1.0
425,273,1.0,1.0
489,275,1.0,1.0
104,225,1.0,1.0
146,529,1.0,1.0
133,278,1.0,1.0
46,0,0.0,1.0
576,574,0.0,1.0
294,293,1.0,1.0
57,54,0.0,1.0
42,101,1.0,1.0
336,169,1.0,1.0
211,41,1.0,1.0
274,133,1.0,1.0
247,687,1.0,1.0
419,650,1.0,1.0
57,133,1.0,1.0
534,157,1.0,1.0
548,70,1.0,1.0
368,370,1.0,1.0
106,229,1.0,1.0
90,204,1.0,1.0
135,262,1.0,1.0
262,389,1.0,1.0
563,196,1.0,1.0
470,170,1.0,1.0
123,421,1.0,1.0
223,225,1.0,1.0
341,572,1.0,1.0
130,271,1.0,1.0
313,25,1.0,1.0
56,127,1.0,1.0
109,49,1.0,1.0
645,271,1.0,1.0
585,173,1.0,1.0
421,417,1.0,1.0
35,81,1.0,1.0
141,506,1.0,1.0
154,176,1.0,1.0
101,477,1.0,1.0
9,36,1.0,1.0
48,434,1.0,1.0
180,314,1.0,1.0
198,88,1.0,1.0
51,117,1.0,1.0
451,681,1.0,1.0
575,589,1.0,1.0
219,221,1.0,1.0
112,48,1.0,1.0
13,38,1.0,1.0
183,360,1.0,1.0
416,121,1.0,1.0
352,348,1.0,1.0
244,448,1.0,1.0
170,41,0.0,1.0
273,483,1.0,1.0
185,363,1.0,1.0
550,70,1.0,1.0
340,569,1.0,1.0
172,347,1.0,1.0
386,87,1.0,1.0
57,132,1.0,1.0
313,26,1.0,1.0
701,547,1.0,1.0
422,421,1.0,1.0
324,320,1.0,1.0
398,629,1.0,1.0
76,77,1.0,1.0
347,206,1.0,1.0
276,488,1.0,1.0
421,419,1.0,1.0
293,517,1.0,1.0
247,457,1.0,1.0
180,181,1.0,1.0
198,619,1.0,1.0
145,297,1.0,1.0
162,327,1.0,1.0
335,561,1.0,1.0
321,324,1.0,1.0
133,347,1.0,1.0
70,160,1.0,1.0
549,161,1.0,1.0
89,168,1.0,1.0
81,80,1.0,1.0
139,208,1.0,1.0
224,417,1.0,1.0
406,92,1.0,1.0
62,145,1.0,1.0
238,435,1.0,1.0
41,356,1.0,1.0
9,85,1.0,1.0
61,144,1.0,1.0
241,236,1.0,1.0
80,81,1.0,1.0
477,621,1.0,1.0
280,491,1.0,1.0
96,62,0.0,1.0
323,645,1.0,1.0
10,12,1.0,1.0
7,33,0.0,1.0
296,524,1.0,1.0
592,249,1.0,1.0
275,485,1.0,1.0
101,99,1.0,1.0
648,414,1.0,1.0
26,313,1.0,1.0
155,535,1.0,1.0
270,398,1.0,1.0
57,274,1.0,1.0
457,692,1.0,1.0
247,245,1.0,1.0
219,412,1.0,1.0
390,623,1.0,1.0
5,29,0.0,1.0
41,95,1.0,1.0
697,252,1.0,1.0
58,133,1.0,1.0
226,58,1.0,1.0
378,37,1.0,1.0
70,71,1.0,1.0
673,244,1.0,1.0
25,66,1.0,1.0
97,95,1.0,1.0
321,598,0.0,0.0
392,98,1.0,0.0
471,281,1.0,0.0
238,601,0.0,0.0
416,214,1.0,0.0
239,93,0.0,0.0
140,588,1.0,0.0
681,407,1.0,0.0
647,393,1.0,0.0
490,592,0.0,0.0
93,567,0.0,0.0
22,535,1.0,0.0
459,337,1.0,0.0
72,488,0.0,0.0
245,696,1.0,0.0
335,628,1.0,0.0
462,597,0.0,0.0
653,306,0.0,0.0
197,705,0.0,0.0
374,355,1.0,0.0
395,464,0.0,0.0
528,396,1.0,0.0
13,235,1.0,0.0
561,617,1.0,0.0
462,283,0.0,0.0
598,357,1.0,0.0
366,515,1.0,0.0
446,52,1.0,0.0
55,49,0.0,0.0
147,298,0.0,0.0
362,170,1.0,0.0
449,44,0.0,0.0
298,469,0.0,0.0
695,323,0.0,0.0
603,376,0.0,0.0
121,453,0.0,0.0
135,96,1.0,0.0
385,84,1.0,0.0
438,556,0.0,0.0
656,683,0.0,0.0
447,65,0.0,0.0
459,672,1.0,0.0
445,588,0.0,0.0
483,535,1.0,0.0
96,135,1.0,0.0
351,692,0.0,0.0
273,331,1.0,0.0
159,153,0.0,0.0
209,183,0.0,0.0
275,602,1.0,0.0
69,458,1.0,0.0
523,25,1.0,0.0
532,81,1.0,0.0
49,11,0.0,0.0
15,223,1.0,0.0
695,197,0.0,0.0
52,316,0.0,0.0
94,56,1.0,0.0
384,659,1.0,0.0
211,310,1.0,0.0
685,156,0.0,0.0
445,149,1.0,0.0
447,72,1.0,0.0
705,665,1.0,0.0
344,485,1.0,0.0
545,71,0.0,0.0
96,72,0.0,0.0
523,348,1.0,0.0
674,251,1.0,0.0
405,211,1.0,0.0
255,435,1.0,0.0
312,571,0.0,0.0
54,337,0.0,0.0
62,420,0.0,0.0
426,677,0.0,0.0
686,353,0.0,0.0
412,457,0.0,0.0
575,504,0.0,0.0
17,313,1.0,0.0
360,402,0.0,0.0
197,645,1.0,0.0
240,449,1.0,0.0
503,619,1.0,0.0
557,325,1.0,0.0
43,244,0.0,0.0
665,483,0.0,0.0
4,486,1.0,0.0
341,436,1.0,0.0
424,368,1.0,0.0
176,561,1.0,0.0
664,432,1.0,0.0
262,189,1.0,0.0
669,3,0.0,0.0
144,54,0.0,0.0
154,670,1.0,0.0
284,557,1.0,0.0
587,362,1.0,0.0
101,468,0.0,0.0
338,372,1.0,0.0
340,460,1.0,0.0
306,197,1.0,0.0
626,462,0.0,0.0
363,540,1.0,0.0
531,677,1.0,0.0
165,485,1.0,0.0
203,659,0.0,0.0
169,683,1.0,0.0
240,100,1.0,0.0
222,81,0.0,0.0
203,473,0.0,0.0
408,335,0.0,0.0
43,162,1.0,0.0
284,104,1.0,0.0
