edge_index0,edge_index1,pred,gr
600,601,1.0,1.0
648,346,1.0,1.0
784,782,1.0,1.0
246,245,1.0,1.0
721,781,1.0,1.0
76,11,1.0,1.0
843,629,1.0,1.0
92,93,1.0,1.0
402,38,1.0,1.0
134,288,1.0,1.0
673,205,1.0,1.0
64,224,0.0,1.0
477,831,1.0,1.0
412,287,0.0,1.0
265,510,1.0,1.0
207,212,1.0,1.0
849,502,1.0,1.0
173,83,1.0,1.0
395,800,1.0,1.0
124,270,1.0,1.0
27,69,1.0,1.0
808,463,1.0,1.0
399,686,1.0,1.0
62,138,1.0,1.0
394,725,1.0,1.0
483,706,1.0,1.0
808,105,1.0,1.0
192,403,1.0,1.0
466,817,1.0,1.0
35,32,1.0,1.0
804,474,1.0,1.0
64,554,1.0,1.0
551,545,1.0,1.0
676,365,1.0,1.0
354,550,1.0,1.0
44,209,1.0,1.0
395,237,1.0,1.0
101,210,1.0,1.0
346,640,1.0,1.0
392,435,1.0,1.0
655,654,1.0,1.0
57,101,1.0,1.0
374,686,1.0,1.0
44,97,0.0,1.0
92,205,1.0,1.0
440,788,1.0,1.0
448,796,1.0,1.0
76,165,1.0,1.0
680,678,1.0,1.0
675,176,1.0,1.0
43,206,1.0,1.0
101,467,1.0,1.0
300,301,1.0,1.0
783,406,1.0,1.0
337,627,1.0,1.0
265,512,1.0,1.0
308,572,1.0,1.0
33,34,1.0,1.0
392,724,1.0,1.0
90,196,0.0,1.0
297,552,1.0,1.0
866,515,1.0,1.0
194,197,1.0,1.0
850,307,1.0,1.0
638,646,1.0,1.0
868,869,1.0,1.0
142,302,1.0,1.0
329,608,1.0,1.0
336,812,0.0,1.0
437,783,1.0,1.0
301,554,1.0,1.0
117,253,1.0,1.0
149,26,1.0,1.0
443,101,1.0,1.0
435,539,1.0,1.0
416,756,1.0,1.0
788,266,1.0,1.0
804,476,1.0,1.0
461,228,1.0,1.0
159,339,1.0,1.0
44,95,1.0,1.0
46,99,1.0,1.0
264,255,1.0,1.0
234,146,1.0,1.0
256,499,1.0,1.0
545,724,1.0,1.0
297,138,1.0,1.0
253,483,1.0,1.0
710,709,1.0,1.0
232,107,1.0,1.0
510,860,1.0,1.0
473,472,1.0,1.0
358,659,1.0,1.0
566,306,1.0,1.0
478,832,1.0,1.0
101,285,1.0,1.0
331,613,1.0,1.0
96,213,1.0,1.0
113,245,1.0,1.0
12,9,1.0,1.0
448,218,1.0,1.0
98,217,1.0,1.0
478,490,1.0,1.0
121,264,1.0,1.0
435,392,1.0,1.0
247,490,1.0,1.0
499,119,1.0,1.0
644,636,1.0,1.0
379,399,1.0,1.0
377,695,1.0,1.0
308,699,1.0,1.0
73,156,1.0,1.0
517,874,1.0,1.0
135,289,1.0,1.0
391,84,1.0,1.0
557,179,1.0,1.0
502,503,1.0,1.0
446,101,1.0,1.0
62,724,1.0,1.0
347,638,1.0,1.0
90,197,1.0,1.0
460,105,1.0,1.0
335,4,1.0,1.0
74,160,1.0,1.0
490,478,1.0,1.0
107,236,1.0,1.0
234,107,1.0,1.0
308,578,0.0,1.0
314,359,1.0,1.0
184,146,1.0,1.0
301,299,1.0,1.0
215,442,1.0,1.0
237,470,1.0,1.0
709,26,0.0,1.0
396,588,1.0,1.0
238,472,1.0,1.0
863,327,1.0,1.0
858,877,1.0,1.0
131,128,1.0,1.0
646,638,1.0,1.0
301,558,1.0,1.0
694,81,1.0,1.0
462,231,1.0,1.0
422,533,1.0,1.0
312,581,1.0,1.0
307,830,1.0,1.0
860,265,1.0,1.0
817,230,1.0,1.0
305,303,1.0,1.0
176,694,1.0,1.0
497,251,1.0,1.0
244,480,1.0,1.0
722,476,1.0,0.0
333,334,0.0,0.0
741,106,0.0,0.0
57,649,1.0,0.0
219,70,0.0,0.0
691,559,0.0,0.0
1,664,1.0,0.0
812,528,1.0,0.0
430,251,0.0,0.0
661,345,0.0,0.0
69,37,1.0,0.0
757,388,0.0,0.0
558,702,0.0,0.0
464,774,0.0,0.0
723,165,0.0,0.0
366,726,0.0,0.0
714,39,0.0,0.0
457,448,0.0,0.0
718,11,1.0,0.0
246,57,0.0,0.0
503,0,1.0,0.0
425,17,1.0,0.0
602,241,0.0,0.0
214,858,1.0,0.0
384,546,0.0,0.0
26,242,0.0,0.0
181,399,1.0,0.0
527,245,0.0,0.0
692,764,1.0,0.0
515,825,0.0,0.0
72,251,1.0,0.0
659,26,1.0,0.0
859,457,0.0,0.0
851,579,0.0,0.0
411,345,0.0,0.0
558,406,0.0,0.0
56,166,0.0,0.0
578,522,0.0,0.0
717,756,1.0,0.0
260,753,1.0,0.0
878,228,0.0,0.0
330,658,0.0,0.0
452,151,0.0,0.0
704,125,1.0,0.0
427,280,1.0,0.0
76,331,1.0,0.0
350,125,1.0,0.0
635,311,1.0,0.0
152,238,0.0,0.0
575,652,1.0,0.0
74,57,1.0,0.0
293,58,1.0,0.0
