edge_index0,edge_index1,pred,gr
427,316,1.0,1.0
64,601,1.0,1.0
268,488,1.0,1.0
226,429,1.0,1.0
362,632,1.0,1.0
149,318,1.0,1.0
285,4,1.0,1.0
371,644,1.0,1.0
364,372,1.0,1.0
118,261,1.0,1.0
110,42,1.0,1.0
405,691,1.0,1.0
149,320,1.0,1.0
243,448,1.0,1.0
256,114,1.0,1.0
292,290,1.0,1.0
155,336,1.0,1.0
264,481,1.0,1.0
75,162,1.0,1.0
61,34,1.0,1.0
269,491,1.0,1.0
312,146,1.0,1.0
361,639,1.0,1.0
181,693,1.0,1.0
240,113,1.0,1.0
511,596,1.0,1.0
690,148,1.0,1.0
84,374,1.0,1.0
449,407,1.0,1.0
291,293,1.0,1.0
692,602,1.0,1.0
17,45,1.0,1.0
92,202,1.0,1.0
288,637,1.0,1.0
108,230,1.0,1.0
322,358,1.0,1.0
348,610,1.0,1.0
363,85,1.0,1.0
602,434,1.0,1.0
577,323,1.0,1.0
553,559,1.0,1.0
630,278,0.0,1.0
585,567,1.0,1.0
650,51,1.0,1.0
634,361,1.0,1.0
75,164,1.0,1.0
476,559,1.0,1.0
266,486,1.0,1.0
134,136,1.0,1.0
442,267,1.0,1.0
101,193,1.0,1.0
142,530,1.0,1.0
161,346,1.0,1.0
160,156,1.0,1.0
199,87,1.0,1.0
42,80,1.0,1.0
34,158,1.0,1.0
302,66,1.0,1.0
28,66,1.0,1.0
207,405,1.0,1.0
378,654,1.0,1.0
147,308,1.0,1.0
530,143,1.0,1.0
34,24,1.0,1.0
362,361,1.0,1.0
442,445,1.0,1.0
625,288,1.0,1.0
573,387,0.0,1.0
234,438,1.0,1.0
117,259,1.0,1.0
382,212,1.0,1.0
79,362,1.0,1.0
424,163,1.0,1.0
327,458,1.0,1.0
634,366,1.0,1.0
270,58,1.0,1.0
91,203,1.0,1.0
370,51,1.0,1.0
8,34,1.0,1.0
568,585,1.0,1.0
116,254,1.0,1.0
