edge_index0,edge_index1,pred,gr
500,937,1.0,1.0
1302,713,0.0,1.0
1125,585,0.0,1.0
287,544,1.0,1.0
1290,1233,0.0,1.0
361,360,0.0,1.0
890,64,1.0,1.0
1165,334,1.0,1.0
724,413,1.0,1.0
938,434,1.0,1.0
122,337,1.0,1.0
615,255,1.0,1.0
64,334,1.0,1.0
1050,553,1.0,1.0
83,11,1.0,1.0
1351,1100,0.0,1.0
108,100,1.0,1.0
264,38,1.0,1.0
488,993,0.0,1.0
1372,1322,1.0,1.0
509,1021,1.0,1.0
153,328,1.0,1.0
1135,306,1.0,1.0
642,206,1.0,1.0
67,466,1.0,1.0
1366,1252,1.0,1.0
745,1326,0.0,1.0
396,842,1.0,1.0
904,905,1.0,1.0
921,498,1.0,1.0
1152,965,1.0,1.0
413,402,1.0,1.0
285,669,1.0,1.0
284,666,1.0,1.0
292,111,0.0,1.0
1358,803,1.0,1.0
249,90,0.0,1.0
1032,1069,1.0,1.0
351,748,1.0,1.0
276,180,1.0,1.0
141,391,1.0,1.0
27,77,1.0,1.0
299,426,1.0,1.0
752,753,1.0,1.0
646,1141,1.0,1.0
65,474,1.0,1.0
482,983,1.0,1.0
778,1167,0.0,1.0
752,122,1.0,1.0
93,266,1.0,1.0
755,867,1.0,1.0
35,32,1.0,1.0
422,543,1.0,1.0
353,763,1.0,1.0
704,1273,1.0,1.0
440,928,1.0,1.0
422,423,1.0,1.0
1227,564,1.0,1.0
460,939,1.0,1.0
885,887,1.0,1.0
476,444,1.0,1.0
870,345,0.0,1.0
1142,604,0.0,1.0
1160,1039,1.0,1.0
301,472,1.0,1.0
381,927,1.0,1.0
1050,225,1.0,1.0
707,702,1.0,1.0
44,112,0.0,1.0
351,419,1.0,1.0
64,308,0.0,1.0
585,1113,0.0,1.0
440,426,1.0,1.0
968,971,1.0,1.0
741,469,1.0,1.0
570,1093,0.0,1.0
826,1244,1.0,1.0
587,1117,1.0,1.0
537,1045,1.0,1.0
57,64,1.0,1.0
44,114,0.0,1.0
1199,660,1.0,1.0
108,306,1.0,1.0
65,463,1.0,1.0
387,60,1.0,1.0
700,1261,0.0,1.0
919,454,1.0,1.0
779,778,0.0,1.0
83,236,1.0,1.0
1146,1144,0.0,1.0
1140,252,1.0,1.0
