edge_index0,edge_index1,pred,gr
532,524,1.0,1.0
555,326,1.0,1.0
319,614,1.0,1.0
232,1269,1.0,1.0
232,1265,1.0,1.0
690,1083,1.0,1.0
60,140,1.0,1.0
630,628,1.0,1.0
507,892,1.0,1.0
258,257,1.0,1.0
804,1222,1.0,1.0
299,585,0.0,1.0
754,1177,1.0,1.0
303,134,1.0,1.0
361,160,1.0,1.0
405,759,1.0,1.0
545,546,1.0,1.0
240,44,1.0,1.0
1095,84,1.0,1.0
232,478,1.0,1.0
64,1179,1.0,1.0
421,325,1.0,1.0
908,851,1.0,1.0
418,207,1.0,1.0
66,157,1.0,1.0
1011,328,1.0,1.0
434,89,1.0,1.0
889,795,1.0,1.0
287,378,1.0,1.0
1200,147,1.0,1.0
1251,1177,1.0,1.0
661,155,1.0,1.0
186,1113,1.0,1.0
841,840,1.0,1.0
814,341,1.0,1.0
1078,619,1.0,1.0
423,318,1.0,1.0
119,271,1.0,1.0
650,1033,1.0,1.0
945,977,1.0,1.0
1221,177,1.0,1.0
1275,580,1.0,1.0
73,37,1.0,1.0
846,1256,1.0,1.0
1146,183,1.0,1.0
589,304,1.0,1.0
1050,335,1.0,1.0
12,9,0.0,1.0
204,433,1.0,1.0
328,1209,1.0,1.0
1115,223,1.0,1.0
838,974,1.0,1.0
206,358,1.0,1.0
921,542,1.0,1.0
994,323,1.0,1.0
869,236,1.0,1.0
328,633,1.0,1.0
369,371,1.0,1.0
887,113,1.0,1.0
904,1290,1.0,1.0
326,1005,1.0,1.0
179,389,1.0,1.0
98,13,1.0,1.0
1274,501,1.0,1.0
432,362,1.0,1.0
758,181,1.0,1.0
10,12,1.0,1.0
332,645,1.0,1.0
702,1335,1.0,1.0
905,907,1.0,1.0
824,821,1.0,1.0
278,549,1.0,1.0
210,212,1.0,1.0
71,26,1.0,1.0
207,353,1.0,1.0
304,527,1.0,1.0
111,1261,1.0,1.0
651,65,1.0,1.0
1089,1219,1.0,1.0
65,706,1.0,1.0
944,986,1.0,1.0
491,493,1.0,1.0
899,648,1.0,1.0
118,270,1.0,1.0
653,1039,1.0,1.0
143,311,1.0,1.0
111,135,1.0,1.0
724,287,1.0,1.0
976,718,0.0,1.0
737,186,1.0,1.0
1142,741,1.0,1.0
564,384,1.0,1.0
996,324,1.0,1.0
365,186,1.0,1.0
111,1290,1.0,1.0
1199,1240,1.0,1.0
166,356,1.0,1.0
584,507,1.0,1.0
865,866,1.0,1.0
598,970,1.0,1.0
32,31,1.0,1.0
545,270,1.0,1.0
1079,1220,1.0,1.0
1180,988,1.0,1.0
977,945,1.0,1.0
111,1279,1.0,1.0
1058,287,1.0,1.0
732,731,1.0,1.0
344,671,1.0,1.0
84,187,1.0,1.0
991,707,1.0,1.0
790,1199,1.0,1.0
65,651,1.0,1.0
887,264,1.0,1.0
304,532,1.0,1.0
74,77,1.0,1.0
113,900,1.0,1.0
1001,223,1.0,1.0
442,817,1.0,1.0
1261,111,1.0,1.0
41,823,1.0,1.0
169,175,1.0,1.0
940,1334,1.0,1.0
455,41,1.0,1.0
850,1259,1.0,1.0
897,515,1.0,1.0
1195,995,1.0,1.0
171,367,1.0,1.0
902,326,1.0,1.0
185,408,1.0,1.0
442,816,1.0,1.0
348,92,1.0,1.0
874,490,1.0,1.0
482,252,1.0,1.0
785,1191,1.0,1.0
949,287,1.0,1.0
231,252,1.0,1.0
111,502,1.0,1.0
127,279,1.0,1.0
111,475,1.0,1.0
783,983,1.0,1.0
580,881,1.0,1.0
821,1236,1.0,1.0
550,922,1.0,1.0
1067,171,1.0,1.0
450,215,1.0,1.0
962,965,1.0,1.0
723,1119,1.0,1.0
212,66,1.0,1.0
348,202,0.0,1.0
1009,255,0.0,1.0
285,562,1.0,1.0
17,21,1.0,1.0
62,145,1.0,1.0
187,414,1.0,1.0
368,692,1.0,1.0
626,1000,1.0,1.0
954,1348,1.0,1.0
1020,332,1.0,1.0
656,1044,1.0,1.0
280,288,1.0,1.0
1299,540,1.0,1.0
779,778,1.0,1.0
330,198,1.0,1.0
517,113,1.0,1.0
1010,177,1.0,1.0
1253,186,1.0,1.0
131,287,1.0,1.0
143,23,1.0,1.0
555,956,1.0,1.0
897,900,1.0,1.0
439,811,1.0,1.0
1181,764,1.0,1.0
256,513,1.0,1.0
428,92,1.0,1.0
887,886,1.0,1.0
289,572,1.0,1.0
224,225,1.0,1.0
716,1109,1.0,1.0
486,865,1.0,1.0
632,814,1.0,1.0
128,284,1.0,1.0
310,115,1.0,1.0
1095,776,1.0,1.0
783,974,1.0,1.0
64,703,0.0,1.0
890,111,1.0,1.0
751,75,1.0,1.0
316,605,1.0,1.0
1321,577,1.0,1.0
44,236,1.0,1.0
113,517,1.0,1.0
1322,364,1.0,1.0
823,5,1.0,1.0
1319,452,1.0,1.0
111,898,1.0,1.0
708,1055,1.0,1.0
1031,64,1.0,1.0
458,829,1.0,1.0
662,1053,1.0,1.0
176,172,1.0,1.0
158,89,1.0,1.0
566,936,0.0,1.0
452,1319,1.0,1.0
313,111,1.0,1.0
809,1228,1.0,1.0
111,255,1.0,1.0
572,939,1.0,1.0
490,870,1.0,1.0
873,874,0.0,1.0
328,637,1.0,1.0
89,85,1.0,1.0
409,763,1.0,1.0
33,31,1.0,1.0
994,622,0.0,1.0
1112,1157,1.0,1.0
706,648,1.0,1.0
797,493,1.0,1.0
2,25,1.0,1.0
364,683,1.0,1.0
952,1347,1.0,1.0
657,1029,1.0,1.0
622,994,0.0,1.0
689,688,1.0,1.0
477,293,1.0,1.0
869,489,1.0,1.0
1206,1101,1.0,1.0
55,130,1.0,1.0
406,1150,0.0,1.0
124,271,1.0,1.0
1291,961,1.0,1.0
291,576,1.0,1.0
646,814,1.0,1.0
287,937,1.0,1.0
1225,1211,1.0,1.0
468,742,1.0,1.0
847,229,1.0,1.0
899,1025,1.0,1.0
176,175,1.0,1.0
409,766,1.0,1.0
1162,1185,1.0,1.0
1196,324,1.0,1.0
414,779,1.0,1.0
271,126,1.0,1.0
231,476,1.0,1.0
699,743,1.0,1.0
335,654,1.0,1.0
317,609,1.0,1.0
328,1012,1.0,1.0
443,213,0.0,1.0
231,482,1.0,1.0
1157,1106,1.0,1.0
723,1122,1.0,1.0
923,1316,1.0,1.0
518,901,0.0,1.0
156,73,1.0,1.0
501,884,0.0,1.0
927,1319,1.0,1.0
323,622,0.0,1.0
783,736,1.0,1.0
357,358,1.0,1.0
475,111,1.0,1.0
320,319,1.0,1.0
376,702,1.0,1.0
9,12,0.0,1.0
64,870,1.0,1.0
424,197,1.0,1.0
481,861,0.0,1.0
1150,406,0.0,1.0
812,707,1.0,1.0
333,1058,1.0,1.0
1105,255,1.0,1.0
302,588,1.0,1.0
800,1216,1.0,1.0
1306,591,0.0,0.0
444,613,0.0,0.0
1151,843,0.0,0.0
544,903,0.0,0.0
94,116,1.0,0.0
150,443,1.0,0.0
756,161,0.0,0.0
1136,694,0.0,0.0
1291,57,1.0,0.0
800,605,0.0,0.0
702,10,0.0,0.0
494,19,0.0,0.0
836,199,0.0,0.0
4,185,0.0,0.0
1021,380,0.0,0.0
1280,922,0.0,0.0
348,543,0.0,0.0
766,467,0.0,0.0
669,95,0.0,0.0
375,1234,1.0,0.0
478,402,0.0,0.0
437,223,1.0,0.0
1103,162,1.0,0.0
1198,1215,0.0,0.0
392,1021,0.0,0.0
166,442,1.0,0.0
512,1340,0.0,0.0
138,1028,0.0,0.0
1254,362,1.0,0.0
291,1342,0.0,0.0
423,939,0.0,0.0
711,162,1.0,0.0
1319,449,1.0,0.0
185,329,1.0,0.0
972,347,1.0,0.0
1047,1216,0.0,0.0
1067,993,0.0,0.0
1139,1111,0.0,0.0
394,326,1.0,0.0
1260,1059,0.0,0.0
719,421,1.0,0.0
1255,1328,0.0,0.0
1128,797,0.0,0.0
838,809,0.0,0.0
1054,8,0.0,0.0
611,887,0.0,0.0
1294,1059,0.0,0.0
830,608,0.0,0.0
922,885,0.0,0.0
355,1279,0.0,0.0
627,1244,1.0,0.0
810,1132,0.0,0.0
992,32,0.0,0.0
853,407,1.0,0.0
105,358,0.0,0.0
9,1296,1.0,0.0
42,235,0.0,0.0
1316,211,0.0,0.0
136,743,0.0,0.0
1208,217,0.0,0.0
554,601,0.0,0.0
470,730,0.0,0.0
1207,71,0.0,0.0
1005,108,0.0,0.0
1029,562,0.0,0.0
1182,504,0.0,0.0
467,58,0.0,0.0
858,124,0.0,0.0
715,180,1.0,0.0
974,311,1.0,0.0
148,1161,0.0,0.0
273,1284,0.0,0.0
1017,726,0.0,0.0
937,659,0.0,0.0
1056,870,0.0,0.0
1329,667,0.0,0.0
477,363,0.0,0.0
745,819,0.0,0.0
1203,1345,1.0,0.0
214,1203,0.0,0.0
362,74,1.0,0.0
1310,248,0.0,0.0
877,240,0.0,0.0
185,934,0.0,0.0
806,1266,0.0,0.0
605,781,1.0,0.0
97,1083,0.0,0.0
67,677,1.0,0.0
186,249,0.0,0.0
332,1293,0.0,0.0
410,171,0.0,0.0
155,542,0.0,0.0
464,169,0.0,0.0
48,193,0.0,0.0
596,985,0.0,0.0
132,100,0.0,0.0
1211,670,0.0,0.0
113,251,0.0,0.0
1081,951,1.0,0.0
976,23,0.0,0.0
982,200,0.0,0.0
339,94,0.0,0.0
1154,865,0.0,0.0
1230,26,0.0,0.0
1060,812,1.0,0.0
741,462,0.0,0.0
322,1189,1.0,0.0
608,705,0.0,0.0
753,194,1.0,0.0
1259,664,0.0,0.0
196,439,1.0,0.0
1334,892,0.0,0.0
152,543,0.0,0.0
557,818,0.0,0.0
683,1215,0.0,0.0
1210,785,0.0,0.0
683,185,0.0,0.0
864,360,0.0,0.0
475,1144,0.0,0.0
