edge_index0,edge_index1,pred,gr
516,124,1.0,1.0
97,248,1.0,1.0
769,768,1.0,1.0
311,286,1.0,1.0
1183,462,0.0,1.0
223,441,1.0,1.0
18,50,1.0,1.0
1141,1116,1.0,1.0
235,459,1.0,1.0
191,398,1.0,1.0
31,30,1.0,1.0
990,319,1.0,1.0
924,1089,1.0,1.0
183,712,1.0,1.0
124,265,1.0,1.0
885,768,1.0,1.0
1016,163,1.0,1.0
42,727,0.0,1.0
487,481,1.0,1.0
321,551,1.0,1.0
667,344,1.0,1.0
206,98,1.0,1.0
725,1104,1.0,1.0
524,694,1.0,1.0
310,583,1.0,1.0
566,934,1.0,1.0
124,266,1.0,1.0
72,30,1.0,1.0
822,1181,1.0,1.0
821,325,1.0,1.0
75,159,1.0,1.0
123,261,1.0,1.0
69,67,1.0,1.0
620,320,1.0,1.0
269,528,1.0,1.0
775,100,1.0,1.0
68,661,1.0,1.0
429,773,1.0,1.0
251,97,1.0,1.0
293,583,1.0,1.0
136,291,1.0,1.0
178,37,1.0,1.0
693,319,1.0,1.0
583,952,1.0,1.0
293,8,1.0,1.0
734,1109,1.0,1.0
299,298,1.0,1.0
461,797,1.0,1.0
524,693,1.0,1.0
108,226,1.0,1.0
378,709,1.0,1.0
24,135,1.0,1.0
94,41,1.0,1.0
91,194,1.0,1.0
1051,802,1.0,1.0
828,462,1.0,1.0
29,30,1.0,1.0
344,346,1.0,1.0
248,101,1.0,1.0
30,72,1.0,1.0
1055,856,1.0,1.0
549,914,1.0,1.0
255,57,1.0,1.0
163,559,1.0,1.0
738,94,1.0,1.0
255,1060,1.0,1.0
9,35,1.0,1.0
853,643,1.0,1.0
97,731,1.0,1.0
761,98,1.0,1.0
511,694,1.0,1.0
192,770,0.0,1.0
407,741,1.0,1.0
286,64,0.0,1.0
102,1111,0.0,1.0
48,107,1.0,1.0
422,97,1.0,1.0
137,135,1.0,1.0
262,867,1.0,1.0
1168,831,1.0,1.0
328,502,1.0,1.0
24,60,1.0,1.0
1068,689,1.0,1.0
988,956,1.0,1.0
652,184,1.0,1.0
57,526,1.0,1.0
860,242,1.0,1.0
1105,191,0.0,1.0
269,880,1.0,1.0
688,1065,1.0,1.0
748,1121,1.0,1.0
269,529,1.0,1.0
957,319,1.0,1.0
732,191,1.0,1.0
548,159,0.0,1.0
384,718,1.0,1.0
762,98,1.0,1.0
731,1037,1.0,1.0
240,490,1.0,1.0
1050,574,1.0,1.0
399,731,1.0,1.0
40,91,1.0,1.0
585,139,1.0,1.0
864,505,1.0,1.0
727,42,0.0,1.0
242,237,1.0,1.0
24,564,1.0,1.0
22,17,1.0,1.0
665,162,1.0,1.0
824,326,1.0,1.0
1142,769,1.0,1.0
701,367,1.0,1.0
1077,361,1.0,1.0
499,851,1.0,1.0
251,434,1.0,1.0
305,598,1.0,1.0
748,1120,1.0,1.0
487,120,1.0,1.0
246,242,1.0,1.0
258,496,1.0,1.0
60,59,1.0,1.0
1044,384,1.0,1.0
881,879,1.0,1.0
755,757,1.0,1.0
306,293,1.0,1.0
147,70,1.0,1.0
449,452,1.0,1.0
745,97,1.0,1.0
535,267,1.0,1.0
824,823,1.0,1.0
159,1078,1.0,1.0
326,634,1.0,1.0
127,618,0.0,1.0
637,1009,1.0,1.0
997,361,1.0,1.0
793,1154,1.0,1.0
549,913,1.0,1.0
205,762,1.0,1.0
47,107,1.0,1.0
391,97,1.0,1.0
104,222,1.0,1.0
59,276,1.0,1.0
427,769,1.0,1.0
291,577,1.0,1.0
814,1170,1.0,1.0
834,462,1.0,1.0
329,642,1.0,1.0
336,617,1.0,1.0
428,770,1.0,1.0
429,771,1.0,1.0
325,821,1.0,1.0
46,0,1.0,1.0
103,104,1.0,1.0
57,521,1.0,1.0
372,699,1.0,1.0
648,1016,1.0,1.0
