edge_index0,edge_index1,pred,gr
679,377,1.0,1.0
213,206,1.0,1.0
256,255,1.0,1.0
823,824,1.0,1.0
107,827,0.0,1.0
79,11,1.0,1.0
870,873,1.0,1.0
211,92,1.0,1.0
598,602,1.0,1.0
612,38,1.0,1.0
200,433,1.0,1.0
137,238,1.0,1.0
434,151,1.0,1.0
497,835,1.0,1.0
401,712,1.0,1.0
824,293,1.0,1.0
275,551,1.0,1.0
881,539,1.0,1.0
184,86,1.0,1.0
423,749,1.0,1.0
126,285,1.0,1.0
27,73,1.0,1.0
461,552,1.0,1.0
356,659,1.0,1.0
422,745,1.0,1.0
146,308,1.0,1.0
852,825,1.0,1.0
35,32,1.0,1.0
617,326,1.0,1.0
617,307,1.0,1.0
214,455,1.0,1.0
65,148,1.0,1.0
702,392,1.0,1.0
727,632,1.0,1.0
44,98,1.0,1.0
423,748,1.0,1.0
103,219,1.0,1.0
377,678,1.0,1.0
421,473,1.0,1.0
57,103,1.0,1.0
609,571,1.0,1.0
479,811,1.0,1.0
79,372,1.0,1.0
706,704,1.0,1.0
703,187,1.0,1.0
895,461,1.0,1.0
43,208,1.0,1.0
103,502,1.0,1.0
654,655,1.0,1.0
406,712,1.0,1.0
413,604,1.0,1.0
173,366,1.0,1.0
275,450,1.0,1.0
777,455,1.0,1.0
33,34,1.0,1.0
421,609,1.0,1.0
302,587,1.0,1.0
903,902,1.0,1.0
203,202,1.0,1.0
538,308,0.0,1.0
634,632,1.0,1.0
376,176,1.0,1.0
895,786,1.0,1.0
244,505,1.0,1.0
323,596,1.0,1.0
350,504,0.0,1.0
479,813,1.0,1.0
95,213,1.0,1.0
604,148,1.0,1.0
120,263,1.0,1.0
70,26,1.0,1.0
476,103,1.0,1.0
74,165,1.0,1.0
473,140,1.0,1.0
805,232,1.0,1.0
817,488,1.0,1.0
44,97,1.0,1.0
46,101,1.0,1.0
611,571,1.0,1.0
274,265,1.0,1.0
266,537,1.0,1.0
867,866,1.0,1.0
263,533,1.0,1.0
157,155,1.0,1.0
246,109,1.0,1.0
551,771,1.0,1.0
893,683,1.0,1.0
236,493,1.0,1.0
509,508,1.0,1.0
386,689,1.0,1.0
517,518,1.0,1.0
103,280,1.0,1.0
99,225,1.0,1.0
114,255,1.0,1.0
12,9,1.0,1.0
479,106,1.0,1.0
100,228,1.0,1.0
517,528,1.0,1.0
123,274,1.0,1.0
818,489,1.0,1.0
473,421,1.0,1.0
260,528,1.0,1.0
322,618,1.0,1.0
537,121,1.0,1.0
674,669,1.0,1.0
407,356,1.0,1.0
215,724,1.0,1.0
76,168,1.0,1.0
553,761,1.0,1.0
136,294,1.0,1.0
593,594,1.0,1.0
419,87,1.0,1.0
405,404,1.0,1.0
733,190,1.0,1.0
141,301,1.0,1.0
539,882,1.0,1.0
478,103,1.0,1.0
787,215,1.0,1.0
431,687,1.0,1.0
63,609,1.0,1.0
165,38,1.0,1.0
69,155,1.0,1.0
506,499,1.0,1.0
373,376,1.0,1.0
234,107,1.0,1.0
353,4,1.0,1.0
77,171,1.0,1.0
528,517,1.0,1.0
643,7,1.0,1.0
573,589,1.0,1.0
453,205,1.0,1.0
464,463,1.0,1.0
214,454,1.0,1.0
703,765,1.0,1.0
177,377,1.0,1.0
195,149,1.0,1.0
604,304,1.0,1.0
748,847,1.0,1.0
578,579,1.0,1.0
307,594,1.0,1.0
65,145,1.0,1.0
406,721,1.0,1.0
155,26,1.0,1.0
424,751,1.0,1.0
213,365,1.0,1.0
248,508,1.0,1.0
686,337,1.0,1.0
133,62,1.0,1.0
176,376,1.0,1.0
604,590,1.0,1.0
401,84,1.0,1.0
149,316,1.0,1.0
240,241,1.0,1.0
308,833,1.0,1.0
771,275,1.0,1.0
623,780,1.0,1.0
825,242,1.0,1.0
187,401,1.0,1.0
863,411,1.0,1.0
534,261,1.0,1.0
254,520,1.0,1.0
530,53,0.0,0.0
588,516,1.0,0.0
616,351,0.0,0.0
167,886,0.0,0.0
614,108,0.0,0.0
229,72,0.0,0.0
568,778,1.0,0.0
715,900,0.0,0.0
800,177,0.0,0.0
1,694,1.0,0.0
774,422,0.0,0.0
504,295,0.0,0.0
468,261,0.0,0.0
691,371,1.0,0.0
73,37,1.0,0.0
590,687,0.0,0.0
500,795,1.0,0.0
846,617,0.0,0.0
462,372,0.0,0.0
294,634,0.0,0.0
178,712,0.0,0.0
778,559,0.0,0.0
368,749,1.0,0.0
760,39,0.0,0.0
418,829,1.0,0.0
737,11,1.0,0.0
256,57,1.0,0.0
882,0,1.0,0.0
221,17,1.0,0.0
338,834,0.0,0.0
363,253,1.0,0.0
393,887,0.0,0.0
26,252,0.0,0.0
192,356,1.0,0.0
566,255,1.0,0.0
902,844,0.0,0.0
75,261,1.0,0.0
689,26,1.0,0.0
569,371,1.0,0.0
590,752,0.0,0.0
492,621,0.0,0.0
814,653,1.0,0.0
614,340,1.0,0.0
56,175,1.0,0.0
712,25,1.0,0.0
734,249,0.0,0.0
688,488,1.0,0.0
268,141,0.0,0.0
595,127,1.0,0.0
223,290,0.0,0.0
219,306,1.0,0.0
79,621,0.0,0.0
370,127,1.0,0.0
733,821,0.0,0.0
735,519,1.0,0.0
177,842,1.0,0.0
349,77,1.0,0.0
77,57,0.0,0.0
102,732,1.0,0.0
820,384,0.0,0.0
298,58,1.0,0.0
