edge_index0,edge_index1,pred,gr
119,238,1.0,1.0
364,620,1.0,1.0
363,619,1.0,1.0
64,507,1.0,1.0
505,217,1.0,1.0
150,300,1.0,1.0
142,472,1.0,1.0
250,4,1.0,1.0
168,331,1.0,1.0
561,327,1.0,1.0
111,42,1.0,1.0
359,614,1.0,1.0
609,244,1.0,1.0
206,554,1.0,1.0
148,295,1.0,1.0
72,73,1.0,1.0
61,34,1.0,1.0
271,139,1.0,1.0
212,166,1.0,1.0
613,141,1.0,1.0
84,180,1.0,1.0
156,618,1.0,1.0
52,105,1.0,1.0
329,562,1.0,1.0
523,361,1.0,1.0
615,508,1.0,1.0
283,558,1.0,1.0
17,45,1.0,1.0
92,187,1.0,1.0
281,319,1.0,1.0
141,524,1.0,1.0
508,381,1.0,1.0
484,282,1.0,1.0
379,491,1.0,1.0
492,532,1.0,1.0
554,204,1.0,1.0
72,149,1.0,1.0
279,153,1.0,1.0
386,179,1.0,1.0
137,436,1.0,1.0
231,410,1.0,1.0
113,228,1.0,1.0
420,609,1.0,1.0
392,374,1.0,1.0
184,87,1.0,1.0
42,80,1.0,1.0
116,234,1.0,1.0
34,247,0.0,1.0
111,225,1.0,1.0
56,114,1.0,1.0
264,66,1.0,1.0
28,66,1.0,1.0
192,359,1.0,1.0
335,576,1.0,1.0
140,267,1.0,1.0
309,526,1.0,1.0
436,136,1.0,1.0
34,24,1.0,1.0
322,204,1.0,1.0
199,374,1.0,1.0
425,522,1.0,1.0
114,115,1.0,1.0
346,591,1.0,1.0
340,343,1.0,1.0
79,322,1.0,1.0
390,104,1.0,1.0
286,485,1.0,1.0
313,536,1.0,1.0
554,380,1.0,1.0
239,299,0.0,1.0
91,188,1.0,1.0
8,34,1.0,1.0
244,197,1.0,1.0
174,108,1.0,1.0
202,378,1.0,1.0
150,299,1.0,1.0
365,625,1.0,1.0
353,602,1.0,1.0
378,86,0.0,1.0
272,461,1.0,1.0
251,131,1.0,1.0
345,589,1.0,1.0
289,303,1.0,1.0
198,371,1.0,1.0
316,78,1.0,1.0
52,218,1.0,1.0
123,34,1.0,1.0
132,255,1.0,1.0
624,625,1.0,1.0
194,359,1.0,1.0
1,326,0.0,1.0
100,54,1.0,1.0
246,423,0.0,1.0
81,168,1.0,1.0
378,202,1.0,1.0
85,180,1.0,1.0
142,279,1.0,1.0
235,411,1.0,1.0
339,343,1.0,1.0
57,234,1.0,1.0
329,541,1.0,1.0
334,572,1.0,1.0
115,114,1.0,1.0
77,160,1.0,1.0
390,166,1.0,1.0
102,205,1.0,1.0
270,139,1.0,1.0
338,581,1.0,1.0
117,123,1.0,1.0
262,439,1.0,1.0
331,568,1.0,1.0
375,166,1.0,1.0
34,408,1.0,1.0
52,80,1.0,1.0
83,100,0.0,1.0
275,467,1.0,1.0
217,394,1.0,1.0
139,267,1.0,1.0
102,206,1.0,1.0
345,541,1.0,1.0
76,147,1.0,1.0
279,147,1.0,1.0
74,153,1.0,1.0
71,147,1.0,1.0
14,335,1.0,1.0
104,476,1.0,1.0
265,442,1.0,1.0
19,621,1.0,1.0
244,421,1.0,1.0
34,157,1.0,1.0
57,58,1.0,1.0
483,503,1.0,1.0
80,111,1.0,1.0
47,89,1.0,1.0
539,590,1.0,1.0
402,221,1.0,1.0
508,499,1.0,1.0
4,432,1.0,1.0
203,378,1.0,1.0
57,61,1.0,1.0
267,445,1.0,1.0
85,108,1.0,1.0
142,471,1.0,1.0
117,24,1.0,1.0
44,85,1.0,1.0
408,34,1.0,1.0
524,141,1.0,1.0
236,407,1.0,1.0
52,378,1.0,1.0
168,563,1.0,1.0
606,194,1.0,1.0
508,498,1.0,1.0
406,231,1.0,1.0
337,207,1.0,1.0
375,147,1.0,1.0
425,307,1.0,1.0
244,245,1.0,1.0
247,34,0.0,1.0
554,79,1.0,1.0
57,408,1.0,1.0
402,51,1.0,1.0
209,369,1.0,1.0
310,528,1.0,1.0
288,492,1.0,1.0
222,378,1.0,1.0
248,430,1.0,1.0
37,9,1.0,1.0
145,286,1.0,1.0
164,379,1.0,1.0
52,351,1.0,1.0
156,154,0.0,1.0
315,73,1.0,1.0
607,616,1.0,1.0
633,632,1.0,1.0
408,229,1.0,1.0
237,236,1.0,1.0
257,66,1.0,1.0
347,52,1.0,1.0
153,304,1.0,1.0
52,575,1.0,1.0
289,142,1.0,1.0
24,299,1.0,1.0
217,395,1.0,1.0
194,362,1.0,1.0
223,404,1.0,1.0
83,172,1.0,1.0
55,52,1.0,1.0
631,462,1.0,1.0
114,113,1.0,1.0
104,80,1.0,1.0
625,624,1.0,1.0
52,590,1.0,1.0
328,81,1.0,1.0
499,381,1.0,1.0
71,148,1.0,1.0
10,37,1.0,1.0
524,460,1.0,1.0
61,57,1.0,1.0
229,230,1.0,1.0
91,88,1.0,1.0
160,315,1.0,1.0
238,116,1.0,1.0
178,51,1.0,1.0
346,178,1.0,1.0
573,52,1.0,1.0
139,270,1.0,1.0
251,64,1.0,1.0
342,583,1.0,1.0
359,611,1.0,1.0
52,107,1.0,1.0
292,499,1.0,1.0
277,472,1.0,1.0
17,21,1.0,1.0
289,496,1.0,1.0
393,375,1.0,1.0
24,123,1.0,1.0
194,252,1.0,1.0
361,523,1.0,1.0
317,545,1.0,1.0
617,360,1.0,1.0
22,17,1.0,1.0
424,423,1.0,1.0
40,52,1.0,1.0
204,379,1.0,1.0
316,319,1.0,1.0
78,316,1.0,1.0
379,164,1.0,1.0
362,609,1.0,1.0
54,53,1.0,1.0
178,81,1.0,1.0
541,588,1.0,1.0
52,573,1.0,1.0
51,178,1.0,1.0
146,33,1.0,1.0
499,61,1.0,1.0
288,493,1.0,1.0
343,339,1.0,1.0
544,162,1.0,1.0
145,287,1.0,1.0
66,135,1.0,1.0
341,583,1.0,1.0
387,222,1.0,1.0
584,343,1.0,1.0
507,64,1.0,1.0
352,601,1.0,1.0
426,405,1.0,1.0
299,239,0.0,1.0
60,25,1.0,1.0
322,205,1.0,1.0
114,231,1.0,1.0
332,333,1.0,1.0
346,52,1.0,1.0
349,348,1.0,1.0
185,18,1.0,1.0
389,209,1.0,1.0
185,93,1.0,1.0
268,449,1.0,1.0
413,118,1.0,1.0
240,120,1.0,1.0
115,232,1.0,1.0
18,185,1.0,1.0
439,137,0.0,1.0
64,432,1.0,1.0
9,37,1.0,1.0
207,384,1.0,1.0
561,592,1.0,1.0
458,459,1.0,1.0
47,91,1.0,1.0
617,308,1.0,1.0
83,173,1.0,1.0
257,137,1.0,1.0
301,315,1.0,1.0
332,540,1.0,1.0
427,56,1.0,1.0
314,538,1.0,1.0
447,559,1.0,1.0
113,406,1.0,1.0
467,466,1.0,1.0
45,86,1.0,1.0
69,142,0.0,1.0
296,142,1.0,1.0
225,223,1.0,1.0
166,323,1.0,1.0
34,234,1.0,1.0
154,156,0.0,1.0
68,141,1.0,1.0
366,627,1.0,1.0
91,47,1.0,1.0
111,42,1.0,1.0
83,338,1.0,1.0
267,447,1.0,1.0
190,356,1.0,1.0
385,373,1.0,1.0
466,467,1.0,1.0
308,523,1.0,1.0
335,14,1.0,1.0
297,511,1.0,1.0
79,379,1.0,1.0
123,120,1.0,1.0
465,298,1.0,1.0
195,141,1.0,1.0
52,343,1.0,1.0
487,286,1.0,1.0
116,61,1.0,1.0
253,433,1.0,1.0
542,168,1.0,1.0
407,406,1.0,1.0
350,348,1.0,1.0
368,631,1.0,1.0
226,56,1.0,1.0
178,345,1.0,1.0
496,147,1.0,1.0
91,185,1.0,1.0
316,545,1.0,1.0
375,593,1.0,1.0
522,423,0.0,1.0
113,115,1.0,1.0
350,92,1.0,1.0
45,0,1.0,1.0
334,52,1.0,1.0
10,12,1.0,1.0
156,309,1.0,1.0
97,196,1.0,1.0
63,126,1.0,1.0
73,72,1.0,1.0
87,88,1.0,1.0
326,1,0.0,1.0
55,111,1.0,1.0
621,19,1.0,1.0
503,508,0.0,1.0
373,52,1.0,1.0
123,24,1.0,1.0
252,626,1.0,1.0
89,185,1.0,1.0
333,40,1.0,1.0
487,161,0.0,0.0
400,203,1.0,0.0
589,36,1.0,0.0
610,449,0.0,0.0
246,99,1.0,0.0
538,361,0.0,0.0
360,254,1.0,0.0
494,420,0.0,0.0
265,340,0.0,0.0
196,568,0.0,0.0
65,327,0.0,0.0
443,376,1.0,0.0
47,631,1.0,0.0
248,626,0.0,0.0
204,397,0.0,0.0
326,556,0.0,0.0
428,475,0.0,0.0
273,503,0.0,0.0
99,592,1.0,0.0
605,208,1.0,0.0
515,54,1.0,0.0
614,613,1.0,0.0
352,50,1.0,0.0
223,153,1.0,0.0
55,185,0.0,0.0
382,342,1.0,0.0
541,616,0.0,0.0
405,141,1.0,0.0
323,506,0.0,0.0
595,43,0.0,0.0
378,357,0.0,0.0
393,165,0.0,0.0
132,306,0.0,0.0
116,305,1.0,0.0
360,599,0.0,0.0
3,306,1.0,0.0
377,279,0.0,0.0
61,367,0.0,0.0
267,359,0.0,0.0
356,611,1.0,0.0
397,306,0.0,0.0
185,11,0.0,0.0
15,172,0.0,0.0
515,608,1.0,0.0
616,439,1.0,0.0
50,427,1.0,0.0
385,410,0.0,0.0
349,65,0.0,0.0
472,168,1.0,0.0
150,496,1.0,0.0
475,7,1.0,0.0
311,366,0.0,0.0
518,460,1.0,0.0
86,254,1.0,0.0
225,362,0.0,0.0
464,562,0.0,0.0
68,167,0.0,0.0
17,58,0.0,0.0
373,133,0.0,0.0
439,147,1.0,0.0
153,182,0.0,0.0
552,198,0.0,0.0
285,476,0.0,0.0
573,549,0.0,0.0
40,350,1.0,0.0
501,491,0.0,0.0
4,564,0.0,0.0
272,351,0.0,0.0
199,573,0.0,0.0
540,167,0.0,0.0
338,102,1.0,0.0
211,222,1.0,0.0
422,506,0.0,0.0
274,564,0.0,0.0
319,405,1.0,0.0
544,10,0.0,0.0
236,439,0.0,0.0
297,381,0.0,0.0
127,168,0.0,0.0
571,231,0.0,0.0
418,23,1.0,0.0
104,579,1.0,0.0
452,248,0.0,0.0
40,128,1.0,0.0
107,83,1.0,0.0
