edge_index0,edge_index1,pred,gr
20,0,0.0,1.0
21,0,0.0,1.0
22,0,0.0,1.0
23,1,0.0,1.0
24,1,0.0,1.0
25,2,1.0,1.0
26,2,1.0,1.0
27,3,0.0,1.0
28,4,0.0,1.0
29,4,0.0,1.0
30,5,0.0,1.0
31,6,1.0,1.0
32,6,1.0,1.0
33,6,1.0,1.0
34,6,1.0,1.0
35,7,0.0,1.0
36,7,0.0,1.0
8,7,0.0,1.0
37,8,0.0,1.0
7,8,0.0,1.0
38,8,0.0,1.0
39,8,0.0,1.0
12,9,0.0,1.0
10,9,0.0,1.0
40,9,0.0,1.0
41,10,0.0,1.0
12,10,0.0,1.0
10,12,0.0,1.0
9,12,0.0,1.0
42,13,0.0,1.0
43,14,0.0,1.0
44,14,0.0,1.0
45,15,0.0,1.0
46,15,0.0,1.0
47,15,0.0,1.0
48,16,0.0,1.0
49,16,0.0,1.0
50,17,0.0,1.0
21,17,0.0,1.0
20,17,0.0,1.0
22,17,0.0,1.0
51,18,0.0,1.0
52,18,0.0,1.0
53,18,0.0,1.0
54,19,0.0,1.0
55,19,0.0,1.0
56,19,0.0,1.0
0,21,0.0,1.0
17,21,0.0,1.0
57,22,0.0,1.0
0,22,0.0,1.0
17,22,0.0,1.0
58,24,0.0,1.0
59,24,0.0,1.0
60,24,1.0,1.0
61,24,0.0,1.0
62,25,1.0,1.0
63,25,1.0,1.0
2,25,1.0,1.0
64,25,1.0,1.0
63,25,1.0,1.0
586,26,1.0,1.0
951,26,1.0,1.0
170,26,1.0,1.0
37,26,1.0,1.0
65,26,0.0,1.0
62,26,1.0,1.0
66,26,1.0,1.0
67,26,1.0,1.0
128,26,1.0,1.0
533,26,1.0,1.0
288,26,1.0,1.0
532,26,1.0,1.0
2,26,1.0,1.0
3,27,0.0,1.0
68,28,0.0,1.0
69,28,0.0,1.0
4,28,0.0,1.0
70,29,0.0,1.0
4,29,0.0,1.0
68,29,0.0,1.0
71,30,0.0,1.0
5,30,0.0,1.0
6,31,1.0,1.0
32,31,1.0,1.0
34,32,1.0,1.0
34,32,1.0,1.0
33,32,1.0,1.0
6,32,1.0,1.0
31,32,1.0,1.0
72,32,1.0,1.0
33,32,1.0,1.0
73,33,0.0,1.0
34,33,1.0,1.0
32,33,1.0,1.0
32,33,1.0,1.0
6,33,1.0,1.0
33,34,1.0,1.0
32,34,1.0,1.0
6,34,1.0,1.0
32,34,1.0,1.0
7,35,0.0,1.0
74,35,0.0,1.0
75,35,0.0,1.0
76,36,1.0,1.0
77,36,0.0,1.0
64,37,1.0,1.0
79,37,1.0,1.0
80,37,0.0,1.0
352,37,1.0,1.0
323,37,0.0,1.0
288,37,1.0,1.0
78,37,1.0,1.0
81,37,1.0,1.0
26,37,1.0,1.0
161,37,0.0,1.0
150,37,1.0,1.0
164,37,1.0,1.0
152,37,1.0,1.0
162,37,1.0,1.0
82,38,0.0,1.0
83,38,0.0,1.0
8,38,0.0,1.0
8,39,0.0,1.0
41,40,0.0,1.0
9,40,0.0,1.0
40,41,0.0,1.0
9,41,0.0,1.0
10,41,0.0,1.0
84,42,0.0,1.0
13,42,0.0,1.0
14,43,0.0,1.0
85,43,0.0,1.0
86,43,0.0,1.0
87,43,0.0,1.0
88,43,0.0,1.0
93,44,0.0,1.0
89,44,0.0,1.0
90,44,0.0,1.0
91,44,0.0,1.0
14,44,0.0,1.0
92,44,0.0,1.0
197,44,0.0,1.0
680,44,0.0,1.0
94,45,0.0,1.0
15,45,0.0,1.0
95,45,1.0,1.0
94,46,0.0,1.0
96,46,0.0,1.0
97,46,0.0,1.0
15,46,0.0,1.0
96,46,0.0,1.0
98,47,0.0,1.0
15,47,0.0,1.0
99,48,0.0,1.0
100,49,0.0,1.0
101,49,0.0,1.0
102,50,0.0,1.0
17,50,0.0,1.0
0,50,0.0,1.0
103,50,0.0,1.0
104,50,0.0,1.0
105,50,0.0,1.0
106,51,0.0,1.0
18,51,0.0,1.0
107,51,0.0,1.0
18,52,0.0,1.0
108,53,0.0,1.0
109,53,0.0,1.0
107,53,0.0,1.0
110,53,0.0,1.0
19,54,0.0,1.0
111,55,0.0,1.0
19,55,0.0,1.0
112,56,0.0,1.0
113,56,0.0,1.0
114,56,0.0,1.0
22,57,0.0,1.0
115,57,0.0,1.0
96,57,0.0,1.0
24,58,0.0,1.0
24,58,0.0,1.0
1153,59,0.0,1.0
914,59,0.0,1.0
924,59,0.0,1.0
585,59,0.0,1.0
1003,59,0.0,1.0
831,59,0.0,1.0
623,59,0.0,1.0
1027,59,0.0,1.0
117,59,0.0,1.0
625,59,0.0,1.0
116,59,0.0,1.0
1025,59,0.0,1.0
413,59,0.0,1.0
479,59,0.0,1.0
1011,59,0.0,1.0
255,59,0.0,1.0
650,59,0.0,1.0
120,59,0.0,1.0
118,59,0.0,1.0
604,59,0.0,1.0
790,59,0.0,1.0
955,59,0.0,1.0
119,59,0.0,1.0
1167,59,0.0,1.0
796,59,0.0,1.0
927,59,0.0,1.0
815,60,1.0,1.0
514,60,1.0,1.0
506,60,1.0,1.0
495,60,1.0,1.0
123,60,1.0,1.0
281,60,1.0,1.0
122,60,1.0,1.0
522,60,1.0,1.0
126,60,1.0,1.0
275,60,1.0,1.0
818,60,1.0,1.0
1047,60,1.0,1.0
520,60,1.0,1.0
277,60,1.0,1.0
519,60,1.0,1.0
124,60,1.0,1.0
125,60,1.0,1.0
836,60,1.0,1.0
652,60,1.0,1.0
269,60,1.0,1.0
267,60,1.0,1.0
497,60,1.0,1.0
523,60,1.0,1.0
540,60,1.0,1.0
512,60,1.0,1.0
518,60,1.0,1.0
493,60,1.0,1.0
516,60,1.0,1.0
557,60,1.0,1.0
131,60,1.0,1.0
1087,60,1.0,1.0
284,60,1.0,1.0
283,60,1.0,1.0
840,60,1.0,1.0
502,60,1.0,1.0
828,60,1.0,1.0
515,60,1.0,1.0
824,60,1.0,1.0
95,60,1.0,1.0
121,60,1.0,1.0
494,60,1.0,1.0
270,60,1.0,1.0
823,60,1.0,1.0
126,61,1.0,1.0
24,61,0.0,1.0
127,61,0.0,1.0
64,62,1.0,1.0
128,62,1.0,1.0
25,62,1.0,1.0
25,63,1.0,1.0
62,63,1.0,1.0
25,63,1.0,1.0
129,64,1.0,1.0
329,64,1.0,1.0
845,64,1.0,1.0
150,64,1.0,1.0
322,64,1.0,1.0
128,64,1.0,1.0
716,64,0.0,1.0
536,64,1.0,1.0
128,64,1.0,1.0
62,64,1.0,1.0
25,64,1.0,1.0
130,64,1.0,1.0
598,64,1.0,1.0
131,65,0.0,1.0
26,65,0.0,1.0
132,65,0.0,1.0
133,65,0.0,1.0
26,66,1.0,1.0
64,66,1.0,1.0
25,66,1.0,1.0
26,67,1.0,1.0
134,68,0.0,1.0
70,68,0.0,1.0
28,68,0.0,1.0
142,68,0.0,1.0
69,68,0.0,1.0
312,68,0.0,1.0
137,68,0.0,1.0
136,68,1.0,1.0
140,68,0.0,1.0
135,68,0.0,1.0
29,68,0.0,1.0
302,68,0.0,1.0
138,68,0.0,1.0
556,68,0.0,1.0
138,69,0.0,1.0
139,69,0.0,1.0
140,69,0.0,1.0
28,69,0.0,1.0
68,69,0.0,1.0
408,69,0.0,1.0
29,70,0.0,1.0
68,70,0.0,1.0
141,70,0.0,1.0
142,70,0.0,1.0
143,70,0.0,1.0
144,71,0.0,1.0
145,71,0.0,1.0
32,72,1.0,1.0
32,72,1.0,1.0
146,73,0.0,1.0
147,73,0.0,1.0
148,73,0.0,1.0
149,74,0.0,1.0
150,74,0.0,1.0
151,74,0.0,1.0
152,74,0.0,1.0
35,74,0.0,1.0
153,75,0.0,1.0
154,75,0.0,1.0
35,75,0.0,1.0
155,75,0.0,1.0
36,76,1.0,1.0
156,76,1.0,1.0
157,76,1.0,1.0
158,77,0.0,1.0
159,77,0.0,1.0
160,77,0.0,1.0
156,78,1.0,1.0
161,78,0.0,1.0
37,79,1.0,1.0
162,79,1.0,1.0
163,79,1.0,1.0
162,79,1.0,1.0
164,79,1.0,1.0
165,80,0.0,1.0
166,80,0.0,1.0
37,80,0.0,1.0
168,81,0.0,1.0
169,81,1.0,1.0
167,81,0.0,1.0
149,81,0.0,1.0
931,81,0.0,1.0
587,81,0.0,1.0
323,81,0.0,1.0
37,81,1.0,1.0
285,81,1.0,1.0
170,81,1.0,1.0
171,82,0.0,1.0
172,82,0.0,1.0
38,82,0.0,1.0
173,82,0.0,1.0
174,82,0.0,1.0
175,83,1.0,1.0
38,83,0.0,1.0
176,83,1.0,1.0
177,83,1.0,1.0
13,84,0.0,1.0
42,84,0.0,1.0
178,85,0.0,1.0
179,85,0.0,1.0
97,85,0.0,1.0
43,85,0.0,1.0
180,85,0.0,1.0
43,86,0.0,1.0
181,86,0.0,1.0
182,86,0.0,1.0
183,87,0.0,1.0
43,87,0.0,1.0
184,87,0.0,1.0
88,87,0.0,1.0
185,87,0.0,1.0
87,88,0.0,1.0
43,88,0.0,1.0
186,88,0.0,1.0
187,88,0.0,1.0
44,89,0.0,1.0
188,89,0.0,1.0
692,90,0.0,1.0
695,90,0.0,1.0
190,90,0.0,1.0
44,90,0.0,1.0
189,90,0.0,1.0
768,90,0.0,1.0
191,90,0.0,1.0
192,90,0.0,1.0
193,90,0.0,1.0
89,91,0.0,1.0
44,91,0.0,1.0
188,91,0.0,1.0
188,91,0.0,1.0
194,92,0.0,1.0
44,92,0.0,1.0
401,93,0.0,1.0
44,93,0.0,1.0
195,93,0.0,1.0
197,93,0.0,1.0
196,93,0.0,1.0
198,93,0.0,1.0
45,94,0.0,1.0
46,94,0.0,1.0
47,94,0.0,1.0
707,95,1.0,1.0
60,95,1.0,1.0
115,95,1.0,1.0
708,95,1.0,1.0
406,95,1.0,1.0
712,95,1.0,1.0
1083,95,1.0,1.0
200,95,1.0,1.0
126,95,1.0,1.0
202,95,1.0,1.0
202,95,1.0,1.0
407,95,1.0,1.0
199,95,1.0,1.0
201,95,1.0,1.0
405,95,1.0,1.0
706,95,1.0,1.0
1085,95,1.0,1.0
713,95,1.0,1.0
205,96,0.0,1.0
203,96,0.0,1.0
46,96,0.0,1.0
204,96,0.0,1.0
97,96,0.0,1.0
57,96,0.0,1.0
115,97,1.0,1.0
206,97,0.0,1.0
207,97,0.0,1.0
439,97,0.0,1.0
208,97,1.0,1.0
46,97,0.0,1.0
214,97,1.0,1.0
381,97,0.0,1.0
179,97,0.0,1.0
414,97,1.0,1.0
96,97,0.0,1.0
47,98,0.0,1.0
209,98,0.0,1.0
210,98,0.0,1.0
211,98,0.0,1.0
48,99,0.0,1.0
212,99,0.0,1.0
213,99,0.0,1.0
214,100,1.0,1.0
49,100,0.0,1.0
216,100,0.0,1.0
126,100,1.0,1.0
215,100,1.0,1.0
219,100,1.0,1.0
115,100,1.0,1.0
217,100,1.0,1.0
218,101,0.0,1.0
219,101,1.0,1.0
121,101,1.0,1.0
431,101,1.0,1.0
49,101,0.0,1.0
216,101,0.0,1.0
220,101,0.0,1.0
221,102,0.0,1.0
50,102,0.0,1.0
105,102,0.0,1.0
105,103,0.0,1.0
212,103,0.0,1.0
50,103,0.0,1.0
222,103,0.0,1.0
223,103,1.0,1.0
214,104,1.0,1.0
224,104,1.0,1.0
115,104,1.0,1.0
226,104,0.0,1.0
225,104,0.0,1.0
1118,104,0.0,1.0
212,104,0.0,1.0
227,104,0.0,1.0
228,105,0.0,1.0
229,105,0.0,1.0
230,105,0.0,1.0
231,105,0.0,1.0
102,105,0.0,1.0
232,106,0.0,1.0
51,106,0.0,1.0
233,106,0.0,1.0
51,107,0.0,1.0
109,107,0.0,1.0
234,107,0.0,1.0
235,107,0.0,1.0
236,107,0.0,1.0
53,108,0.0,1.0
237,108,0.0,1.0
238,108,0.0,1.0
233,108,0.0,1.0
126,109,0.0,1.0
53,109,0.0,1.0
107,109,0.0,1.0
239,109,0.0,1.0
240,109,0.0,1.0
53,110,0.0,1.0
234,110,0.0,1.0
236,110,0.0,1.0
233,110,0.0,1.0
241,111,0.0,1.0
242,111,0.0,1.0
243,112,0.0,1.0
244,112,0.0,1.0
245,112,0.0,1.0
246,113,0.0,1.0
642,113,0.0,1.0
247,113,0.0,1.0
250,113,0.0,1.0
248,113,0.0,1.0
249,113,0.0,1.0
56,113,0.0,1.0
251,114,0.0,1.0
56,114,0.0,1.0
252,114,0.0,1.0
379,115,0.0,1.0
382,115,0.0,1.0
199,115,1.0,1.0
963,115,1.0,1.0
639,115,0.0,1.0
255,115,1.0,1.0
417,115,1.0,1.0
223,115,1.0,1.0
722,115,1.0,1.0
208,115,1.0,1.0
794,115,1.0,1.0
178,115,1.0,1.0
475,115,1.0,1.0
211,115,1.0,1.0
1053,115,1.0,1.0
578,115,0.0,1.0
187,115,0.0,1.0
680,115,0.0,1.0
376,115,1.0,1.0
126,115,1.0,1.0
558,115,1.0,1.0
225,115,1.0,1.0
609,115,1.0,1.0
50,115,1.0,1.0
1110,115,1.0,1.0
672,115,1.0,1.0
227,115,0.0,1.0
798,115,0.0,1.0
438,115,1.0,1.0
480,115,1.0,1.0
1060,115,1.0,1.0
1105,115,1.0,1.0
214,115,1.0,1.0
214,115,1.0,1.0
725,115,1.0,1.0
736,115,1.0,1.0
445,115,1.0,1.0
256,115,1.0,1.0
1098,115,1.0,1.0
405,115,1.0,1.0
97,115,1.0,1.0
729,115,0.0,1.0
434,115,1.0,1.0
796,115,0.0,1.0
707,115,1.0,1.0
429,115,0.0,1.0
1094,115,1.0,1.0
748,115,1.0,1.0
104,115,1.0,1.0
231,115,1.0,1.0
253,115,1.0,1.0
749,115,0.0,1.0
432,115,1.0,1.0
436,115,1.0,1.0
765,115,0.0,1.0
1092,115,1.0,1.0
348,115,1.0,1.0
746,115,1.0,1.0
439,115,1.0,1.0
95,115,1.0,1.0
407,115,1.0,1.0
686,115,1.0,1.0
377,115,1.0,1.0
375,115,1.0,1.0
1059,115,1.0,1.0
723,115,0.0,1.0
335,115,1.0,1.0
100,115,1.0,1.0
793,115,0.0,1.0
423,115,1.0,1.0
795,115,1.0,1.0
47,115,0.0,1.0
254,115,1.0,1.0
477,115,1.0,1.0
730,115,1.0,1.0
476,115,1.0,1.0
704,115,1.0,1.0
1095,115,1.0,1.0
1052,115,1.0,1.0
59,116,0.0,1.0
257,116,0.0,1.0
258,116,0.0,1.0
259,116,0.0,1.0
260,117,0.0,1.0
59,117,0.0,1.0
59,118,0.0,1.0
261,118,0.0,1.0
262,119,0.0,1.0
265,119,0.0,1.0
263,119,0.0,1.0
264,119,0.0,1.0
59,119,0.0,1.0
59,120,0.0,1.0
266,120,0.0,1.0
100,121,1.0,1.0
126,121,1.0,1.0
101,121,1.0,1.0
60,121,1.0,1.0
270,122,1.0,1.0
840,122,1.0,1.0
267,122,1.0,1.0
268,122,1.0,1.0
269,122,1.0,1.0
833,122,1.0,1.0
271,122,0.0,1.0
272,123,1.0,1.0
273,123,1.0,1.0
829,124,1.0,1.0
275,124,1.0,1.0
276,124,0.0,1.0
1106,124,0.0,1.0
277,124,1.0,1.0
513,124,0.0,1.0
711,124,1.0,1.0
485,124,0.0,1.0
181,124,0.0,1.0
156,124,1.0,1.0
365,124,1.0,1.0
519,124,0.0,1.0
487,124,0.0,1.0
896,124,0.0,1.0
274,124,0.0,1.0
854,124,1.0,1.0
565,124,0.0,1.0
788,124,1.0,1.0
514,124,1.0,1.0
60,124,1.0,1.0
494,124,1.0,1.0
278,125,1.0,1.0
279,125,1.0,1.0
60,125,1.0,1.0
280,125,1.0,1.0
836,126,1.0,1.0
281,126,1.0,1.0
283,126,1.0,1.0
61,126,1.0,1.0
374,126,1.0,1.0
282,126,1.0,1.0
1020,126,1.0,1.0
1135,126,1.0,1.0
666,126,1.0,1.0
115,126,1.0,1.0
87,126,1.0,1.0
60,126,1.0,1.0
284,126,1.0,1.0
214,126,1.0,1.0
557,126,1.0,1.0
1019,126,1.0,1.0
109,126,0.0,1.0
177,126,1.0,1.0
61,127,0.0,1.0
26,128,1.0,1.0
64,128,1.0,1.0
526,128,1.0,1.0
164,128,1.0,1.0
288,128,1.0,1.0
533,128,1.0,1.0
285,128,1.0,1.0
287,128,0.0,1.0
64,128,1.0,1.0
286,128,0.0,1.0
62,128,1.0,1.0
288,129,1.0,1.0
289,129,0.0,1.0
64,129,1.0,1.0
290,129,0.0,1.0
291,129,0.0,1.0
292,130,1.0,1.0
64,130,1.0,1.0
293,131,1.0,1.0
295,131,1.0,1.0
539,131,0.0,1.0
65,131,0.0,1.0
294,131,1.0,1.0
60,131,1.0,1.0
296,132,0.0,1.0
300,132,0.0,1.0
297,132,0.0,1.0
297,132,0.0,1.0
298,132,0.0,1.0
299,132,0.0,1.0
546,132,0.0,1.0
161,133,0.0,1.0
301,133,0.0,1.0
302,134,0.0,1.0
161,135,0.0,1.0
303,135,1.0,1.0
156,135,1.0,1.0
304,135,0.0,1.0
68,135,0.0,1.0
620,135,0.0,1.0
305,136,0.0,1.0
68,136,1.0,1.0
306,136,1.0,1.0
307,136,1.0,1.0
306,137,0.0,1.0
68,137,0.0,1.0
305,137,0.0,1.0
68,138,0.0,1.0
69,138,0.0,1.0
143,139,0.0,1.0
308,139,0.0,1.0
69,139,0.0,1.0
70,139,0.0,1.0
309,140,0.0,1.0
69,140,0.0,1.0
68,140,0.0,1.0
310,141,0.0,1.0
142,141,0.0,1.0
140,142,0.0,1.0
141,142,0.0,1.0
312,142,0.0,1.0
311,142,0.0,1.0
70,142,0.0,1.0
68,142,0.0,1.0
70,143,0.0,1.0
313,143,0.0,1.0
141,143,0.0,1.0
139,143,0.0,1.0
145,144,0.0,1.0
314,144,0.0,1.0
315,144,0.0,1.0
71,145,0.0,1.0
314,145,0.0,1.0
316,146,0.0,1.0
73,146,0.0,1.0
317,146,0.0,1.0
318,146,0.0,1.0
319,147,0.0,1.0
73,147,0.0,1.0
320,147,0.0,1.0
319,147,0.0,1.0
317,148,0.0,1.0
73,148,0.0,1.0
321,148,0.0,1.0
322,149,0.0,1.0
167,149,0.0,1.0
74,149,0.0,1.0
81,149,0.0,1.0
323,149,0.0,1.0
64,150,1.0,1.0
37,150,1.0,1.0
324,150,0.0,1.0
74,150,0.0,1.0
325,151,0.0,1.0
326,151,0.0,1.0
327,151,1.0,1.0
166,151,0.0,1.0
328,151,0.0,1.0
330,152,1.0,1.0
329,152,1.0,1.0
37,152,1.0,1.0
332,152,1.0,1.0
331,152,1.0,1.0
74,152,0.0,1.0
333,153,0.0,1.0
75,153,0.0,1.0
154,153,0.0,1.0
153,154,0.0,1.0
75,154,0.0,1.0
333,154,0.0,1.0
75,155,0.0,1.0
273,155,0.0,1.0
266,155,0.0,1.0
336,156,1.0,1.0
967,156,1.0,1.0
599,156,1.0,1.0
78,156,1.0,1.0
335,156,1.0,1.0
346,156,1.0,1.0
618,156,1.0,1.0
135,156,1.0,1.0
882,156,1.0,1.0
334,156,1.0,1.0
76,156,1.0,1.0
124,156,1.0,1.0
337,156,1.0,1.0
345,157,1.0,1.0
76,157,1.0,1.0
338,157,1.0,1.0
339,157,0.0,1.0
306,157,1.0,1.0
340,157,1.0,1.0
341,157,0.0,1.0
345,158,1.0,1.0
346,158,1.0,1.0
343,158,1.0,1.0
615,158,1.0,1.0
344,158,1.0,1.0
342,158,0.0,1.0
77,158,0.0,1.0
621,158,1.0,1.0
966,158,0.0,1.0
973,158,0.0,1.0
617,158,0.0,1.0
77,159,0.0,1.0
347,159,0.0,1.0
77,160,0.0,1.0
348,160,0.0,1.0
349,160,0.0,1.0
350,160,0.0,1.0
133,161,0.0,1.0
78,161,0.0,1.0
351,161,0.0,1.0
37,161,0.0,1.0
372,162,1.0,1.0
79,162,1.0,1.0
163,162,1.0,1.0
352,162,1.0,1.0
373,162,1.0,1.0
176,162,1.0,1.0
164,162,1.0,1.0
79,162,1.0,1.0
37,162,1.0,1.0
164,163,1.0,1.0
79,163,1.0,1.0
354,163,1.0,1.0
353,163,1.0,1.0
162,163,1.0,1.0
79,164,1.0,1.0
355,164,1.0,1.0
163,164,1.0,1.0
128,164,1.0,1.0
162,164,1.0,1.0
288,164,1.0,1.0
37,164,1.0,1.0
353,164,1.0,1.0
527,164,0.0,1.0
356,165,0.0,1.0
357,165,0.0,1.0
358,165,0.0,1.0
359,165,0.0,1.0
151,166,0.0,1.0
360,166,0.0,1.0
361,166,0.0,1.0
80,166,0.0,1.0
362,166,0.0,1.0
81,167,0.0,1.0
323,167,0.0,1.0
363,168,0.0,1.0
81,168,0.0,1.0
323,168,0.0,1.0
81,169,1.0,1.0
156,169,1.0,1.0
285,169,1.0,1.0
323,169,0.0,1.0
364,170,0.0,1.0
26,170,1.0,1.0
330,170,0.0,1.0
81,170,1.0,1.0
169,170,1.0,1.0
365,171,0.0,1.0
366,171,0.0,1.0
367,171,0.0,1.0
367,172,0.0,1.0
82,172,0.0,1.0
368,172,0.0,1.0
369,172,0.0,1.0
82,173,0.0,1.0
368,173,0.0,1.0
370,174,0.0,1.0
371,174,0.0,1.0
372,175,1.0,1.0
176,175,1.0,1.0
83,175,1.0,1.0
373,176,1.0,1.0
83,176,1.0,1.0
175,176,1.0,1.0
162,176,1.0,1.0
215,177,1.0,1.0
374,177,1.0,1.0
126,177,1.0,1.0
83,177,1.0,1.0
376,178,1.0,1.0
375,178,0.0,1.0
225,178,0.0,1.0
85,178,0.0,1.0
377,178,1.0,1.0
378,178,1.0,1.0
85,179,0.0,1.0
380,179,0.0,1.0
673,179,0.0,1.0
209,179,0.0,1.0
381,179,0.0,1.0
722,179,0.0,1.0
379,179,0.0,1.0
206,179,0.0,1.0
97,179,0.0,1.0
207,179,0.0,1.0
381,179,0.0,1.0
426,179,0.0,1.0
382,180,0.0,1.0
383,180,0.0,1.0
85,180,0.0,1.0
124,181,0.0,1.0
384,181,0.0,1.0
86,181,0.0,1.0
385,182,0.0,1.0
390,182,0.0,1.0
43,182,0.0,1.0
86,182,0.0,1.0
386,182,0.0,1.0
387,182,0.0,1.0
184,183,0.0,1.0
388,183,0.0,1.0
87,183,0.0,1.0
126,184,1.0,1.0
87,184,0.0,1.0
185,184,0.0,1.0
184,185,0.0,1.0
184,185,0.0,1.0
87,185,0.0,1.0
88,186,0.0,1.0
389,187,0.0,1.0
390,187,0.0,1.0
115,187,0.0,1.0
88,187,0.0,1.0
391,187,0.0,1.0
392,187,0.0,1.0
91,188,0.0,1.0
91,188,0.0,1.0
89,188,0.0,1.0
393,189,0.0,1.0
90,189,0.0,1.0
394,189,0.0,1.0
395,190,0.0,1.0
90,190,0.0,1.0
90,191,0.0,1.0
396,191,0.0,1.0
397,192,0.0,1.0
398,193,0.0,1.0
80,193,0.0,1.0
399,193,0.0,1.0
90,193,0.0,1.0
92,194,0.0,1.0
91,195,0.0,1.0
44,195,0.0,1.0
400,196,0.0,1.0
401,196,0.0,1.0
93,197,0.0,1.0
44,197,0.0,1.0
402,199,0.0,1.0
403,200,1.0,1.0
95,200,1.0,1.0
404,200,1.0,1.0
405,200,1.0,1.0
406,201,1.0,1.0
404,201,1.0,1.0
202,201,1.0,1.0
407,202,1.0,1.0
408,202,0.0,1.0
95,202,1.0,1.0
201,202,1.0,1.0
403,202,1.0,1.0
404,202,1.0,1.0
205,203,0.0,1.0
96,203,0.0,1.0
205,204,0.0,1.0
96,204,0.0,1.0
96,205,0.0,1.0
409,205,1.0,1.0
179,206,0.0,1.0
381,206,0.0,1.0
97,206,0.0,1.0
410,207,0.0,1.0
411,207,0.0,1.0
412,207,0.0,1.0
413,207,0.0,1.0
179,207,0.0,1.0
97,208,1.0,1.0
414,208,1.0,1.0
415,208,1.0,1.0
98,209,0.0,1.0
179,209,0.0,1.0
416,209,0.0,1.0
98,210,0.0,1.0
98,211,0.0,1.0
115,211,1.0,1.0
97,211,0.0,1.0
103,212,0.0,1.0
229,212,0.0,1.0
246,212,0.0,1.0
417,212,0.0,1.0
418,213,0.0,1.0
419,213,0.0,1.0
420,213,0.0,1.0
99,213,0.0,1.0
115,214,1.0,1.0
428,214,1.0,1.0
421,214,1.0,1.0
104,214,1.0,1.0
348,214,1.0,1.0
1113,214,1.0,1.0
228,214,1.0,1.0
97,214,1.0,1.0
100,214,1.0,1.0
422,214,0.0,1.0
126,214,1.0,1.0
115,214,1.0,1.0
423,214,1.0,1.0
423,214,1.0,1.0
424,215,0.0,1.0
425,215,0.0,1.0
100,215,1.0,1.0
426,215,0.0,1.0
427,215,0.0,1.0
177,215,1.0,1.0
101,216,0.0,1.0
100,216,0.0,1.0
428,217,0.0,1.0
429,218,0.0,1.0
430,218,0.0,1.0
101,218,0.0,1.0
431,219,1.0,1.0
432,219,1.0,1.0
101,219,1.0,1.0
100,219,1.0,1.0
101,220,0.0,1.0
430,220,0.0,1.0
102,221,0.0,1.0
433,221,0.0,1.0
103,222,0.0,1.0
431,223,1.0,1.0
103,223,1.0,1.0
434,223,1.0,1.0
104,224,1.0,1.0
435,224,0.0,1.0
750,225,0.0,1.0
436,225,0.0,1.0
115,225,1.0,1.0
437,225,0.0,1.0
438,225,0.0,1.0
104,225,0.0,1.0
178,225,0.0,1.0
1092,225,0.0,1.0
439,226,0.0,1.0
440,226,0.0,1.0
388,226,0.0,1.0
441,227,0.0,1.0
115,227,0.0,1.0
214,228,1.0,1.0
115,228,1.0,1.0
442,229,0.0,1.0
443,229,0.0,1.0
212,229,0.0,1.0
105,229,0.0,1.0
438,230,0.0,1.0
105,230,0.0,1.0
444,230,0.0,1.0
115,231,1.0,1.0
445,231,0.0,1.0
105,231,0.0,1.0
438,231,0.0,1.0
447,232,0.0,1.0
448,232,0.0,1.0
446,232,0.0,1.0
360,232,0.0,1.0
450,232,0.0,1.0
449,232,0.0,1.0
754,232,0.0,1.0
106,232,0.0,1.0
106,233,0.0,1.0
451,233,0.0,1.0
232,233,0.0,1.0
236,233,0.0,1.0
236,233,0.0,1.0
239,233,0.0,1.0
108,233,0.0,1.0
452,234,0.0,1.0
110,234,0.0,1.0
107,234,0.0,1.0
107,235,0.0,1.0
454,235,0.0,1.0
453,235,0.0,1.0
763,235,0.0,1.0
455,235,0.0,1.0
456,235,0.0,1.0
233,236,0.0,1.0
234,236,0.0,1.0
107,236,0.0,1.0
233,236,0.0,1.0
457,237,0.0,1.0
108,237,0.0,1.0
458,237,0.0,1.0
459,239,0.0,1.0
109,239,0.0,1.0
109,240,0.0,1.0
248,241,0.0,1.0
460,241,0.0,1.0
111,241,0.0,1.0
