edge_index0,edge_index1,pred,gr
732,395,1.0,1.0
543,467,1.0,1.0
258,259,1.0,1.0
779,289,1.0,1.0
62,289,1.0,1.0
79,11,0.0,1.0
94,96,1.0,1.0
455,38,1.0,1.0
309,590,1.0,1.0
746,220,1.0,1.0
459,353,1.0,1.0
505,884,1.0,1.0
850,613,0.0,1.0
519,803,0.0,1.0
316,686,1.0,1.0
451,487,1.0,1.0
278,542,1.0,1.0
189,86,1.0,1.0
447,561,1.0,1.0
124,283,1.0,1.0
27,75,1.0,1.0
874,496,1.0,1.0
248,46,1.0,1.0
777,769,1.0,1.0
137,308,0.0,1.0
510,783,1.0,1.0
874,106,1.0,1.0
207,456,1.0,1.0
35,32,1.0,1.0
782,656,1.0,1.0
65,330,1.0,1.0
752,414,1.0,1.0
279,681,1.0,1.0
44,100,1.0,1.0
447,249,1.0,1.0
62,228,1.0,1.0
108,248,1.0,1.0
395,725,1.0,1.0
444,486,1.0,1.0
832,833,1.0,1.0
57,62,1.0,1.0
94,220,1.0,1.0
284,61,1.0,1.0
79,180,1.0,1.0
755,754,1.0,1.0
751,192,1.0,1.0
43,95,1.0,1.0
162,672,1.0,1.0
377,705,1.0,1.0
278,212,1.0,1.0
834,833,1.0,1.0
718,428,1.0,1.0
33,34,1.0,1.0
787,838,0.0,1.0
89,204,1.0,1.0
326,617,1.0,1.0
928,927,1.0,1.0
640,205,1.0,1.0
531,832,1.0,1.0
398,722,1.0,1.0
917,918,1.0,1.0
376,242,1.0,1.0
332,330,1.0,1.0
118,265,1.0,1.0
167,26,1.0,1.0
575,62,1.0,1.0
864,502,1.0,1.0
74,169,1.0,1.0
807,135,1.0,1.0
690,71,1.0,1.0
172,380,1.0,1.0
44,98,1.0,1.0
46,101,1.0,1.0
321,610,1.0,1.0
273,267,1.0,1.0
245,150,1.0,1.0
268,529,1.0,1.0
71,165,1.0,1.0
265,510,1.0,1.0
159,157,1.0,1.0
246,108,1.0,1.0
62,560,1.0,1.0
542,92,1.0,1.0
540,727,1.0,1.0
557,591,1.0,1.0
407,735,1.0,1.0
279,275,1.0,1.0
506,885,1.0,1.0
62,571,1.0,1.0
99,230,1.0,1.0
113,259,1.0,1.0
12,9,1.0,1.0
655,104,1.0,1.0
239,491,1.0,1.0
506,515,1.0,1.0
121,273,1.0,1.0
486,444,1.0,1.0
257,515,1.0,1.0
581,580,1.0,1.0
529,119,1.0,1.0
720,719,1.0,1.0
429,777,1.0,1.0
216,834,1.0,1.0
76,170,1.0,1.0
442,87,1.0,1.0
628,195,1.0,1.0
904,533,1.0,1.0
870,62,1.0,1.0
651,581,0.0,1.0
169,38,1.0,1.0
68,157,1.0,1.0
399,398,1.0,1.0
648,644,0.0,1.0
89,205,0.0,1.0
833,469,1.0,1.0
872,106,1.0,1.0
143,216,0.0,1.0
77,174,1.0,1.0
515,506,1.0,1.0
695,7,1.0,1.0
108,250,1.0,1.0
328,627,1.0,1.0
245,108,1.0,1.0
620,679,0.0,1.0
181,395,0.0,1.0
216,470,1.0,1.0
200,150,1.0,1.0
786,195,1.0,1.0
332,331,1.0,1.0
301,574,0.0,1.0
249,501,0.0,1.0
597,315,1.0,1.0
65,145,1.0,1.0
65,146,1.0,1.0
428,774,1.0,1.0
157,26,1.0,1.0
448,209,1.0,1.0
543,826,1.0,1.0
311,591,1.0,1.0
908,661,1.0,1.0
61,129,1.0,1.0
722,398,1.0,1.0
332,634,1.0,1.0
150,608,1.0,1.0
469,833,1.0,1.0
612,241,0.0,1.0
63,614,1.0,1.0
216,929,1.0,1.0
832,883,1.0,1.0
92,278,1.0,1.0
577,582,1.0,1.0
337,643,1.0,1.0
444,877,0.0,1.0
526,263,1.0,1.0
256,513,1.0,1.0
365,375,1.0,0.0
868,427,0.0,0.0
234,72,0.0,0.0
772,923,0.0,0.0
381,799,1.0,0.0
851,181,1.0,0.0
405,101,0.0,0.0
463,446,1.0,0.0
594,438,1.0,0.0
242,568,0.0,0.0
650,438,1.0,0.0
484,263,1.0,0.0
32,626,1.0,0.0
545,393,1.0,0.0
75,37,1.0,0.0
166,629,0.0,0.0
634,581,1.0,0.0
497,848,0.0,0.0
559,782,0.0,0.0
285,817,0.0,0.0
415,798,0.0,0.0
641,39,1.0,0.0
788,11,0.0,0.0
258,57,1.0,0.0
533,0,1.0,0.0
231,17,1.0,0.0
691,252,1.0,0.0
213,255,0.0,0.0
341,596,1.0,0.0
757,916,0.0,0.0
26,254,0.0,0.0
197,777,1.0,0.0
567,259,1.0,0.0
73,263,1.0,0.0
735,26,0.0,0.0
450,393,1.0,0.0
634,801,1.0,0.0
857,638,0.0,0.0
56,178,0.0,0.0
829,197,0.0,0.0
272,806,1.0,0.0
488,163,1.0,0.0
868,494,1.0,0.0
739,734,1.0,0.0
111,726,0.0,0.0
453,887,1.0,0.0
780,125,1.0,0.0
233,298,1.0,0.0
56,306,1.0,0.0
368,155,0.0,0.0
602,652,0.0,0.0
672,268,1.0,0.0
483,145,1.0,0.0
653,327,1.0,0.0
392,125,1.0,0.0
141,840,0.0,0.0
254,604,1.0,0.0
925,626,1.0,0.0
164,311,0.0,0.0
77,57,0.0,0.0
683,58,0.0,0.0
