edge_index0,edge_index1,pred,gr
1184,1280,1.0,1.0
139,340,1.0,1.0
651,1113,1.0,1.0
1148,1274,1.0,1.0
661,1122,1.0,1.0
677,1139,1.0,1.0
70,791,1.0,1.0
1122,519,1.0,1.0
404,760,1.0,1.0
309,313,0.0,1.0
81,177,1.0,1.0
231,521,1.0,1.0
82,207,1.0,1.0
52,113,1.0,1.0
798,1281,1.0,1.0
398,4,1.0,1.0
534,962,1.0,1.0
1074,1209,1.0,1.0
1237,1414,0.0,1.0
961,238,1.0,1.0
147,220,1.0,1.0
134,42,1.0,1.0
1386,894,1.0,1.0
620,1068,1.0,1.0
1006,1478,0.0,1.0
872,405,1.0,1.0
579,1023,1.0,1.0
194,457,1.0,1.0
1018,393,1.0,1.0
1183,1184,1.0,1.0
461,799,1.0,1.0
1430,523,0.0,1.0
52,286,1.0,1.0
354,697,1.0,1.0
333,135,1.0,1.0
469,886,1.0,1.0
1271,1269,0.0,1.0
200,411,1.0,1.0
1265,375,1.0,1.0
380,733,1.0,1.0
1419,1209,1.0,1.0
78,203,1.0,1.0
134,323,1.0,1.0
526,955,1.0,1.0
68,34,1.0,1.0
449,851,0.0,1.0
1403,765,1.0,1.0
439,191,1.0,1.0
697,1164,1.0,1.0
511,946,1.0,1.0
52,958,1.0,1.0
241,1418,1.0,1.0
932,1426,0.0,1.0
351,145,1.0,1.0
768,1256,1.0,1.0
1145,1143,1.0,1.0
550,230,1.0,1.0
1022,193,1.0,1.0
1026,268,1.0,1.0
95,255,1.0,1.0
211,499,1.0,1.0
963,1456,0.0,1.0
701,581,1.0,1.0
1270,1272,1.0,1.0
370,276,1.0,1.0
460,778,1.0,1.0
17,45,1.0,1.0
626,627,1.0,1.0
230,548,1.0,1.0
606,1051,1.0,1.0
103,262,1.0,1.0
751,1233,1.0,1.0
129,310,1.0,1.0
629,1081,1.0,1.0
458,508,1.0,1.0
272,597,1.0,1.0
68,166,0.0,1.0
995,96,1.0,1.0
193,840,1.0,1.0
623,52,1.0,1.0
276,367,1.0,1.0
