edge_index0,edge_index1,pred,gr
673,1325,1.0,1.0
1830,1113,1.0,1.0
1646,906,1.0,1.0
419,409,1.0,1.0
1439,1759,1.0,1.0
532,531,0.0,1.0
1268,64,1.0,1.0
690,227,1.0,1.0
599,500,1.0,1.0
185,589,1.0,1.0
683,1364,1.0,1.0
137,183,1.0,1.0
944,377,1.0,1.0
1661,2054,0.0,1.0
64,500,1.0,1.0
1003,871,1.0,1.0
87,11,1.0,1.0
1549,1934,0.0,1.0
421,1025,1.0,1.0
1856,1322,1.0,1.0
1435,1973,1.0,1.0
2362,2356,1.0,1.0
118,115,1.0,1.0
1458,1448,1.0,1.0
386,38,1.0,1.0
805,1338,1.0,1.0
1863,1279,1.0,1.0
395,983,1.0,1.0
1563,2087,1.0,1.0
168,491,1.0,1.0
1467,1220,1.0,1.0
1491,435,1.0,1.0
80,318,1.0,1.0
67,286,0.0,1.0
2107,1044,1.0,1.0
2047,2048,1.0,1.0
1480,1783,1.0,1.0
1939,968,1.0,1.0
610,1282,1.0,1.0
566,1234,1.0,1.0
1491,1564,1.0,1.0
2099,2054,1.0,1.0
1168,590,1.0,1.0
1418,1965,1.0,1.0
1255,596,1.0,1.0
652,671,1.0,1.0
937,1533,0.0,1.0
589,572,1.0,1.0
2109,889,0.0,1.0
2367,1192,1.0,1.0
2237,2289,1.0,1.0
424,1053,1.0,1.0
1108,1810,1.0,1.0
1886,2156,1.0,1.0
1336,1932,1.0,1.0
425,426,1.0,1.0
1081,1085,1.0,1.0
436,126,1.0,1.0
1860,1193,1.0,1.0
2323,67,1.0,1.0
1591,1584,1.0,1.0
371,94,1.0,1.0
1574,903,1.0,1.0
523,625,1.0,1.0
1764,2118,1.0,1.0
2031,1945,1.0,1.0
1727,2317,1.0,1.0
156,557,1.0,1.0
2099,1593,1.0,1.0
1704,1007,1.0,1.0
27,76,1.0,1.0
460,699,1.0,1.0
2199,1144,1.0,1.0
594,593,1.0,1.0
2266,1766,1.0,1.0
1585,2099,1.0,1.0
524,46,1.0,1.0
1030,1096,1.0,1.0
890,1613,1.0,1.0
777,775,0.0,1.0
1267,714,1.0,1.0
65,229,1.0,1.0
1540,1008,1.0,1.0
707,1386,1.0,1.0
211,641,1.0,1.0
101,392,1.0,1.0
594,137,1.0,1.0
1744,757,1.0,1.0
1465,1220,1.0,1.0
97,387,1.0,1.0
628,1256,1.0,1.0
35,32,1.0,1.0
858,866,1.0,1.0
525,1148,1.0,1.0
1705,1704,1.0,1.0
1541,378,1.0,1.0
1070,824,1.0,1.0
226,245,1.0,1.0
858,782,1.0,1.0
420,881,1.0,1.0
659,1353,1.0,1.0
1723,1718,1.0,1.0
67,251,1.0,1.0
702,790,1.0,1.0
283,790,1.0,1.0
2148,2003,1.0,1.0
754,666,1.0,1.0
1505,1498,1.0,1.0
1286,517,1.0,1.0
1656,923,1.0,1.0
1674,1427,0.0,1.0
1710,1545,1.0,1.0
1957,1927,1.0,1.0
437,752,1.0,1.0
552,217,1.0,1.0
1003,342,1.0,1.0
1072,1089,1.0,1.0
2004,2152,1.0,1.0
44,127,1.0,1.0
523,522,1.0,1.0
2135,26,1.0,1.0
1507,2041,1.0,1.0
64,207,1.0,1.0
139,524,0.0,1.0
2201,1919,1.0,1.0
906,1637,1.0,1.0
226,699,1.0,1.0
1441,1385,1.0,1.0
757,787,1.0,1.0
2249,2345,1.0,1.0
895,1629,1.0,1.0
2142,2141,1.0,1.0
1215,1449,1.0,1.0
2267,1552,1.0,1.0
453,457,1.0,1.0
853,1527,1.0,1.0
57,64,1.0,1.0
945,1613,1.0,1.0
2016,1762,1.0,1.0
44,129,1.0,1.0
1755,1052,1.0,1.0
118,435,1.0,1.0
1121,575,1.0,1.0
65,218,1.0,1.0
1353,720,1.0,1.0
206,60,1.0,1.0
685,1381,1.0,1.0
689,236,1.0,1.0
1382,1111,1.0,1.0
1160,211,1.0,1.0
1126,1828,1.0,1.0
87,358,1.0,1.0
1540,1750,1.0,1.0
1658,1657,1.0,1.0
1962,858,1.0,1.0
1618,374,1.0,1.0
1083,1030,1.0,1.0
2157,1126,0.0,1.0
43,121,1.0,1.0
2343,2247,1.0,1.0
64,1138,1.0,1.0
290,809,1.0,1.0
2081,1492,1.0,1.0
1612,1615,1.0,1.0
2291,374,1.0,1.0
788,1533,1.0,1.0
744,743,1.0,1.0
1821,992,1.0,1.0
352,903,1.0,1.0
1111,1766,1.0,1.0
2316,1720,1.0,1.0
424,427,1.0,1.0
1660,2131,1.0,1.0
791,646,1.0,1.0
1014,881,1.0,1.0
282,787,1.0,1.0
1899,1376,1.0,1.0
697,788,1.0,1.0
421,1453,1.0,1.0
1250,1260,1.0,1.0
33,34,1.0,1.0
1779,445,1.0,1.0
226,689,1.0,1.0
1483,1754,1.0,1.0
105,200,1.0,1.0
769,1493,1.0,1.0
2087,830,0.0,1.0
2186,1427,1.0,1.0
1387,1408,1.0,1.0
1774,2178,1.0,1.0
231,653,1.0,1.0
1792,1212,1.0,1.0
389,110,1.0,1.0
1090,757,1.0,1.0
1399,1940,1.0,1.0
737,1427,1.0,1.0
910,362,1.0,1.0
1462,2007,1.0,1.0
2074,2279,1.0,1.0
1517,838,1.0,1.0
2139,2310,1.0,1.0
1577,2095,1.0,1.0
1083,1748,1.0,1.0
2292,2200,1.0,1.0
281,783,1.0,1.0
513,187,0.0,1.0
855,1522,1.0,1.0
1247,481,1.0,1.0
871,501,1.0,1.0
1111,1817,1.0,1.0
1928,1163,1.0,1.0
1126,965,1.0,1.0
1717,2147,1.0,1.0
114,419,1.0,1.0
1116,1821,1.0,1.0
743,251,1.0,1.0
150,539,1.0,1.0
1100,1080,1.0,1.0
775,777,0.0,1.0
69,26,1.0,1.0
1122,64,1.0,1.0
190,577,1.0,1.0
83,333,1.0,1.0
699,1366,1.0,1.0
1722,421,1.0,1.0
1884,565,1.0,1.0
1829,2197,1.0,1.0
913,87,1.0,1.0
2053,1075,1.0,1.0
184,589,1.0,1.0
716,437,1.0,1.0
1248,587,1.0,1.0
1654,1252,1.0,1.0
1010,1713,1.0,1.0
575,552,1.0,1.0
2059,2062,1.0,1.0
716,1418,1.0,1.0
525,1145,1.0,1.0
688,266,1.0,1.0
180,505,1.0,1.0
2245,1948,0.0,1.0
1877,966,0.0,1.0
1914,211,1.0,1.0
1597,81,1.0,1.0
1921,1919,1.0,1.0
1606,2108,1.0,1.0
1460,2152,1.0,1.0
344,891,1.0,1.0
460,651,1.0,1.0
44,125,1.0,1.0
421,1725,1.0,1.0
46,131,1.0,1.0
2244,2251,1.0,1.0
