edge_index0,edge_index1,pred,gr
1196,1626,1.0,1.0
179,456,1.0,1.0
782,575,1.0,1.0
779,1333,0.0,1.0
1495,1535,1.0,1.0
652,1233,1.0,1.0
916,1486,1.0,1.0
2213,2212,1.0,1.0
1963,1543,1.0,1.0
2062,1205,1.0,1.0
874,810,1.0,1.0
316,743,1.0,1.0
71,1023,1.0,1.0
1701,1734,0.0,1.0
1775,830,1.0,1.0
2045,2044,1.0,1.0
1233,673,1.0,1.0
486,998,1.0,1.0
392,412,1.0,1.0
84,218,0.0,1.0
276,683,1.0,1.0
81,250,1.0,1.0
2207,814,1.0,1.0
52,820,1.0,1.0
1054,1627,1.0,1.0
239,596,1.0,1.0
316,749,1.0,1.0
509,4,1.0,1.0
289,707,1.0,1.0
1452,716,1.0,1.0
1324,830,1.0,1.0
1609,1637,1.0,1.0
373,291,1.0,1.0
184,266,1.0,1.0
164,42,1.0,1.0
1640,602,1.0,1.0
1263,1796,1.0,1.0
1307,1821,1.0,1.0
1392,1896,1.0,1.0
1173,519,1.0,1.0
758,580,1.0,1.0
1993,1115,1.0,1.0
239,589,1.0,1.0
1320,492,1.0,1.0
1195,1196,1.0,1.0
372,869,1.0,1.0
282,650,1.0,1.0
2186,1727,1.0,1.0
52,1357,1.0,1.0
466,960,1.0,1.0
1908,2150,1.0,1.0
1420,1109,1.0,1.0
429,165,1.0,1.0
614,1189,1.0,1.0
534,532,1.0,1.0
245,515,0.0,1.0
1594,477,1.0,1.0
481,986,1.0,1.0
1256,830,1.0,1.0
1797,1467,1.0,1.0
2088,325,0.0,1.0
52,142,1.0,1.0
79,83,1.0,1.0
164,419,1.0,1.0
378,881,1.0,1.0
69,34,1.0,1.0
2223,1919,1.0,1.0
487,1001,1.0,1.0
1751,1014,1.0,1.0
557,236,1.0,1.0
2009,1109,1.0,1.0
960,1438,1.0,1.0
2031,782,0.0,1.0
682,699,1.0,1.0
52,1279,1.0,1.0
293,1254,0.0,1.0
1230,1765,1.0,1.0
1636,647,1.0,1.0
463,182,1.0,1.0
880,146,1.0,1.0
1055,1056,1.0,1.0
1291,120,0.0,1.0
1618,1999,1.0,1.0
536,935,1.0,1.0
1491,1489,1.0,1.0
664,275,1.0,1.0
1323,238,1.0,1.0
785,320,1.0,1.0
98,307,1.0,1.0
259,641,0.0,1.0
708,1286,1.0,1.0
964,760,1.0,1.0
814,1385,1.0,1.0
533,535,1.0,1.0
451,927,1.0,1.0
838,835,1.0,1.0
605,1032,1.0,1.0
17,45,1.0,1.0
1847,1682,1.0,1.0
1895,879,1.0,1.0
2220,1886,1.0,1.0
275,669,1.0,1.0
1248,530,1.0,1.0
841,1435,1.0,1.0
106,314,1.0,1.0
530,1069,1.0,1.0
159,359,1.0,1.0
814,651,1.0,1.0
603,647,1.0,1.0
328,807,1.0,1.0
69,206,1.0,1.0
687,99,1.0,1.0
1317,2226,0.0,1.0
238,1127,1.0,1.0
1264,52,1.0,1.0
927,449,1.0,1.0
2188,1727,1.0,1.0
1155,1621,1.0,1.0
188,478,1.0,1.0
1171,604,1.0,1.0
1006,1604,1.0,1.0
344,830,1.0,1.0
1062,275,1.0,1.0
2108,1330,1.0,1.0
761,238,1.0,1.0
274,493,1.0,1.0
545,1094,1.0,1.0
590,524,1.0,1.0
798,52,1.0,1.0
650,682,1.0,1.0
2051,1185,1.0,1.0
1827,1039,1.0,1.0
1459,1458,1.0,1.0
1254,1425,1.0,1.0
79,246,1.0,1.0
965,1547,1.0,1.0
1675,1870,1.0,1.0
1441,1308,1.0,1.0
250,1982,1.0,1.0
842,996,0.0,1.0
980,830,1.0,1.0
1320,1846,1.0,1.0
1907,864,1.0,1.0
2092,1307,1.0,1.0
1601,1989,1.0,1.0
1664,1667,1.0,1.0
662,1239,1.0,1.0
1249,530,1.0,1.0
484,258,1.0,1.0
220,222,1.0,1.0
1495,1947,1.0,1.0
1480,901,1.0,1.0
1936,1112,1.0,1.0
195,485,1.0,1.0
685,305,1.0,1.0
878,1458,1.0,1.0
231,548,1.0,1.0
1254,1135,1.0,1.0
257,264,1.0,1.0
87,248,1.0,1.0
1008,1320,1.0,1.0
1577,767,1.0,1.0
1113,705,0.0,1.0
976,252,1.0,1.0
1420,1909,1.0,1.0
543,73,1.0,1.0
311,101,1.0,1.0
2045,2186,1.0,1.0
2153,2154,1.0,1.0
2060,2197,1.0,1.0
1919,841,1.0,1.0
42,94,1.0,1.0
2064,1554,0.0,1.0
174,82,1.0,1.0
1585,913,1.0,1.0
34,249,1.0,1.0
1889,1415,1.0,1.0
164,414,1.0,1.0
58,169,1.0,1.0
542,73,1.0,1.0
28,73,1.0,1.0
1753,2198,1.0,1.0
318,758,1.0,1.0
1919,2121,1.0,1.0
52,334,1.0,1.0
2194,1745,1.0,1.0
717,1291,1.0,1.0
237,383,1.0,1.0
1039,1827,1.0,1.0
639,894,1.0,1.0
548,232,1.0,1.0
1752,1490,1.0,1.0
1048,1040,1.0,1.0
375,378,1.0,1.0
1747,482,1.0,1.0
543,577,1.0,1.0
814,1892,1.0,1.0
34,24,1.0,1.0
2042,2190,1.0,1.0
276,682,1.0,1.0
374,873,1.0,1.0
244,522,1.0,1.0
288,705,1.0,1.0
195,482,1.0,1.0
1220,530,1.0,1.0
518,1030,1.0,1.0
2101,1317,1.0,1.0
1079,281,1.0,1.0
1740,614,1.0,1.0
968,1552,1.0,1.0
169,170,1.0,1.0
371,328,1.0,1.0
814,690,0.0,1.0
415,861,1.0,1.0
530,1064,1.0,1.0
2022,830,1.0,1.0
1743,524,1.0,1.0
183,475,1.0,1.0
536,1388,0.0,1.0
2070,2213,1.0,1.0
721,358,1.0,1.0
93,276,1.0,1.0
127,267,1.0,1.0
965,1549,1.0,1.0
899,152,1.0,1.0
1239,281,1.0,1.0
950,1505,1.0,1.0
607,912,1.0,1.0
799,52,1.0,1.0
1400,1398,1.0,1.0
146,341,1.0,1.0
1343,1255,1.0,1.0
1800,1512,1.0,1.0
643,1214,1.0,1.0
115,330,0.0,1.0
1339,1869,1.0,1.0
1280,1278,1.0,1.0
650,284,1.0,1.0
530,1078,1.0,1.0
457,66,0.0,1.0
2205,1891,1.0,1.0
732,1302,1.0,1.0
483,67,1.0,1.0
1206,1751,1.0,1.0
629,1982,1.0,1.0
1601,1992,1.0,1.0
527,319,1.0,1.0
2212,1874,1.0,1.0
105,107,1.0,1.0
704,52,1.0,1.0
8,34,1.0,1.0
2021,998,1.0,1.0
492,386,0.0,1.0
1159,590,1.0,1.0
1319,1515,1.0,1.0
2058,2193,1.0,1.0
610,1837,0.0,1.0
1889,1888,1.0,1.0
1201,1746,1.0,1.0
52,139,1.0,1.0
167,430,1.0,1.0
1017,1611,1.0,1.0
1863,1860,1.0,1.0
698,680,1.0,1.0
302,113,1.0,1.0
1742,524,1.0,1.0
266,257,1.0,1.0
1992,1154,1.0,1.0
407,359,0.0,1.0
81,66,1.0,1.0
404,899,1.0,1.0
1584,1752,1.0,1.0
784,1339,1.0,1.0
740,1309,1.0,1.0
1232,1769,1.0,1.0
1299,871,1.0,1.0
359,100,1.0,1.0
519,1039,1.0,1.0
571,1134,1.0,1.0
1664,978,1.0,1.0
510,213,1.0,1.0
1206,222,1.0,1.0
368,367,1.0,1.0
1873,1339,1.0,1.0
611,633,1.0,1.0
1056,1193,1.0,1.0
610,1180,1.0,1.0
830,1102,1.0,1.0
365,867,1.0,1.0
982,1581,0.0,1.0
644,92,1.0,1.0
1922,2067,1.0,1.0
1254,293,0.0,1.0
1115,1103,1.0,1.0
52,151,1.0,1.0
790,275,1.0,1.0
