edge_index0,edge_index1,pred,gr
242,89,1.0,1.0
125,319,1.0,1.0
231,532,1.0,1.0
833,62,1.0,1.0
402,797,1.0,1.0
240,239,1.0,1.0
409,313,1.0,1.0
487,209,1.0,1.0
510,285,1.0,1.0
819,432,0.0,1.0
423,821,1.0,1.0
823,833,1.0,1.0
104,269,1.0,1.0
439,855,1.0,1.0
896,81,1.0,1.0
389,391,1.0,1.0
1126,1127,1.0,1.0
85,239,1.0,1.0
865,936,1.0,1.0
647,604,1.0,1.0
540,981,1.0,1.0
438,63,1.0,1.0
963,4,1.0,1.0
358,142,1.0,1.0
732,1181,1.0,1.0
287,451,1.0,1.0
429,785,1.0,1.0
141,353,1.0,1.0
864,1127,1.0,1.0
466,464,1.0,1.0
1008,251,1.0,1.0
112,339,1.0,1.0
173,402,1.0,1.0
672,1107,1.0,1.0
744,672,1.0,1.0
374,768,1.0,1.0
63,185,1.0,1.0
1126,1123,1.0,1.0
231,536,1.0,1.0
273,41,1.0,1.0
677,143,1.0,1.0
343,1165,1.0,1.0
1000,35,1.0,1.0
679,317,1.0,1.0
390,387,1.0,1.0
231,913,1.0,1.0
316,125,1.0,1.0
1058,1056,1.0,1.0
248,88,1.0,1.0
490,921,1.0,1.0
251,576,1.0,1.0
988,989,1.0,1.0
807,151,1.0,1.0
1140,1139,1.0,1.0
179,449,1.0,1.0
476,258,1.0,1.0
676,409,1.0,1.0
606,104,1.0,1.0
58,155,1.0,1.0
330,326,1.0,1.0
865,533,1.0,1.0
1058,630,1.0,1.0
337,719,1.0,1.0
896,1006,1.0,1.0
843,817,1.0,1.0
1043,110,1.0,1.0
940,484,1.0,1.0
693,1137,1.0,1.0
423,831,1.0,1.0
411,151,1.0,1.0
831,829,1.0,1.0
215,505,1.0,1.0
60,57,1.0,1.0
413,808,1.0,1.0
287,879,1.0,1.0
57,146,1.0,1.0
58,772,1.0,1.0
672,1108,1.0,1.0
744,146,1.0,1.0
487,631,1.0,1.0
3,27,1.0,1.0
173,437,1.0,1.0
513,245,1.0,1.0
143,58,1.0,1.0
735,351,1.0,1.0
201,217,1.0,1.0
58,152,1.0,1.0
669,1106,1.0,1.0
487,915,1.0,1.0
1008,1056,1.0,1.0
1052,501,0.0,1.0
1126,839,1.0,1.0
147,159,1.0,1.0
134,332,1.0,1.0
1049,1052,1.0,1.0
680,683,1.0,1.0
64,187,1.0,1.0
516,218,1.0,1.0
103,104,1.0,1.0
423,832,1.0,1.0
475,901,1.0,1.0
636,1065,1.0,1.0
909,201,1.0,1.0
201,25,1.0,1.0
104,267,1.0,1.0
375,58,1.0,1.0
209,488,1.0,1.0
785,784,1.0,1.0
124,652,1.0,1.0
339,112,1.0,1.0
17,20,1.0,1.0
151,378,1.0,1.0
1018,197,1.0,1.0
432,848,1.0,1.0
42,116,1.0,1.0
1073,857,1.0,1.0
325,685,1.0,1.0
66,200,1.0,1.0
498,835,1.0,1.0
149,1060,1.0,1.0
231,421,1.0,1.0
492,277,1.0,1.0
41,643,1.0,1.0
661,302,1.0,1.0
397,375,1.0,1.0
260,587,1.0,1.0
35,247,1.0,1.0
843,423,1.0,1.0
993,515,1.0,1.0
320,124,1.0,1.0
439,303,1.0,1.0
58,165,1.0,1.0
454,882,1.0,1.0
192,468,1.0,1.0
253,570,1.0,1.0
137,340,1.0,1.0
460,906,0.0,1.0
247,84,1.0,1.0
73,201,1.0,1.0
119,42,1.0,1.0
1066,1067,1.0,1.0
413,770,1.0,1.0
1082,1085,1.0,1.0
654,58,1.0,1.0
306,353,1.0,1.0
539,978,1.0,1.0
412,668,1.0,1.0
280,278,1.0,1.0
261,592,1.0,1.0
467,65,1.0,1.0
112,277,1.0,1.0
171,431,1.0,1.0
387,787,1.0,1.0
793,395,1.0,1.0
162,353,1.0,1.0
325,684,1.0,1.0
326,330,1.0,1.0
80,6,1.0,1.0
691,48,1.0,1.0
207,204,1.0,1.0
468,467,1.0,1.0
260,591,1.0,1.0
906,460,0.0,1.0
705,547,1.0,1.0
1093,122,0.0,1.0
128,50,1.0,1.0
62,824,1.0,1.0
159,406,1.0,1.0
251,252,1.0,1.0
705,1146,1.0,1.0
949,950,1.0,1.0
458,456,1.0,1.0
37,592,1.0,1.0
670,652,1.0,1.0
35,208,1.0,1.0
216,511,1.0,1.0
58,268,1.0,1.0
480,35,1.0,1.0
151,377,1.0,1.0
981,1077,1.0,1.0
287,180,1.0,1.0
647,40,1.0,1.0
989,988,1.0,1.0
893,442,1.0,1.0
896,543,1.0,1.0
100,97,1.0,1.0
563,652,1.0,1.0
652,563,1.0,1.0
175,442,1.0,1.0
365,749,1.0,1.0
379,773,1.0,1.0
804,58,1.0,1.0
441,864,1.0,1.0
270,612,1.0,1.0
1138,684,1.0,1.0
33,84,1.0,1.0
866,441,1.0,1.0
410,1108,0.0,1.0
852,62,1.0,1.0
