edge_index0,edge_index1,pred,gr
514,1009,1.0,1.0
1281,702,1.0,1.0
1092,565,1.0,1.0
287,497,0.0,1.0
1259,1215,1.0,1.0
357,356,1.0,1.0
421,64,1.0,1.0
914,430,1.0,1.0
1148,1318,1.0,1.0
1728,413,1.0,1.0
975,459,1.0,1.0
125,334,1.0,1.0
64,1318,1.0,1.0
992,537,1.0,1.0
83,11,1.0,1.0
1004,1454,1.0,1.0
303,465,1.0,1.0
1338,1064,1.0,1.0
963,1503,1.0,1.0
105,108,1.0,1.0
1240,1293,1.0,1.0
264,38,1.0,1.0
501,892,1.0,1.0
1370,1409,1.0,1.0
492,1605,1.0,1.0
156,402,1.0,1.0
1175,1654,1.0,1.0
1112,298,1.0,1.0
75,206,1.0,1.0
67,188,1.0,1.0
1713,695,1.0,1.0
1803,1804,1.0,1.0
1810,1382,1.0,1.0
1507,624,1.0,1.0
763,1322,1.0,1.0
396,840,1.0,1.0
1112,1610,1.0,1.0
1334,656,1.0,1.0
938,1488,1.0,1.0
1270,1269,1.0,1.0
454,511,1.0,1.0
604,1133,1.0,1.0
413,401,1.0,1.0
289,667,1.0,1.0
1390,1814,1.0,1.0
861,1419,1.0,1.0
286,288,1.0,1.0
299,114,0.0,1.0
1350,799,1.0,1.0
1493,1124,1.0,1.0
246,90,1.0,1.0
1541,561,1.0,1.0
347,752,1.0,1.0
1231,1587,1.0,1.0
144,390,1.0,1.0
1548,1034,1.0,1.0
1655,651,1.0,1.0
27,71,1.0,1.0
1750,173,1.0,1.0
1755,842,1.0,1.0
1305,738,1.0,1.0
1019,1548,1.0,1.0
348,46,1.0,1.0
691,826,1.0,1.0
924,1118,1.0,1.0
1649,1647,1.0,1.0
65,471,1.0,1.0
1645,652,1.0,1.0
487,972,1.0,1.0
772,1151,1.0,1.0
1198,1678,1.0,1.0
1305,125,1.0,1.0
1742,733,1.0,1.0
1785,1654,1.0,1.0
96,265,1.0,1.0
743,1286,1.0,1.0
35,32,1.0,1.0
1032,948,0.0,1.0
349,757,1.0,1.0
1176,1655,1.0,1.0
1534,253,1.0,1.0
1093,1452,1.0,1.0
453,449,1.0,1.0
1032,526,1.0,1.0
302,686,1.0,1.0
1194,1189,1.0,1.0
67,926,1.0,1.0
435,879,1.0,1.0
473,446,1.0,1.0
1611,1703,1.0,1.0
1119,593,1.0,1.0
1145,957,1.0,1.0
1523,999,1.0,1.0
578,469,1.0,1.0
377,1010,1.0,1.0
992,225,0.0,1.0
1096,1099,1.0,1.0
