edge_index0,edge_index1,pred,gr
823,1291,1.0,1.0
138,326,1.0,1.0
603,1050,1.0,1.0
1087,1166,1.0,1.0
460,860,1.0,1.0
621,1076,1.0,1.0
1032,555,1.0,1.0
257,527,1.0,1.0
70,567,1.0,1.0
860,861,1.0,1.0
350,668,1.0,1.0
300,303,1.0,1.0
81,819,0.0,1.0
227,475,1.0,1.0
79,199,1.0,1.0
52,875,1.0,1.0
192,415,1.0,1.0
365,4,1.0,1.0
230,481,1.0,1.0
1339,492,1.0,1.0
1172,1027,1.0,1.0
457,479,1.0,1.0
148,213,1.0,1.0
133,42,1.0,1.0
1246,419,1.0,1.0
873,1359,1.0,1.0
931,1421,1.0,1.0
804,372,1.0,1.0
531,406,1.0,1.0
192,417,1.0,1.0
948,357,1.0,1.0
820,823,1.0,1.0
423,800,1.0,1.0
1371,478,0.0,1.0
52,988,1.0,1.0
320,134,1.0,1.0
428,814,1.0,1.0
715,713,1.0,1.0
198,380,1.0,1.0
1150,338,1.0,1.0
1360,976,1.0,1.0
52,1036,1.0,1.0
201,82,1.0,1.0
133,310,1.0,1.0
885,1319,1.0,1.0
68,34,1.0,1.0
351,671,1.0,1.0
401,189,1.0,1.0
473,471,1.0,1.0
52,904,1.0,1.0
235,960,1.0,1.0
855,1334,1.0,1.0
1365,454,1.0,1.0
1037,546,1.0,1.0
381,720,1.0,1.0
1083,1080,1.0,1.0
870,222,1.0,1.0
952,191,1.0,1.0
1465,261,1.0,1.0
94,248,1.0,1.0
344,773,1.0,1.0
482,898,1.0,1.0
1125,533,0.0,1.0
714,716,1.0,1.0
953,272,1.0,1.0
17,45,1.0,1.0
222,757,1.0,1.0
565,1010,1.0,1.0
102,255,1.0,1.0
375,878,1.0,1.0
128,281,1.0,1.0
420,454,1.0,1.0
68,163,1.0,1.0
467,95,1.0,1.0
191,756,1.0,1.0
874,52,1.0,1.0
272,607,1.0,1.0
1141,1248,1.0,1.0
155,342,1.0,1.0
802,421,1.0,1.0
681,1156,1.0,1.0
772,1027,1.0,1.0
1330,222,1.0,1.0
472,355,1.0,1.0
390,733,1.0,1.0
413,661,1.0,1.0
478,473,1.0,1.0
1427,703,0.0,1.0
594,591,1.0,1.0
201,443,1.0,1.0
1408,932,1.0,1.0
1414,655,1.0,1.0
637,1027,1.0,1.0
1344,375,1.0,1.0
348,667,1.0,1.0
174,377,1.0,1.0
1068,601,1.0,1.0
444,349,1.0,1.0
282,245,1.0,1.0
290,591,1.0,1.0
184,391,1.0,1.0
960,762,0.0,1.0
209,211,1.0,1.0
83,204,1.0,1.0
683,948,1.0,1.0
1101,537,0.0,1.0
776,487,1.0,1.0
665,203,1.0,1.0
392,72,1.0,1.0
252,97,1.0,1.0
42,90,1.0,1.0
140,78,1.0,1.0
1112,618,1.0,1.0
34,205,0.0,1.0
133,305,1.0,1.0
60,146,1.0,1.0
387,72,1.0,1.0
28,72,1.0,1.0
259,531,1.0,1.0
994,912,1.0,1.0
190,397,1.0,1.0
703,1427,0.0,1.0
391,185,1.0,1.0
790,779,1.0,1.0
1305,343,1.0,1.0
392,736,1.0,1.0
34,24,1.0,1.0
227,473,1.0,1.0
592,1031,1.0,1.0
197,432,1.0,1.0
232,487,1.0,1.0
444,343,1.0,1.0
1043,244,1.0,1.0
1286,428,1.0,1.0
146,143,1.0,1.0
276,266,1.0,1.0
798,511,0.0,1.0
306,587,1.0,1.0
375,867,1.0,1.0
147,337,1.0,1.0
381,1188,1.0,1.0
497,294,1.0,1.0
89,227,1.0,1.0
549,214,1.0,1.0
919,244,1.0,1.0
425,617,1.0,1.0
1401,52,1.0,1.0
546,906,1.0,1.0
1070,1321,1.0,1.0
450,842,1.0,1.0
552,982,1.0,1.0
956,1457,1.0,1.0
905,903,1.0,1.0
478,224,1.0,1.0
375,1324,1.0,1.0
327,64,1.0,1.0
507,915,1.0,1.0
345,65,1.0,1.0
1130,260,1.0,1.0
101,103,1.0,1.0
888,52,1.0,1.0
8,34,1.0,1.0
357,292,1.0,1.0
780,413,1.0,1.0
945,1377,1.0,1.0
831,1303,1.0,1.0
136,321,1.0,1.0
1487,1483,1.0,1.0
512,921,0.0,1.0
241,109,1.0,1.0
213,209,1.0,1.0
296,281,0.0,1.0
79,64,1.0,1.0
534,956,1.0,1.0
521,933,1.0,1.0
52,119,1.0,1.0
913,857,1.0,1.0
281,96,1.0,1.0
372,703,1.0,1.0
405,761,1.0,1.0
366,170,1.0,1.0
1243,377,1.0,1.0
278,274,1.0,1.0
1461,956,1.0,1.0
1245,1145,1.0,1.0
724,1190,1.0,1.0
1027,745,1.0,1.0
293,596,1.0,1.0
639,1108,1.0,1.0
451,88,1.0,1.0
960,235,1.0,1.0
52,115,1.0,1.0
613,222,1.0,1.0
226,882,1.0,1.0
141,34,1.0,1.0
511,222,1.0,1.0
1196,390,1.0,1.0
1335,1462,1.0,1.0
1130,1296,1.0,1.0
1027,1045,1.0,1.0
350,669,1.0,1.0
1472,1252,1.0,1.0
178,383,1.0,1.0
755,1166,1.0,1.0
222,709,1.0,1.0
955,956,1.0,1.0
1416,363,1.0,1.0
762,970,1.0,1.0
485,500,1.0,1.0
1340,461,1.0,1.0
135,81,1.0,1.0
261,531,1.0,1.0
1,921,0.0,1.0
172,371,1.0,1.0
124,55,1.0,1.0
806,1007,1.0,1.0
65,156,1.0,1.0
91,230,1.0,1.0
431,789,1.0,1.0
706,1086,1.0,1.0
281,296,0.0,1.0
1449,258,1.0,1.0
1259,1257,1.0,1.0
322,628,1.0,1.0
95,248,1.0,1.0
192,348,1.0,1.0
869,167,1.0,1.0
222,613,1.0,1.0
857,1339,1.0,1.0
817,563,1.0,1.0
563,1272,1.0,1.0
1137,1135,1.0,1.0
331,144,1.0,1.0
496,294,1.0,1.0
1186,723,0.0,1.0
80,139,1.0,1.0
709,222,1.0,1.0
59,78,1.0,1.0
860,862,1.0,1.0
482,502,1.0,1.0
267,551,1.0,1.0
143,146,1.0,1.0
422,795,1.0,1.0
736,408,1.0,1.0
87,217,1.0,1.0
919,222,1.0,1.0
1424,1366,1.0,1.0
884,225,1.0,1.0
1078,630,1.0,1.0
795,1252,1.0,1.0
400,189,0.0,1.0
237,490,1.0,1.0
1027,1172,1.0,1.0
872,460,1.0,1.0
1095,1155,1.0,1.0
1429,1379,0.0,1.0
1330,468,1.0,1.0
689,1165,1.0,1.0
1458,956,1.0,1.0
187,393,1.0,1.0
330,83,1.0,1.0
942,825,1.0,1.0
1273,838,1.0,1.0
1452,1451,1.0,1.0
785,1245,1.0,1.0
481,896,1.0,1.0
601,222,1.0,1.0
539,843,1.0,1.0
34,139,1.0,1.0
1017,817,1.0,1.0
1351,870,1.0,1.0
52,90,1.0,1.0
93,124,1.0,1.0
798,1333,1.0,1.0
896,1318,1.0,1.0
1024,1249,1.0,1.0
375,851,1.0,1.0
758,411,1.0,1.0
1037,52,1.0,1.0
261,1465,1.0,1.0
407,765,1.0,1.0
222,1045,1.0,1.0
890,1377,1.0,1.0
303,608,1.0,1.0
635,630,1.0,1.0
189,397,1.0,1.0
1374,890,1.0,1.0
884,1371,1.0,1.0
964,1483,1.0,1.0
1405,1390,1.0,1.0
222,511,1.0,1.0
1385,1451,1.0,1.0
278,502,1.0,1.0
86,197,1.0,1.0
1323,837,1.0,1.0
1061,877,1.0,1.0
348,197,1.0,1.0
593,1039,1.0,1.0
555,989,1.0,1.0
1207,1210,1.0,1.0
662,667,1.0,1.0
77,197,1.0,1.0
669,158,1.0,1.0
403,757,1.0,1.0
835,1318,1.0,1.0
52,127,1.0,1.0
1268,198,1.0,1.0
736,834,0.0,1.0
475,89,1.0,1.0
623,622,1.0,1.0
916,123,1.0,1.0
1442,1117,1.0,1.0
14,994,1.0,1.0
244,791,1.0,1.0
508,294,1.0,1.0
1285,1277,1.0,1.0
592,1037,1.0,1.0
222,1178,1.0,1.0
1208,1027,1.0,1.0
395,737,1.0,1.0
19,1051,1.0,1.0
357,681,1.0,1.0
337,65,1.0,1.0
554,986,1.0,1.0
34,81,1.0,1.0
59,66,1.0,1.0
550,828,1.0,1.0
90,133,1.0,1.0
47,99,1.0,1.0
1198,191,1.0,1.0
240,275,1.0,1.0
118,288,1.0,1.0
407,767,1.0,1.0
1293,1291,1.0,1.0
618,1071,1.0,1.0
272,817,1.0,1.0
1184,1291,1.0,1.0
4,171,1.0,1.0
870,1177,1.0,1.0
297,281,1.0,1.0
316,843,1.0,1.0
59,68,1.0,1.0
1306,660,1.0,1.0
397,740,1.0,1.0
1002,198,1.0,1.0
1056,499,1.0,1.0
564,198,1.0,1.0
257,528,1.0,1.0
52,284,1.0,1.0
95,109,1.0,1.0
817,1005,1.0,1.0
692,686,1.0,1.0
571,563,1.0,1.0
52,1373,1.0,1.0
375,871,1.0,1.0
192,414,1.0,1.0
948,404,1.0,1.0
243,508,1.0,1.0
44,95,1.0,1.0
553,981,1.0,1.0
953,1452,1.0,1.0
569,1019,1.0,1.0
1122,651,1.0,1.0
139,34,1.0,1.0
756,191,1.0,1.0
885,1372,1.0,1.0
831,654,1.0,1.0
324,632,1.0,1.0
1355,299,1.0,1.0
52,281,1.0,1.0
230,484,1.0,1.0
862,860,1.0,1.0
849,1329,1.0,1.0
222,539,1.0,1.0
453,697,1.0,1.0
945,261,1.0,1.0
829,1301,1.0,1.0
1312,736,1.0,1.0
212,209,1.0,1.0
724,722,1.0,1.0
1069,222,1.0,1.0
1099,1447,1.0,1.0
495,117,1.0,1.0
555,990,1.0,1.0
601,197,1.0,1.0
953,1451,1.0,1.0
875,1361,1.0,1.0
1391,602,0.0,1.0
444,152,1.0,1.0
1284,1287,1.0,1.0
834,736,0.0,1.0
889,1001,1.0,1.0
357,362,1.0,1.0
205,34,0.0,1.0
478,89,1.0,1.0
52,546,1.0,1.0
59,139,1.0,1.0
507,506,1.0,1.0
1099,1447,1.0,1.0
990,988,1.0,1.0
843,539,1.0,1.0
118,53,1.0,1.0
551,981,1.0,1.0
682,1159,1.0,1.0
659,341,1.0,1.0
378,717,1.0,1.0
714,713,1.0,1.0
427,413,1.0,1.0
302,281,1.0,1.0
1291,1184,1.0,1.0
871,1355,1.0,1.0
273,290,1.0,1.0
1291,436,1.0,1.0
865,1350,1.0,1.0
1063,304,1.0,1.0
590,1029,1.0,1.0
1224,402,1.0,1.0
313,315,1.0,1.0
363,686,1.0,1.0
824,1294,1.0,1.0
37,9,1.0,1.0
1313,736,1.0,1.0
52,997,1.0,1.0
195,425,1.0,1.0
477,472,1.0,1.0
981,52,1.0,1.0
136,627,1.0,1.0
52,516,1.0,1.0
191,1307,1.0,1.0
191,408,1.0,1.0
344,787,1.0,1.0
347,82,1.0,1.0
946,1441,1.0,1.0
432,172,1.0,1.0
946,954,0.0,1.0
823,820,1.0,1.0
411,778,1.0,1.0
941,1436,1.0,1.0
139,210,1.0,1.0
325,324,1.0,1.0
773,436,0.0,1.0
468,709,1.0,1.0
385,72,1.0,1.0
234,52,1.0,1.0
667,1144,1.0,1.0
52,983,1.0,1.0
705,1327,1.0,1.0
1245,192,1.0,1.0
388,391,1.0,1.0
80,204,1.0,1.0
917,1407,1.0,1.0
453,852,1.0,1.0
601,852,1.0,1.0
1055,912,1.0,1.0
1084,1082,1.0,1.0
24,64,1.0,1.0
1137,665,1.0,1.0
330,213,1.0,1.0
303,609,1.0,1.0
606,52,0.0,1.0
1086,460,1.0,1.0
875,1362,1.0,1.0
772,52,1.0,1.0
806,1272,1.0,1.0
1080,1081,1.0,1.0
261,951,1.0,1.0
307,308,1.0,1.0
93,236,1.0,1.0
992,546,1.0,1.0
56,52,1.0,1.0
1130,435,1.0,1.0
868,1146,1.0,1.0
969,762,1.0,1.0
146,83,1.0,1.0
1086,375,1.0,1.0
343,653,1.0,1.0
