edge_index0,edge_index1,pred,gr
124,127,1.0,1.0
654,177,1.0,1.0
535,4,1.0,1.0
66,1216,1.0,1.0
701,641,1.0,1.0
1037,664,1.0,1.0
393,465,1.0,1.0
1213,1279,1.0,1.0
247,994,1.0,1.0
1161,246,1.0,1.0
524,80,1.0,1.0
244,241,1.0,1.0
244,1076,1.0,1.0
237,236,1.0,1.0
626,273,1.0,1.0
424,861,1.0,1.0
821,822,1.0,1.0
185,181,1.0,1.0
1188,1277,1.0,1.0
387,799,1.0,1.0
383,789,1.0,1.0
991,505,1.0,1.0
1175,1172,1.0,1.0
1131,280,1.0,1.0
272,41,1.0,1.0
918,806,1.0,1.0
70,26,1.0,1.0
215,495,1.0,1.0
581,1081,1.0,1.0
364,356,1.0,1.0
407,836,1.0,1.0
127,317,1.0,1.0
107,272,1.0,1.0
847,789,1.0,1.0
258,96,1.0,1.0
758,1115,0.0,1.0
41,620,1.0,1.0
968,1145,1.0,1.0
272,237,1.0,1.0
606,1110,1.0,1.0
693,1214,1.0,1.0
1273,1271,1.0,1.0
46,125,1.0,1.0
191,463,1.0,1.0
521,964,1.0,1.0
278,630,1.0,1.0
393,426,1.0,1.0
294,61,1.0,1.0
12,10,1.0,1.0
138,342,1.0,1.0
681,711,1.0,1.0
868,867,1.0,1.0
149,378,1.0,1.0
140,350,1.0,1.0
1286,768,1.0,1.0
774,1297,1.0,1.0
692,129,1.0,1.0
45,122,1.0,1.0
838,453,1.0,1.0
10,9,1.0,1.0
45,649,1.0,1.0
244,1066,1.0,1.0
1199,61,1.0,1.0
689,129,1.0,1.0
461,945,1.0,1.0
131,329,1.0,1.0
66,960,1.0,1.0
748,668,1.0,1.0
283,382,1.0,1.0
660,1154,0.0,1.0
296,666,1.0,1.0
206,209,1.0,1.0
65,898,1.0,1.0
262,95,1.0,1.0
176,22,1.0,1.0
837,222,1.0,1.0
222,843,1.0,1.0
1213,371,1.0,1.0
801,418,1.0,1.0
435,906,1.0,1.0
628,271,1.0,1.0
149,373,1.0,1.0
270,483,1.0,1.0
562,1069,1.0,1.0
313,15,1.0,1.0
26,68,1.0,1.0
61,823,1.0,1.0
101,9,1.0,1.0
1167,459,1.0,1.0
76,208,1.0,1.0
328,700,1.0,1.0
356,755,1.0,1.0
393,862,1.0,1.0
255,479,1.0,1.0
1286,930,1.0,1.0
1069,526,1.0,1.0
526,80,1.0,1.0
1066,1067,1.0,1.0
722,353,1.0,1.0
61,874,0.0,1.0
185,424,1.0,1.0
403,825,1.0,1.0
1262,356,1.0,1.0
1041,244,1.0,1.0
459,944,1.0,1.0
353,743,1.0,1.0
478,477,1.0,1.0
1041,241,1.0,1.0
525,1021,1.0,1.0
181,860,1.0,1.0
383,686,1.0,1.0
704,163,1.0,1.0
481,665,1.0,1.0
297,669,1.0,1.0
351,738,1.0,1.0
405,159,1.0,1.0
110,281,1.0,1.0
985,1058,1.0,1.0
595,1099,1.0,1.0
1109,387,1.0,1.0
862,185,1.0,1.0
149,155,1.0,1.0
1166,296,1.0,1.0
348,347,1.0,1.0
1030,1029,1.0,1.0
862,1097,1.0,1.0
231,533,1.0,1.0
